"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.143916700E-2,-2.412158251E0,9.444527626E0,-1.649006367E0
7.392692700E-2,-2.426523447E0,9.468469620E0,-1.649006367E0
7.641463500E-2,-2.455253839E0,9.487623215E0,-1.663371682E0
7.890234400E-2,-2.464830637E0,9.501988411E0,-1.663371682E0
8.139005200E-2,-2.469619036E0,9.525930405E0,-1.677736878E0
8.387776000E-2,-2.455253839E0,9.549872398E0,-1.677736878E0
8.636546900E-2,-2.431311846E0,9.592967987E0,-1.682525277E0
8.885317700E-2,-2.416946650E0,9.616909981E0,-1.706467271E0
9.134088500E-2,-2.393004656E0,9.650428772E0,-1.716044068E0
9.382859400E-2,-2.383427858E0,9.664793968E0,-1.735197663E0
9.631630200E-2,-2.383427858E0,9.674370766E0,-1.763928056E0
9.880401000E-2,-2.407369852E0,9.674370766E0,-1.792658567E0
1.012917190E-1,-2.416946650E0,9.683947563E0,-1.816600561E0
1.037794270E-1,-2.436100245E0,9.674370766E0,-1.816600561E0
1.062671350E-1,-2.445677042E0,9.669582367E0,-1.821388960E0
1.087548440E-1,-2.440888643E0,9.645640373E0,-1.807023764E0
1.112425520E-1,-2.445677042E0,9.631275177E0,-1.816600561E0
1.137302600E-1,-2.460042238E0,9.626486778E0,-1.840542555E0
1.162179690E-1,-2.455253839E0,9.636063576E0,-1.840542555E0
1.187056770E-1,-2.455253839E0,9.655217171E0,-1.854907751E0
1.211933850E-1,-2.464830637E0,9.688735962E0,-1.840542555E0
1.236810940E-1,-2.479195833E0,9.722254753E0,-1.835754156E0
1.261688020E-1,-2.507926226E0,9.760561943E0,-1.807023764E0
1.286565100E-1,-2.474407434E0,9.808445930E0,-1.778293371E0
1.311442190E-1,-2.455253839E0,9.846753120E0,-1.759139657E0
1.336319270E-1,-2.455253839E0,9.861118317E0,-1.754351258E0
1.361196350E-1,-2.436100245E0,9.851541519E0,-1.735197663E0
1.386073440E-1,-2.397793055E0,9.841964722E0,-1.706467271E0
1.410950520E-1,-2.369062662E0,9.808445930E0,-1.677736878E0
1.435827600E-1,-2.340332270E0,9.789292336E0,-1.663371682E0
1.460704690E-1,-2.330755472E0,9.741408348E0,-1.692102075E0
1.485581770E-1,-2.311601639E0,9.693524361E0,-1.725620866E0
1.510458850E-1,-2.335543871E0,9.655217171E0,-1.739986062E0
1.535335940E-1,-2.345120668E0,9.631275177E0,-1.749562860E0
1.560213020E-1,-2.349909067E0,9.612121582E0,-1.759139657E0
1.585090100E-1,-2.378639460E0,9.607333183E0,-1.759139657E0
1.609967710E-1,-2.383427858E0,9.612121582E0,-1.749562860E0
1.634845310E-1,-2.397793055E0,9.621698380E0,-1.739986062E0
1.659722920E-1,-2.402581453E0,9.650428772E0,-1.720832467E0
1.684600520E-1,-2.397793055E0,9.655217171E0,-1.720832467E0
1.709478120E-1,-2.364274263E0,9.679159164E0,-1.720832467E0
1.734355730E-1,-2.373851061E0,9.693524361E0,-1.720832467E0
1.759233330E-1,-2.369062662E0,9.679159164E0,-1.696890473E0
1.784110940E-1,-2.369062662E0,9.674370766E0,-1.682525277E0
1.808988540E-1,-2.383427858E0,9.650428772E0,-1.658583283E0
1.833866140E-1,-2.416946650E0,9.597756386E0,-1.620275974E0
1.858743750E-1,-2.436100245E0,9.525930405E0,-1.605910778E0
1.883621350E-1,-2.460042238E0,9.468469620E0,-1.591545582E0
1.908498960E-1,-2.469619036E0,9.415796280E0,-1.620275974E0
1.933376560E-1,-2.488772631E0,9.358335495E0,-1.620275974E0
1.958254170E-1,-2.512714624E0,9.320028305E0,-1.605910778E0
1.983131770E-1,-2.507926226E0,9.310451508E0,-1.572391987E0
2.008009370E-1,-2.493561029E0,9.291297913E0,-1.548449993E0
2.032886980E-1,-2.474407434E0,9.291297913E0,-1.505354285E0
2.057764580E-1,-2.440888643E0,9.291297913E0,-1.471835494E0
2.082642190E-1,-2.407369852E0,9.305663109E0,-1.433528304E0
2.107519790E-1,-2.373851061E0,9.310451508E0,-1.414374709E0
2.132397390E-1,-2.364274263E0,9.286509514E0,-1.419163108E0
2.157275000E-1,-2.359485865E0,9.276932716E0,-1.419163108E0
2.182152600E-1,-2.330755472E0,9.257779121E0,-1.438316703E0
2.207030210E-1,-2.335543871E0,9.219471931E0,-1.476623893E0
2.231907810E-1,-2.335543871E0,9.171587944E0,-1.500565886E0
