"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.274479100E-2,-8.894459605E-1,-9.469666481E0,2.306214809E0
9.529479100E-2,-8.942343593E-1,-9.460089684E0,2.301426411E0
9.784479100E-2,-8.702923059E-1,-9.464878082E0,2.282272816E0
1.003947910E-1,-8.559271097E-1,-9.469666481E0,2.267907619E0
1.029447910E-1,-8.607155085E-1,-9.474454880E0,2.291849613E0
1.054947910E-1,-8.463503122E-1,-9.469666481E0,2.296638012E0
1.080447910E-1,-8.271966577E-1,-9.460089684E0,2.306214809E0
1.105947910E-1,-8.128314614E-1,-9.440936089E0,2.320580006E0
1.131447910E-1,-8.128314614E-1,-9.436147690E0,2.320580006E0
1.156947910E-1,-8.224082589E-1,-9.407417297E0,2.334945202E0
1.182447910E-1,-8.415619135E-1,-9.393052101E0,2.354098797E0
1.207947910E-1,-8.559271097E-1,-9.373898506E0,2.344521999E0
1.233447910E-1,-8.702923059E-1,-9.354744911E0,2.325368404E0
1.258947910E-1,-8.942343593E-1,-9.359533310E0,2.315791607E0
1.284447910E-1,-9.373299479E-1,-9.364321709E0,2.296638012E0
1.309947910E-1,-9.660604000E-1,-9.369110107E0,2.277484417E0
1.335447910E-1,-9.660604000E-1,-9.383475304E0,2.263119221E0
1.360947910E-1,-9.852139950E-1,-9.397840500E0,2.258330822E0
1.386447910E-1,-1.018732786E0,-9.393052101E0,2.253542423E0
1.411947910E-1,-1.028309584E0,-9.402628899E0,2.263119221E0
1.437447910E-1,-1.023521185E0,-9.421782494E0,2.253542423E0
1.462947910E-1,-1.018732786E0,-9.407417297E0,2.258330822E0
1.488447910E-1,-9.995791912E-1,-9.431359291E0,2.253542423E0
1.513947910E-1,-9.947907925E-1,-9.431359291E0,2.263119221E0
1.539447910E-1,-9.852139950E-1,-9.421782494E0,2.272696018E0
1.564947910E-1,-9.852139950E-1,-9.436147690E0,2.301426411E0
1.590447910E-1,-9.564836025E-1,-9.416994095E0,2.287061214E0
1.615947910E-1,-9.564836025E-1,-9.407417297E0,2.306214809E0
1.641447910E-1,-9.277531505E-1,-9.402628899E0,2.311003208E0
1.666947910E-1,-9.229647517E-1,-9.378686905E0,2.320580006E0
1.692447910E-1,-9.085995555E-1,-9.364321709E0,2.306214809E0
1.717947910E-1,-8.846575022E-1,-9.373898506E0,2.291849613E0
1.743447910E-1,-8.559271097E-1,-9.373898506E0,2.301426411E0
1.768947910E-1,-8.319851160E-1,-9.354744911E0,2.291849613E0
1.794447910E-1,-7.984662652E-1,-9.359533310E0,2.282272816E0
1.819947910E-1,-7.936778665E-1,-9.349956512E0,2.277484417E0
1.845447910E-1,-7.745242715E-1,-9.345168114E0,2.272696018E0
1.870947910E-1,-7.601590157E-1,-9.345168114E0,2.272696018E0
1.896447910E-1,-7.362170219E-1,-9.316437721E0,2.282272816E0
1.921947910E-1,-7.362170219E-1,-9.326014519E0,2.301426411E0
1.947447910E-1,-7.505822182E-1,-9.316437721E0,2.301426411E0
1.972947910E-1,-7.601590157E-1,-9.292495728E0,2.296638012E0
1.998188540E-1,-7.601590157E-1,-9.302072525E0,2.301426411E0
2.023066140E-1,-7.841010690E-1,-9.306860924E0,2.267907619E0
2.047943230E-1,-7.984662652E-1,-9.316437721E0,2.253542423E0
2.072820310E-1,-8.224082589E-1,-9.316437721E0,2.253542423E0
2.097697390E-1,-8.559271097E-1,-9.306860924E0,2.267907619E0
2.122574480E-1,-8.798691034E-1,-9.302072525E0,2.253542423E0
2.147451560E-1,-9.038111567E-1,-9.306860924E0,2.272696018E0
2.172335930E-1,-9.277531505E-1,-9.306860924E0,2.282272816E0
2.197210410E-1,-9.612720013E-1,-9.306860924E0,2.287061214E0
2.222084890E-1,-9.660604000E-1,-9.335591316E0,2.311003208E0
2.246959370E-1,-9.947907925E-1,-9.326014519E0,2.315791607E0
2.271833850E-1,-9.995791912E-1,-9.326014519E0,2.306214809E0
2.296708330E-1,-1.009155989E0,-9.326014519E0,2.301426411E0
2.321582810E-1,-1.004367590E0,-9.335591316E0,2.320580006E0
2.346457810E-1,-9.995791912E-1,-9.340379715E0,2.315791607E0
2.371333330E-1,-1.004367590E0,-9.316437721E0,2.306214809E0
2.396209370E-1,-9.852139950E-1,-9.321226120E0,2.306214809E0
2.421085930E-1,-9.852139950E-1,-9.311649323E0,2.306214809E0
2.445963020E-1,-9.660604000E-1,-9.311649323E0,2.296638012E0
2.470840620E-1,-9.612720013E-1,-9.311649323E0,2.301426411E0
2.495718750E-1,-9.612720013E-1,-9.306860924E0,2.311003208E0
2.520597390E-1,-9.325415492E-1,-9.306860924E0,2.330156803E0
2.545476560E-1,-8.942343593E-1,-9.306860924E0,2.339733601E0
2.570355730E-1,-8.607155085E-1,-9.326014519E0,2.373252392E0
2.595234890E-1,-8.463503122E-1,-9.311649323E0,2.406771183E0
2.620114060E-1,-8.271966577E-1,-9.311649323E0,2.440289974E0
2.644993230E-1,-8.128314614E-1,-9.335591316E0,2.445078373E0
2.669872390E-1,-7.984662652E-1,-9.335591316E0,2.445078373E0
2.694751560E-1,-7.984662652E-1,-9.349956512E0,2.459443808E0
2.719630730E-1,-7.793126702E-1,-9.345168114E0,2.473809004E0
2.744508850E-1,-7.888894677E-1,-9.359533310E0,2.459443808E0
2.769385930E-1,-7.841010690E-1,-9.359533310E0,2.435501575E0
2.794263020E-1,-7.745242715E-1,-9.354744911E0,2.421136379E0
2.819140100E-1,-7.553706169E-1,-9.340379715E0,2.425924778E0
2.844017180E-1,-7.505822182E-1,-9.316437721E0,2.445078373E0
2.868894270E-1,-7.314286232E-1,-9.306860924E0,2.459443808E0
2.893771350E-1,-7.170634270E-1,-9.306860924E0,2.464232206E0
2.918648430E-1,-7.410054207E-1,-9.287707329E0,2.488174200E0
2.943525520E-1,-7.505822182E-1,-9.268553734E0,2.464232206E0
2.968402600E-1,-7.745242715E-1,-9.254188538E0,2.449866772E0
2.993279680E-1,-7.697358727E-1,-9.249400139E0,2.459443808E0
3.018156770E-1,-7.841010690E-1,-9.235034943E0,2.411559582E0
3.043033850E-1,-7.984662652E-1,-9.225458145E0,2.397194386E0
3.067910930E-1,-7.697358727E-1,-9.220669746E0,2.368463993E0
3.092788020E-1,-7.745242715E-1,-9.211092949E0,2.349310398E0
3.117665100E-1,-7.697358727E-1,-9.215881348E0,2.334945202E0
3.142542180E-1,-7.745242715E-1,-9.235034943E0,2.325368404E0
3.167419270E-1,-7.601590157E-1,-9.220669746E0,2.330156803E0
3.192296350E-1,-7.697358727E-1,-9.225458145E0,2.339733601E0
3.217173430E-1,-7.984662652E-1,-9.206304550E0,2.339733601E0
3.242050520E-1,-8.080430627E-1,-9.201516151E0,2.320580006E0
3.266927600E-1,-8.224082589E-1,-9.187150002E0,2.311003208E0
3.291804680E-1,-8.224082589E-1,-9.182361603E0,2.291849613E0
3.316681770E-1,-8.271966577E-1,-9.177573204E0,2.267907619E0
3.341558850E-1,-8.271966577E-1,-9.148842812E0,2.253542423E0
3.366435930E-1,-8.271966577E-1,-9.120112419E0,2.234388828E0
3.391313020E-1,-8.224082589E-1,-9.105747223E0,2.258330822E0
3.416190100E-1,-8.032546639E-1,-9.086593628E0,2.272696018E0
3.441067180E-1,-7.793126702E-1,-9.077016830E0,2.296638012E0
3.465944270E-1,-7.601590157E-1,-9.086593628E0,2.301426411E0
3.490821350E-1,-7.505822182E-1,-9.091382027E0,2.349310398E0
3.515698430E-1,-7.410054207E-1,-9.091382027E0,2.354098797E0
3.540575520E-1,-7.074866295E-1,-9.091382027E0,2.358887196E0
3.565452600E-1,-6.931213737E-1,-9.105747223E0,2.392405987E0
3.590329680E-1,-6.739677787E-1,-9.115324020E0,2.387617588E0
3.615206770E-1,-6.356605291E-1,-9.129689217E0,2.387617588E0
3.640083850E-1,-6.021417379E-1,-9.115324020E0,2.401982784E0
3.664960930E-1,-5.877765417E-1,-9.100958824E0,2.401982784E0
3.689838020E-1,-5.398924947E-1,-9.091382027E0,2.421136379E0
3.714715100E-1,-5.111620426E-1,-9.072228432E0,2.397194386E0
