"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.920642000E-2,-2.153584480E0,8.376712799E0,8.457517624E-1
5.170214900E-2,-2.086546898E0,8.170811653E0,7.164648771E-1
5.419782600E-2,-2.129642487E0,8.031948090E0,5.967547894E-1
5.669345100E-2,-2.215833664E0,7.960122108E0,4.866214991E-1
5.918907600E-2,-2.311601639E0,7.888296127E0,4.243722558E-1
6.168470100E-2,-2.388216257E0,7.821258545E0,3.956418335E-1
6.418032600E-2,-2.431311846E0,7.754220963E0,4.674678743E-1
6.667871100E-2,-2.450465441E0,7.677606106E0,5.392939448E-1
6.917709700E-2,-2.440888643E0,7.567472935E0,6.494272351E-1
7.162709700E-2,-2.373851061E0,7.452551365E0,7.451952696E-1
7.407709700E-2,-2.302024841E0,7.323264599E0,7.835025191E-1
7.652709700E-2,-2.191891670E0,7.189188957E0,7.882909179E-1
7.898162800E-2,-2.091335297E0,7.079055786E0,7.451952696E-1
8.143615900E-2,-1.995567083E0,6.983287811E0,6.494272351E-1
8.390110700E-2,-1.923741102E0,6.949769020E0,5.440823436E-1
8.637730500E-2,-1.895010591E0,6.997653008E0,5.009866953E-1
8.886490900E-2,-1.871068597E0,7.055113792E0,4.914098978E-1
9.136350300E-2,-1.880645394E0,7.112574577E0,4.866214991E-1
9.387220100E-2,-1.885433793E0,7.170035362E0,4.674678743E-1
9.638975300E-2,-1.914164305E0,7.193977356E0,4.818331003E-1
9.891459700E-2,-1.938106298E0,7.193977356E0,6.111199856E-1
1.014449610E-1,-1.938106298E0,7.136516571E0,7.451952696E-1
1.039789200E-1,-1.957259893E0,7.069478989E0,8.601169586E-1
1.065144930E-1,-1.947683096E0,7.007229805E0,9.271546006E-1
1.090418360E-1,-1.899798989E0,6.916250229E0,9.558850527E-1
1.115296490E-1,-1.861491799E0,6.830059052E0,9.463081956E-1
1.140174610E-1,-1.847126603E0,6.705560207E0,9.558850527E-1
1.165052740E-1,-1.851915002E0,6.614580631E0,9.510966539E-1
1.189930860E-1,-1.899798989E0,6.542754650E0,8.888474107E-1
1.214808990E-1,-1.966836691E0,6.504447460E0,7.882909179E-1
1.239687110E-1,-2.033874273E0,6.494870663E0,6.925228238E-1
1.264565240E-1,-2.086546898E0,6.504447460E0,6.302735806E-1
1.289443360E-1,-2.134430885E0,6.509235859E0,6.111199856E-1
1.314320970E-1,-2.206256866E0,6.514024258E0,6.063315868E-1
1.339198570E-1,-2.321178436E0,6.537966251E0,6.781576276E-1
1.364076180E-1,-2.479195833E0,6.542754650E0,8.026561141E-1
1.388953780E-1,-2.632424831E0,6.571485043E0,8.649053574E-1
1.413831380E-1,-2.766499996E0,6.581061840E0,9.080010056E-1
1.438708990E-1,-2.847903013E0,6.600215435E0,9.032126069E-1
1.463586590E-1,-2.862268209E0,6.585850239E0,8.696937561E-1
1.488464200E-1,-2.847903013E0,6.542754650E0,8.457517624E-1
1.513341800E-1,-2.804807186E0,6.490082264E0,8.505401611E-1
1.538219400E-1,-2.771288395E0,6.490082264E0,7.643488646E-1
1.563097010E-1,-2.766499996E0,6.528389454E0,6.302735806E-1
1.587974610E-1,-2.742558002E0,6.590638638E0,4.483142793E-1
1.612852220E-1,-2.680308819E0,6.672041416E0,2.902969420E-1
1.637729820E-1,-2.546233416E0,6.724713802E0,3.238157928E-1
