"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.014449610E-1,-2.937464416E-1,-5.402218103E-1,8.303729892E-1
1.039789200E-1,-2.916159332E-1,-5.402218103E-1,8.399603963E-1
1.065144930E-1,-2.905506492E-1,-5.380913019E-1,8.516782522E-1
1.090418360E-1,-2.894853950E-1,-5.348954797E-1,8.665919900E-1
1.115296490E-1,-2.905506492E-1,-5.306344628E-1,8.815056682E-1
1.140174610E-1,-2.926811874E-1,-5.253081322E-1,8.974846005E-1
1.165052740E-1,-2.958769798E-1,-5.210470557E-1,9.155941010E-1
1.189930860E-1,-3.001380265E-1,-5.178512931E-1,9.326383471E-1
1.214808990E-1,-3.033338189E-1,-5.157207847E-1,9.496825337E-1
1.239687110E-1,-3.065296113E-1,-5.135902166E-1,9.688572884E-1
1.264565240E-1,-3.097254038E-1,-5.114597082E-1,9.880320430E-1
1.289443360E-1,-3.150517344E-1,-5.093291998E-1,1.007206798E0
1.314320970E-1,-3.225085735E-1,-5.061333776E-1,1.026381493E0
1.339198570E-1,-3.320959508E-1,-5.029376149E-1,1.047686815E0
1.364076180E-1,-3.427485824E-1,-4.997417927E-1,1.067926764E0
1.388953780E-1,-3.523359597E-1,-4.965460002E-1,1.087101579E0
1.413831380E-1,-3.619233072E-1,-4.954807460E-1,1.106276274E0
1.438708990E-1,-3.704454303E-1,-4.965460002E-1,1.124385715E0
1.463586590E-1,-3.779022694E-1,-5.018723607E-1,1.142495275E0
1.488464200E-1,-3.864243925E-1,-5.125249624E-1,1.156343699E0
1.513341800E-1,-3.938812315E-1,-5.306344628E-1,1.169126868E0
1.538219400E-1,-3.992075622E-1,-5.572660565E-1,1.178714275E0
1.563097010E-1,-4.066644013E-1,-5.892239809E-1,1.185105801E0
1.587974610E-1,-4.151864946E-1,-6.254429221E-1,1.189366817E0
1.612852220E-1,-4.269044101E-1,-6.648576856E-1,1.190432072E0
1.637729820E-1,-4.375570416E-1,-7.042724490E-1,1.188301563E0
1.662607430E-1,-4.492749274E-1,-7.404913902E-1,1.182975292E0
1.687485030E-1,-4.588623047E-1,-7.735145688E-1,1.172322631E0
1.712362630E-1,-4.695149362E-1,-8.012114167E-1,1.157408953E0
1.737240240E-1,-4.801675975E-1,-8.246471882E-1,1.139299512E0
1.762117840E-1,-4.929507375E-1,-8.448871970E-1,1.121189952E0
1.786995450E-1,-5.067991614E-1,-8.608661890E-1,1.105211020E0
1.811873050E-1,-5.227781534E-1,-8.736493587E-1,1.093493104E0
1.836750650E-1,-5.398223400E-1,-8.832367063E-1,1.088166833E0
1.861628260E-1,-5.579318404E-1,-8.896282911E-1,1.089232087E0
1.886505860E-1,-5.728455186E-1,-8.938893676E-1,1.097754240E0
1.911383470E-1,-5.856286883E-1,-8.981503844E-1,1.111602664E0
1.936261070E-1,-5.973466039E-1,-9.034767151E-1,1.128646851E0
1.961138680E-1,-6.058686972E-1,-9.119988084E-1,1.146756291E0
1.986016800E-1,-6.133255363E-1,-9.237167239E-1,1.165931106E0
2.010894930E-1,-6.197171211E-1,-9.407609701E-1,1.185105801E0
2.035773050E-1,-6.250434518E-1,-9.599357247E-1,1.204280496E0
2.060651180E-1,-6.314350367E-1,-9.823062420E-1,1.223455310E0
2.085529300E-1,-6.388918757E-1,-1.002546191E0,1.241564751E0
2.110407430E-1,-6.474139690E-1,-1.019590497E0,1.259674311E0
2.135285550E-1,-6.570013762E-1,-1.029177785E0,1.277783751E0
2.160163680E-1,-6.676539779E-1,-1.034504175E0,1.293762684E0
2.185041800E-1,-6.783066392E-1,-1.035569429E0,1.307611108E0
2.209919930E-1,-6.868287325E-1,-1.031308413E0,1.321459532E0
2.234798050E-1,-6.953508258E-1,-1.027047276E0,1.333177447E0
2.259676180E-1,-7.006771564E-1,-1.020655751E0,1.344895363E0
2.284554300E-1,-7.049382329E-1,-1.015329361E0,1.353417397E0
2.309432430E-1,-7.049382329E-1,-1.013198853E0,1.361939549E0
2.334310550E-1,-7.049382329E-1,-1.015329361E0,1.366200566E0
2.359188680E-1,-7.060034871E-1,-1.021721005E0,1.368331194E0
2.384066800E-1,-7.070687413E-1,-1.031308413E0,1.368331194E0
2.408944930E-1,-7.091992497E-1,-1.043026209E0,1.367265940E0
2.433823050E-1,-7.134603262E-1,-1.053678870E0,1.363004804E0
2.458701180E-1,-7.187866569E-1,-1.065396786E0,1.357678533E0
2.483579300E-1,-7.262434959E-1,-1.074984193E0,1.349156380E0
2.508457430E-1,-7.337003350E-1,-1.082440972E0,1.340634346E0
2.533335550E-1,-7.400919199E-1,-1.085636854E0,1.331046939E0
2.558213680E-1,-7.432876825E-1,-1.084571600E0,1.322524786E0
2.583091800E-1,-7.432876825E-1,-1.080310464E0,1.316133261E0
2.607969930E-1,-7.432876825E-1,-1.069657803E0,1.315068007E0
2.632848050E-1,-7.400919199E-1,-1.056874633E0,1.317198515E0
2.657726180E-1,-7.368960977E-1,-1.043026209E0,1.326785922E0
2.682604300E-1,-7.326350808E-1,-1.032373667E0,1.341699600E0
2.707482430E-1,-7.273087502E-1,-1.025982022E0,1.360874295E0
2.732360550E-1,-7.187866569E-1,-1.022786260E0,1.383244872E0
