"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.828869800E-2,-1.799242616E0,9.827599525E0,-2.507926226E-1
4.078541700E-2,-1.736993313E0,9.837176323E0,-2.795230448E-1
4.328203200E-2,-1.679532528E0,9.808445930E0,-2.890998423E-1
4.577828200E-2,-1.646013618E0,9.774927139E0,-3.034650683E-1
4.827453200E-2,-1.617283225E0,9.750985146E0,-3.226186931E-1
5.077078200E-2,-1.574187636E0,9.707889557E0,-3.178302646E-1
5.326703200E-2,-1.574187636E0,9.669582367E0,-3.417722881E-1
5.576328200E-2,-1.550245643E0,9.640851974E0,-3.848679364E-1
5.826072900E-2,-1.555034041E0,9.636063576E0,-4.135983288E-1
6.075817700E-2,-1.559822440E0,9.631275177E0,-4.758476019E-1
6.320817700E-2,-1.545457244E0,9.636063576E0,-5.189431906E-1
6.566093800E-2,-1.535880446E0,9.645640373E0,-5.620388389E-1
6.811369800E-2,-1.526303530E0,9.669582367E0,-5.859808922E-1
7.057354200E-2,-1.507149935E0,9.688735962E0,-6.051344872E-1
7.304166700E-2,-1.483207941E0,9.707889557E0,-6.147112846E-1
7.551895900E-2,-1.459265947E0,9.741408348E0,-5.811924338E-1
7.800583400E-2,-1.440112352E0,9.770138741E0,-5.237316489E-1
8.050203200E-2,-1.430535555E0,9.784503937E0,-4.758476019E-1
8.300682300E-2,-1.416170359E0,9.803657532E0,-4.183867574E-1
8.551916700E-2,-1.440112352E0,9.813234329E0,-3.513490856E-1
8.803776100E-2,-1.449689150E0,9.822811127E0,-2.795230448E-1
9.056114600E-2,-1.468842745E0,9.822811127E0,-2.220622003E-1
9.308770900E-2,-1.487996340E0,9.822811127E0,-1.837549806E-1
9.561572900E-2,-1.535880446E0,9.808445930E0,-1.502361596E-1
9.813947900E-2,-1.612494826E0,9.822811127E0,-1.215057373E-1
1.006271360E-1,-1.693897724E0,9.822811127E0,-1.262941360E-1
1.031147920E-1,-1.784877419E0,9.841964722E0,-1.502361596E-1
1.056024480E-1,-1.851915002E0,9.865906715E0,-1.837549806E-1
1.080901040E-1,-1.933317900E0,9.894637108E0,-1.837549806E-1
1.105777610E-1,-2.000355482E0,9.904213905E0,-1.598129570E-1
1.130654170E-1,-2.067393064E0,9.909002304E0,-1.023521200E-1
1.155530730E-1,-2.062604666E0,9.894637108E0,-1.616086066E-2
1.180407290E-1,-2.038662672E0,9.909002304E0,3.651157767E-2
1.205283860E-1,-2.024297476E0,9.899425507E0,8.918401599E-2
1.230160420E-1,-2.009932280E0,9.894637108E0,1.083376259E-1
1.255036980E-1,-1.985990286E0,9.889848709E0,6.524199992E-2
1.279913540E-1,-1.976413488E0,9.889848709E0,4.129998013E-2
1.304790110E-1,-2.005143881E0,9.880271912E0,6.045359373E-2
1.329666670E-1,-2.019509077E0,9.875483513E0,6.524199992E-2
1.354543230E-1,-2.019509077E0,9.913790703E0,-1.795651275E-3
1.379419790E-1,-2.019509077E0,9.937732697E0,-8.798690885E-2
1.404296360E-1,-2.033874273E0,9.947309494E0,-1.310825497E-1
1.429172920E-1,-2.081758261E0,9.932944298E0,-9.277531505E-2
1.454049480E-1,-2.086546898E0,9.865906715E0,-6.883329898E-2
1.478926040E-1,-2.076969862E0,9.813234329E0,-1.023521200E-1
1.503802610E-1,-1.995567083E0,9.755773544E0,-1.981201917E-1
1.528679170E-1,-1.909375906E0,9.717466354E0,-2.651578486E-1
1.553555730E-1,-1.823184609E0,9.707889557E0,-3.417722881E-1
1.578432290E-1,-1.746570110E0,9.717466354E0,-3.705027103E-1
1.603308860E-1,-1.660378933E0,9.750985146E0,-3.465606868E-1
1.628185420E-1,-1.617283225E0,9.774927139E0,-3.417722881E-1
1.653061980E-1,-1.569399238E0,9.813234329E0,-2.938882709E-1
1.677938540E-1,-1.545457244E0,9.846753120E0,-2.938882709E-1
1.702815110E-1,-1.511938334E0,9.865906715E0,-2.795230448E-1
1.727691670E-1,-1.492784739E0,9.865906715E0,-3.417722881E-1
1.752568230E-1,-1.459265947E0,9.870695114E0,-2.938882709E-1
1.777444790E-1,-1.444900751E0,9.880271912E0,-3.944447339E-1
1.802321360E-1,-1.397016644E0,9.861118317E0,-3.226186931E-1
1.827197920E-1,-1.363497853E0,9.851541519E0,-2.890998423E-1
1.852074480E-1,-1.277306557E0,9.837176323E0,-2.124854028E-1
1.876951040E-1,-1.258152962E0,9.841964722E0,-3.848679364E-1
1.901827610E-1,-1.234210968E0,9.813234329E0,-4.279635549E-1
1.926704170E-1,-1.310825467E0,9.794080734E0,-5.189431906E-1
1.951580730E-1,-1.420958757E0,9.750985146E0,-3.944447339E-1
1.976457290E-1,-1.569399238E0,9.722254753E0,-3.848679364E-1
2.001333860E-1,-1.727416515E0,9.703101158E0,-2.460042238E-1
2.026210420E-1,-1.856703401E0,9.707889557E0,-2.986766696E-1
2.051086980E-1,-1.962048292E0,9.703101158E0,-1.933317930E-1
2.075963540E-1,-2.048239470E0,9.717466354E0,-2.747346461E-1
2.100840110E-1,-2.081758261E0,9.717466354E0,-1.598129570E-1
2.125716670E-1,-2.086546898E0,9.722254753E0,-2.316390127E-1
2.150593230E-1,-2.057816267E0,9.712677956E0,-1.023521200E-1
2.175469790E-1,-2.048239470E0,9.707889557E0,-1.646013707E-1
2.200346360E-1,-1.995567083E0,9.655217171E0,-2.573766746E-2
2.225222920E-1,-1.957259893E0,9.645640373E0,-8.319851011E-2
2.250099480E-1,-1.904587507E0,9.602544785E0,-1.616086066E-2
2.274976040E-1,-1.856703401E0,9.602544785E0,-1.119289324E-1
2.299852610E-1,-1.784877419E0,9.597756386E0,-8.798690885E-2
2.324729170E-1,-1.717839718E0,9.621698380E0,-2.172738016E-1
2.349605730E-1,-1.626860023E0,9.631275177E0,-1.933317930E-1
2.374482290E-1,-1.540668845E0,9.640851974E0,-2.795230448E-1
2.399358860E-1,-1.464054346E0,9.631275177E0,-2.316390127E-1
2.424235420E-1,-1.377863050E0,9.626486778E0,-3.034650683E-1
2.449111980E-1,-1.301248670E0,9.616909981E0,-3.130418658E-1
2.473988540E-1,-1.191115379E0,9.645640373E0,-3.752911091E-1
2.498865110E-1,-1.114500880E0,9.626486778E0,-3.705027103E-1
2.523741670E-1,-1.028309584E0,9.626486778E0,-4.279635549E-1
2.548618230E-1,-9.852139950E-1,9.631275177E0,-4.614823759E-1
2.573494790E-1,-9.421183467E-1,9.655217171E0,-5.141547918E-1
2.598371360E-1,-9.325415492E-1,9.674370766E0,-5.907692909E-1
2.623247920E-1,-9.564836025E-1,9.717466354E0,-6.673837304E-1
2.648124480E-1,-1.018732786E0,9.746196747E0,-7.679402232E-1
2.673001040E-1,-1.066616893E0,9.794080734E0,-8.493430614E-1
2.697877610E-1,-1.138442874E0,9.832387924E0,-9.594763517E-1
2.722754170E-1,-1.162384868E0,9.865906715E0,-9.546879530E-1
2.747630730E-1,-1.176750183E0,9.865906715E0,-9.977835417E-1
2.772507290E-1,-1.138442874E0,9.870695114E0,-8.732850552E-1
2.797383860E-1,-1.109712481E0,9.875483513E0,-8.397662640E-1
2.822260420E-1,-1.028309584E0,9.856329918E0,-6.769605279E-1
