"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.156947910E-1,-3.382211924E-2,-3.102580272E-2,-1.225053146E-2
1.182447910E-1,-3.275685757E-2,-3.102580272E-2,-1.118526794E-2
1.207947910E-1,-3.169159219E-2,-2.996053919E-2,-1.012000442E-2
1.233447910E-1,-3.169159219E-2,-2.996053919E-2,-9.054740891E-3
1.258947910E-1,-3.062633052E-2,-2.996053919E-2,-9.054740891E-3
1.284447910E-1,-3.062633052E-2,-2.889527567E-2,-9.054740891E-3
1.309947910E-1,-3.062633052E-2,-2.889527567E-2,-9.054740891E-3
1.335447910E-1,-2.956106514E-2,-2.783001214E-2,-9.054740891E-3
1.360947910E-1,-2.956106514E-2,-2.676474862E-2,-9.054740891E-3
1.386447910E-1,-3.062633052E-2,-2.569948509E-2,-9.054740891E-3
1.411947910E-1,-2.956106514E-2,-2.463422157E-2,-9.054740891E-3
1.437447910E-1,-2.849580161E-2,-2.356895804E-2,-9.054740891E-3
1.462947910E-1,-2.849580161E-2,-2.250369452E-2,-9.054740891E-3
1.488447910E-1,-2.743053809E-2,-2.356895804E-2,-9.054740891E-3
1.513947910E-1,-2.743053809E-2,-2.463422157E-2,-7.989477366E-3
1.539447910E-1,-2.743053809E-2,-2.676474862E-2,-7.989477366E-3
1.564947910E-1,-2.743053809E-2,-2.889527567E-2,-6.924213842E-3
1.590447910E-1,-2.743053809E-2,-3.209106624E-2,-7.989477366E-3
1.615947910E-1,-2.743053809E-2,-3.528685868E-2,-6.924213842E-3
1.641447910E-1,-2.743053809E-2,-3.954791278E-2,-6.924213842E-3
1.666947910E-1,-2.636527456E-2,-4.380896688E-2,-6.924213842E-3
1.692447910E-1,-2.636527456E-2,-4.593949392E-2,-5.858949851E-3
1.717947910E-1,-2.530001104E-2,-4.913528636E-2,-3.728422802E-3
1.743447910E-1,-2.423474751E-2,-5.233107507E-2,-2.663159044E-3
1.768947910E-1,-2.316948399E-2,-5.339634046E-2,-2.663159044E-3
1.794447910E-1,-2.423474751E-2,-5.339634046E-2,-1.597895520E-3
1.819947910E-1,-2.423474751E-2,-5.233107507E-2,5.326318205E-4
1.845447910E-1,-2.530001104E-2,-5.233107507E-2,5.326318205E-4
1.870947910E-1,-2.743053809E-2,-5.020054802E-2,2.663159044E-3
1.896447910E-1,-2.956106514E-2,-4.807002097E-2,4.793686327E-3
1.921947910E-1,-3.062633052E-2,-4.487423226E-2,5.858949851E-3
1.947447910E-1,-3.169159219E-2,-4.167843983E-2,6.924213842E-3
1.972947910E-1,-3.275685757E-2,-3.741738573E-2,7.989477366E-3
1.998188540E-1,-3.382211924E-2,-3.315633163E-2,9.054740891E-3
2.023066140E-1,-3.488738462E-2,-2.889527567E-2,9.054740891E-3
2.047943230E-1,-3.488738462E-2,-2.569948509E-2,1.012000442E-2
2.072820310E-1,-3.595264629E-2,-2.143843099E-2,1.118526794E-2
2.097697390E-1,-3.595264629E-2,-1.824264042E-2,1.118526794E-2
2.122574480E-1,-3.595264629E-2,-1.504684892E-2,1.225053146E-2
2.147451560E-1,-3.595264629E-2,-1.185105834E-2,1.225053146E-2
2.172335930E-1,-3.701791167E-2,-1.078579482E-2,1.331579592E-2
2.197210410E-1,-3.701791167E-2,-9.720530361E-3,1.331579592E-2
2.222084890E-1,-3.808317333E-2,-1.078579482E-2,1.438105945E-2
2.246959370E-1,-3.701791167E-2,-1.185105834E-2,1.544632297E-2
2.271833850E-1,-3.808317333E-2,-1.398158539E-2,1.757685095E-2
2.296708330E-1,-3.808317333E-2,-1.824264042E-2,1.757685095E-2
2.321582810E-1,-3.808317333E-2,-2.250369452E-2,1.864211448E-2
2.346457810E-1,-3.808317333E-2,-2.676474862E-2,1.970737800E-2
2.371333330E-1,-3.701791167E-2,-3.315633163E-2,2.077264152E-2
2.396209370E-1,-3.701791167E-2,-3.848264739E-2,2.077264152E-2
2.421085930E-1,-3.595264629E-2,-4.487423226E-2,2.077264152E-2
2.445963020E-1,-3.701791167E-2,-5.020054802E-2,2.077264152E-2
2.470840620E-1,-3.595264629E-2,-5.552686751E-2,1.970737800E-2
2.495718750E-1,-3.595264629E-2,-6.085318699E-2,1.970737800E-2
2.520597390E-1,-3.595264629E-2,-6.404897571E-2,1.970737800E-2
2.545476560E-1,-3.595264629E-2,-6.724476814E-2,1.970737800E-2
2.570355730E-1,-3.595264629E-2,-7.044056058E-2,2.077264152E-2
2.595234890E-1,-3.701791167E-2,-7.257108390E-2,2.077264152E-2
2.620114060E-1,-3.701791167E-2,-7.363634557E-2,2.183790505E-2
2.644993230E-1,-3.808317333E-2,-7.470161468E-2,2.290316857E-2
2.669872390E-1,-4.021370411E-2,-7.576687634E-2,2.396843210E-2
2.694751560E-1,-4.127896577E-2,-7.789740711E-2,2.503369562E-2
2.719630730E-1,-4.234423116E-2,-7.896266878E-2,2.503369562E-2
2.744508850E-1,-4.447475821E-2,-8.109319210E-2,2.609895915E-2
2.769385930E-1,-4.554001987E-2,-8.215846121E-2,2.716422267E-2
2.794263020E-1,-4.660528526E-2,-8.322372288E-2,2.822948620E-2
2.819140100E-1,-4.873581231E-2,-8.322372288E-2,2.929474972E-2
2.844017180E-1,-4.873581231E-2,-8.322372288E-2,3.036001325E-2
2.868894270E-1,-5.086633936E-2,-8.428898454E-2,3.142527863E-2
2.893771350E-1,-5.193160102E-2,-8.428898454E-2,3.249054030E-2
2.918648430E-1,-5.193160102E-2,-8.322372288E-2,3.355580568E-2
