"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.167808200E-2,1.447294950E0,1.191055489E1,3.977367640E0
3.417490500E-2,1.461660147E0,1.185788250E1,3.857657433E0
3.667172800E-2,1.150413871E0,1.188182449E1,3.795408249E0
3.916855000E-2,8.535329103E-1,1.193449688E1,3.819350243E0
4.166537300E-2,6.428431273E-1,1.199674606E1,3.948637247E0
4.416219600E-2,5.710170865E-1,1.206378365E1,4.140173435E0
4.665901900E-2,6.045359373E-1,1.210687923E1,4.298190594E0
4.915584200E-2,6.572083831E-1,1.216434002E1,4.422688961E0
5.165261300E-2,6.859387755E-1,1.220743561E1,4.542399406E0
5.414912300E-2,6.907271743E-1,1.221222401E1,4.566341400E0
5.664558200E-2,6.619967818E-1,1.219307041E1,4.475361347E0
5.914204000E-2,5.997475386E-1,1.215955162E1,4.427477360E0
6.163849800E-2,5.183446407E-1,1.215476322E1,4.408323765E0
6.413495700E-2,4.273650050E-1,1.218828201E1,4.374804974E0
6.663099800E-2,4.225766063E-1,1.221222401E1,4.374804974E0
6.912704000E-2,4.896142483E-1,1.224095440E1,4.365228176E0
7.162308200E-2,6.189011335E-1,1.221222401E1,4.317344189E0
7.411912300E-2,7.912836671E-1,1.218349361E1,4.245518208E0
7.661516500E-2,9.684545994E-1,1.213082123E1,4.164115429E0
7.911761300E-2,1.121683478E0,1.211166763E1,4.106654644E0
8.156761300E-2,1.222239971E0,1.211645603E1,4.173692226E0
8.401761300E-2,1.303642869E0,1.213082123E1,4.317344189E0
8.647303000E-2,1.318008065E0,1.217870522E1,4.437054157E0
8.893532100E-2,1.308431268E0,1.221701241E1,4.504091740E0
9.140563400E-2,1.274912357E0,1.224095440E1,4.508880138E0
9.388469600E-2,1.193509579E0,1.224574280E1,4.480149746E0
9.637287300E-2,1.064222693E0,1.223616600E1,4.451419353E0
9.887000900E-2,9.205705523E-1,1.221701241E1,4.417900562E0
1.013753730E-1,7.769184709E-1,1.215476322E1,4.422688961E0
1.038879250E-1,7.050924301E-1,1.210209084E1,4.537611008E0
1.064064150E-1,6.907271743E-1,1.205899525E1,4.738723755E0
1.089293840E-1,7.050924301E-1,1.203026485E1,4.901529312E0
1.114552170E-1,7.242460251E-1,1.202547646E1,4.915894508E0
1.139822480E-1,7.386112213E-1,1.200153446E1,4.800972939E0
1.164999050E-1,6.859387755E-1,1.197759247E1,4.614225388E0
1.189875090E-1,6.189011335E-1,1.200153446E1,4.350862980E0
1.214751130E-1,5.710170865E-1,1.202068806E1,4.101866245E0
1.239627170E-1,5.470750928E-1,1.205899525E1,3.919906616E0
1.264503210E-1,5.566518903E-1,1.206857204E1,3.804985046E0
1.289379250E-1,5.518634915E-1,1.203505325E1,3.838503838E0
1.314255300E-1,5.470750928E-1,1.199195766E1,3.967790842E0
1.339131340E-1,4.991910458E-1,1.196801567E1,4.149750233E0
1.364007380E-1,4.034229815E-1,1.196801567E1,4.379593372E0
1.388883420E-1,3.124433160E-1,1.197280407E1,4.566341400E0
1.413759460E-1,2.262520641E-1,1.194407368E1,4.580706596E0
1.438635500E-1,1.592144072E-1,1.187224770E1,4.504091740E0
1.463511550E-1,1.161187813E-1,1.176211452E1,4.398746967E0
1.488387590E-1,4.429273307E-2,1.167113495E1,4.322132587E0
1.513263630E-1,-1.795651205E-2,1.161846256E1,4.312555790E0
1.538139670E-1,-7.062894851E-2,1.162325096E1,4.331709385E0
1.563015710E-1,-5.626374111E-2,1.163761616E1,4.360439777E0
1.587891750E-1,-8.379706182E-3,1.163761616E1,4.374804974E0
1.612767800E-1,4.908113554E-2,1.165198135E1,4.350862980E0
1.637643840E-1,6.823474914E-2,1.169028854E1,4.355651379E0
1.662519880E-1,6.823474914E-2,1.169028854E1,4.413112164E0
1.687395920E-1,9.696517140E-2,1.173817253E1,4.341286182E0
1.712271960E-1,1.544260085E-1,1.174296093E1,4.240729809E0
1.737148000E-1,1.927332431E-1,1.176690292E1,3.963002443E0
1.762024050E-1,1.879448295E-1,1.179084492E1,3.967790842E0
1.786900090E-1,8.259996027E-2,1.183872890E1,3.895964622E0
1.811776130E-1,-7.541735470E-2,1.191055489E1,4.130596638E0
1.836652170E-1,-2.286462635E-1,1.197759247E1,4.245518208E0
1.861528210E-1,-3.579331636E-1,1.193928528E1,4.599860191E0
1.886404780E-1,-5.063736439E-1,1.188661289E1,4.690839767E0
1.911281340E-1,-6.787561774E-1,1.181957531E1,4.810549736E0
1.936157900E-1,-8.224082589E-1,1.174774933E1,4.575918198E0
1.961034460E-1,-9.373299479E-1,1.165676975E1,4.413112164E0
1.985911030E-1,-9.900023937E-1,1.159452057E1,4.068347454E0
2.010787590E-1,-9.947907925E-1,1.151311779E1,4.006097794E0
2.035664150E-1,-9.564836025E-1,1.149396420E1,3.867234230E0
2.060540710E-1,-9.085995555E-1,1.152269459E1,3.986944437E0
2.085417280E-1,-8.128314614E-1,1.161367416E1,4.039616585E0
2.110293840E-1,-6.883329749E-1,1.169986534E1,4.264671803E0
2.135170400E-1,-5.494692922E-1,1.177647972E1,4.322132587E0
2.160046960E-1,-4.201824069E-1,1.180521011E1,4.422688961E0
2.184923530E-1,-2.717418969E-1,1.183394051E1,4.331709385E0
2.209800090E-1,-1.616086215E-1,1.180999851E1,4.264671803E0
2.234676650E-1,-1.795651205E-2,1.176690292E1,4.116231441E0
2.259553210E-1,9.696517140E-2,1.172859573E1,3.910329819E0
2.284429780E-1,1.927332431E-1,1.168071175E1,3.709217072E0
2.309306340E-1,2.070984542E-1,1.158973217E1,3.536834478E0
2.334182900E-1,1.975216419E-1,1.152748299E1,3.465008497E0
2.359059460E-1,1.448491961E-1,1.149875259E1,3.512892485E0
2.383936030E-1,8.738835901E-2,1.149396420E1,3.670909643E0
2.408812590E-1,2.035071515E-2,1.149875259E1,3.766677856E0
2.433689150E-1,2.035071515E-2,1.147002220E1,3.881599426E0
2.458565710E-1,5.386953801E-2,1.144129181E1,3.857657433E0
2.483442280E-1,5.386953801E-2,1.142692661E1,3.824138641E0
2.508318840E-1,2.513911761E-2,1.143171501E1,3.651756048E0
2.533195400E-1,1.556231081E-2,1.140298462E1,3.608660460E0
2.558071960E-1,1.197100850E-3,1.137904167E1,3.460220098E0
2.582948530E-1,2.992752194E-2,1.133115768E1,3.484162092E0
2.607825090E-1,5.865794048E-2,1.128327370E1,3.388393879E0
2.632701650E-1,1.209071875E-1,1.117792892E1,3.465008497E0
