"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.096864700E-2,-5.626374111E-2,-9.239823341E0,3.286041915E-1
5.345635600E-2,-1.233013868E-1,-9.297284126E0,2.615665495E-1
5.594401200E-2,-1.999158412E-1,-9.306860924E0,1.801636815E-1
5.843166800E-2,-2.430114746E-1,-9.302072525E0,1.179144308E-1
6.091932400E-2,-2.956839204E-1,-9.268553734E0,1.035492271E-1
6.340698100E-2,-3.339911401E-1,-9.215881348E0,9.876082093E-2
6.589463700E-2,-3.435679376E-1,-9.158419609E0,1.035492271E-1
6.838229300E-2,-3.483563364E-1,-9.096170425E0,1.418564469E-1
7.086994900E-2,-3.531447649E-1,-9.014767647E0,1.801636815E-1
7.335760600E-2,-3.483563364E-1,-8.933364868E0,1.993172914E-1
7.584526200E-2,-3.627215624E-1,-8.866327286E0,2.472013235E-1
7.833291800E-2,-3.770867586E-1,-8.789712906E0,2.855085433E-1
8.082057400E-2,-3.866635859E-1,-8.760982513E0,3.429693878E-1
8.330823100E-2,-4.058171809E-1,-8.727463722E0,3.764882088E-1
8.579588700E-2,-4.058171809E-1,-8.727463722E0,3.956418335E-1
8.828354300E-2,-3.818751574E-1,-8.741828918E0,3.764882088E-1
9.077119900E-2,-3.914519846E-1,-8.794501305E0,3.764882088E-1
9.325885600E-2,-4.058171809E-1,-8.866327286E0,3.381809890E-1
9.574651200E-2,-3.914519846E-1,-8.938153267E0,2.902969420E-1
9.823416800E-2,-3.531447649E-1,-9.019556046E0,2.424129248E-1
1.007218240E-1,-3.100491166E-1,-9.091382027E0,1.753752679E-1
1.032094810E-1,-2.382230759E-1,-9.134477615E0,1.610100716E-1
1.056971370E-1,-1.663970202E-1,-9.196727753E0,1.849520802E-1
1.081847930E-1,-1.041477770E-1,-9.220669746E0,2.280477136E-1
1.106724490E-1,-6.584054977E-2,-9.206304550E0,2.615665495E-1
1.131601060E-1,-3.232172132E-2,-9.172784805E0,3.142389655E-1
1.156477620E-1,-1.795651205E-2,-9.139266014E0,3.573346138E-1
1.181354180E-1,-2.753331885E-2,-9.100958824E0,3.812766075E-1
1.206230740E-1,-1.316810958E-2,-9.062651634E0,4.147954583E-1
1.231107310E-1,-3.591302549E-3,-9.019556046E0,4.483142793E-1
1.255983870E-1,-1.316810958E-2,-9.000402451E0,4.818331003E-1
1.280860430E-1,-2.753331885E-2,-8.981248856E0,5.345055461E-1
1.305736990E-1,-1.316810958E-2,-8.957306862E0,5.680243373E-1
1.330613560E-1,-2.274491638E-2,-8.952518463E0,6.206967831E-1
1.355490120E-1,-7.062894851E-2,-8.966883659E0,6.446388364E-1
1.380366680E-1,-1.137245819E-1,-8.990825653E0,6.350619793E-1
1.405243240E-1,-1.376665980E-1,-9.019556046E0,6.206967831E-1
