"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.584526200E-2,7.723161485E-3,-4.394212738E-3,1.970737800E-2
7.833291800E-2,6.657897960E-3,-6.524739787E-3,1.651158556E-2
8.082057400E-2,6.657897960E-3,-9.720530361E-3,1.225053146E-2
8.330823100E-2,6.657897960E-3,-1.398158539E-2,9.054740891E-3
8.579588700E-2,7.723161485E-3,-1.930790395E-2,3.728422802E-3
8.828354300E-2,7.723161485E-3,-2.569948509E-2,5.326318205E-4
9.077119900E-2,9.853689000E-3,-3.315633163E-2,-3.728422802E-3
9.325885600E-2,1.198421605E-2,-4.167843983E-2,-6.924213842E-3
9.574651200E-2,1.411474310E-2,-5.233107507E-2,-1.012000442E-2
9.823416800E-2,1.518000662E-2,-6.298371404E-2,-1.225053146E-2
1.007218240E-1,1.624527015E-2,-7.470161468E-2,-1.438105945E-2
1.032094810E-1,1.624527015E-2,-8.641951531E-2,-1.651158556E-2
1.056971370E-1,1.518000662E-2,-9.600688517E-2,-1.864211448E-2
1.081847930E-1,1.304947957E-2,-1.045289934E-1,-2.183790505E-2
1.106724490E-1,1.091895252E-2,-1.109205782E-1,-2.396843210E-2
1.131601060E-1,9.853689000E-3,-1.130511016E-1,-2.822948620E-2
1.156477620E-1,7.723161485E-3,-1.130511016E-1,-3.142527863E-2
1.181354180E-1,5.592633970E-3,-1.098553166E-1,-3.355580568E-2
1.206230740E-1,3.462106921E-3,-1.055942550E-1,-3.568633273E-2
1.231107310E-1,2.663159103E-4,-9.920267761E-2,-3.781685978E-2
1.255983870E-1,-2.929474926E-3,-9.174583107E-2,-3.994738683E-2
1.280860430E-1,-6.125265732E-3,-8.428898454E-2,-4.101264849E-2
1.305736990E-1,-9.321057238E-3,-7.789740711E-2,-4.314317927E-2
1.330613560E-1,-1.251684781E-2,-7.150582224E-2,-4.314317927E-2
1.355490120E-1,-1.571263932E-2,-6.617950648E-2,-4.314317927E-2
1.380366680E-1,-1.890842989E-2,-6.085318699E-2,-4.101264849E-2
1.405243240E-1,-2.210422046E-2,-5.659212917E-2,-4.101264849E-2
1.430119810E-1,-2.530001104E-2,-5.233107507E-2,-3.888212144E-2
1.454996370E-1,-2.956106514E-2,-4.700475931E-2,-3.675159439E-2
1.479872930E-1,-3.275685757E-2,-3.954791278E-2,-3.462106735E-2
1.504749490E-1,-3.595264629E-2,-3.102580272E-2,-3.249054030E-2
1.529626060E-1,-3.914843872E-2,-2.250369452E-2,-2.929474972E-2
1.554502620E-1,-4.234423116E-2,-1.291632187E-2,-2.822948620E-2
1.579379180E-1,-4.660528526E-2,-3.328948980E-3,-2.716422267E-2
1.604255740E-1,-4.980107397E-2,5.193160381E-3,-2.503369562E-2
1.629132310E-1,-5.299686641E-2,1.478053257E-2,-2.503369562E-2
1.654008870E-1,-5.619265884E-2,2.330264263E-2,-2.503369562E-2
1.678885430E-1,-5.832318589E-2,3.075948730E-2,-2.396843210E-2
1.703761990E-1,-6.045371294E-2,3.821633384E-2,-2.396843210E-2
1.728638560E-1,-6.151897460E-2,4.460791498E-2,-2.396843210E-2
1.753515120E-1,-6.364950538E-2,4.993423447E-2,-2.396843210E-2
1.778391680E-1,-6.471476704E-2,5.526055023E-2,-2.396843210E-2
1.803268240E-1,-6.578002870E-2,5.952160433E-2,-2.396843210E-2
1.828144810E-1,-6.684529036E-2,6.271740049E-2,-2.396843210E-2
1.853021370E-1,-6.684529036E-2,6.484792382E-2,-2.503369562E-2
1.877897930E-1,-6.684529036E-2,6.591318548E-2,-2.503369562E-2
1.902774490E-1,-6.578002870E-2,6.591318548E-2,-2.503369562E-2
1.927651060E-1,-6.578002870E-2,6.378266215E-2,-2.503369562E-2
1.952527620E-1,-6.364950538E-2,6.165213138E-2,-2.609895915E-2
1.977404180E-1,-6.364950538E-2,5.739107728E-2,-2.716422267E-2
2.002280740E-1,-6.258423626E-2,5.099949613E-2,-2.929474972E-2
2.027157310E-1,-6.364950538E-2,4.460791498E-2,-3.142527863E-2
2.052033870E-1,-6.258423626E-2,3.502054140E-2,-3.568633273E-2
2.076910430E-1,-6.258423626E-2,2.649843320E-2,-3.994738683E-2
2.101786990E-1,-6.258423626E-2,1.797632314E-2,-4.527370632E-2
2.126663560E-1,-6.364950538E-2,9.454214945E-3,-4.953476042E-2
2.151540120E-1,-6.364950538E-2,3.062632866E-3,-5.273054913E-2
2.176416680E-1,-6.471476704E-2,-3.328948980E-3,-5.592634156E-2
2.201293240E-1,-6.684529036E-2,-7.590003312E-3,-5.805686861E-2
2.226169810E-1,-6.791055948E-2,-9.720530361E-3,-6.018739566E-2
2.251046370E-1,-6.791055948E-2,-1.078579482E-2,-6.125266105E-2
2.275922930E-1,-7.004108280E-2,-9.720530361E-3,-6.125266105E-2
2.300799490E-1,-7.110634446E-2,-8.655266836E-3,-6.018739566E-2
2.325676060E-1,-7.323687524E-2,-5.459476262E-3,-5.912213027E-2
2.350552620E-1,-7.430213690E-2,-2.263685223E-3,-5.699160323E-2
2.375429180E-1,-7.536740601E-2,1.997369342E-3,-5.486107618E-2
2.400305740E-1,-7.643266767E-2,8.388951421E-3,-5.166528746E-2
2.425182310E-1,-7.856319100E-2,1.478053257E-2,-4.846949503E-2
2.450058870E-1,-7.962846011E-2,2.223737910E-2,-4.420844093E-2
2.474935430E-1,-8.175898343E-2,2.969422378E-2,-3.994738683E-2
2.499811990E-1,-8.282424510E-2,3.715106845E-2,-3.462106735E-2
2.524688560E-1,-8.282424510E-2,4.460791498E-2,-2.929474972E-2
2.549565120E-1,-8.282424510E-2,5.099949613E-2,-2.290316857E-2
2.574441680E-1,-8.282424510E-2,5.632581562E-2,-1.544632297E-2
2.599318240E-1,-8.282424510E-2,5.952160433E-2,-6.924213842E-3
2.624194810E-1,-8.282424510E-2,5.952160433E-2,2.663159044E-3
2.649071370E-1,-8.282424510E-2,5.845634267E-2,1.225053146E-2
2.673947930E-1,-8.282424510E-2,5.632581562E-2,1.970737800E-2
2.698824490E-1,-8.175898343E-2,5.313002318E-2,2.716422267E-2
2.723701060E-1,-8.175898343E-2,4.780370742E-2,3.249054030E-2
2.748577620E-1,-8.069372177E-2,4.247738793E-2,3.675159439E-2
2.773454180E-1,-7.962846011E-2,3.821633384E-2,3.994738683E-2
2.798330740E-1,-7.749792933E-2,3.395527974E-2,4.101264849E-2
2.823207310E-1,-7.536740601E-2,3.075948730E-2,3.994738683E-2
2.848083870E-1,-7.217161357E-2,2.756369673E-2,3.781685978E-2
2.872960430E-1,-6.897582114E-2,2.543316968E-2,3.462106735E-2
2.897836990E-1,-6.684529036E-2,2.330264263E-2,3.036001325E-2
2.922713560E-1,-6.364950538E-2,2.223737910E-2,2.503369562E-2
2.947590120E-1,-6.151897460E-2,2.223737910E-2,1.864211448E-2
2.972466680E-1,-6.045371294E-2,2.117211558E-2,1.225053146E-2
2.997343240E-1,-5.938844755E-2,2.117211558E-2,6.924213842E-3
3.022219810E-1,-5.832318589E-2,2.117211558E-2,5.326318205E-4
3.047096370E-1,-5.832318589E-2,2.223737910E-2,-4.793686327E-3
3.071972930E-1,-5.725792050E-2,2.436790615E-2,-9.054740891E-3
3.096849490E-1,-5.725792050E-2,2.862896025E-2,-1.331579592E-2
3.121726060E-1,-5.725792050E-2,3.182475269E-2,-1.651158556E-2
3.146602620E-1,-5.725792050E-2,3.821633384E-2,-1.970737800E-2
3.171479180E-1,-5.725792050E-2,4.460791498E-2,-2.290316857E-2
3.196355740E-1,-5.938844755E-2,5.099949613E-2,-2.503369562E-2
3.221232310E-1,-6.045371294E-2,5.845634267E-2,-2.716422267E-2
3.246108870E-1,-6.151897460E-2,6.591318548E-2,-2.822948620E-2
3.270985430E-1,-6.258423626E-2,7.123950869E-2,-3.036001325E-2
3.295861990E-1,-6.364950538E-2,7.656582445E-2,-3.142527863E-2
3.320738560E-1,-6.364950538E-2,8.082687855E-2,-3.355580568E-2
3.345615120E-1,-6.364950538E-2,8.295740932E-2,-3.462106735E-2
3.370491680E-1,-6.258423626E-2,8.508793265E-2,-3.675159439E-2
3.395368240E-1,-6.258423626E-2,8.721846342E-2,-3.781685978E-2
3.420244810E-1,-6.258423626E-2,8.828372508E-2,-3.888212144E-2
3.445121370E-1,-6.258423626E-2,8.934898674E-2,-3.888212144E-2
3.469997930E-1,-6.258423626E-2,8.828372508E-2,-3.888212144E-2
3.494874490E-1,-6.151897460E-2,8.615319431E-2,-3.994738683E-2
3.519751060E-1,-6.045371294E-2,8.295740932E-2,-3.888212144E-2
3.544627620E-1,-6.045371294E-2,7.763108611E-2,-3.781685978E-2
3.569504180E-1,-5.938844755E-2,6.910897791E-2,-3.568633273E-2
3.594381260E-1,-5.619265884E-2,5.845634267E-2,-3.249054030E-2
3.619258350E-1,-5.193160102E-2,4.780370742E-2,-2.929474972E-2
3.644135430E-1,-4.767054692E-2,3.608580679E-2,-2.609895915E-2
3.669012510E-1,-4.340949282E-2,2.543316968E-2,-2.183790505E-2
3.693889600E-1,-3.914843872E-2,1.584579609E-2,-1.864211448E-2
3.718766680E-1,-3.382211924E-2,8.388951421E-3,-1.544632297E-2
3.743643760E-1,-2.956106514E-2,3.062632866E-3,-1.331579592E-2
3.768520850E-1,-2.530001104E-2,-2.263685223E-3,-1.118526794E-2
3.793397930E-1,-1.997369342E-2,-5.459476262E-3,-1.012000442E-2
3.818275010E-1,-1.571263932E-2,-7.590003312E-3,-7.989477366E-3
3.843152100E-1,-1.145158429E-2,-7.590003312E-3,-6.924213842E-3
3.868029180E-1,-6.125265732E-3,-7.590003312E-3,-4.793686327E-3
3.892906260E-1,-7.989477599E-4,-4.394212738E-3,-5.326318205E-4
3.917783350E-1,2.396843163E-3,-1.331579551E-4,3.728422802E-3
3.942660430E-1,6.657897960E-3,7.323687430E-3,1.012000442E-2
3.967537510E-1,8.788425475E-3,1.584579609E-2,1.651158556E-2
3.992414600E-1,1.304947957E-2,2.436790615E-2,2.503369562E-2
4.017291680E-1,1.518000662E-2,3.502054140E-2,3.355580568E-2
4.042168760E-1,1.731053367E-2,4.460791498E-2,4.207791388E-2
4.067045850E-1,1.837579720E-2,5.526055023E-2,5.060002208E-2
4.091922930E-1,1.944106072E-2,6.591318548E-2,5.912213027E-2
4.116800010E-1,1.944106072E-2,7.763108611E-2,6.764423847E-2
4.141677100E-1,1.944106072E-2,8.934898674E-2,7.510108501E-2
4.166554180E-1,1.731053367E-2,1.010668874E-1,8.149266988E-2
4.191431260E-1,1.731053367E-2,1.117195264E-1,8.681898564E-2
4.216308350E-1,1.624527015E-2,1.202416345E-1,9.214530140E-2
4.241185430E-1,1.518000662E-2,1.298290044E-1,9.534109384E-2
4.266062510E-1,1.518000662E-2,1.394163817E-1,9.640636295E-2
4.290939600E-1,1.518000662E-2,1.500690132E-1,9.747162461E-2
4.315816680E-1,1.411474310E-2,1.628521830E-1,9.534109384E-2
4.340694810E-1,1.304947957E-2,1.767006069E-1,9.321057051E-2
4.365570330E-1,1.198421605E-2,1.905490309E-1,8.788424730E-2
4.390445850E-1,8.788425475E-3,2.033322006E-1,8.255793154E-2
4.415321370E-1,6.657897960E-3,2.129195631E-1,7.723161578E-2
4.440196890E-1,5.592633970E-3,2.203764170E-1,7.190529257E-2
4.465072410E-1,5.592633970E-3,2.235722095E-1,6.657897681E-2
4.489947930E-1,5.592633970E-3,2.235722095E-1,6.231792271E-2
4.514823450E-1,7.723161485E-3,2.182458937E-1,5.699160323E-2
4.539698970E-1,9.853689000E-3,2.107890397E-1,5.273054913E-2
4.564574490E-1,1.304947957E-2,1.980058849E-1,4.953476042E-2
4.589450010E-1,1.624527015E-2,1.830921918E-1,4.527370632E-2
4.614325530E-1,1.837579720E-2,1.671132296E-1,3.994738683E-2
4.639201580E-1,2.157158963E-2,1.521995366E-1,3.249054030E-2
4.664078140E-1,2.476738021E-2,1.404816359E-1,2.396843210E-2
4.688954700E-1,2.902843431E-2,1.319595277E-1,1.118526794E-2
4.713831260E-1,3.435475379E-2,1.287637353E-1,-4.793686327E-3
4.738708350E-1,4.287686199E-2,1.287637353E-1,-2.290316857E-2
4.763585430E-1,5.246423557E-2,1.308942735E-1,-4.527370632E-2
4.788462510E-1,6.524740160E-2,1.340900660E-1,-6.977476925E-2
4.813339600E-1,8.122635633E-2,1.340900660E-1,-9.853688627E-2
4.838216680E-1,9.827057272E-2,1.298290044E-1,-1.315600574E-1
4.863093760E-1,1.174453199E-1,1.191763729E-1,-1.677790284E-1
4.887970850E-1,1.398158520E-1,9.787109494E-2,-2.071937770E-1
4.912847930E-1,1.632516533E-1,6.697845459E-2,-2.487390637E-1
4.937726060E-1,1.909485012E-1,2.436790615E-2,-2.934801280E-1
4.962604180E-1,2.218411565E-1,-2.676474862E-2,-3.382211924E-1
4.987482310E-1,2.559295893E-1,-8.428898454E-2,-3.850927949E-1
5.012360430E-1,2.932138145E-1,-1.439437568E-1,-4.308991432E-1
5.037238560E-1,3.358243704E-1,-2.035985142E-1,-4.745749533E-1
5.062116680E-1,3.805654347E-1,-2.568616867E-1,-5.161202550E-1
5.086994280E-1,4.285022914E-1,-3.005374968E-1,-5.555350184E-1
5.111870850E-1,4.764391780E-1,-3.324954212E-1,-5.917539597E-1
5.136747410E-1,5.243760347E-1,-3.506048918E-1,-6.258423924E-1
5.161623970E-1,5.712476373E-1,-3.569964767E-1,-6.578003168E-1
5.186500530E-1,6.181192398E-1,-3.516701460E-1,-6.886929274E-1
5.211377100E-1,6.617950201E-1,-3.378217220E-1,-7.153245211E-1
5.236253660E-1,7.033402920E-1,-3.154512048E-1,-7.408908606E-1
5.261130220E-1,7.406245470E-1,-2.877543271E-1,-7.621961236E-1
5.286006780E-1,7.747129798E-1,-2.557964325E-1,-7.813708782E-1
5.310883350E-1,8.045403361E-1,-2.227732539E-1,-7.973498106E-1
5.335759910E-1,8.311719298E-1,-1.886848211E-1,-8.090677261E-1
5.360636470E-1,8.556730151E-1,-1.535311192E-1,-8.197203875E-1
5.385513030E-1,8.780435324E-1,-1.215732098E-1,-8.271772265E-1
5.410389600E-1,8.972182870E-1,-9.068056941E-2,-8.335688114E-1
5.435266160E-1,9.153277874E-1,-6.298371404E-2,-8.399603963E-1
5.460142720E-1,9.302414656E-1,-3.635212034E-2,-8.463519812E-1
5.485019280E-1,9.419593811E-1,-1.504684892E-2,-8.548740745E-1
5.509895850E-1,9.494162202E-1,4.127896391E-3,-8.644614220E-1
5.534772410E-1,9.547425508E-1,1.904158667E-2,-8.772445917E-1
5.559648970E-1,9.579383135E-1,2.969422378E-2,-8.921582699E-1
5.584525530E-1,9.579383135E-1,3.502054140E-2,-9.081372619E-1
5.609402100E-1,9.579383135E-1,3.928159550E-2,-9.262467623E-1
5.634278660E-1,9.558078051E-1,3.928159550E-2,-9.443562031E-1
5.659155220E-1,9.536772966E-1,3.608580679E-2,-9.624657035E-1
5.684031780E-1,9.504814744E-1,3.182475269E-2,-9.805752039E-1
5.708908350E-1,9.462204576E-1,2.436790615E-2,-9.965541363E-1
5.733784910E-1,9.430246353E-1,1.584579609E-2,-1.013598323E0
5.758661470E-1,9.408941269E-1,5.193160381E-3,-1.028512001E0
5.783538030E-1,9.387635589E-1,-7.590003312E-3,-1.042360425E0
5.808414600E-1,9.376983047E-1,-1.824264042E-2,-1.054078341E0
5.833291160E-1,9.376983047E-1,-2.783001214E-2,-1.063665748E0
5.858167720E-1,9.376983047E-1,-3.528685868E-2,-1.070057273E0
5.883044280E-1,9.366330504E-1,-3.954791278E-2,-1.074318409E0
5.907920850E-1,9.345025420E-1,-4.167843983E-2,-1.074318409E0
5.932797410E-1,9.323719740E-1,-3.848264739E-2,-1.071122646E0
5.957673970E-1,9.281109571E-1,-3.102580272E-2,-1.062600493E0
5.982550530E-1,9.238498807E-1,-1.824264042E-2,-1.049817324E0
6.007427100E-1,9.217193723E-1,-1.331579551E-4,-1.030642629E0
6.032303660E-1,9.174582958E-1,2.330264263E-2,-1.008272052E0
6.057180220E-1,9.131972790E-1,4.886896908E-2,-9.805752039E-1
6.082056780E-1,9.078709483E-1,7.763108611E-2,-9.496825337E-1
6.106933350E-1,9.046751261E-1,1.085237339E-1,-9.177246094E-1
6.131809910E-1,9.036098719E-1,1.404816359E-1,-8.836361766E-1
6.156686470E-1,9.057404399E-1,1.735048145E-1,-8.484824896E-1
6.181563030E-1,9.100014567E-1,2.054627240E-1,-8.143940568E-1
6.206439600E-1,9.185235500E-1,2.384859025E-1,-7.813708782E-1
6.231316160E-1,9.302414656E-1,2.715090811E-1,-7.515435219E-1
6.256192720E-1,9.430246353E-1,3.034669757E-1,-7.249119282E-1
6.281069280E-1,9.579383135E-1,3.311638236E-1,-7.036066055E-1
6.305945850E-1,9.717867374E-1,3.577954173E-1,-6.865624189E-1
6.330822410E-1,9.845699072E-1,3.780354261E-1,-6.748445034E-1
6.355698970E-1,9.952225685E-1,3.929491341E-1,-6.673876643E-1
6.380575530E-1,1.003744721E0,3.993407190E-1,-6.631265879E-1
6.405452100E-1,1.009070992E0,3.982754350E-1,-6.631265879E-1
6.430328660E-1,1.011201501E0,3.876228034E-1,-6.652571559E-1
6.455205220E-1,1.012266755E0,3.673827946E-1,-6.673876643E-1
6.480081780E-1,1.011201501E0,3.386206925E-1,-6.705834866E-1
6.504958350E-1,1.010136247E0,3.024017215E-1,-6.727139950E-1
6.529834910E-1,1.008005738E0,2.587259114E-1,-6.737792492E-1
