"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.558750300E-2,-2.103895694E-2,-9.720530361E-3,6.924213842E-3
7.813750300E-2,-1.997369342E-2,-9.720530361E-3,5.858949851E-3
8.068750300E-2,-1.890842989E-2,-9.720530361E-3,4.793686327E-3
8.323750300E-2,-1.784316637E-2,-1.078579482E-2,3.728422802E-3
8.578750300E-2,-1.784316637E-2,-1.185105834E-2,3.728422802E-3
8.833750300E-2,-1.677790284E-2,-1.185105834E-2,2.663159044E-3
9.088750300E-2,-1.677790284E-2,-1.398158539E-2,2.663159044E-3
9.343750300E-2,-1.677790284E-2,-1.398158539E-2,2.663159044E-3
9.598750300E-2,-1.571263932E-2,-1.398158539E-2,2.663159044E-3
9.853750300E-2,-1.571263932E-2,-1.504684892E-2,2.663159044E-3
1.010875030E-1,-1.464737486E-2,-1.611211337E-2,2.663159044E-3
1.036375030E-1,-1.358211134E-2,-1.504684892E-2,1.597895520E-3
1.061875030E-1,-1.251684781E-2,-1.398158539E-2,1.597895520E-3
1.087375030E-1,-1.145158429E-2,-1.398158539E-2,1.597895520E-3
1.112875030E-1,-1.038632076E-2,-1.291632187E-2,-5.326318205E-4
1.138375030E-1,-1.038632076E-2,-1.185105834E-2,-5.326318205E-4
1.163875030E-1,-9.321057238E-3,-1.078579482E-2,-1.597895520E-3
1.189375030E-1,-9.321057238E-3,-1.078579482E-2,-1.597895520E-3
1.214875030E-1,-9.321057238E-3,-1.078579482E-2,-1.597895520E-3
1.240375030E-1,-8.255792782E-3,-1.185105834E-2,-2.663159044E-3
1.265875030E-1,-8.255792782E-3,-1.291632187E-2,-2.663159044E-3
1.291375030E-1,-8.255792782E-3,-1.398158539E-2,-2.663159044E-3
1.316875030E-1,-7.190529723E-3,-1.504684892E-2,-2.663159044E-3
1.342375030E-1,-6.125265732E-3,-1.717737690E-2,-2.663159044E-3
1.367875030E-1,-6.125265732E-3,-1.824264042E-2,-1.597895520E-3
1.393375030E-1,-5.060002208E-3,-2.037316747E-2,-1.597895520E-3
1.418875030E-1,-3.994738683E-3,-2.250369452E-2,-5.326318205E-4
1.444375030E-1,-1.864211401E-3,-2.356895804E-2,5.326318205E-4
1.469875030E-1,2.663159103E-4,-2.463422157E-2,1.597895520E-3
1.495375030E-1,1.331579522E-3,-2.569948509E-2,2.663159044E-3
1.520875030E-1,2.396843163E-3,-2.569948509E-2,3.728422802E-3
1.546258880E-1,4.527370445E-3,-2.569948509E-2,4.793686327E-3
1.571135960E-1,5.592633970E-3,-2.569948509E-2,5.858949851E-3
1.596013050E-1,6.657897960E-3,-2.569948509E-2,6.924213842E-3
1.620890130E-1,6.657897960E-3,-2.569948509E-2,7.989477366E-3
1.645767210E-1,8.788425475E-3,-2.569948509E-2,9.054740891E-3
1.670644300E-1,8.788425475E-3,-2.676474862E-2,1.118526794E-2
1.695521380E-1,9.853689000E-3,-2.783001214E-2,1.225053146E-2
1.720398460E-1,1.091895252E-2,-2.783001214E-2,1.331579592E-2
1.745275550E-1,1.198421605E-2,-2.676474862E-2,1.438105945E-2
1.770152630E-1,1.304947957E-2,-2.676474862E-2,1.544632297E-2
1.795029710E-1,1.518000662E-2,-2.463422157E-2,1.651158556E-2
1.819906800E-1,1.624527015E-2,-2.250369452E-2,1.757685095E-2
1.844783880E-1,1.731053367E-2,-2.037316747E-2,1.864211448E-2
1.869660960E-1,1.837579720E-2,-1.717737690E-2,1.970737800E-2
1.894538050E-1,2.050632425E-2,-1.291632187E-2,2.183790505E-2
