"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.911411400E-2,-1.251684781E-2,-3.328948980E-3,3.994738683E-2
5.160182300E-2,-1.677790284E-2,-7.590003312E-3,3.462106735E-2
5.408953100E-2,-1.890842989E-2,-1.185105834E-2,3.036001325E-2
5.657723900E-2,-2.316948399E-2,-1.611211337E-2,2.716422267E-2
5.906494800E-2,-2.636527456E-2,-1.930790395E-2,2.290316857E-2
6.155265600E-2,-2.849580161E-2,-2.037316747E-2,2.077264152E-2
6.404036400E-2,-3.062633052E-2,-2.143843099E-2,1.864211448E-2
6.652807300E-2,-3.062633052E-2,-1.930790395E-2,1.651158556E-2
6.901578100E-2,-3.062633052E-2,-1.717737690E-2,1.651158556E-2
7.150348900E-2,-3.062633052E-2,-1.291632187E-2,1.544632297E-2
7.399119800E-2,-2.956106514E-2,-7.590003312E-3,1.544632297E-2
7.647890600E-2,-3.062633052E-2,-2.263685223E-3,1.438105945E-2
7.896661400E-2,-2.956106514E-2,3.062632866E-3,1.438105945E-2
8.145432300E-2,-2.956106514E-2,7.323687430E-3,1.225053146E-2
8.394203100E-2,-2.956106514E-2,1.158474199E-2,1.225053146E-2
8.642973900E-2,-2.849580161E-2,1.584579609E-2,1.118526794E-2
8.891744800E-2,-2.743053809E-2,2.117211558E-2,1.225053146E-2
9.140515600E-2,-2.530001104E-2,2.543316968E-2,1.438105945E-2
9.389286400E-2,-2.316948399E-2,2.969422378E-2,1.651158556E-2
9.638057300E-2,-1.997369342E-2,3.502054140E-2,1.864211448E-2
9.886828100E-2,-1.784316637E-2,3.928159550E-2,2.077264152E-2
1.013559890E-1,-1.571263932E-2,4.354264960E-2,2.396843210E-2
1.038436980E-1,-1.358211134E-2,4.780370742E-2,2.503369562E-2
1.063314060E-1,-1.145158429E-2,4.993423447E-2,2.609895915E-2
1.088191140E-1,-9.321057238E-3,5.313002318E-2,2.609895915E-2
1.113068230E-1,-7.190529723E-3,5.419528857E-2,2.396843210E-2
1.137945310E-1,-6.125265732E-3,5.419528857E-2,2.183790505E-2
1.162822390E-1,-5.060002208E-3,5.313002318E-2,1.970737800E-2
1.187699480E-1,-5.060002208E-3,4.886896908E-2,1.757685095E-2
1.212576560E-1,-7.190529723E-3,4.567318037E-2,1.544632297E-2
1.237453640E-1,-9.321057238E-3,4.034686089E-2,1.225053146E-2
1.262330730E-1,-1.145158429E-2,3.502054140E-2,1.012000442E-2
1.287207810E-1,-1.358211134E-2,2.862896025E-2,1.012000442E-2
1.312084890E-1,-1.571263932E-2,2.330264263E-2,7.989477366E-3
1.336961980E-1,-1.890842989E-2,1.691105962E-2,7.989477366E-3
1.361839060E-1,-1.997369342E-2,1.051947847E-2,5.858949851E-3
1.386716140E-1,-2.316948399E-2,4.127896391E-3,4.793686327E-3
1.411593750E-1,-2.530001104E-2,-1.198421582E-3,2.663159044E-3
1.436471350E-1,-2.849580161E-2,-6.524739787E-3,5.326318205E-4
1.461348960E-1,-3.275685757E-2,-8.655266836E-3,-5.326318205E-4
1.486226560E-1,-3.701791167E-2,-1.185105834E-2,-2.663159044E-3
1.511104160E-1,-3.914843872E-2,-1.398158539E-2,-4.793686327E-3
1.535981770E-1,-4.127896577E-2,-1.504684892E-2,-6.924213842E-3
1.560859370E-1,-4.340949282E-2,-1.398158539E-2,-5.858949851E-3
1.585736980E-1,-4.447475821E-2,-1.185105834E-2,-5.858949851E-3
1.610614580E-1,-4.340949282E-2,-7.590003312E-3,-3.728422802E-3
1.635492190E-1,-4.340949282E-2,-2.263685223E-3,5.326318205E-4
1.660369790E-1,-4.021370411E-2,4.127896391E-3,3.728422802E-3
1.685247390E-1,-3.808317333E-2,1.158474199E-2,6.924213842E-3
1.710125000E-1,-3.488738462E-2,2.010685205E-2,1.118526794E-2
1.735002600E-1,-3.275685757E-2,2.756369673E-2,1.438105945E-2
1.759880210E-1,-2.956106514E-2,3.395527974E-2,1.651158556E-2
1.784757810E-1,-2.636527456E-2,4.034686089E-2,1.864211448E-2
1.809635410E-1,-2.423474751E-2,4.460791498E-2,2.077264152E-2
1.834513020E-1,-2.210422046E-2,4.780370742E-2,2.290316857E-2
1.859390620E-1,-1.997369342E-2,4.886896908E-2,2.503369562E-2
