"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.375746900E-2,-2.617885470E-1,-6.787061095E-1,-9.614004493E-1
7.628398000E-2,-2.628538013E-1,-6.712492704E-1,-9.582046270E-1
7.880496900E-2,-2.628538013E-1,-6.574008465E-1,-9.539436102E-1
8.129283400E-2,-2.628538013E-1,-6.392913461E-1,-9.496825337E-1
8.378069900E-2,-2.628538013E-1,-6.201165915E-1,-9.454214573E-1
8.626856300E-2,-2.607232630E-1,-6.009418368E-1,-9.379646182E-1
8.875642800E-2,-2.575274706E-1,-5.817670822E-1,-9.305077791E-1
9.124429200E-2,-2.543317080E-1,-5.625923872E-1,-9.219856858E-1
9.373215700E-2,-2.490053773E-1,-5.434176326E-1,-9.113330245E-1
9.622002100E-2,-2.447443157E-1,-5.231776237E-1,-9.006804228E-1
9.870788600E-2,-2.415485233E-1,-5.008070469E-1,-8.889625072E-1
1.011957510E-1,-2.383527458E-1,-4.773712754E-1,-8.772445917E-1
1.036836150E-1,-2.362222075E-1,-4.528702199E-1,-8.655267358E-1
1.061714800E-1,-2.362222075E-1,-4.294344187E-1,-8.548740745E-1
1.086593440E-1,-2.351569533E-1,-4.070638716E-1,-8.463519812E-1
1.111472090E-1,-2.351569533E-1,-3.878891170E-1,-8.378298283E-1
1.136350740E-1,-2.362222075E-1,-3.729754388E-1,-8.325035572E-1
1.161229380E-1,-2.362222075E-1,-3.612575233E-1,-8.261119723E-1
1.186108030E-1,-2.372874767E-1,-3.538006842E-1,-8.218508959E-1
1.210986670E-1,-2.383527458E-1,-3.506048918E-1,-8.186551332E-1
1.235865320E-1,-2.415485233E-1,-3.495396376E-1,-8.165245652E-1
1.260743960E-1,-2.458095849E-1,-3.538006842E-1,-8.143940568E-1
1.285622610E-1,-2.532664239E-1,-3.612575233E-1,-8.090677261E-1
1.310501260E-1,-2.617885470E-1,-3.719101548E-1,-8.048067093E-1
1.335379900E-1,-2.681801319E-1,-3.825628161E-1,-7.984151244E-1
1.360258550E-1,-2.745717168E-1,-3.921501637E-1,-7.920235395E-1
1.385137190E-1,-2.777675092E-1,-4.006722867E-1,-7.856319547E-1
1.410015840E-1,-2.788327634E-1,-4.006722867E-1,-7.781751156E-1
1.434894490E-1,-2.767022252E-1,-3.953459561E-1,-7.739140391E-1
1.459773130E-1,-2.703106403E-1,-3.878891170E-1,-7.717835307E-1
1.484651780E-1,-2.628538013E-1,-3.772364855E-1,-7.696529627E-1
1.509530420E-1,-2.532664239E-1,-3.655185997E-1,-7.707182169E-1
1.534409070E-1,-2.447443157E-1,-3.527354300E-1,-7.717835307E-1
1.559287710E-1,-2.362222075E-1,-3.378217220E-1,-7.728487849E-1
1.584166360E-1,-2.277000993E-1,-3.229080439E-1,-7.728487849E-1
1.609045010E-1,-2.213085145E-1,-3.058638275E-1,-7.728487849E-1
1.633923650E-1,-2.149169445E-1,-2.877543271E-1,-7.717835307E-1
1.658802300E-1,-2.085253596E-1,-2.707101107E-1,-7.685877085E-1
1.683680940E-1,-2.021337748E-1,-2.547311783E-1,-7.653919458E-1
1.708559590E-1,-1.957421899E-1,-2.398174703E-1,-7.600656152E-1
1.733438240E-1,-1.914811432E-1,-2.259690464E-1,-7.558045387E-1
1.758316880E-1,-1.850895584E-1,-2.142511457E-1,-7.515435219E-1
1.783195530E-1,-1.797632426E-1,-2.025332451E-1,-7.472824454E-1
1.808074170E-1,-1.744369268E-1,-1.908153445E-1,-7.440866828E-1
1.832952820E-1,-1.680453420E-1,-1.790974438E-1,-7.419561148E-1
1.857831460E-1,-1.616537571E-1,-1.663142890E-1,-7.398256063E-1
1.882710110E-1,-1.552621722E-1,-1.514005959E-1,-7.376950979E-1
1.907588760E-1,-1.488705873E-1,-1.354216337E-1,-7.334340215E-1
1.932467400E-1,-1.424790174E-1,-1.183774248E-1,-7.281076908E-1
1.957346050E-1,-1.382179558E-1,-1.002679393E-1,-7.217161059E-1
1.982224690E-1,-1.350221634E-1,-8.215846121E-2,-7.153245211E-1
2.007103340E-1,-1.318263710E-1,-6.617950648E-2,-7.089329362E-1
2.031981990E-1,-1.286305785E-1,-5.339634046E-2,-7.014760971E-1
2.056860630E-1,-1.254348010E-1,-4.380896688E-2,-6.961497664E-1
2.081739280E-1,-1.233042628E-1,-3.528685868E-2,-6.897581816E-1
2.106617920E-1,-1.211737394E-1,-2.996053919E-2,-6.833665967E-1
2.131496570E-1,-1.201084778E-1,-2.463422157E-2,-6.769750714E-1
2.156375210E-1,-1.190432087E-1,-1.930790395E-2,-6.727139950E-1
2.181253860E-1,-1.179779470E-1,-1.504684892E-2,-6.684529185E-1
2.206132510E-1,-1.158474237E-1,-8.655266836E-3,-6.620613337E-1
