"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.192894780E-1,1.057274193E-1,1.245026886E-1,7.936213911E-2
2.218159880E-1,1.046621501E-1,1.351553202E-1,8.362319320E-2
2.243362490E-1,1.014663652E-1,1.500690132E-1,8.894951642E-2
2.268239050E-1,9.933583438E-2,1.660479754E-1,9.321057051E-2
2.293115610E-1,9.720530361E-2,1.809616536E-1,9.747162461E-2
2.317992170E-1,9.400951862E-2,1.937448233E-1,1.017326787E-1
2.342868740E-1,9.294424951E-2,2.043974549E-1,1.027979404E-1
2.367745300E-1,9.081372619E-2,2.097237855E-1,1.038632020E-1
2.392621860E-1,8.974846452E-2,2.097237855E-1,1.017326787E-1
2.417498420E-1,8.868319541E-2,2.054627240E-1,9.853688627E-2
2.442374990E-1,8.761793375E-2,1.969406158E-1,9.321057051E-2
2.467251550E-1,8.761793375E-2,1.841574460E-1,8.575372398E-2
2.492128110E-1,8.761793375E-2,1.692437679E-1,7.616634667E-2
2.517004670E-1,8.761793375E-2,1.532648057E-1,6.657897681E-2
2.541881240E-1,8.761793375E-2,1.362205893E-1,5.486107618E-2
2.566757800E-1,8.868319541E-2,1.191763729E-1,4.420844093E-2
2.591634360E-1,8.974846452E-2,1.053279415E-1,3.355580568E-2
2.616510920E-1,9.187898785E-2,9.254477918E-2,2.290316857E-2
2.641387490E-1,9.400951862E-2,8.082687855E-2,1.331579592E-2
2.666264050E-1,9.720530361E-2,7.230477035E-2,5.858949851E-3
2.691140610E-1,1.004010960E-1,6.378266215E-2,-2.663159044E-3
2.716017170E-1,1.035968885E-1,5.632581562E-2,-9.054740891E-3
2.740893740E-1,1.057274193E-1,4.886896908E-2,-1.544632297E-2
2.765770300E-1,1.078579426E-1,4.247738793E-2,-2.077264152E-2
2.790646860E-1,1.089232042E-1,3.502054140E-2,-2.609895915E-2
2.815523420E-1,1.099884734E-1,2.969422378E-2,-3.036001325E-2
2.840399990E-1,1.099884734E-1,2.649843320E-2,-3.249054030E-2
2.865276550E-1,1.110537350E-1,2.436790615E-2,-3.462106735E-2
2.890153110E-1,1.110537350E-1,2.436790615E-2,-3.675159439E-2
2.915029670E-1,1.121189967E-1,2.756369673E-2,-3.888212144E-2
2.939906240E-1,1.121189967E-1,3.182475269E-2,-3.994738683E-2
2.964782800E-1,1.121189967E-1,4.034686089E-2,-3.994738683E-2
2.989659360E-1,1.131842583E-1,4.993423447E-2,-3.781685978E-2
3.014535920E-1,1.131842583E-1,6.165213138E-2,-3.675159439E-2
3.039412490E-1,1.142495275E-1,7.123950869E-2,-3.568633273E-2
3.064289050E-1,1.153147891E-1,8.189214021E-2,-3.355580568E-2
3.089165610E-1,1.163800508E-1,9.041424841E-2,-3.142527863E-2
3.114042170E-1,1.174453199E-1,9.680583328E-2,-2.929474972E-2
3.138918740E-1,1.185105816E-1,1.000016257E-1,-2.716422267E-2
3.163795300E-1,1.195758432E-1,1.010668874E-1,-2.396843210E-2
3.188671860E-1,1.206411049E-1,9.893636405E-2,-2.396843210E-2
3.213548420E-1,1.227716357E-1,9.467530251E-2,-2.290316857E-2
3.238424990E-1,1.249021590E-1,8.828372508E-2,-2.396843210E-2
3.263301550E-1,1.270326823E-1,8.082687855E-2,-2.716422267E-2
3.288178110E-1,1.280979514E-1,7.123950869E-2,-2.929474972E-2
3.313054670E-1,1.302284747E-1,6.271740049E-2,-3.355580568E-2
3.337931240E-1,1.302284747E-1,5.313002318E-2,-3.781685978E-2
3.362807800E-1,1.302284747E-1,4.354264960E-2,-4.207791388E-2
3.387684360E-1,1.312937438E-1,3.608580679E-2,-4.740423337E-2
3.412560920E-1,1.323590130E-1,2.862896025E-2,-5.273054913E-2
3.437437490E-1,1.323590130E-1,2.330264263E-2,-5.699160323E-2
3.462314050E-1,1.312937438E-1,1.904158667E-2,-6.018739566E-2
3.487190610E-1,1.312937438E-1,1.691105962E-2,-6.231792271E-2
3.512067170E-1,1.302284747E-1,1.584579609E-2,-6.444845349E-2
3.536943740E-1,1.291632205E-1,1.584579609E-2,-6.444845349E-2
3.561820300E-1,1.270326823E-1,1.584579609E-2,-6.444845349E-2
3.586696860E-1,1.249021590E-1,1.584579609E-2,-6.338318437E-2
3.611573420E-1,1.217063740E-1,1.691105962E-2,-6.231792271E-2
3.636449990E-1,1.185105816E-1,1.904158667E-2,-6.018739566E-2
3.661326550E-1,1.153147891E-1,2.223737910E-2,-5.592634156E-2
3.686203110E-1,1.110537350E-1,2.649843320E-2,-5.166528746E-2
3.711079670E-1,1.067926809E-1,3.289001435E-2,-4.527370632E-2
3.735956240E-1,1.025316268E-1,4.034686089E-2,-3.675159439E-2
3.760832800E-1,9.827057272E-2,4.780370742E-2,-2.929474972E-2
3.785709360E-1,9.400951862E-2,5.739107728E-2,-2.183790505E-2
3.810585920E-1,8.974846452E-2,6.484792382E-2,-1.438105945E-2
3.835462490E-1,8.655267209E-2,7.337003201E-2,-6.924213842E-3
3.860339050E-1,8.229161799E-2,7.976161689E-2,-5.326318205E-4
3.885215610E-1,7.909582555E-2,8.615319431E-2,5.858949851E-3
3.910092170E-1,7.696529478E-2,9.041424841E-2,1.118526794E-2
3.934968740E-1,7.483477145E-2,9.361004084E-2,1.651158556E-2
3.959845300E-1,7.270424068E-2,9.467530251E-2,1.970737800E-2
3.984721860E-1,7.163897902E-2,9.467530251E-2,2.183790505E-2
4.009598420E-1,6.950845569E-2,9.254477918E-2,2.290316857E-2
4.034474990E-1,6.844318658E-2,8.934898674E-2,2.290316857E-2
4.059351550E-1,6.737792492E-2,8.295740932E-2,2.183790505E-2
4.084228110E-1,6.844318658E-2,7.656582445E-2,1.970737800E-2
4.109104670E-1,6.844318658E-2,6.910897791E-2,1.757685095E-2
4.133981240E-1,6.844318658E-2,5.952160433E-2,1.331579592E-2
4.158857800E-1,6.844318658E-2,4.993423447E-2,1.012000442E-2
4.183734360E-1,6.844318658E-2,4.141212255E-2,5.858949851E-3
4.208610920E-1,6.737792492E-2,3.182475269E-2,1.597895520E-3
4.233487490E-1,6.524740160E-2,2.543316968E-2,-3.728422802E-3
4.258364050E-1,6.311687082E-2,1.797632314E-2,-9.054740891E-3
4.283240610E-1,5.992107838E-2,1.265000552E-2,-1.438105945E-2
