"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.133370840E-1,-2.532664239E-1,-7.363634557E-2,-1.241032109E-1
1.158870840E-1,-2.553969622E-1,-7.363634557E-2,-1.219726875E-1
1.184370840E-1,-2.564622164E-1,-7.363634557E-2,-1.209074259E-1
1.209870840E-1,-2.575274706E-1,-7.363634557E-2,-1.198421568E-1
1.235370840E-1,-2.596580088E-1,-7.363634557E-2,-1.187768951E-1
1.260870840E-1,-2.607232630E-1,-7.470161468E-2,-1.166463718E-1
1.286370840E-1,-2.617885470E-1,-7.470161468E-2,-1.155811027E-1
1.311870840E-1,-2.639190555E-1,-7.470161468E-2,-1.134505793E-1
1.337370840E-1,-2.649843395E-1,-7.470161468E-2,-1.113200486E-1
1.362870840E-1,-2.660495937E-1,-7.363634557E-2,-1.091895252E-1
1.388370840E-1,-2.671148479E-1,-7.150582224E-2,-1.070589945E-1
1.413870840E-1,-2.681801319E-1,-7.044056058E-2,-1.059937328E-1
1.439370840E-1,-2.692453861E-1,-6.831002980E-2,-1.038632020E-1
1.464870840E-1,-2.692453861E-1,-6.617950648E-2,-1.038632020E-1
1.490370840E-1,-2.692453861E-1,-6.617950648E-2,-1.027979404E-1
1.515870840E-1,-2.681801319E-1,-6.511423737E-2,-1.027979404E-1
1.541370840E-1,-2.660495937E-1,-6.511423737E-2,-1.027979404E-1
1.566870840E-1,-2.639190555E-1,-6.511423737E-2,-1.017326787E-1
1.592370840E-1,-2.607232630E-1,-6.617950648E-2,-1.027979404E-1
1.617870840E-1,-2.575274706E-1,-6.831002980E-2,-1.038632020E-1
1.643370840E-1,-2.543317080E-1,-7.150582224E-2,-1.059937328E-1
1.668870840E-1,-2.511359155E-1,-7.470161468E-2,-1.081242561E-1
1.694370840E-1,-2.468748540E-1,-7.896266878E-2,-1.102547869E-1
1.719870840E-1,-2.447443157E-1,-8.109319210E-2,-1.123853177E-1
1.745370840E-1,-2.415485233E-1,-8.428898454E-2,-1.134505793E-1
1.770870840E-1,-2.372874767E-1,-8.535424620E-2,-1.155811027E-1
1.796370840E-1,-2.340916842E-1,-8.535424620E-2,-1.177116334E-1
1.821870840E-1,-2.298306376E-1,-8.428898454E-2,-1.187768951E-1
1.847370840E-1,-2.266348451E-1,-8.322372288E-2,-1.187768951E-1
1.872870840E-1,-2.234390527E-1,-8.215846121E-2,-1.187768951E-1
1.898370840E-1,-2.202432603E-1,-8.215846121E-2,-1.177116334E-1
1.923870840E-1,-2.170474678E-1,-8.215846121E-2,-1.166463718E-1
1.949370840E-1,-2.149169445E-1,-8.109319210E-2,-1.145158410E-1
1.974632820E-1,-2.117211521E-1,-8.109319210E-2,-1.134505793E-1
1.999510940E-1,-2.085253596E-1,-8.002793044E-2,-1.113200486E-1
2.024389070E-1,-2.053295672E-1,-7.789740711E-2,-1.091895252E-1
2.049267190E-1,-2.021337748E-1,-7.576687634E-2,-1.081242561E-1
2.074145320E-1,-1.978727281E-1,-7.257108390E-2,-1.070589945E-1
2.099023440E-1,-1.936116666E-1,-6.831002980E-2,-1.070589945E-1
2.123901570E-1,-1.904158741E-1,-6.298371404E-2,-1.059937328E-1
2.148779690E-1,-1.850895584E-1,-5.872265995E-2,-1.059937328E-1
2.173657820E-1,-1.818937659E-1,-5.446160212E-2,-1.070589945E-1
2.198535940E-1,-1.797632426E-1,-5.126581341E-2,-1.081242561E-1
2.223414070E-1,-1.765674502E-1,-4.913528636E-2,-1.091895252E-1
2.248292190E-1,-1.744369268E-1,-4.700475931E-2,-1.102547869E-1
2.273170320E-1,-1.723063886E-1,-4.487423226E-2,-1.134505793E-1
2.298048440E-1,-1.680453420E-1,-4.380896688E-2,-1.177116334E-1
2.322926570E-1,-1.648495495E-1,-4.380896688E-2,-1.219726875E-1
2.347804690E-1,-1.616537571E-1,-4.487423226E-2,-1.283642650E-1
2.372682820E-1,-1.573926955E-1,-4.807002097E-2,-1.358211190E-1
2.397560940E-1,-1.520663798E-1,-5.233107507E-2,-1.443432271E-1
2.422439070E-1,-1.488705873E-1,-5.552686751E-2,-1.539305896E-1
2.447317190E-1,-1.446095407E-1,-5.978792161E-2,-1.635179669E-1
2.472195320E-1,-1.414137483E-1,-6.191844866E-2,-1.709748209E-1
2.497073440E-1,-1.382179558E-1,-6.298371404E-2,-1.784316599E-1
2.521951570E-1,-1.350221634E-1,-6.085318699E-2,-1.837579757E-1
2.546829690E-1,-1.328916401E-1,-5.765739456E-2,-1.869537681E-1
2.571707820E-1,-1.307611167E-1,-5.339634046E-2,-1.890842915E-1
2.596585940E-1,-1.286305785E-1,-4.700475931E-2,-1.901495606E-1
2.621464070E-1,-1.265000552E-1,-4.061317816E-2,-1.890842915E-1
2.646342190E-1,-1.243695319E-1,-3.315633163E-2,-1.869537681E-1
2.671220320E-1,-1.233042628E-1,-2.569948509E-2,-1.837579757E-1
2.696098440E-1,-1.222390011E-1,-1.717737690E-2,-1.794969290E-1
2.720976570E-1,-1.222390011E-1,-8.655266836E-3,-1.731053442E-1
2.745854690E-1,-1.222390011E-1,-1.198421582E-3,-1.656484902E-1
2.770732820E-1,-1.222390011E-1,5.193160381E-3,-1.592569202E-1
2.795610940E-1,-1.222390011E-1,1.158474199E-2,-1.539305896E-1
