"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.279994800E-2,-1.818396211E0,9.731831551E0,-8.876502514E-1
3.529666700E-2,-1.981201887E0,1.007180786E1,-8.589198589E-1
3.779302100E-2,-2.072181463E0,1.022982502E1,-8.397662640E-1
4.028932300E-2,-2.115277290E0,1.034474659E1,-8.014590144E-1
4.278531300E-2,-2.153584480E0,1.045966911E1,-7.392097712E-1
4.528130200E-2,-2.177526474E0,1.055543709E1,-6.530185342E-1
4.777729200E-2,-2.206256866E0,1.064162827E1,-6.338648796E-1
5.027333300E-2,-2.230198860E0,1.074218464E1,-6.051344872E-1
5.276942700E-2,-2.244564056E0,1.081879902E1,-5.716156363E-1
5.526557300E-2,-2.239775658E0,1.087625980E1,-5.380968451E-1
5.776177100E-2,-2.230198860E0,1.093372059E1,-5.141547918E-1
6.025807300E-2,-2.230198860E0,1.099118137E1,-4.710591733E-1
6.275442700E-2,-2.244564056E0,1.104385376E1,-4.614823759E-1
6.525776000E-2,-2.249352455E0,1.108694935E1,-4.375403523E-1
6.770776000E-2,-2.258929253E0,1.113483334E1,-4.135983288E-1
7.015776000E-2,-2.273294449E0,1.115877533E1,-3.896563351E-1
7.261322900E-2,-2.278082848E0,1.120187092E1,-3.848679364E-1
7.507557300E-2,-2.297236443E0,1.123060131E1,-3.657143116E-1
7.754593800E-2,-2.330755472E0,1.122102451E1,-3.561375141E-1
8.002505200E-2,-2.335543871E0,1.123060131E1,-3.417722881E-1
8.251328100E-2,-2.340332270E0,1.122102451E1,-3.465606868E-1
8.501052100E-2,-2.345120668E0,1.121623611E1,-3.513490856E-1
8.751609400E-2,-2.345120668E0,1.119708252E1,-3.800795078E-1
9.002895800E-2,-2.316390038E0,1.118271732E1,-3.657143116E-1
9.254781300E-2,-2.316390038E0,1.115877533E1,-3.513490856E-1
9.507114600E-2,-2.316390038E0,1.113483334E1,-3.417722881E-1
9.759734400E-2,-2.292448044E0,1.108694935E1,-3.178302646E-1
1.001247920E-1,-2.278082848E0,1.105821896E1,-2.890998423E-1
1.026428650E-1,-2.230198860E0,1.101033497E1,-2.651578486E-1
1.051306770E-1,-2.206256866E0,1.095287418E1,-2.364274114E-1
1.076184380E-1,-2.182314873E0,1.089541340E1,-2.220622003E-1
1.101061980E-1,-2.139219284E0,1.082837582E1,-2.316390127E-1
1.125939580E-1,-2.105700493E0,1.076612663E1,-2.268506140E-1
1.150817190E-1,-2.086546898E0,1.068951225E1,-2.172738016E-1
1.175694790E-1,-2.067393064E0,1.061768627E1,-1.933317930E-1
1.200572400E-1,-2.053027868E0,1.053628349E1,-2.268506140E-1
1.225450000E-1,-2.033874273E0,1.046924591E1,-1.933317930E-1
1.250327600E-1,-2.009932280E0,1.038784218E1,-2.460042238E-1
1.275205210E-1,-1.981201887E0,1.029207420E1,-1.837549806E-1
1.300082810E-1,-1.962048292E0,1.022503662E1,-2.603694201E-1
1.324960420E-1,-1.923741102E0,1.012926865E1,-2.268506140E-1
1.349838020E-1,-1.899798989E0,1.004307747E1,-3.178302646E-1
1.374715630E-1,-1.871068597E0,9.952097893E0,-2.364274114E-1
1.399593230E-1,-1.847126603E0,9.880271912E0,-3.465606868E-1
1.424470830E-1,-1.818396211E0,9.794080734E0,-2.507926226E-1
1.449348440E-1,-1.789665818E0,9.717466354E0,-3.417722881E-1
1.474226040E-1,-1.751358509E0,9.621698380E0,-2.172738016E-1
1.499103650E-1,-1.741781712E0,9.554660797E0,-3.130418658E-1
1.523981250E-1,-1.727416515E0,9.473258018E0,-2.076970041E-1
1.548858850E-1,-1.722628117E0,9.391854286E0,-3.226186931E-1
1.573736460E-1,-1.703474522E0,9.320028305E0,-2.076970041E-1
1.598614060E-1,-1.698686123E0,9.248202324E0,-3.226186931E-1
1.623491670E-1,-1.698686123E0,9.171587944E0,-2.316390127E-1
1.648369270E-1,-1.703474522E0,9.109338760E0,-3.369838893E-1
1.673246880E-1,-1.693897724E0,9.056666374E0,-2.316390127E-1
1.698124480E-1,-1.708262920E0,9.008782387E0,-3.417722881E-1
1.723002080E-1,-1.732204914E0,8.956110001E0,-2.268506140E-1
1.747879690E-1,-1.746570110E0,8.922591209E0,-3.130418658E-1
1.772757290E-1,-1.756146908E0,8.884284019E0,-2.029085904E-1
1.797634900E-1,-1.732204914E0,8.874707222E0,-2.938882709E-1
1.822512500E-1,-1.741781712E0,8.836400032E0,-1.981201917E-1
1.847390100E-1,-1.760935307E0,8.831611633E0,-2.747346461E-1
1.872267710E-1,-1.789665818E0,8.802881241E0,-1.933317930E-1
1.897145310E-1,-1.789665818E0,8.817246437E0,-2.460042238E-1
1.922022920E-1,-1.770512104E0,8.802881241E0,-1.741781682E-1
1.946900520E-1,-1.756146908E0,8.831611633E0,-2.316390127E-1
