"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.592265700E-2,-1.938106298E0,-9.258976936E0,1.956661344E0
4.841843800E-2,-1.933317900E0,-9.278130531E0,1.961449742E0
5.091421900E-2,-1.947683096E0,-9.268553734E0,1.942296147E0
5.341000100E-2,-1.957259893E0,-9.273342133E0,1.923142552E0
5.590578200E-2,-1.962048292E0,-9.258976936E0,1.937507749E0
5.840156300E-2,-1.962048292E0,-9.258976936E0,1.923142552E0
6.089734400E-2,-1.962048292E0,-9.263765335E0,1.918354154E0
6.339312600E-2,-1.942894697E0,-9.278130531E0,1.932719350E0
6.588890700E-2,-1.928529501E0,-9.273342133E0,1.951872945E0
6.838468800E-2,-1.909375906E0,-9.287707329E0,1.956661344E0
7.088046900E-2,-1.904587507E0,-9.302072525E0,1.956661344E0
7.337625100E-2,-1.909375906E0,-9.292495728E0,1.961449742E0
7.587208400E-2,-1.895010591E0,-9.297284126E0,1.947084546E0
7.836796900E-2,-1.904587507E0,-9.311649323E0,1.932719350E0
8.086390700E-2,-1.880645394E0,-9.297284126E0,1.923142552E0
8.335989600E-2,-1.895010591E0,-9.292495728E0,1.932719350E0
8.585593800E-2,-1.909375906E0,-9.282918930E0,1.942296147E0
8.835198000E-2,-1.895010591E0,-9.263765335E0,1.942296147E0
9.084802100E-2,-1.909375906E0,-9.263765335E0,1.951872945E0
9.334406300E-2,-1.918952703E0,-9.258976936E0,1.923142552E0
9.584010500E-2,-1.952471495E0,-9.244611740E0,1.899200439E0
9.833614600E-2,-1.966836691E0,-9.249400139E0,1.880046844E0
1.008321880E-1,-1.976413488E0,-9.244611740E0,1.836951256E0
1.033282300E-1,-1.976413488E0,-9.249400139E0,1.817797661E0
1.058242710E-1,-1.962048292E0,-9.249400139E0,1.798644066E0
1.083199490E-1,-1.942894697E0,-9.244611740E0,1.793855667E0
1.108155740E-1,-1.923741102E0,-9.249400139E0,1.798644066E0
1.133111990E-1,-1.895010591E0,-9.239823341E0,1.817797661E0
1.158070320E-1,-1.866280198E0,-9.258976936E0,1.841739655E0
1.183028650E-1,-1.837549806E0,-9.258976936E0,1.884835243E0
1.207528650E-1,-1.794454217E0,-9.273342133E0,1.918354154E0
1.232056780E-1,-1.741781712E0,-9.287707329E0,1.923142552E0
1.256584900E-1,-1.713051319E0,-9.297284126E0,1.951872945E0
1.281184380E-1,-1.650802016E0,-9.311649323E0,1.985391736E0
1.305867190E-1,-1.626860023E0,-9.311649323E0,1.999756932E0
1.330641150E-1,-1.602918029E0,-9.330802917E0,2.014122248E0
1.355509900E-1,-1.598129630E0,-9.326014519E0,2.014122248E0
1.380470320E-1,-1.598129630E0,-9.326014519E0,2.014122248E0
1.405515630E-1,-1.588552833E0,-9.335591316E0,1.990180135E0
1.430635420E-1,-1.583764434E0,-9.311649323E0,1.966238141E0
1.455817190E-1,-1.569399238E0,-9.306860924E0,1.956661344E0
1.481046360E-1,-1.602918029E0,-9.306860924E0,1.961449742E0
1.506306780E-1,-1.598129630E0,-9.306860924E0,1.961449742E0
1.531582300E-1,-1.612494826E0,-9.287707329E0,1.961449742E0
1.556823440E-1,-1.626860023E0,-9.287707329E0,1.951872945E0
1.581701050E-1,-1.626860023E0,-9.268553734E0,1.971026540E0
1.606578650E-1,-1.650802016E0,-9.263765335E0,1.971026540E0
1.631456260E-1,-1.674744129E0,-9.249400139E0,1.985391736E0
1.656333860E-1,-1.703474522E0,-9.239823341E0,1.966238141E0
1.681211460E-1,-1.736993313E0,-9.239823341E0,1.932719350E0
1.706089070E-1,-1.765723705E0,-9.244611740E0,1.918354154E0
1.730966670E-1,-1.784877419E0,-9.249400139E0,1.875258446E0
1.755844280E-1,-1.832761407E0,-9.249400139E0,1.856104851E0
1.780721880E-1,-1.856703401E0,-9.249400139E0,1.832162857E0
1.805599490E-1,-1.904587507E0,-9.235034943E0,1.856104851E0
1.830477090E-1,-1.933317900E0,-9.249400139E0,1.832162857E0
1.855354690E-1,-1.957259893E0,-9.249400139E0,1.836951256E0
1.880232300E-1,-1.971625090E0,-9.239823341E0,1.875258446E0
1.905109900E-1,-1.976413488E0,-9.239823341E0,1.894412041E0
1.929987510E-1,-2.000355482E0,-9.254188538E0,1.899200439E0
1.954865110E-1,-2.000355482E0,-9.268553734E0,1.956661344E0
1.979742710E-1,-1.990778685E0,-9.273342133E0,1.999756932E0
2.004620320E-1,-1.981201887E0,-9.282918930E0,2.033275843E0
2.029497920E-1,-1.947683096E0,-9.297284126E0,2.057217836E0
