"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.103093700E-2,1.859097600E0,9.085396767E0,3.651756048E0
3.351859300E-2,1.849520802E0,9.094973564E0,3.632602453E0
3.600625000E-2,1.863885999E0,9.075819969E0,3.623025656E0
3.849390600E-2,1.844732404E0,9.075819969E0,3.594295263E0
4.098156200E-2,1.835155606E0,9.066243172E0,3.565564871E0
4.346921800E-2,1.849520802E0,9.056666374E0,3.541622877E0
4.595687500E-2,1.849520802E0,9.066243172E0,3.536834478E0
4.844453100E-2,1.849520802E0,9.075819969E0,3.517680883E0
5.093218700E-2,1.839944005E0,9.085396767E0,3.541622877E0
5.341984300E-2,1.839944005E0,9.080608368E0,3.589506865E0
5.590750000E-2,1.839944005E0,9.099761963E0,3.627814054E0
5.839515600E-2,1.816002011E0,9.104550362E0,3.613448858E0
6.088348900E-2,1.801636815E0,9.094973564E0,3.613448858E0
6.337083300E-2,1.801636815E0,9.099761963E0,3.651756048E0
6.585817700E-2,1.768117905E0,9.114127159E0,3.694851875E0
6.834552000E-2,1.744175911E0,9.128492355E0,3.733159065E0
7.083286400E-2,1.725022316E0,9.152434349E0,3.733159065E0
7.332020800E-2,1.725022316E0,9.162011147E0,3.733159065E0
7.580760400E-2,1.710657120E0,9.176376343E0,3.728370667E0
7.829505200E-2,1.729810715E0,9.171587944E0,3.728370667E0
8.078255200E-2,1.753752708E0,9.162011147E0,3.728370667E0
8.327010400E-2,1.777694821E0,9.162011147E0,3.742735863E0
8.575770800E-2,1.772906303E0,9.138069153E0,3.752312660E0
8.824536400E-2,1.792060018E0,9.147645950E0,3.747524261E0
9.073307300E-2,1.796848416E0,9.142857552E0,3.771466255E0
9.322083300E-2,1.792060018E0,9.142857552E0,3.757101059E0
9.570864500E-2,1.772906303E0,9.162011147E0,3.742735863E0
9.819651000E-2,1.748964310E0,9.185953140E0,3.709217072E0
1.006843750E-1,1.744175911E0,9.214683533E0,3.699640274E0
1.031722390E-1,1.720233917E0,9.252990723E0,3.733159065E0
1.056601040E-1,1.720233917E0,9.252990723E0,3.776254654E0
1.081479680E-1,1.701080322E0,9.248202324E0,3.828927040E0
1.106358330E-1,1.710657120E0,9.257779121E0,3.872022629E0
1.131236980E-1,1.734599113E0,9.252990723E0,3.881599426E0
1.156114060E-1,1.734599113E0,9.243413925E0,3.881599426E0
1.180990620E-1,1.734599113E0,9.224260330E0,3.905541420E0
1.205867180E-1,1.705868721E0,9.205106735E0,3.886387825E0
1.230743750E-1,1.667561531E0,9.214683533E0,3.843292236E0
