"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.088348900E-2,4.527370445E-3,-8.655266836E-3,-5.060002208E-2
6.337083300E-2,1.331579522E-3,-8.655266836E-3,-5.379581451E-2
6.585817700E-2,-2.929474926E-3,-8.655266836E-3,-5.592634156E-2
6.834552000E-2,-6.125265732E-3,-8.655266836E-3,-5.699160323E-2
7.083286400E-2,-1.038632076E-2,-7.590003312E-3,-5.699160323E-2
7.332020800E-2,-1.464737486E-2,-7.590003312E-3,-5.699160323E-2
7.580760400E-2,-1.784316637E-2,-5.459476262E-3,-5.699160323E-2
7.829505200E-2,-2.210422046E-2,-3.328948980E-3,-5.592634156E-2
8.078255200E-2,-2.530001104E-2,-1.331579551E-4,-5.592634156E-2
8.327010400E-2,-2.849580161E-2,1.997369342E-3,-5.486107618E-2
8.575770800E-2,-3.062633052E-2,5.193160381E-3,-5.486107618E-2
8.824536400E-2,-3.275685757E-2,8.388951421E-3,-5.486107618E-2
9.073307300E-2,-3.382211924E-2,1.051947847E-2,-5.486107618E-2
9.322083300E-2,-3.488738462E-2,1.265000552E-2,-5.486107618E-2
9.570864500E-2,-3.595264629E-2,1.584579609E-2,-5.379581451E-2
9.819651000E-2,-3.701791167E-2,1.797632314E-2,-5.273054913E-2
1.006843750E-1,-3.808317333E-2,2.010685205E-2,-5.060002208E-2
1.031722390E-1,-3.808317333E-2,2.330264263E-2,-4.740423337E-2
1.056601040E-1,-3.808317333E-2,2.649843320E-2,-4.420844093E-2
1.081479680E-1,-3.701791167E-2,2.969422378E-2,-4.101264849E-2
1.106358330E-1,-3.595264629E-2,3.289001435E-2,-3.781685978E-2
1.131236980E-1,-3.488738462E-2,3.502054140E-2,-3.462106735E-2
1.156114060E-1,-3.382211924E-2,3.715106845E-2,-3.142527863E-2
1.180990620E-1,-3.275685757E-2,3.715106845E-2,-2.929474972E-2
1.205867180E-1,-3.062633052E-2,3.821633384E-2,-2.716422267E-2
1.230743750E-1,-2.956106514E-2,3.928159550E-2,-2.609895915E-2
1.255620310E-1,-2.849580161E-2,4.034686089E-2,-2.503369562E-2
1.280496870E-1,-2.530001104E-2,4.141212255E-2,-2.503369562E-2
1.305373430E-1,-2.423474751E-2,4.141212255E-2,-2.396843210E-2
1.330250000E-1,-2.210422046E-2,4.247738793E-2,-2.290316857E-2
1.355126560E-1,-1.997369342E-2,4.247738793E-2,-2.290316857E-2
1.380003120E-1,-1.784316637E-2,4.141212255E-2,-2.290316857E-2
1.404879680E-1,-1.677790284E-2,4.034686089E-2,-2.396843210E-2
1.429756250E-1,-1.571263932E-2,3.821633384E-2,-2.396843210E-2
1.454632810E-1,-1.464737486E-2,3.715106845E-2,-2.503369562E-2
1.479509370E-1,-1.251684781E-2,3.395527974E-2,-2.396843210E-2
1.504385930E-1,-1.038632076E-2,3.182475269E-2,-2.396843210E-2
1.529262500E-1,-9.321057238E-3,2.969422378E-2,-2.183790505E-2
1.554139060E-1,-8.255792782E-3,2.862896025E-2,-2.077264152E-2
1.579015620E-1,-7.190529723E-3,2.649843320E-2,-1.970737800E-2
1.603892180E-1,-6.125265732E-3,2.436790615E-2,-1.864211448E-2
1.628768750E-1,-6.125265732E-3,2.330264263E-2,-1.864211448E-2
1.653645310E-1,-6.125265732E-3,2.117211558E-2,-1.864211448E-2
1.678521870E-1,-6.125265732E-3,1.904158667E-2,-1.864211448E-2
1.703398430E-1,-7.190529723E-3,1.584579609E-2,-1.970737800E-2
1.728275000E-1,-8.255792782E-3,1.371526904E-2,-2.290316857E-2
1.753151560E-1,-9.321057238E-3,1.158474199E-2,-2.609895915E-2
1.778028120E-1,-1.038632076E-2,8.388951421E-3,-2.822948620E-2
1.802904680E-1,-1.145158429E-2,7.323687430E-3,-3.142527863E-2
1.827781250E-1,-1.358211134E-2,5.193160381E-3,-3.355580568E-2
1.852657810E-1,-1.571263932E-2,4.127896391E-3,-3.568633273E-2
1.877534370E-1,-1.677790284E-2,5.193160381E-3,-3.781685978E-2
1.902410930E-1,-1.890842989E-2,7.323687430E-3,-3.888212144E-2
1.927287500E-1,-1.890842989E-2,9.454214945E-3,-3.994738683E-2
1.952164060E-1,-2.103895694E-2,1.158474199E-2,-3.888212144E-2
1.977040620E-1,-2.210422046E-2,1.478053257E-2,-3.781685978E-2
2.001917180E-1,-2.210422046E-2,1.797632314E-2,-3.675159439E-2
2.026793750E-1,-2.210422046E-2,2.117211558E-2,-3.462106735E-2
2.051670310E-1,-2.316948399E-2,2.436790615E-2,-3.249054030E-2
2.076546870E-1,-2.316948399E-2,2.862896025E-2,-3.036001325E-2
2.101423430E-1,-2.316948399E-2,3.395527974E-2,-2.822948620E-2
2.126300000E-1,-2.210422046E-2,3.821633384E-2,-2.716422267E-2
2.151181250E-1,-2.210422046E-2,4.247738793E-2,-2.503369562E-2
2.176055200E-1,-2.210422046E-2,4.567318037E-2,-2.290316857E-2
2.200929160E-1,-2.103895694E-2,4.886896908E-2,-2.183790505E-2
2.225803120E-1,-2.103895694E-2,5.099949613E-2,-1.970737800E-2
2.250677080E-1,-2.210422046E-2,5.313002318E-2,-1.757685095E-2
2.275551040E-1,-2.210422046E-2,5.313002318E-2,-1.544632297E-2
2.300425520E-1,-2.103895694E-2,5.419528857E-2,-1.438105945E-2
2.325300520E-1,-1.997369342E-2,5.419528857E-2,-1.331579592E-2
2.350176040E-1,-1.997369342E-2,5.313002318E-2,-1.225053146E-2
2.375052080E-1,-1.890842989E-2,5.099949613E-2,-1.225053146E-2
2.399928640E-1,-1.784316637E-2,4.993423447E-2,-1.331579592E-2
2.424805730E-1,-1.677790284E-2,4.780370742E-2,-1.438105945E-2
2.449683330E-1,-1.677790284E-2,4.567318037E-2,-1.544632297E-2
2.474561450E-1,-1.571263932E-2,4.247738793E-2,-1.864211448E-2
2.499439580E-1,-1.571263932E-2,4.034686089E-2,-1.970737800E-2
2.524317700E-1,-1.677790284E-2,3.821633384E-2,-2.183790505E-2
2.549195830E-1,-1.571263932E-2,3.715106845E-2,-2.396843210E-2
2.574073950E-1,-1.677790284E-2,3.395527974E-2,-2.503369562E-2
2.598952080E-1,-1.784316637E-2,3.075948730E-2,-2.609895915E-2
2.623830200E-1,-1.890842989E-2,2.756369673E-2,-2.609895915E-2
2.648708330E-1,-1.997369342E-2,2.330264263E-2,-2.716422267E-2
2.673586450E-1,-2.210422046E-2,1.904158667E-2,-2.609895915E-2
2.698464060E-1,-2.423474751E-2,1.371526904E-2,-2.503369562E-2
2.723340620E-1,-2.636527456E-2,8.388951421E-3,-2.396843210E-2
2.748217180E-1,-2.849580161E-2,4.127896391E-3,-2.290316857E-2
2.773093750E-1,-3.062633052E-2,9.321057005E-4,-2.077264152E-2
2.797970310E-1,-3.169159219E-2,-2.263685223E-3,-1.757685095E-2
2.822846870E-1,-3.275685757E-2,-4.394212738E-3,-1.544632297E-2
2.847723430E-1,-3.382211924E-2,-4.394212738E-3,-1.331579592E-2
2.872600000E-1,-3.488738462E-2,-2.263685223E-3,-1.012000442E-2
2.897476560E-1,-3.595264629E-2,9.321057005E-4,-5.858949851E-3
2.922353120E-1,-3.595264629E-2,4.127896391E-3,-2.663159044E-3
2.947229680E-1,-3.595264629E-2,6.258423906E-3,5.326318205E-4
2.972106250E-1,-3.701791167E-2,9.454214945E-3,3.728422802E-3
2.996982810E-1,-3.701791167E-2,1.265000552E-2,6.924213842E-3
3.021859370E-1,-3.808317333E-2,1.584579609E-2,1.012000442E-2
3.046735930E-1,-3.808317333E-2,1.797632314E-2,1.225053146E-2
3.071612500E-1,-3.914843872E-2,1.797632314E-2,1.544632297E-2
3.096489060E-1,-3.914843872E-2,1.797632314E-2,1.970737800E-2
3.121365620E-1,-3.914843872E-2,1.797632314E-2,2.290316857E-2
3.146242180E-1,-3.914843872E-2,1.691105962E-2,2.609895915E-2
3.171118750E-1,-3.914843872E-2,1.584579609E-2,2.929474972E-2
