"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.330901000E-2,-3.387795389E-1,-9.637260437E0,-4.489128292E-2
5.580505200E-2,-3.675099611E-1,-9.646837234E0,-4.967968538E-2
5.830109300E-2,-3.866635859E-1,-9.656414032E0,-4.967968538E-2
6.079708300E-2,-4.106055796E-1,-9.689932823E0,-5.925649032E-2
6.329307300E-2,-4.345476031E-1,-9.699509621E0,-7.362170517E-2
6.578906200E-2,-4.489128292E-1,-9.718663216E0,-9.277531505E-2
6.828505200E-2,-4.680664241E-1,-9.742605209E0,-1.023521200E-1
7.078104100E-2,-4.824316502E-1,-9.761758804E0,-1.167173311E-1
7.327807300E-2,-4.967968464E-1,-9.780912399E0,-1.262941360E-1
7.577510400E-2,-4.967968464E-1,-9.795277596E0,-1.502361596E-1
7.822510400E-2,-5.207388401E-1,-9.804854393E0,-1.598129570E-1
8.067786400E-2,-5.303156972E-1,-9.804854393E0,-2.029085904E-1
8.313062500E-2,-5.351040959E-1,-9.819219589E0,-2.124854028E-1
8.559052000E-2,-5.494692922E-1,-9.814431190E0,-2.124854028E-1
8.805875000E-2,-5.686228871E-1,-9.843161583E0,-2.412158251E-1
9.053614500E-2,-5.781996846E-1,-9.847949982E0,-2.555810213E-1
9.302312500E-2,-5.877765417E-1,-9.843161583E0,-2.651578486E-1
9.551937500E-2,-5.877765417E-1,-9.867103577E0,-2.699462473E-1
9.802421800E-2,-5.925649405E-1,-9.881468773E0,-2.412158251E-1
1.005366140E-1,-5.829881430E-1,-9.886257172E0,-2.268506140E-1
1.030552600E-1,-5.686228871E-1,-9.919775963E0,-1.981201917E-1
1.055786980E-1,-5.398924947E-1,-9.929352760E0,-1.981201917E-1
1.081053120E-1,-5.303156972E-1,-9.934141159E0,-1.741781682E-1
1.106333850E-1,-5.111620426E-1,-9.929352760E0,-1.358709484E-1
1.131571870E-1,-4.920084476E-1,-9.924564362E0,-1.167173311E-1
1.156448950E-1,-4.776432514E-1,-9.919775963E0,-9.277531505E-2
1.181326040E-1,-4.920084476E-1,-9.900622368E0,-1.167173311E-1
1.206203120E-1,-5.063736439E-1,-9.886257172E0,-1.215057373E-1
1.231080200E-1,-4.967968464E-1,-9.881468773E0,-1.215057373E-1
1.255957290E-1,-4.824316502E-1,-9.871891975E0,-1.119289324E-1
1.280834370E-1,-4.920084476E-1,-9.852738380E0,-1.119289324E-1
1.305711450E-1,-4.920084476E-1,-9.843161583E0,-1.262941360E-1
1.330588540E-1,-4.776432514E-1,-9.857526779E0,-1.406593472E-1
1.355465620E-1,-4.920084476E-1,-9.857526779E0,-1.215057373E-1
