"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.219546350E-1,-1.890842989E-2,7.337003201E-2,-6.924213842E-3
1.244812500E-1,-1.890842989E-2,7.230477035E-2,-5.858949851E-3
1.270009900E-1,-1.784316637E-2,7.017423958E-2,-5.858949851E-3
1.294888540E-1,-1.571263932E-2,6.697845459E-2,-5.858949851E-3
1.319766670E-1,-1.251684781E-2,6.697845459E-2,-6.924213842E-3
1.344644790E-1,-1.038632076E-2,6.697845459E-2,-7.989477366E-3
1.369522920E-1,-8.255792782E-3,6.910897791E-2,-9.054740891E-3
1.394401040E-1,-6.125265732E-3,7.230477035E-2,-1.012000442E-2
1.419279170E-1,-5.060002208E-3,7.656582445E-2,-1.331579592E-2
1.444157290E-1,-5.060002208E-3,8.082687855E-2,-1.651158556E-2
1.469035420E-1,-3.994738683E-3,8.402267098E-2,-1.970737800E-2
1.493913540E-1,-5.060002208E-3,8.721846342E-2,-2.396843210E-2
1.518791670E-1,-6.125265732E-3,8.934898674E-2,-2.929474972E-2
1.543669790E-1,-6.125265732E-3,8.828372508E-2,-3.462106735E-2
1.568547920E-1,-7.190529723E-3,8.615319431E-2,-3.994738683E-2
1.593426040E-1,-7.190529723E-3,8.189214021E-2,-4.740423337E-2
1.618304170E-1,-7.190529723E-3,7.656582445E-2,-5.379581451E-2
1.643182290E-1,-7.190529723E-3,7.017423958E-2,-5.912213027E-2
1.668060420E-1,-7.190529723E-3,6.271740049E-2,-6.551371515E-2
1.692938540E-1,-6.125265732E-3,5.419528857E-2,-7.084003091E-2
1.717816670E-1,-5.060002208E-3,4.673844203E-2,-7.403582335E-2
1.742694790E-1,-5.060002208E-3,4.034686089E-2,-7.829687744E-2
1.767572920E-1,-5.060002208E-3,3.289001435E-2,-8.149266988E-2
1.792451040E-1,-5.060002208E-3,2.756369673E-2,-8.362319320E-2
1.817329170E-1,-5.060002208E-3,2.117211558E-2,-8.575372398E-2
1.842207290E-1,-5.060002208E-3,1.584579609E-2,-8.894951642E-2
1.867085420E-1,-6.125265732E-3,1.051947847E-2,-9.108003974E-2
1.891963540E-1,-5.060002208E-3,4.127896391E-3,-9.214530140E-2
1.916841670E-1,-5.060002208E-3,-1.198421582E-3,-9.321057051E-2
1.941719790E-1,-3.994738683E-3,-7.590003312E-3,-9.534109384E-2
1.966597920E-1,-2.929474926E-3,-1.185105834E-2,-9.640636295E-2
1.991476040E-1,-1.864211401E-3,-1.717737690E-2,-9.747162461E-2
2.016354170E-1,2.663159103E-4,-2.143843099E-2,-9.640636295E-2
2.041232290E-1,1.331579522E-3,-2.356895804E-2,-9.427583218E-2
2.066110420E-1,2.396843163E-3,-2.463422157E-2,-9.214530140E-2
2.090988540E-1,3.462106921E-3,-2.569948509E-2,-8.894951642E-2
2.115866670E-1,4.527370445E-3,-2.463422157E-2,-8.468846232E-2
2.140744790E-1,5.592633970E-3,-2.250369452E-2,-8.042740822E-2
2.165622920E-1,6.657897960E-3,-1.930790395E-2,-7.510108501E-2
2.190501040E-1,7.723161485E-3,-1.611211337E-2,-6.977476925E-2
2.215379690E-1,8.788425475E-3,-1.185105834E-2,-6.444845349E-2
2.240258330E-1,9.853689000E-3,-7.590003312E-3,-5.805686861E-2
2.265136980E-1,9.853689000E-3,-2.263685223E-3,-5.166528746E-2
2.290015620E-1,1.091895252E-2,1.997369342E-3,-4.527370632E-2
2.314894270E-1,1.091895252E-2,7.323687430E-3,-3.888212144E-2
2.339772920E-1,1.091895252E-2,1.265000552E-2,-3.249054030E-2
2.364651560E-1,9.853689000E-3,1.797632314E-2,-2.609895915E-2
2.389530210E-1,9.853689000E-3,2.223737910E-2,-1.970737800E-2
2.414408850E-1,8.788425475E-3,2.543316968E-2,-1.331579592E-2
2.439287500E-1,7.723161485E-3,2.862896025E-2,-7.989477366E-3
2.464166150E-1,7.723161485E-3,2.969422378E-2,-2.663159044E-3
2.489044790E-1,6.657897960E-3,2.969422378E-2,2.663159044E-3
2.513923440E-1,6.657897960E-3,2.862896025E-2,7.989477366E-3
2.538802080E-1,5.592633970E-3,2.649843320E-2,1.118526794E-2
2.563680730E-1,5.592633970E-3,2.436790615E-2,1.438105945E-2
2.588559370E-1,5.592633970E-3,1.904158667E-2,1.651158556E-2
2.613438020E-1,6.657897960E-3,1.478053257E-2,1.970737800E-2
2.638316670E-1,7.723161485E-3,1.051947847E-2,2.077264152E-2
2.663195310E-1,7.723161485E-3,6.258423906E-3,2.290316857E-2
2.688073960E-1,8.788425475E-3,3.062632866E-3,2.396843210E-2
2.712952600E-1,8.788425475E-3,9.321057005E-4,2.396843210E-2
2.737831250E-1,8.788425475E-3,-1.331579551E-4,2.609895915E-2
2.762709900E-1,7.723161485E-3,-1.331579551E-4,2.609895915E-2
2.787588540E-1,7.723161485E-3,9.321057005E-4,2.822948620E-2
2.812467190E-1,7.723161485E-3,3.062632866E-3,2.822948620E-2
2.837345830E-1,7.723161485E-3,5.193160381E-3,3.036001325E-2
