"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.134088500E-2,1.331579522E-3,-1.611211337E-2,-5.166528746E-2
9.382859400E-2,6.657897960E-3,-1.930790395E-2,-5.166528746E-2
9.631630200E-2,1.411474310E-2,-2.676474862E-2,-5.379581451E-2
9.880401000E-2,2.157158963E-2,-3.528685868E-2,-5.486107618E-2
1.012917190E-1,2.902843431E-2,-4.593949392E-2,-5.805686861E-2
1.037794270E-1,3.861580789E-2,-5.765739456E-2,-6.018739566E-2
1.062671350E-1,4.820318148E-2,-7.044056058E-2,-6.338318437E-2
1.087548440E-1,5.779055133E-2,-8.428898454E-2,-6.657897681E-2
1.112425520E-1,6.737792492E-2,-9.707214683E-2,-6.977476925E-2
1.137302600E-1,7.590003312E-2,-1.098553166E-1,-7.190529257E-2
1.162179690E-1,8.335687965E-2,-1.194426864E-1,-7.403582335E-2
1.187056770E-1,8.868319541E-2,-1.258342713E-1,-7.510108501E-2
1.211933850E-1,9.294424951E-2,-1.311605871E-1,-7.616634667E-2
1.236810940E-1,9.507478029E-2,-1.322258562E-1,-7.510108501E-2
1.261688020E-1,9.720530361E-2,-1.300953180E-1,-7.297056168E-2
1.286565100E-1,9.720530361E-2,-1.247690022E-1,-6.977476925E-2
1.311442190E-1,9.720530361E-2,-1.162468940E-1,-6.657897681E-2
1.336319270E-1,9.614004195E-2,-1.066595241E-1,-6.125266105E-2
1.361196350E-1,9.507478029E-2,-9.600688517E-2,-5.699160323E-2
1.386073440E-1,9.294424951E-2,-8.428898454E-2,-5.166528746E-2
1.410950520E-1,9.081372619E-2,-7.363634557E-2,-4.633896798E-2
1.435827600E-1,8.868319541E-2,-6.298371404E-2,-4.207791388E-2
1.460704690E-1,8.761793375E-2,-5.446160212E-2,-3.675159439E-2
1.485581770E-1,8.548741043E-2,-4.593949392E-2,-3.249054030E-2
1.510458850E-1,8.229161799E-2,-4.061317816E-2,-2.929474972E-2
1.535335940E-1,7.909582555E-2,-3.635212034E-2,-2.609895915E-2
1.560213020E-1,7.590003312E-2,-3.315633163E-2,-2.396843210E-2
1.585090100E-1,7.376950979E-2,-3.102580272E-2,-2.077264152E-2
1.609967710E-1,7.163897902E-2,-2.996053919E-2,-1.864211448E-2
1.634845310E-1,7.057371736E-2,-2.996053919E-2,-1.651158556E-2
1.659722920E-1,7.057371736E-2,-3.102580272E-2,-1.544632297E-2
1.684600520E-1,7.057371736E-2,-3.315633163E-2,-1.438105945E-2
1.709478120E-1,7.057371736E-2,-3.528685868E-2,-1.331579592E-2
1.734355730E-1,7.163897902E-2,-3.848264739E-2,-1.331579592E-2
1.759233330E-1,7.270424068E-2,-4.061317816E-2,-1.331579592E-2
1.784110940E-1,7.483477145E-2,-4.380896688E-2,-1.225053146E-2
1.808988540E-1,7.696529478E-2,-4.593949392E-2,-1.331579592E-2
1.833866140E-1,7.803056389E-2,-4.807002097E-2,-1.331579592E-2
1.858743750E-1,7.909582555E-2,-4.913528636E-2,-1.331579592E-2
1.883621350E-1,8.016108721E-2,-4.913528636E-2,-1.331579592E-2
1.908498960E-1,8.122635633E-2,-4.700475931E-2,-1.225053146E-2
1.933376560E-1,8.016108721E-2,-4.487423226E-2,-1.225053146E-2
1.958254170E-1,7.803056389E-2,-4.167843983E-2,-1.118526794E-2
1.983131770E-1,7.590003312E-2,-3.741738573E-2,-1.012000442E-2
2.008009370E-1,7.270424068E-2,-3.315633163E-2,-1.012000442E-2
2.032886980E-1,7.057371736E-2,-2.996053919E-2,-9.054740891E-3
2.057764580E-1,6.737792492E-2,-2.889527567E-2,-7.989477366E-3
2.082642190E-1,6.524740160E-2,-2.889527567E-2,-7.989477366E-3
2.107519790E-1,6.418213248E-2,-3.209106624E-2,-7.989477366E-3
2.132397390E-1,6.311687082E-2,-3.635212034E-2,-7.989477366E-3
2.157275000E-1,6.311687082E-2,-4.274370521E-2,-7.989477366E-3
2.182152600E-1,6.418213248E-2,-5.020054802E-2,-9.054740891E-3
2.207030210E-1,6.524740160E-2,-5.765739456E-2,-1.118526794E-2
2.231907810E-1,6.737792492E-2,-6.404897571E-2,-1.225053146E-2
2.256785420E-1,6.844318658E-2,-7.044056058E-2,-1.331579592E-2
2.281663020E-1,7.057371736E-2,-7.470161468E-2,-1.544632297E-2
2.306540620E-1,7.163897902E-2,-7.896266878E-2,-1.757685095E-2
2.331418230E-1,7.057371736E-2,-8.002793044E-2,-1.970737800E-2
2.356295830E-1,6.950845569E-2,-8.002793044E-2,-2.183790505E-2
2.381173440E-1,6.844318658E-2,-7.896266878E-2,-2.290316857E-2
2.406051040E-1,6.737792492E-2,-7.683213800E-2,-2.396843210E-2
2.430928640E-1,6.524740160E-2,-7.363634557E-2,-2.503369562E-2
2.455806250E-1,6.418213248E-2,-7.044056058E-2,-2.716422267E-2
2.480683850E-1,6.205160543E-2,-6.511423737E-2,-2.822948620E-2
2.505561460E-1,5.992107838E-2,-5.872265995E-2,-2.929474972E-2
2.530439060E-1,5.779055133E-2,-5.126581341E-2,-3.036001325E-2
2.555316670E-1,5.566002429E-2,-4.380896688E-2,-3.036001325E-2
2.580194270E-1,5.246423557E-2,-3.635212034E-2,-3.142527863E-2
2.605071870E-1,4.820318148E-2,-2.783001214E-2,-3.142527863E-2
2.629949480E-1,4.500738904E-2,-2.037316747E-2,-3.249054030E-2
2.654827080E-1,4.181159660E-2,-1.185105834E-2,-3.249054030E-2
2.679704690E-1,3.648528084E-2,-4.394212738E-3,-3.249054030E-2
2.704582290E-1,3.222422674E-2,3.062632866E-3,-3.142527863E-2
2.729459890E-1,2.689790726E-2,8.388951421E-3,-3.036001325E-2
2.754337500E-1,2.263685316E-2,1.265000552E-2,-2.929474972E-2
2.779215100E-1,1.837579720E-2,1.584579609E-2,-2.822948620E-2
2.804092710E-1,1.304947957E-2,1.691105962E-2,-2.716422267E-2
2.828970310E-1,7.723161485E-3,1.797632314E-2,-2.609895915E-2
2.853847920E-1,3.462106921E-3,1.691105962E-2,-2.396843210E-2
2.878725520E-1,-7.989477599E-4,1.478053257E-2,-2.396843210E-2
2.903603120E-1,-2.929474926E-3,1.158474199E-2,-2.503369562E-2
2.928480730E-1,-6.125265732E-3,7.323687430E-3,-2.503369562E-2
2.953358330E-1,-8.255792782E-3,4.127896391E-3,-2.609895915E-2
2.978235940E-1,-1.145158429E-2,-1.198421582E-3,-2.716422267E-2
3.003113540E-1,-1.251684781E-2,-7.590003312E-3,-2.822948620E-2
3.027991140E-1,-1.464737486E-2,-1.291632187E-2,-2.929474972E-2
3.052868750E-1,-1.677790284E-2,-1.930790395E-2,-3.249054030E-2
3.077746350E-1,-1.677790284E-2,-2.463422157E-2,-3.462106735E-2
3.102623960E-1,-1.571263932E-2,-3.209106624E-2,-3.781685978E-2
3.127501560E-1,-1.571263932E-2,-4.061317816E-2,-3.994738683E-2
3.152379170E-1,-1.464737486E-2,-4.913528636E-2,-4.314317927E-2
3.177256770E-1,-1.358211134E-2,-5.659212917E-2,-4.633896798E-2
3.202134370E-1,-1.145158429E-2,-6.511423737E-2,-4.846949503E-2
3.227011980E-1,-1.038632076E-2,-7.363634557E-2,-5.060002208E-2
3.251889580E-1,-8.255792782E-3,-8.109319210E-2,-5.273054913E-2
3.276767190E-1,-6.125265732E-3,-8.641951531E-2,-5.379581451E-2
3.301644790E-1,-2.929474926E-3,-9.068056941E-2,-5.486107618E-2
3.326522390E-1,-7.989477599E-4,-9.281109273E-2,-5.486107618E-2
3.351400000E-1,2.396843163E-3,-9.174583107E-2,-5.379581451E-2
3.376277600E-1,3.462106921E-3,-8.961530030E-2,-5.273054913E-2
3.401155210E-1,5.592633970E-3,-8.428898454E-2,-5.060002208E-2
3.426032810E-1,7.723161485E-3,-7.896266878E-2,-4.953476042E-2
3.450910420E-1,7.723161485E-3,-7.044056058E-2,-4.633896798E-2
3.475788020E-1,7.723161485E-3,-6.191844866E-2,-4.314317927E-2
3.500665620E-1,7.723161485E-3,-5.339634046E-2,-3.994738683E-2
3.525543230E-1,7.723161485E-3,-4.380896688E-2,-3.675159439E-2
