"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.800517400E-2,-2.862268209E0,-8.655637741E0,1.573589087E0
4.050064300E-2,-2.838326216E0,-8.636484146E0,1.564012289E0
4.299611200E-2,-2.819172382E0,-8.598176956E0,1.535281897E0
4.549158100E-2,-2.814383984E0,-8.583811760E0,1.540070295E0
4.798704900E-2,-2.752134800E0,-8.559869766E0,1.559223890E0
5.048257000E-2,-2.713827610E0,-8.545504570E0,1.573589087E0
5.297814300E-2,-2.661155224E0,-8.545504570E0,1.592742682E0
5.547376800E-2,-2.579752445E0,-8.535927773E0,1.607107878E0
5.796944500E-2,-2.474407434E0,-8.555081367E0,1.645415068E0
6.046517400E-2,-2.369062662E0,-8.579023361E0,1.712452769E0
6.296095600E-2,-2.258929253E0,-8.617330551E0,1.745971560E0
6.546481000E-2,-2.144007683E0,-8.665214539E0,1.803432465E0
6.791481000E-2,-1.957259893E0,-8.775347710E0,1.860893250E0
7.041736200E-2,-1.875856996E0,-8.828020096E0,1.832162857E0
7.291991400E-2,-1.832761407E0,-8.899846077E0,1.813009262E0
7.546991400E-2,-1.789665818E0,-8.966883659E0,1.769913554E0
7.801991400E-2,-1.775300503E0,-9.019556046E0,1.736394763E0
8.056991400E-2,-1.741781712E0,-9.091382027E0,1.693299174E0
8.311991400E-2,-1.717839718E0,-9.148842812E0,1.640626669E0
8.566991400E-2,-1.713051319E0,-9.182361603E0,1.568800688E0
8.821991400E-2,-1.722628117E0,-9.239823341E0,1.487397790E0
9.076991400E-2,-1.741781712E0,-9.278130531E0,1.401206493E0
9.331991400E-2,-1.736993313E0,-9.321226120E0,1.343745708E0
9.586991400E-2,-1.765723705E0,-9.349956512E0,1.305438519E0
9.841991400E-2,-1.804031014E0,-9.373898506E0,1.267131209E0
1.009699140E-1,-1.823184609E0,-9.402628899E0,1.252766013E0
1.035199140E-1,-1.880645394E0,-9.431359291E0,1.271919608E0
1.060699140E-1,-1.933317900E0,-9.436147690E0,1.295861721E0
1.086199140E-1,-1.985990286E0,-9.455301285E0,1.286284804E0
1.111699140E-1,-2.033874273E0,-9.460089684E0,1.276708007E0
1.137199140E-1,-2.096123695E0,-9.474454880E0,1.257554412E0
1.162699140E-1,-2.167949677E0,-9.488820076E0,1.247977614E0
1.188199140E-1,-2.263717651E0,-9.488820076E0,1.262342811E0
1.213699140E-1,-2.345120668E0,-9.512762070E0,1.281496406E0
1.239199140E-1,-2.397793055E0,-9.522338867E0,1.319803715E0
1.264699140E-1,-2.464830637E0,-9.517550468E0,1.353322506E0
1.290199140E-1,-2.522291422E0,-9.507973671E0,1.358110905E0
1.315699140E-1,-2.551021814E0,-9.507973671E0,1.358110905E0
1.341199140E-1,-2.570175409E0,-9.517550468E0,1.377264500E0
1.366699140E-1,-2.560598612E0,-9.503185272E0,1.415571809E0
1.392199140E-1,-2.555810213E0,-9.484031677E0,1.449090600E0
1.417699140E-1,-2.536656618E0,-9.464878082E0,1.516128182E0
1.443199140E-1,-2.541445017E0,-9.455301285E0,1.564012289E0
1.468699140E-1,-2.522291422E0,-9.436147690E0,1.592742682E0
1.494199140E-1,-2.517503023E0,-9.416994095E0,1.611896276E0
1.519699140E-1,-2.498349428E0,-9.393052101E0,1.631049871E0
1.545199140E-1,-2.488772631E0,-9.335591316E0,1.674145579E0
1.570699140E-1,-2.488772631E0,-9.316437721E0,1.702875972E0
1.596199140E-1,-2.464830637E0,-9.282918930E0,1.722029567E0
1.621699140E-1,-2.436100245E0,-9.244611740E0,1.736394763E0
1.647199140E-1,-2.412158251E0,-9.211092949E0,1.726817966E0
1.672699140E-1,-2.393004656E0,-9.201516151E0,1.726817966E0
1.698199140E-1,-2.359485865E0,-9.177573204E0,1.717241168E0
1.723699140E-1,-2.330755472E0,-9.158419609E0,1.678933978E0
1.749199140E-1,-2.311601639E0,-9.129689217E0,1.626261473E0
1.774699140E-1,-2.287659645E0,-9.115324020E0,1.587954283E0
1.799672580E-1,-2.278082848E0,-9.077016830E0,1.564012289E0
1.824550700E-1,-2.249352455E0,-9.033921242E0,1.506551385E0
1.849428830E-1,-2.215833664E0,-9.019556046E0,1.482609391E0
1.874306950E-1,-2.196680069E0,-9.005190849E0,1.482609391E0
1.899185080E-1,-2.163161278E0,-8.981248856E0,1.482609391E0
1.924063200E-1,-2.129642487E0,-8.976460457E0,1.477820992E0
1.948941330E-1,-2.072181463E0,-8.981248856E0,1.506551385E0
1.973819450E-1,-2.005143881E0,-8.966883659E0,1.520916581E0
1.998697580E-1,-1.923741102E0,-8.971672058E0,1.554435492E0
2.023575700E-1,-1.871068597E0,-8.971672058E0,1.587954283E0
2.048453830E-1,-1.827973008E0,-8.976460457E0,1.573589087E0
2.073331950E-1,-1.775300503E0,-8.986037254E0,1.559223890E0
2.098210080E-1,-1.756146908E0,-8.981248856E0,1.525704980E0
2.123088200E-1,-1.708262920E0,-8.971672058E0,1.492186189E0
2.147966330E-1,-1.674744129E0,-8.962095261E0,1.473032594E0
2.172844450E-1,-1.655590534E0,-8.962095261E0,1.453878999E0
2.197722580E-1,-1.631648421E0,-8.938153267E0,1.434725404E0
2.222600700E-1,-1.631648421E0,-8.957306862E0,1.405994892E0
2.247478830E-1,-1.641225219E0,-8.933364868E0,1.396418095E0
2.272356950E-1,-1.631648421E0,-8.942941666E0,1.405994892E0
2.297235080E-1,-1.655590534E0,-8.947730064E0,1.405994892E0
2.322113200E-1,-1.641225219E0,-8.976460457E0,1.391629696E0
2.346991330E-1,-1.626860023E0,-8.995614052E0,1.396418095E0
2.371869450E-1,-1.636436820E0,-9.029132843E0,1.372476101E0
2.396747580E-1,-1.626860023E0,-9.067440033E0,1.343745708E0
2.421625700E-1,-1.612494826E0,-9.091382027E0,1.305438519E0
2.446503830E-1,-1.598129630E0,-9.124900818E0,1.267131209E0
2.471381950E-1,-1.607706428E0,-9.120112419E0,1.195305228E0
2.496260080E-1,-1.626860023E0,-9.129689217E0,1.243189216E0
2.521138200E-1,-1.650802016E0,-9.110535622E0,1.147421122E0
2.546016330E-1,-1.665167332E0,-9.139266014E0,1.200093627E0
2.570894450E-1,-1.674744129E0,-9.139266014E0,1.056441545E0
2.595772580E-1,-1.669955730E0,-9.134477615E0,1.118690729E0
2.620650700E-1,-1.684320927E0,-9.129689217E0,9.558850527E-1
2.645528830E-1,-1.679532528E0,-9.139266014E0,1.042076349E0
2.670406950E-1,-1.679532528E0,-9.148842812E0,8.984242082E-1
2.695285080E-1,-1.665167332E0,-9.172784805E0,9.989806414E-1
2.720163200E-1,-1.631648421E0,-9.187150002E0,8.649053574E-1
2.745041330E-1,-1.593341231E0,-9.206304550E0,9.750386477E-1
2.769919450E-1,-1.569399238E0,-9.225458145E0,8.553285599E-1
2.794797580E-1,-1.531091928E0,-9.273342133E0,9.941922426E-1
2.819675700E-1,-1.473631144E0,-9.292495728E0,8.696937561E-1
2.844553830E-1,-1.435323954E0,-9.349956512E0,1.027711034E0
2.869431950E-1,-1.382651448E0,-9.393052101E0,9.319429994E-1
2.894310080E-1,-1.363497853E0,-9.464878082E0,1.066018343E0
2.919188200E-1,-1.339555860E0,-9.493608475E0,9.702502489E-1
2.944066330E-1,-1.339555860E0,-9.536704063E0,1.099537134E0
2.968944450E-1,-1.349132657E0,-9.551069260E0,9.941922426E-1
2.993822580E-1,-1.339555860E0,-9.584588051E0,1.080383539E0
3.018700700E-1,-1.325190663E0,-9.603741646E0,9.654618502E-1
3.043578830E-1,-1.306037068E0,-9.646837234E0,1.042076349E0
3.068456950E-1,-1.253364563E0,-9.651625633E0,9.941922426E-1
3.093335080E-1,-1.224634171E0,-9.685144424E0,1.056441545E0
3.118213200E-1,-1.181538582E0,-9.685144424E0,1.027711034E0
3.143091330E-1,-1.152808070E0,-9.713874817E0,1.070806742E0
3.167969450E-1,-1.138442874E0,-9.704298019E0,1.056441545E0
3.192847580E-1,-1.138442874E0,-9.733028412E0,1.128267527E0
