"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.841991400E-2,1.355548054E-1,2.288985252E-1,1.518000662E-1
1.009699140E-1,1.344895363E-1,2.363553643E-1,1.571263820E-1
1.035199140E-1,1.334242672E-1,2.459427416E-1,1.613874435E-1
1.060699140E-1,1.334242672E-1,2.565953732E-1,1.677790284E-1
1.086199140E-1,1.323590130E-1,2.693785429E-1,1.720400751E-1
1.111699140E-1,1.334242672E-1,2.821617126E-1,1.773663908E-1
1.137199140E-1,1.323590130E-1,2.938795984E-1,1.826927215E-1
1.162699140E-1,1.323590130E-1,3.045322299E-1,1.869537681E-1
1.188199140E-1,1.312937438E-1,3.141196072E-1,1.922800839E-1
1.213699140E-1,1.312937438E-1,3.226417303E-1,1.965411454E-1
1.239199140E-1,1.312937438E-1,3.311638236E-1,2.008021921E-1
1.264699140E-1,1.312937438E-1,3.386206925E-1,2.050632536E-1
1.290199140E-1,1.302284747E-1,3.450122476E-1,2.103895694E-1
1.315699140E-1,1.302284747E-1,3.503385782E-1,2.167811543E-1
1.341199140E-1,1.291632205E-1,3.535343707E-1,2.221074700E-1
1.366699140E-1,1.280979514E-1,3.556649089E-1,2.284990549E-1
1.392199140E-1,1.280979514E-1,3.556649089E-1,2.338253707E-1
1.417699140E-1,1.270326823E-1,3.535343707E-1,2.402169555E-1
1.443199140E-1,1.270326823E-1,3.482080400E-1,2.455432713E-1
1.468699140E-1,1.259674281E-1,3.407512009E-1,2.508696020E-1
1.494199140E-1,1.249021590E-1,3.290333152E-1,2.572611570E-1
1.519699140E-1,1.238368973E-1,3.151848912E-1,2.625874877E-1
1.545199140E-1,1.217063740E-1,2.992059290E-1,2.679138184E-1
1.570699140E-1,1.206411049E-1,2.842922211E-1,2.721748650E-1
1.596199140E-1,1.195758432E-1,2.672480047E-1,2.764359117E-1
1.621699140E-1,1.195758432E-1,2.512690723E-1,2.806969583E-1
1.647199140E-1,1.185105816E-1,2.342248410E-1,2.838927507E-1
1.672699140E-1,1.185105816E-1,2.193111479E-1,2.860232890E-1
1.698199140E-1,1.174453199E-1,2.043974549E-1,2.881538272E-1
1.723699140E-1,1.174453199E-1,1.894837767E-1,2.902843356E-1
1.749199140E-1,1.163800508E-1,1.756353378E-1,2.902843356E-1
1.774699140E-1,1.163800508E-1,1.607216448E-1,2.892190814E-1
1.799672580E-1,1.153147891E-1,1.479384899E-1,2.881538272E-1
1.824550700E-1,1.142495275E-1,1.372858584E-1,2.870885432E-1
1.849428830E-1,1.131842583E-1,1.287637353E-1,2.849580348E-1
1.874306950E-1,1.131842583E-1,1.234374270E-1,2.828274965E-1
1.899185080E-1,1.121189967E-1,1.202416345E-1,2.806969583E-1
1.924063200E-1,1.131842583E-1,1.202416345E-1,2.785664499E-1
