"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.586697900E-2,1.035968885E-1,8.828372508E-2,-9.321057051E-2
4.835473900E-2,1.035968885E-1,8.402267098E-2,-9.534109384E-2
5.084249900E-2,1.025316268E-1,8.082687855E-2,-9.747162461E-2
5.333026000E-2,1.014663652E-1,7.763108611E-2,-1.006674170E-1
5.581802000E-2,1.004010960E-1,7.443529367E-2,-1.027979404E-1
5.830578100E-2,9.827057272E-2,7.230477035E-2,-1.049284711E-1
6.079354100E-2,9.614004195E-2,7.123950869E-2,-1.070589945E-1
6.328130100E-2,9.400951862E-2,6.910897791E-2,-1.091895252E-1
6.576906200E-2,9.187898785E-2,6.804371625E-2,-1.102547869E-1
6.825682200E-2,8.974846452E-2,6.804371625E-2,-1.113200486E-1
7.074458300E-2,8.761793375E-2,6.804371625E-2,-1.113200486E-1
7.323234300E-2,8.655267209E-2,6.910897791E-2,-1.102547869E-1
7.572010400E-2,8.548741043E-2,7.017423958E-2,-1.081242561E-1
7.820786400E-2,8.442214131E-2,7.123950869E-2,-1.059937328E-1
8.069562400E-2,8.335687965E-2,7.230477035E-2,-1.027979404E-1
8.318338500E-2,8.335687965E-2,7.337003201E-2,-1.006674170E-1
8.567114500E-2,8.335687965E-2,7.443529367E-2,-9.747162461E-2
8.815890600E-2,8.335687965E-2,7.443529367E-2,-9.427583218E-2
9.064666600E-2,8.335687965E-2,7.550056279E-2,-9.108003974E-2
9.313442600E-2,8.335687965E-2,7.443529367E-2,-8.681898564E-2
9.562218700E-2,8.335687965E-2,7.337003201E-2,-8.255793154E-2
9.810994700E-2,8.335687965E-2,7.230477035E-2,-7.936213911E-2
1.005977080E-1,8.335687965E-2,7.123950869E-2,-7.510108501E-2
1.030854680E-1,8.229161799E-2,6.910897791E-2,-7.084003091E-2
1.055732290E-1,8.122635633E-2,6.697845459E-2,-6.657897681E-2
1.080609890E-1,8.016108721E-2,6.378266215E-2,-6.231792271E-2
1.105487490E-1,7.803056389E-2,6.165213138E-2,-5.912213027E-2
1.130365100E-1,7.590003312E-2,5.739107728E-2,-5.486107618E-2
1.155242700E-1,7.376950979E-2,5.419528857E-2,-5.273054913E-2
1.180120310E-1,7.163897902E-2,4.993423447E-2,-5.060002208E-2
1.204997910E-1,6.844318658E-2,4.673844203E-2,-4.740423337E-2
1.229875510E-1,6.631266326E-2,4.141212255E-2,-4.420844093E-2
1.254753120E-1,6.205160543E-2,3.821633384E-2,-4.101264849E-2
1.279630720E-1,5.779055133E-2,3.395527974E-2,-3.888212144E-2
1.304508330E-1,5.352949724E-2,3.075948730E-2,-3.568633273E-2
1.329385930E-1,4.820318148E-2,2.756369673E-2,-3.142527863E-2
1.354263540E-1,4.287686199E-2,2.436790615E-2,-2.822948620E-2
1.379141140E-1,3.968106955E-2,2.117211558E-2,-2.503369562E-2
1.404018740E-1,3.648528084E-2,1.797632314E-2,-1.970737800E-2
1.428896350E-1,3.435475379E-2,1.584579609E-2,-1.651158556E-2
1.453773950E-1,3.222422674E-2,1.478053257E-2,-1.331579592E-2
1.478651560E-1,3.115896136E-2,1.371526904E-2,-9.054740891E-3
1.503529160E-1,2.902843431E-2,1.478053257E-2,-5.858949851E-3
1.528406760E-1,2.796317078E-2,1.478053257E-2,-3.728422802E-3
1.553284370E-1,2.796317078E-2,1.584579609E-2,-1.597895520E-3
1.578161970E-1,2.796317078E-2,1.797632314E-2,5.326318205E-4
1.603039580E-1,2.689790726E-2,2.010685205E-2,4.793686327E-3
1.627917180E-1,2.689790726E-2,2.223737910E-2,7.989477366E-3
1.652794790E-1,2.689790726E-2,2.436790615E-2,1.012000442E-2
1.677672390E-1,2.796317078E-2,2.649843320E-2,1.331579592E-2
1.702549990E-1,2.902843431E-2,2.862896025E-2,1.651158556E-2
1.727427600E-1,2.902843431E-2,2.862896025E-2,1.970737800E-2
1.752305200E-1,3.115896136E-2,2.862896025E-2,2.183790505E-2
1.777182810E-1,3.222422674E-2,2.862896025E-2,2.503369562E-2
1.802060410E-1,3.222422674E-2,2.756369673E-2,2.716422267E-2
1.826938010E-1,3.328948840E-2,2.543316968E-2,2.929474972E-2
1.851815620E-1,3.435475379E-2,2.436790615E-2,3.036001325E-2
1.876693220E-1,3.435475379E-2,2.330264263E-2,3.249054030E-2
1.901570830E-1,3.542001545E-2,2.223737910E-2,3.355580568E-2
1.926448430E-1,3.648528084E-2,2.117211558E-2,3.462106735E-2
1.951326040E-1,3.755054250E-2,1.904158667E-2,3.675159439E-2
1.976203640E-1,3.861580789E-2,1.797632314E-2,3.781685978E-2
2.001081240E-1,4.074633494E-2,1.691105962E-2,3.781685978E-2
2.025958850E-1,4.181159660E-2,1.478053257E-2,3.888212144E-2
2.050836450E-1,4.287686199E-2,1.158474199E-2,3.781685978E-2
2.075714060E-1,4.607265070E-2,7.323687430E-3,3.888212144E-2
2.100591660E-1,4.820318148E-2,4.127896391E-3,3.781685978E-2
2.125469260E-1,5.033370852E-2,1.997369342E-3,3.675159439E-2
2.150346870E-1,5.246423557E-2,-1.198421582E-3,3.568633273E-2
2.175224470E-1,5.352949724E-2,-3.328948980E-3,3.462106735E-2
2.200102080E-1,5.459476262E-2,-6.524739787E-3,3.355580568E-2
2.224979680E-1,5.459476262E-2,-9.720530361E-3,3.142527863E-2
2.249857290E-1,5.352949724E-2,-1.398158539E-2,3.036001325E-2
2.274734890E-1,5.246423557E-2,-1.824264042E-2,2.929474972E-2
2.299612490E-1,5.033370852E-2,-2.356895804E-2,2.716422267E-2
2.324490100E-1,4.713791609E-2,-2.996053919E-2,2.716422267E-2
2.349367700E-1,4.500738904E-2,-3.741738573E-2,2.716422267E-2
2.374245310E-1,4.181159660E-2,-4.487423226E-2,2.716422267E-2
2.399122910E-1,3.861580789E-2,-5.126581341E-2,2.822948620E-2
2.424000510E-1,3.542001545E-2,-5.765739456E-2,2.929474972E-2
2.448878120E-1,3.222422674E-2,-6.191844866E-2,3.142527863E-2
2.473755720E-1,3.009369783E-2,-6.511423737E-2,3.355580568E-2
2.498633330E-1,2.796317078E-2,-6.617950648E-2,3.675159439E-2
