"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.829302200E-2,-6.787561774E-1,-1.028369522E1,-6.051344872E-1
7.079557400E-2,-6.883329749E-1,-1.026454163E1,-5.907692909E-1
7.329812600E-2,-7.122750282E-1,-1.024059963E1,-5.764040351E-1
7.584812600E-2,-7.218518257E-1,-1.021186924E1,-5.428852439E-1
7.839812600E-2,-7.026981711E-1,-1.016877270E1,-5.141547918E-1
8.094812600E-2,-6.883329749E-1,-1.011610031E1,-5.141547918E-1
8.349812600E-2,-6.691793799E-1,-1.007300472E1,-5.093663931E-1
8.604812600E-2,-6.404489279E-1,-1.001554394E1,-5.189431906E-1
8.859812600E-2,-6.500257850E-1,-9.948506355E0,-5.476736426E-1
9.114812600E-2,-6.356605291E-1,-9.862315178E0,-5.764040351E-1
9.369812600E-2,-6.308721304E-1,-9.790489197E0,-6.099228859E-1
9.624812600E-2,-6.500257850E-1,-9.704298019E0,-6.482301354E-1
9.879812600E-2,-6.500257850E-1,-9.622895241E0,-6.961141229E-1
1.013481260E-1,-6.739677787E-1,-9.541492462E0,-7.248445749E-1
1.038981260E-1,-6.883329749E-1,-9.479243279E0,-7.392097712E-1
1.064481260E-1,-6.979097724E-1,-9.397840500E0,-7.583633661E-1
1.089981260E-1,-7.266402245E-1,-9.311649323E0,-7.631517649E-1
1.115481260E-1,-7.457938194E-1,-9.258976936E0,-7.392097712E-1
1.140981260E-1,-7.601590157E-1,-9.206304550E0,-7.200561762E-1
1.166481260E-1,-7.457938194E-1,-9.148842812E0,-7.056909800E-1
1.191981260E-1,-7.218518257E-1,-9.100958824E0,-6.625953317E-1
1.217481260E-1,-7.026981711E-1,-9.043498039E0,-6.386532784E-1
1.242981260E-1,-6.596025825E-1,-9.009979248E0,-6.003460884E-1
1.268481260E-1,-6.260837317E-1,-8.952518463E0,-5.237316489E-1
1.293981260E-1,-5.542576909E-1,-8.899846077E0,-4.566939771E-1
1.319481260E-1,-4.920084476E-1,-8.866327286E0,-4.183867574E-1
1.344981260E-1,-4.106055796E-1,-8.823231697E0,-3.561375141E-1
1.370481260E-1,-3.435679376E-1,-8.760982513E0,-3.082534671E-1
1.395981260E-1,-2.813186944E-1,-8.703521729E0,-2.747346461E-1
1.421481260E-1,-2.142810524E-1,-8.636484146E0,-2.124854028E-1
