"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.082693100E-2,-3.987542868E0,9.310451508E0,7.356184721E-1
2.332375400E-2,-3.987542868E0,9.291297913E0,7.643488646E-1
2.582021300E-2,-3.992331266E0,9.276932716E0,7.882909179E-1
2.831667100E-2,-4.001908302E0,9.262567520E0,7.930793166E-1
3.081312900E-2,-4.025850296E0,9.229048729E0,8.313865662E-1
3.330958800E-2,-4.045003891E0,9.233837128E0,8.696937561E-1
3.580604600E-2,-4.054580688E0,9.229048729E0,8.936358094E-1
3.830250400E-2,-4.112041473E0,9.243413925E0,9.271546006E-1
4.079896300E-2,-4.126406670E0,9.286509514E0,9.846154451E-1
4.329547300E-2,-4.150348663E0,9.300874710E0,1.003769040E0
4.579203600E-2,-4.188655853E0,9.305663109E0,9.989806414E-1
4.829469200E-2,-4.193444252E0,9.334393501E0,9.750386477E-1
5.074469200E-2,-4.164713860E0,9.320028305E0,9.941922426E-1
5.319469200E-2,-4.145560265E0,9.315239906E0,1.008557439E0
5.565016100E-2,-4.102464676E0,9.291297913E0,1.027711034E0
5.811255600E-2,-4.078522682E0,9.248202324E0,1.066018343E0
6.058297300E-2,-4.059369087E0,9.224260330E0,1.156997919E0
6.306219200E-2,-4.064157486E0,9.200318336E0,1.200093627E0
6.555057700E-2,-4.092887878E0,9.171587944E0,1.252766013E0
6.804797300E-2,-4.140771866E0,9.181164742E0,1.291073322E0
7.055365000E-2,-4.169502258E0,9.195529938E0,1.295861721E0
7.306656700E-2,-4.203021049E0,9.224260330E0,1.300650120E0
7.558542100E-2,-4.198232651E0,9.248202324E0,1.305438519E0
7.810875400E-2,-4.193444252E0,9.243413925E0,1.291073322E0
8.063495200E-2,-4.140771866E0,9.243413925E0,1.310226917E0
8.316234800E-2,-4.107253075E0,9.229048729E0,1.315015316E0
8.568000400E-2,-4.088099480E0,9.181164742E0,1.324592113E0
8.816786900E-2,-4.102464676E0,9.147645950E0,1.362899303E0
9.065573400E-2,-4.126406670E0,9.099761963E0,1.377264500E0
9.314359800E-2,-4.183867455E0,9.056666374E0,1.401206493E0
9.563146300E-2,-4.217386246E0,9.042301178E0,1.367687702E0
9.811932700E-2,-4.217386246E0,9.056666374E0,1.305438519E0
1.006071920E-1,-4.159925461E0,9.056666374E0,1.271919608E0
1.030950560E-1,-4.083311081E0,9.051877975E0,1.276708007E0
1.055829210E-1,-3.992331266E0,9.042301178E0,1.286284804E0
1.080707860E-1,-3.896563292E0,9.018359184E0,1.286284804E0
1.105586500E-1,-3.829525709E0,9.018359184E0,1.305438519E0
1.130465150E-1,-3.796006680E0,9.032724380E0,1.305438519E0
1.155343790E-1,-3.772064686E0,9.013570786E0,1.243189216E0
1.180222440E-1,-3.791218281E0,9.042301178E0,1.123479128E0
1.205101090E-1,-3.829525709E0,9.109338760E0,1.027711034E0
1.229979730E-1,-3.819948912E0,9.147645950E0,1.085171938E0
1.254858380E-1,-3.810372114E0,9.162011147E0,1.156997919E0
1.279737020E-1,-3.800795317E0,9.181164742E0,1.147421122E0
1.304615670E-1,-3.767276287E0,9.219471931E0,1.137844324E0
1.329494310E-1,-3.752911091E0,9.205106735E0,1.089960337E0
1.354372960E-1,-3.733757496E0,9.185953140E0,1.104325533E0
1.379251610E-1,-3.724180698E0,9.195529938E0,1.099537134E0
1.404130250E-1,-3.714603901E0,9.195529938E0,1.056441545E0
1.429008900E-1,-3.719392300E0,9.195529938E0,1.003769040E0
1.453887540E-1,-3.728969097E0,9.195529938E0,9.558850527E-1
1.478766190E-1,-3.748122692E0,9.185953140E0,8.361749649E-1
1.503644840E-1,-3.767276287E0,9.157222748E0,6.446388364E-1
1.528523480E-1,-3.752911091E0,9.128492355E0,4.818331003E-1
1.553401610E-1,-3.614047527E0,9.085396767E0,5.680243373E-1
1.578279730E-1,-3.427299738E0,9.066243172E0,6.973112226E-1
1.603157860E-1,-3.321954966E0,9.042301178E0,9.846154451E-1
1.628035980E-1,-3.293224335E0,9.023147583E0,1.353322506E0
1.652914110E-1,-3.360262156E0,9.047089577E0,1.501762986E0
1.677792230E-1,-3.542221308E0,9.056666374E0,1.434725404E0
1.702670360E-1,-3.800795317E0,9.013570786E0,1.348534107E0
1.727548480E-1,-4.040215492E0,8.956110001E0,1.243189216E0
1.752426610E-1,-4.188655853E0,8.889072418E0,1.109113932E0
1.777304730E-1,-4.212597847E0,8.817246437E0,9.750386477E-1
1.802182860E-1,-4.145560265E0,8.798092842E0,8.984242082E-1
1.827060980E-1,-3.997119665E0,8.750208855E0,9.367313981E-1
