"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.063495200E-2,5.459476262E-2,1.756353378E-1,7.084003091E-2
8.316234800E-2,5.672528967E-2,1.756353378E-1,7.510108501E-2
8.568000400E-2,5.885581672E-2,1.745700836E-1,7.936213911E-2
8.816786900E-2,6.205160543E-2,1.735048145E-1,8.362319320E-2
9.065573400E-2,6.631266326E-2,1.713742912E-1,8.788424730E-2
9.314359800E-2,7.163897902E-2,1.681784987E-1,9.108003974E-2
9.563146300E-2,7.696529478E-2,1.660479754E-1,9.427583218E-2
9.811932700E-2,8.229161799E-2,1.639174372E-1,9.747162461E-2
1.006071920E-1,8.761793375E-2,1.607216448E-1,1.006674170E-1
1.030950560E-1,9.294424951E-2,1.553953290E-1,1.027979404E-1
1.055829210E-1,9.614004195E-2,1.468732208E-1,1.038632020E-1
1.080707860E-1,1.004010960E-1,1.372858584E-1,1.038632020E-1
1.105586500E-1,1.046621501E-1,1.255679578E-1,1.027979404E-1
1.130465150E-1,1.099884734E-1,1.149153188E-1,1.006674170E-1
1.155343790E-1,1.153147891E-1,1.031974182E-1,9.853688627E-2
1.180222440E-1,1.217063740E-1,9.254477918E-2,9.534109384E-2
1.205101090E-1,1.259674281E-1,8.189214021E-2,9.427583218E-2
1.229979730E-1,1.302284747E-1,7.443529367E-2,9.321057051E-2
1.254858380E-1,1.344895363E-1,7.123950869E-2,9.214530140E-2
1.279737020E-1,1.387505829E-1,7.123950869E-2,9.108003974E-2
1.304615670E-1,1.419463754E-1,7.443529367E-2,9.108003974E-2
1.329494310E-1,1.430116445E-1,8.082687855E-2,9.001477808E-2
1.354372960E-1,1.440769136E-1,8.828372508E-2,9.108003974E-2
1.379251610E-1,1.462074369E-1,9.680583328E-2,9.214530140E-2
1.404130250E-1,1.472726911E-1,1.063932031E-1,9.321057051E-2
1.429008900E-1,1.483379602E-1,1.149153188E-1,9.534109384E-2
1.453887540E-1,1.494032294E-1,1.223721579E-1,9.960214794E-2
1.478766190E-1,1.504684836E-1,1.298290044E-1,1.027979404E-1
1.503644840E-1,1.504684836E-1,1.351553202E-1,1.081242561E-1
1.528523480E-1,1.494032294E-1,1.383511126E-1,1.123853177E-1
1.553401610E-1,1.462074369E-1,1.394163817E-1,1.177116334E-1
1.578279730E-1,1.440769136E-1,1.394163817E-1,1.198421568E-1
1.603157860E-1,1.430116445E-1,1.362205893E-1,1.187768951E-1
1.628035980E-1,1.483379602E-1,1.319595277E-1,1.155811027E-1
1.652914110E-1,1.547295451E-1,1.276984811E-1,1.102547869E-1
1.677792230E-1,1.632516533E-1,1.234374270E-1,1.049284711E-1
1.702670360E-1,1.717737615E-1,1.213068962E-1,9.960214794E-2
1.727548480E-1,1.771000773E-1,1.234374270E-1,9.640636295E-2
1.752426610E-1,1.802958697E-1,1.298290044E-1,9.640636295E-2
1.777304730E-1,1.802958697E-1,1.394163817E-1,9.853688627E-2
1.802182860E-1,1.760348231E-1,1.500690132E-1,1.017326787E-1
1.827060980E-1,1.696432382E-1,1.564605981E-1,1.049284711E-1
1.851939110E-1,1.632516533E-1,1.596563905E-1,1.070589945E-1
1.876817230E-1,1.589905918E-1,1.564605981E-1,1.059937328E-1
1.901695360E-1,1.557948142E-1,1.468732208E-1,1.027979404E-1
1.926573480E-1,1.536642760E-1,1.308942735E-1,9.640636295E-2
1.951451610E-1,1.536642760E-1,1.117195264E-1,8.894951642E-2
1.976329730E-1,1.547295451E-1,8.828372508E-2,8.149266988E-2
2.001207860E-1,1.547295451E-1,6.484792382E-2,7.403582335E-2
2.026085980E-1,1.557948142E-1,4.354264960E-2,6.764423847E-2
2.050964110E-1,1.579253376E-1,2.436790615E-2,6.231792271E-2
2.075842230E-1,1.589905918E-1,9.454214945E-3,5.699160323E-2
2.100720360E-1,1.589905918E-1,-2.263685223E-3,5.379581451E-2
2.125598480E-1,1.579253376E-1,-8.655266836E-3,5.060002208E-2
2.150476610E-1,1.568600684E-1,-1.078579482E-2,4.846949503E-2
2.175355250E-1,1.536642760E-1,-8.655266836E-3,4.633896798E-2
2.200233900E-1,1.504684836E-1,-3.328948980E-3,4.527370632E-2
2.225112540E-1,1.472726911E-1,4.127896391E-3,4.420844093E-2
2.249991190E-1,1.430116445E-1,1.371526904E-2,4.420844093E-2
2.274869840E-1,1.398158520E-1,2.436790615E-2,4.527370632E-2
2.299748480E-1,1.366200596E-1,3.395527974E-2,4.740423337E-2
2.324627130E-1,1.323590130E-1,4.354264960E-2,4.846949503E-2
2.349505770E-1,1.280979514E-1,5.206476152E-2,5.060002208E-2
2.374384420E-1,1.227716357E-1,5.952160433E-2,5.273054913E-2
2.399263060E-1,1.174453199E-1,6.697845459E-2,5.486107618E-2
2.424141710E-1,1.121189967E-1,7.337003201E-2,5.699160323E-2
2.449020360E-1,1.067926809E-1,7.869634777E-2,5.699160323E-2
2.473899000E-1,1.004010960E-1,8.295740932E-2,5.805686861E-2
2.498777650E-1,9.400951862E-2,8.721846342E-2,5.805686861E-2
2.523656290E-1,8.655267209E-2,9.041424841E-2,5.805686861E-2
2.548534940E-1,7.909582555E-2,9.361004084E-2,5.699160323E-2
2.573413590E-1,7.163897902E-2,9.467530251E-2,5.379581451E-2
2.598292230E-1,6.311687082E-2,9.467530251E-2,5.166528746E-2
2.623170880E-1,5.459476262E-2,9.254477918E-2,4.953476042E-2
2.648049520E-1,4.820318148E-2,9.041424841E-2,4.527370632E-2
2.672928170E-1,3.968106955E-2,8.615319431E-2,4.207791388E-2
2.697806810E-1,3.222422674E-2,8.189214021E-2,3.675159439E-2
2.722685460E-1,2.583264373E-2,7.656582445E-2,3.249054030E-2
2.747564110E-1,1.837579720E-2,7.017423958E-2,2.822948620E-2
2.772442750E-1,9.853689000E-3,6.271740049E-2,2.290316857E-2
2.797321400E-1,2.396843163E-3,5.419528857E-2,1.757685095E-2
2.822200040E-1,-6.125265732E-3,4.567318037E-2,1.225053146E-2
2.847078690E-1,-1.358211134E-2,3.502054140E-2,6.924213842E-3
2.871957340E-1,-2.103895694E-2,2.543316968E-2,5.326318205E-4
2.896835980E-1,-2.849580161E-2,1.478053257E-2,-4.793686327E-3
2.921714630E-1,-3.488738462E-2,4.127896391E-3,-1.012000442E-2
2.946593270E-1,-4.234423116E-2,-7.590003312E-3,-1.651158556E-2
2.971471920E-1,-4.873581231E-2,-1.824264042E-2,-2.183790505E-2
2.996350560E-1,-5.406212807E-2,-2.783001214E-2,-2.822948620E-2
3.021229210E-1,-6.045371294E-2,-3.741738573E-2,-3.355580568E-2
3.046107860E-1,-6.578002870E-2,-4.380896688E-2,-3.888212144E-2
3.070986500E-1,-7.110634446E-2,-4.807002097E-2,-4.207791388E-2
3.095865150E-1,-7.749792933E-2,-5.126581341E-2,-4.527370632E-2
3.120743790E-1,-8.495477587E-2,-5.233107507E-2,-4.740423337E-2
3.145622440E-1,-9.134636074E-2,-5.126581341E-2,-4.846949503E-2
3.170501090E-1,-9.773793817E-2,-4.807002097E-2,-4.953476042E-2
3.195379730E-1,-1.051947847E-1,-4.487423226E-2,-5.060002208E-2
3.220258380E-1,-1.105211005E-1,-4.061317816E-2,-5.166528746E-2
3.245137020E-1,-1.169126853E-1,-3.635212034E-2,-5.166528746E-2
3.270015670E-1,-1.222390011E-1,-3.102580272E-2,-5.273054913E-2
3.294894310E-1,-1.275653243E-1,-2.783001214E-2,-5.379581451E-2
3.319772960E-1,-1.328916401E-1,-2.356895804E-2,-5.592634156E-2
3.344651610E-1,-1.360874325E-1,-2.037316747E-2,-5.699160323E-2
3.369530250E-1,-1.392832249E-1,-1.717737690E-2,-6.018739566E-2
3.394408900E-1,-1.435442716E-1,-1.398158539E-2,-6.231792271E-2
3.419287540E-1,-1.467400640E-1,-1.291632187E-2,-6.551371515E-2
3.444166190E-1,-1.499358565E-1,-1.078579482E-2,-6.764423847E-2
3.469044840E-1,-1.531316489E-1,-8.655266836E-3,-6.977476925E-2
3.493923480E-1,-1.573926955E-1,-8.655266836E-3,-7.190529257E-2
3.518802130E-1,-1.605884880E-1,-8.655266836E-3,-7.297056168E-2
3.543680770E-1,-1.648495495E-1,-8.655266836E-3,-7.510108501E-2
3.568559420E-1,-1.669800729E-1,-1.078579482E-2,-7.723161578E-2
3.593438060E-1,-1.701758653E-1,-1.185105834E-2,-7.936213911E-2
3.618316710E-1,-1.712411344E-1,-1.291632187E-2,-8.149266988E-2
3.643195360E-1,-1.723063886E-1,-1.504684892E-2,-8.362319320E-2
3.668074000E-1,-1.733716577E-1,-1.824264042E-2,-8.681898564E-2
3.692952650E-1,-1.744369268E-1,-2.037316747E-2,-8.894951642E-2
3.717831290E-1,-1.744369268E-1,-2.463422157E-2,-9.214530140E-2
3.742709940E-1,-1.765674502E-1,-2.783001214E-2,-9.427583218E-2
