"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.955776400E-2,9.228450775E0,4.976946831E0,-7.918822169E-1
5.204729500E-2,9.166201591E0,5.005677223E0,-8.637082577E-1
5.453734700E-2,9.094375610E0,5.020042419E0,-9.020155072E-1
5.702812800E-2,9.012971878E0,5.082291603E0,-9.594763517E-1
5.951984700E-2,8.921992302E0,5.130175591E0,-1.016937137E0
6.201271200E-2,8.826224327E0,5.192424774E0,-1.036090732E0
6.450682600E-2,8.735244751E0,5.273828030E0,-1.060032845E0
6.700224300E-2,8.653841972E0,5.355230808E0,-1.055244446E0
6.950151400E-2,8.543708801E0,5.431845188E0,-1.069609642E0
7.200078500E-2,8.433575630E0,5.518036366E0,-1.093551636E0
7.445078500E-2,8.256404877E0,5.623381138E0,-1.107916832E0
7.690078500E-2,8.203732491E0,5.671265125E0,-1.117493629E0
7.940505500E-2,8.170213699E0,5.752667904E0,-1.141435623E0
8.190932600E-2,8.141483307E0,5.838859558E0,-1.179742932E0
8.445932600E-2,8.107964516E0,5.915473938E0,-1.222838521E0
8.700932600E-2,8.107964516E0,5.934627533E0,-1.270722508E0
8.955932600E-2,8.117541313E0,5.963357925E0,-1.332971811E0
9.210932600E-2,8.141483307E0,6.001665115E0,-1.385644197E0
9.465932600E-2,8.189367294E0,6.035183907E0,-1.423951507E0
9.720932600E-2,8.218097687E0,6.063914299E0,-1.462258697E0
9.975932600E-2,8.265981674E0,6.097433090E0,-1.443105102E0
1.023093260E-1,8.333019257E0,6.130951881E0,-1.428739905E0
1.048593260E-1,8.342596054E0,6.164470673E0,-1.366490602E0
1.074093260E-1,8.356961250E0,6.226719856E0,-1.280299306E0
1.099593260E-1,8.356961250E0,6.303334713E0,-1.222838521E0
1.125093260E-1,8.361749649E0,6.365583897E0,-1.155800819E0
1.150593260E-1,8.323442459E0,6.399102688E0,-1.064821243E0
1.176093260E-1,8.309077263E0,6.456563473E0,-1.016937137E0
1.201593260E-1,8.270770073E0,6.485293865E0,-9.403226972E-1
1.227093260E-1,8.242039680E0,6.499659061E0,-8.301894665E-1
1.252593260E-1,8.237251282E0,6.480505466E0,-7.009025216E-1
1.278093260E-1,8.198944092E0,6.461351871E0,-6.003460884E-1
1.303593260E-1,8.146271706E0,6.432621479E0,-4.997895956E-1
1.329093260E-1,8.107964516E0,6.437409878E0,-4.040215313E-1
1.354593260E-1,8.060079575E0,6.418256283E0,-2.986766696E-1
1.380093260E-1,8.002618790E0,6.423044682E0,-1.789665818E-1
1.405593260E-1,7.964312077E0,6.408679485E0,-1.071405262E-1
1.431093260E-1,7.926004887E0,6.399102688E0,-3.052607179E-2
1.456593260E-1,7.873332500E0,6.379949093E0,4.608838260E-2
1.482093260E-1,7.844601631E0,6.365583897E0,8.439560980E-2
1.507593260E-1,7.801506042E0,6.360795498E0,1.083376259E-1
1.533093260E-1,7.772775650E0,6.370372295E0,1.322796494E-1
1.558593260E-1,7.753622055E0,6.346430302E0,1.897404790E-1
1.584093260E-1,7.739256859E0,6.336853504E0,2.136825025E-1
1.609593260E-1,7.734468460E0,6.317699909E0,1.993172914E-1
1.635093260E-1,7.744045258E0,6.293757915E0,2.184709013E-1
