"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.048593260E-1,-8.575372398E-2,-2.502037883E-1,-5.206476152E-2
1.074093260E-1,-1.017326787E-1,-2.533995807E-1,-4.886896908E-2
1.099593260E-1,-1.198421568E-1,-2.565953732E-1,-4.780370742E-2
1.125093260E-1,-1.390169114E-1,-2.608564198E-1,-4.673844203E-2
1.150593260E-1,-1.581916511E-1,-2.640522122E-1,-4.460791498E-2
1.176093260E-1,-1.784316599E-1,-2.683132887E-1,-4.247738793E-2
1.201593260E-1,-1.965411454E-1,-2.704437971E-1,-4.141212255E-2
1.227093260E-1,-2.135853618E-1,-2.736395895E-1,-4.034686089E-2
1.252593260E-1,-2.284990549E-1,-2.768353820E-1,-4.034686089E-2
1.278093260E-1,-2.423474789E-1,-2.810964286E-1,-4.034686089E-2
1.303593260E-1,-2.540653646E-1,-2.853575051E-1,-4.141212255E-2
1.329093260E-1,-2.625874877E-1,-2.928143442E-1,-4.247738793E-2
1.354593260E-1,-2.679138184E-1,-3.002711833E-1,-4.247738793E-2
1.380093260E-1,-2.700443268E-1,-3.066627681E-1,-4.460791498E-2
1.405593260E-1,-2.689790726E-1,-3.141196072E-1,-4.567318037E-2
1.431093260E-1,-2.636527419E-1,-3.205111921E-1,-4.673844203E-2
1.456593260E-1,-2.561959028E-1,-3.258375227E-1,-4.673844203E-2
1.482093260E-1,-2.434127480E-1,-3.311638236E-1,-4.673844203E-2
1.507593260E-1,-2.274337858E-1,-3.343596160E-1,-4.673844203E-2
1.533093260E-1,-2.093243003E-1,-3.364901543E-1,-4.673844203E-2
1.558593260E-1,-1.869537681E-1,-3.364901543E-1,-4.460791498E-2
1.584093260E-1,-1.624527127E-1,-3.354249001E-1,-4.354264960E-2
1.609593260E-1,-1.347558498E-1,-3.332943618E-1,-4.141212255E-2
1.635093260E-1,-1.059937328E-1,-3.290333152E-1,-3.821633384E-2
1.660593260E-1,-7.403582335E-2,-3.247722387E-1,-3.608580679E-2
1.686093260E-1,-3.994738683E-2,-3.183806837E-1,-3.289001435E-2
1.711593260E-1,-6.924213842E-3,-3.109238148E-1,-2.862896025E-2
1.737093260E-1,2.609895915E-2,-3.024017215E-1,-2.543316968E-2
1.762593260E-1,5.805686861E-2,-2.928143442E-1,-2.223737910E-2
1.788093260E-1,8.894951642E-2,-2.810964286E-1,-1.797632314E-2
1.813593260E-1,1.187768951E-1,-2.693785429E-1,-1.371526904E-2
1.839093260E-1,1.464737505E-1,-2.565953732E-1,-8.388951421E-3
1.864593260E-1,1.709748209E-1,-2.427469492E-1,-3.062632866E-3
1.890093260E-1,1.944106072E-1,-2.278332561E-1,3.328948980E-3
1.915122950E-1,2.157158852E-1,-2.118543088E-1,9.720530361E-3
1.940000030E-1,2.338253707E-1,-1.958753467E-1,1.717737690E-2
1.964877120E-1,2.487390637E-1,-1.798963994E-1,2.356895804E-2
1.989754200E-1,2.625874877E-1,-1.639174372E-1,3.102580272E-2
2.014631280E-1,2.732401192E-1,-1.500690132E-1,3.848264739E-2
2.039508370E-1,2.828274965E-1,-1.383511126E-1,4.380896688E-2
2.064385450E-1,2.892190814E-1,-1.287637353E-1,5.020054802E-2
2.089262530E-1,2.924148738E-1,-1.213068962E-1,5.339634046E-2
2.114139620E-1,2.945453823E-1,-1.181111038E-1,5.659212917E-2
2.139016700E-1,2.924148738E-1,-1.181111038E-1,5.978792161E-2
