"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.684901000E-2,-5.015852451E-1,1.981201917E-1,1.112166500E1
4.934515600E-2,-4.537012279E-1,1.933317930E-1,1.107856941E1
5.184130200E-2,-4.249708056E-1,2.124854028E-1,1.104505062E1
5.433744700E-2,-3.770867586E-1,2.268506140E-1,1.101153183E1
5.683359300E-2,-3.339911401E-1,2.364274114E-1,1.095407104E1
5.932973900E-2,-2.813186944E-1,2.460042238E-1,1.087266827E1
6.182588500E-2,-2.047042400E-1,2.555810213E-1,1.081041908E1
6.432203100E-2,-1.424549967E-1,2.699462473E-1,1.074338150E1
6.682203100E-2,-6.584054977E-2,2.747346461E-1,1.067634392E1
6.932203100E-2,1.197100850E-3,3.130418658E-1,1.057578754E1
7.177203100E-2,9.696517140E-2,3.321954906E-1,1.042734718E1
7.422203100E-2,1.400607973E-1,2.938882709E-1,1.038903999E1
7.672557200E-2,1.879448295E-1,2.555810213E-1,1.035552120E1
7.922911400E-2,2.166752517E-1,1.981201917E-1,1.030284882E1
8.177911400E-2,2.214636505E-1,1.358709484E-1,1.021665764E1
8.432911400E-2,2.166752517E-1,1.119289324E-1,1.013046551E1
8.687911400E-2,2.023100406E-1,1.119289324E-1,1.007300472E1
8.942911400E-2,1.687912196E-1,1.358709484E-1,1.000117874E1
9.197911400E-2,1.352723986E-1,1.646013707E-1,9.982025146E0
9.452911400E-2,1.113303825E-1,1.693897694E-1,9.948506355E0
9.707911400E-2,1.017535701E-1,1.502361596E-1,9.938929558E0
9.962911400E-2,7.302315533E-2,1.071405262E-1,9.938929558E0
1.021791140E-1,1.077390742E-2,5.446808785E-2,9.934141159E0
1.047291140E-1,-1.316810958E-2,3.052607179E-2,9.938929558E0
1.072791140E-1,-7.541735470E-2,1.137245819E-2,9.924564362E0
1.098291140E-1,-1.424549967E-1,6.584054790E-3,9.905410767E0
1.123791140E-1,-1.759738177E-1,1.795651275E-3,9.900622368E0
1.149291140E-1,-2.047042400E-1,2.094926499E-2,9.886257172E0
1.174791140E-1,-2.382230759E-1,2.094926499E-2,9.900622368E0
1.200291140E-1,-2.813186944E-1,4.489128292E-2,9.914987564E0
1.225791140E-1,-2.908954918E-1,5.925649032E-2,9.958083153E0
1.251291140E-1,-3.004723191E-1,4.489128292E-2,9.996390343E0
1.276791140E-1,-2.861070931E-1,2.573766746E-2,1.003948593E1
1.302291140E-1,-2.621650994E-1,6.584054790E-3,1.010173512E1
1.327791140E-1,-2.382230759E-1,1.137245819E-2,1.014483070E1
1.353291140E-1,-2.334346622E-1,1.795651275E-3,1.016398430E1
1.378791140E-1,-2.382230759E-1,2.573766746E-2,1.019271564E1
1.404291140E-1,-2.430114746E-1,4.967968538E-2,1.023102283E1
1.429791140E-1,-2.621650994E-1,5.925649032E-2,1.025975323E1
1.455291140E-1,-2.861070931E-1,8.798690885E-2,1.027411842E1
1.480791140E-1,-2.908954918E-1,1.023521200E-1,1.030284882E1
1.506291140E-1,-2.956839204E-1,9.277531505E-2,1.031242561E1
1.531791140E-1,-3.004723191E-1,7.841010392E-2,1.032200241E1
1.557291140E-1,-2.908954918E-1,9.277531505E-2,1.032679081E1
1.582791140E-1,-3.004723191E-1,1.071405262E-1,1.033157921E1
1.608291140E-1,-3.148375154E-1,1.502361596E-1,1.032679081E1
1.633791140E-1,-3.339911401E-1,1.933317930E-1,1.030284882E1
1.659291140E-1,-3.579331636E-1,2.029085904E-1,1.028369522E1
1.684791140E-1,-3.770867586E-1,2.172738016E-1,1.024538803E1
1.710291140E-1,-3.866635859E-1,2.076970041E-1,1.020229244E1
1.735791140E-1,-3.675099611E-1,1.741781682E-1,1.017356110E1
