"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.021791140E-1,1.366200596E-1,1.229047924E-1,-1.771000773E-1
1.047291140E-1,1.312937438E-1,1.314269006E-1,-1.760348231E-1
1.072791140E-1,1.217063740E-1,1.420795321E-1,-1.760348231E-1
1.098291140E-1,1.121189967E-1,1.537974328E-1,-1.760348231E-1
1.123791140E-1,1.014663652E-1,1.687111259E-1,-1.760348231E-1
1.149291140E-1,9.081372619E-2,1.836248189E-1,-1.749695539E-1
1.174791140E-1,8.016108721E-2,1.985385120E-1,-1.739042848E-1
1.200291140E-1,6.950845569E-2,2.134522051E-1,-1.717737615E-1
1.225791140E-1,5.885581672E-2,2.283658981E-1,-1.707084924E-1
1.251291140E-1,4.820318148E-2,2.411490530E-1,-1.685779691E-1
1.276791140E-1,3.755054250E-2,2.528669536E-1,-1.653821766E-1
1.302291140E-1,2.583264373E-2,2.624543309E-1,-1.632516533E-1
1.327791140E-1,1.518000662E-2,2.688459158E-1,-1.600558609E-1
1.353291140E-1,5.592633970E-3,2.720417082E-1,-1.579253376E-1
1.378791140E-1,-2.929474926E-3,2.731069624E-1,-1.557948142E-1
1.404291140E-1,-1.145158429E-2,2.720417082E-1,-1.536642760E-1
1.429791140E-1,-1.784316637E-2,2.688459158E-1,-1.525990218E-1
1.455291140E-1,-2.210422046E-2,2.656501234E-1,-1.504684836E-1
1.480791140E-1,-2.530001104E-2,2.603237927E-1,-1.494032294E-1
1.506291140E-1,-2.743053809E-2,2.560627460E-1,-1.472726911E-1
1.531791140E-1,-2.530001104E-2,2.507364154E-1,-1.440769136E-1
1.557291140E-1,-2.423474751E-2,2.443448454E-1,-1.419463754E-1
1.582791140E-1,-2.103895694E-2,2.368880063E-1,-1.398158520E-1
1.608291140E-1,-1.784316637E-2,2.304964215E-1,-1.387505829E-1
1.633791140E-1,-1.358211134E-2,2.230395675E-1,-1.376853287E-1
1.659291140E-1,-8.255792782E-3,2.155827284E-1,-1.355548054E-1
1.684791140E-1,-2.929474926E-3,2.091911435E-1,-1.344895363E-1
1.710291140E-1,1.331579522E-3,2.027995586E-1,-1.334242672E-1
1.735791140E-1,7.723161485E-3,1.974732429E-1,-1.323590130E-1
1.761291140E-1,1.411474310E-2,1.932121962E-1,-1.312937438E-1
1.786791140E-1,1.944106072E-2,1.910816729E-1,-1.291632205E-1
1.812291140E-1,2.476738021E-2,1.900164038E-1,-1.280979514E-1
1.837791140E-1,2.796317078E-2,1.889511347E-1,-1.270326823E-1
1.863034370E-1,3.115896136E-2,1.900164038E-1,-1.259674281E-1
1.887910410E-1,3.328948840E-2,1.921469271E-1,-1.259674281E-1
1.912785930E-1,3.328948840E-2,1.921469271E-1,-1.270326823E-1
1.937661450E-1,3.328948840E-2,1.942774504E-1,-1.259674281E-1
1.962536970E-1,3.328948840E-2,1.953427196E-1,-1.249021590E-1
1.987412490E-1,3.435475379E-2,1.953427196E-1,-1.238368973E-1
2.012288020E-1,3.542001545E-2,1.942774504E-1,-1.227716357E-1
2.037163540E-1,3.542001545E-2,1.932121962E-1,-1.217063740E-1
2.062039060E-1,3.542001545E-2,1.900164038E-1,-1.206411049E-1
2.086914580E-1,3.648528084E-2,1.878858805E-1,-1.195758432E-1
2.111790100E-1,3.755054250E-2,1.846900880E-1,-1.185105816E-1
2.136665620E-1,3.861580789E-2,1.804290265E-1,-1.174453199E-1
2.161541140E-1,3.861580789E-2,1.740374416E-1,-1.153147891E-1
2.186416660E-1,3.861580789E-2,1.665806025E-1,-1.142495275E-1
2.211292180E-1,3.861580789E-2,1.559279710E-1,-1.131842583E-1
2.236167700E-1,3.861580789E-2,1.431448013E-1,-1.131842583E-1
2.261043220E-1,3.861580789E-2,1.303616315E-1,-1.121189967E-1
2.285918740E-1,3.755054250E-2,1.175784767E-1,-1.121189967E-1
2.310794270E-1,3.755054250E-2,1.047953144E-1,-1.099884734E-1
2.335669790E-1,3.755054250E-2,9.307741374E-2,-1.099884734E-1
2.360545310E-1,3.755054250E-2,8.349003643E-2,-1.089232042E-1
2.385420830E-1,3.542001545E-2,7.390266657E-2,-1.078579426E-1
2.410296350E-1,3.328948840E-2,6.538055837E-2,-1.078579426E-1
2.435171870E-1,3.009369783E-2,5.685844645E-2,-1.067926809E-1
2.460047390E-1,2.583264373E-2,4.940159991E-2,-1.046621501E-1
2.484922910E-1,2.157158963E-2,3.874896467E-2,-1.025316268E-1
2.509798430E-1,1.731053367E-2,2.916159295E-2,-1.004010960E-1
2.534673950E-1,1.411474310E-2,1.744369231E-2,-9.720530361E-2
2.559549470E-1,1.198421605E-2,6.791055668E-3,-9.294424951E-2
2.584424990E-1,1.198421605E-2,-2.796316985E-3,-8.761793375E-2
2.609300520E-1,1.411474310E-2,-9.187898599E-3,-8.229161799E-2
2.634176040E-1,1.624527015E-2,-1.238369010E-2,-7.696529478E-2
2.659051560E-1,2.157158963E-2,-1.238369010E-2,-7.057371736E-2
2.683927080E-1,2.796317078E-2,-9.187898599E-3,-6.524740160E-2
2.708802600E-1,3.542001545E-2,-1.731053460E-3,-6.098634377E-2
2.733678120E-1,4.287686199E-2,9.986846708E-3,-5.779055133E-2
2.758553640E-1,5.246423557E-2,2.383527346E-2,-5.566002429E-2
2.783429160E-1,6.098634377E-2,3.981423005E-2,-5.352949724E-2
2.808304680E-1,7.163897902E-2,5.792371184E-2,-5.352949724E-2
2.833180200E-1,8.229161799E-2,7.709845901E-2,-5.352949724E-2
2.858055720E-1,9.294424951E-2,9.733846784E-2,-5.459476262E-2
2.882931240E-1,1.046621501E-1,1.197090000E-1,-5.672528967E-2
2.907806770E-1,1.142495275E-1,1.410142779E-1,-5.992107838E-2
2.932682290E-1,1.217063740E-1,1.633848101E-1,-6.311687082E-2
2.957557810E-1,1.291632205E-1,1.846900880E-1,-6.737792492E-2
2.982433330E-1,1.355548054E-1,2.038648278E-1,-7.376950979E-2
3.007308850E-1,1.398158520E-1,2.209090441E-1,-7.909582555E-2
3.032184370E-1,1.419463754E-1,2.347574681E-1,-8.442214131E-2
3.057059890E-1,1.430116445E-1,2.443448454E-1,-9.187898785E-2
3.081935410E-1,1.430116445E-1,2.507364154E-1,-9.720530361E-2
3.106810930E-1,1.419463754E-1,2.539322078E-1,-1.025316268E-1
3.131686450E-1,1.387505829E-1,2.549974918E-1,-1.089232042E-1
3.156561970E-1,1.344895363E-1,2.528669536E-1,-1.131842583E-1
3.181437490E-1,1.280979514E-1,2.486059070E-1,-1.174453199E-1
3.206313020E-1,1.217063740E-1,2.432795912E-1,-1.206411049E-1
3.231188540E-1,1.142495275E-1,2.358227372E-1,-1.238368973E-1
3.256064580E-1,1.057274193E-1,2.273006290E-1,-1.270326823E-1
3.280940620E-1,9.614004195E-2,2.177132517E-1,-1.312937438E-1
3.305816660E-1,8.548741043E-2,2.081258893E-1,-1.355548054E-1
3.330692700E-1,7.696529478E-2,1.964079887E-1,-1.387505829E-1
3.355568740E-1,6.844318658E-2,1.846900880E-1,-1.419463754E-1
3.380444790E-1,5.992107838E-2,1.729721874E-1,-1.440769136E-1
3.405320830E-1,5.246423557E-2,1.601890177E-1,-1.451421678E-1
3.430196870E-1,4.607265070E-2,1.484711170E-1,-1.472726911E-1
3.455072910E-1,4.181159660E-2,1.367532164E-1,-1.472726911E-1
3.479948950E-1,3.968106955E-2,1.250353158E-1,-1.494032294E-1
3.504824990E-1,3.755054250E-2,1.154479459E-1,-1.504684836E-1
3.529701040E-1,3.648528084E-2,1.069258377E-1,-1.494032294E-1
3.554577080E-1,3.542001545E-2,9.733846784E-2,-1.483379602E-1
3.579453120E-1,3.328948840E-2,8.881635964E-2,-1.462074369E-1
3.604329160E-1,3.009369783E-2,7.922898233E-2,-1.419463754E-1
3.629205200E-1,2.476738021E-2,6.857634336E-2,-1.366200596E-1
