"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.061120900E-2,-6.266822815E0,-4.164115429E0,6.271012783E0
3.310334400E-2,-6.257246017E0,-4.159327030E0,6.271012783E0
3.559574000E-2,-6.252457619E0,-4.149750233E0,6.294954777E0
3.808855300E-2,-6.262034416E0,-4.149750233E0,6.333261967E0
4.058188600E-2,-6.281188011E0,-4.168903828E0,6.338050365E0
4.307579200E-2,-6.305130005E0,-4.168903828E0,6.347627163E0
4.557381300E-2,-6.324283600E0,-4.192845821E0,6.338050365E0
4.807183400E-2,-6.329071999E0,-4.207211018E0,6.323685169E0
5.052183400E-2,-6.353013992E0,-4.202422619E0,6.271012783E0
5.297183400E-2,-6.362590790E0,-4.202422619E0,6.256647587E0
5.547568800E-2,-6.381744862E0,-4.168903828E0,6.237493992E0
5.797954200E-2,-6.391321659E0,-4.140173435E0,6.199186802E0
6.052954200E-2,-6.420052052E0,-4.121019840E0,6.156091213E0
6.307954200E-2,-6.448782444E0,-4.077924252E0,6.084265232E0
6.562954200E-2,-6.477512836E0,-4.073135853E0,6.007650852E0
6.817954200E-2,-6.515820026E0,-4.068347454E0,5.911882401E0
7.072954200E-2,-6.534973621E0,-4.068347454E0,5.820902824E0
7.327954200E-2,-6.549338818E0,-4.077924252E0,5.782595634E0
7.582954200E-2,-6.587646008E0,-4.058770657E0,5.749076843E0
7.837954200E-2,-6.625953197E0,-4.039616585E0,5.729923248E0
8.092954200E-2,-6.683413982E0,-4.010886192E0,5.696404457E0
8.347954200E-2,-6.731297970E0,-3.986944437E0,5.710769653E0
8.602954200E-2,-6.774393559E0,-3.963002443E0,5.734711647E0
8.857954200E-2,-6.803123951E0,-3.963002443E0,5.710769653E0
9.112954200E-2,-6.807912350E0,-3.977367640E0,5.677250862E0
9.367954200E-2,-6.807912350E0,-3.982156038E0,5.667674065E0
9.622954200E-2,-6.798335552E0,-3.991732836E0,5.610213280E0
9.877954200E-2,-6.764816761E0,-4.006097794E0,5.586271286E0
1.013295420E-1,-6.721721172E0,-4.020462990E0,5.567117691E0
1.038795420E-1,-6.669048786E0,-4.049193859E0,5.576694489E0
1.064295420E-1,-6.649895191E0,-4.073135853E0,5.605424881E0
1.089795420E-1,-6.625953197E0,-4.097077847E0,5.624578476E0
1.115295420E-1,-6.616376400E0,-4.111443043E0,5.705981255E0
1.140795420E-1,-6.582857609E0,-4.144961834E0,5.787384033E0
1.166295420E-1,-6.573280811E0,-4.154538631E0,5.892728806E0
1.191795420E-1,-6.554127216E0,-4.154538631E0,5.983708382E0
1.217295420E-1,-6.534973621E0,-4.159327030E0,6.093842030E0
1.242795420E-1,-6.525396824E0,-4.202422619E0,6.170456409E0
1.268295420E-1,-6.515820026E0,-4.235941410E0,6.223128796E0
1.293795420E-1,-6.511031628E0,-4.250306606E0,6.299743176E0
1.319295420E-1,-6.511031628E0,-4.255095005E0,6.371569157E0
1.344795420E-1,-6.477512836E0,-4.240729809E0,6.433818340E0
1.370295420E-1,-6.434417248E0,-4.245518208E0,6.481702328E0
1.395795420E-1,-6.391321659E0,-4.235941410E0,6.515221596E0
1.421295420E-1,-6.362590790E0,-4.250306606E0,6.582259178E0
1.446795420E-1,-6.338648796E0,-4.269460201E0,6.615777969E0
1.472295420E-1,-6.329071999E0,-4.264671803E0,6.620566368E0
1.497795420E-1,-6.314706802E0,-4.264671803E0,6.620566368E0
1.523295420E-1,-6.333860397E0,-4.264671803E0,6.596624374E0
1.548795420E-1,-6.353013992E0,-4.245518208E0,6.610989571E0
1.574295420E-1,-6.381744862E0,-4.240729809E0,6.591835976E0
1.599795420E-1,-6.400898457E0,-4.207211018E0,6.577470779E0
1.625295420E-1,-6.439205647E0,-4.188057423E0,6.567893982E0
1.650777190E-1,-6.482301235E0,-4.168903828E0,6.563105583E0
1.675654800E-1,-6.520608425E0,-4.164115429E0,6.548740387E0
1.700532400E-1,-6.539762020E0,-4.144961834E0,6.515221596E0
1.725410000E-1,-6.539762020E0,-4.116231441E0,6.467337132E0
1.750287610E-1,-6.554127216E0,-4.116231441E0,6.414664745E0
1.775165210E-1,-6.563704014E0,-4.101866245E0,6.328473568E0
1.800042820E-1,-6.597222805E0,-4.097077847E0,6.247070789E0
1.824920420E-1,-6.621164799E0,-4.092289448E0,6.141726017E0
1.849798030E-1,-6.645106792E0,-4.092289448E0,6.079476833E0
1.874675630E-1,-6.673837185E0,-4.077924252E0,6.036381245E0
1.899553230E-1,-6.683413982E0,-4.049193859E0,6.012439251E0
1.924430840E-1,-6.697779179E0,-4.025251389E0,5.998073578E0
1.949308440E-1,-6.716932774E0,-4.006097794E0,5.978919983E0
1.974186050E-1,-6.721721172E0,-4.001309395E0,5.969343185E0
