"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.092954200E-2,4.101264849E-2,1.291632187E-2,4.380896688E-2
8.347954200E-2,3.462106735E-2,1.078579482E-2,4.913528636E-2
8.602954200E-2,2.609895915E-2,7.590003312E-3,5.446160212E-2
8.857954200E-2,1.651158556E-2,2.263685223E-3,6.085318699E-2
9.112954200E-2,4.793686327E-3,-3.062632866E-3,6.831002980E-2
9.367954200E-2,-7.989477366E-3,-9.454214945E-3,7.576687634E-2
9.622954200E-2,-2.183790505E-2,-1.478053257E-2,8.535424620E-2
9.877954200E-2,-3.781685978E-2,-2.330264263E-2,9.494162351E-2
1.013295420E-1,-5.592634156E-2,-3.075948730E-2,1.045289934E-1
1.038795420E-1,-7.510108501E-2,-3.928159550E-2,1.141163707E-1
1.064295420E-1,-9.427583218E-2,-4.780370742E-2,1.226384789E-1
1.089795420E-1,-1.145158410E-1,-5.632581562E-2,1.311605871E-1
1.115295420E-1,-1.347558498E-1,-6.378266215E-2,1.386174262E-1
1.140795420E-1,-1.528653353E-1,-7.123950869E-2,1.439437568E-1
1.166295420E-1,-1.699095517E-1,-7.763108611E-2,1.492700726E-1
1.191795420E-1,-1.848232448E-1,-8.402267098E-2,1.535311192E-1
1.217295420E-1,-1.954758763E-1,-8.934898674E-2,1.556616426E-1
1.242795420E-1,-2.050632536E-1,-9.574057162E-2,1.567269117E-1
1.268295420E-1,-2.114548385E-1,-1.010668874E-1,1.567269117E-1
1.293795420E-1,-2.157158852E-1,-1.053279415E-1,1.556616426E-1
1.319295420E-1,-2.178464085E-1,-1.106542572E-1,1.535311192E-1
1.344795420E-1,-2.178464085E-1,-1.127847880E-1,1.492700726E-1
1.370295420E-1,-2.135853618E-1,-1.149153188E-1,1.439437568E-1
1.395795420E-1,-2.082590461E-1,-1.159805804E-1,1.386174262E-1
1.421295420E-1,-2.008021921E-1,-1.159805804E-1,1.322258562E-1
1.446795420E-1,-1.901495606E-1,-1.149153188E-1,1.247690022E-1
1.472295420E-1,-1.784316599E-1,-1.127847880E-1,1.162468940E-1
1.497795420E-1,-1.645832360E-1,-1.095889956E-1,1.066595241E-1
1.523295420E-1,-1.496695429E-1,-1.063932031E-1,9.707214683E-2
1.548795420E-1,-1.347558498E-1,-1.021321490E-1,8.641951531E-2
1.574295420E-1,-1.187768951E-1,-9.680583328E-2,7.683213800E-2
1.599795420E-1,-1.027979404E-1,-9.041424841E-2,6.617950648E-2
1.625295420E-1,-8.681898564E-2,-8.508793265E-2,5.659212917E-2
1.650777190E-1,-7.084003091E-2,-7.869634777E-2,4.700475931E-2
1.675654800E-1,-5.486107618E-2,-7.337003201E-2,3.741738573E-2
1.700532400E-1,-3.994738683E-2,-6.910897791E-2,3.102580272E-2
1.725410000E-1,-2.609895915E-2,-6.484792382E-2,2.356895804E-2
1.750287610E-1,-1.225053146E-2,-6.271740049E-2,1.824264042E-2
1.775165210E-1,-5.326318205E-4,-6.058686972E-2,1.398158539E-2
1.800042820E-1,9.054740891E-3,-6.058686972E-2,8.655266836E-3
1.824920420E-1,1.651158556E-2,-5.952160433E-2,4.394212738E-3
1.849798030E-1,2.290316857E-2,-5.845634267E-2,1.198421582E-3
1.874675630E-1,2.716422267E-2,-5.739107728E-2,-1.997369342E-3
1.899553230E-1,2.822948620E-2,-5.419528857E-2,-4.127896391E-3
1.924430840E-1,3.036001325E-2,-5.313002318E-2,-6.258423906E-3
1.949308440E-1,3.249054030E-2,-4.993423447E-2,-7.323687430E-3
1.974186050E-1,3.355580568E-2,-4.780370742E-2,-7.323687430E-3
1.999063650E-1,3.355580568E-2,-4.673844203E-2,-7.323687430E-3
2.023941250E-1,3.355580568E-2,-4.567318037E-2,-6.258423906E-3
2.048818860E-1,3.355580568E-2,-4.567318037E-2,-5.193160381E-3
