"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.495626200E-2,7.432799339E0,-2.320580006E0,6.026804447E0
2.744402200E-2,7.442376137E0,-2.311003208E0,6.007650852E0
2.993178200E-2,7.428010941E0,-2.330156803E0,5.993285179E0
3.241954300E-2,7.423222542E0,-2.349310398E0,5.988496780E0
3.490730300E-2,7.437587738E0,-2.344521999E0,5.969343185E0
3.739506400E-2,7.418434143E0,-2.363675594E0,5.978919983E0
3.988282400E-2,7.404068947E0,-2.349310398E0,5.974131584E0
4.237058400E-2,7.399280548E0,-2.344521999E0,5.974131584E0
4.485834500E-2,7.375338554E0,-2.344521999E0,6.002861977E0
4.734610500E-2,7.360973358E0,-2.344521999E0,6.017227650E0
4.983386600E-2,7.351396084E0,-2.330156803E0,5.998073578E0
5.232162600E-2,7.346607685E0,-2.325368404E0,5.998073578E0
5.480938700E-2,7.317877293E0,-2.330156803E0,6.012439251E0
5.729714700E-2,7.322665691E0,-2.306214809E0,6.031592846E0
5.978490700E-2,7.322665691E0,-2.277484417E0,6.031592846E0
6.227266800E-2,7.327454090E0,-2.287061214E0,6.050746441E0
6.476042800E-2,7.303512096E0,-2.277484417E0,6.050746441E0
6.724818900E-2,7.313088894E0,-2.282272816E0,6.045958042E0
6.973594900E-2,7.293935299E0,-2.267907619E0,6.065111637E0
7.222370900E-2,7.289146900E0,-2.277484417E0,6.050746441E0
7.471147000E-2,7.303512096E0,-2.258330822E0,6.055534840E0
7.719923000E-2,7.303512096E0,-2.263119221E0,6.055534840E0
7.968699100E-2,7.313088894E0,-2.267907619E0,6.050746441E0
8.217475100E-2,7.322665691E0,-2.287061214E0,6.045958042E0
8.466251200E-2,7.341819286E0,-2.272696018E0,6.055534840E0
8.715027200E-2,7.356184959E0,-2.267907619E0,6.045958042E0
8.963803200E-2,7.360973358E0,-2.272696018E0,6.031592846E0
9.212579300E-2,7.375338554E0,-2.263119221E0,6.022016048E0
9.461355300E-2,7.370550156E0,-2.272696018E0,6.041169643E0
9.710131400E-2,7.394492149E0,-2.263119221E0,6.050746441E0
9.958907400E-2,7.394492149E0,-2.272696018E0,6.036381245E0
