"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.744402200E-2,5.352949724E-2,-3.049317189E-2,-1.624527015E-2
2.993178200E-2,5.246423557E-2,-2.836264484E-2,-1.624527015E-2
3.241954300E-2,5.033370852E-2,-2.623211779E-2,-1.624527015E-2
3.490730300E-2,4.820318148E-2,-2.410159074E-2,-1.731053367E-2
3.739506400E-2,4.394212365E-2,-2.197106183E-2,-1.731053367E-2
3.988282400E-2,4.074633494E-2,-1.877527125E-2,-1.624527015E-2
4.237058400E-2,3.542001545E-2,-1.664474420E-2,-1.518000662E-2
4.485834500E-2,3.115896136E-2,-1.451421715E-2,-1.411474310E-2
4.734610500E-2,2.689790726E-2,-1.238369010E-2,-1.198421605E-2
4.983386600E-2,2.157158963E-2,-9.187898599E-3,-8.788425475E-3
5.232162600E-2,1.624527015E-2,-7.057371549E-3,-6.657897960E-3
5.480938700E-2,1.198421605E-2,-5.992108025E-3,-2.396843163E-3
5.729714700E-2,6.657897960E-3,-3.861580743E-3,1.864211401E-3
5.978490700E-2,1.331579522E-3,-2.796316985E-3,6.125265732E-3
6.227266800E-2,-1.864211401E-3,-6.657897611E-4,1.145158429E-2
6.476042800E-2,-6.125265732E-3,3.994738800E-4,1.677790284E-2
6.724818900E-2,-9.321057238E-3,2.530001104E-3,2.316948399E-2
6.973594900E-2,-1.251684781E-2,4.660528619E-3,2.849580161E-2
7.222370900E-2,-1.358211134E-2,6.791055668E-3,3.275685757E-2
7.471147000E-2,-1.571263932E-2,8.921583183E-3,3.808317333E-2
7.719923000E-2,-1.677790284E-2,1.105211023E-2,4.234423116E-2
7.968699100E-2,-1.784316637E-2,1.318263728E-2,4.767054692E-2
8.217475100E-2,-1.677790284E-2,1.637842879E-2,5.193160102E-2
8.466251200E-2,-1.677790284E-2,1.957421936E-2,5.619265884E-2
8.715027200E-2,-1.571263932E-2,2.170474641E-2,6.045371294E-2
8.963803200E-2,-1.464737486E-2,2.490053698E-2,6.364950538E-2
9.212579300E-2,-1.251684781E-2,2.809632942E-2,6.684529036E-2
9.461355300E-2,-1.145158429E-2,3.129211813E-2,6.791055948E-2
9.710131400E-2,-9.321057238E-3,3.235738352E-2,7.004108280E-2
9.958907400E-2,-8.255792782E-3,3.342264518E-2,7.110634446E-2
1.020768340E-1,-6.125265732E-3,3.448791057E-2,7.110634446E-2
1.045645950E-1,-3.994738683E-3,3.448791057E-2,7.110634446E-2
