"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.724976000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
3.221257200E-2,-6.217956543E-3,3.262042999E-3,6.316661835E-3,9.444793530E-3
3.717585400E-2,-2.879619598E-3,3.265857697E-3,6.161689758E-3,7.544829766E-3
4.214007200E-2,1.014328003E-2,-3.756523132E-3,-1.485919952E-2,1.837915684E-2
4.710564500E-2,-5.352020264E-3,-2.149581909E-2,-4.811096191E-2,5.296582875E-2
5.207288500E-2,-2.212142944E-2,-2.975654602E-2,-3.009462357E-2,4.775453946E-2
5.704205200E-2,-7.956027985E-3,-9.620189667E-3,1.307058334E-2,1.807447314E-2
6.201330200E-2,8.987426758E-3,3.641939163E-2,4.683160782E-2,6.000287841E-2
6.698673900E-2,3.389358521E-3,5.605030060E-2,7.330799103E-2,9.234276093E-2
7.196231200E-2,-9.740352631E-3,5.665874481E-2,1.024117470E-1,1.174446838E-1
7.693996800E-2,-2.571916580E-2,6.603908539E-2,1.168770790E-1,1.366853609E-1
8.191950000E-2,-3.588533401E-2,7.489299774E-2,1.004500389E-1,1.303339120E-1
8.690064500E-2,-5.415821075E-2,6.569242477E-2,9.927177429E-2,1.307803182E-1
9.188314500E-2,-8.471584320E-2,5.304431915E-2,1.076960564E-1,1.469316659E-1
9.686663500E-2,-1.092100143E-1,5.944681168E-2,1.250967979E-1,1.763801562E-1
1.018507500E-1,-1.731772423E-1,6.142520905E-2,1.420345306E-1,2.322438835E-1
1.068351250E-1,-2.342820168E-1,9.989452362E-2,1.450672150E-1,2.931065951E-1
1.118170000E-1,-2.569818497E-1,1.416082382E-1,1.530580521E-1,3.309370507E-1
1.167922600E-1,-2.706713676E-1,1.640448570E-1,1.475877762E-1,3.492217863E-1
1.217675200E-1,-2.940940857E-1,1.774363518E-1,1.383228302E-1,3.702812384E-1
1.267427810E-1,-2.948784828E-1,1.959710121E-1,1.300044060E-1,3.771725107E-1
1.317180410E-1,-2.877521515E-1,2.377171516E-1,1.087293625E-1,3.887580470E-1
1.366933020E-1,-2.683606148E-1,2.834768295E-1,8.413934708E-2,3.993193736E-1
1.416685620E-1,-2.691574097E-1,3.010396957E-1,4.709625244E-2,4.065570890E-1
1.466438220E-1,-2.293457985E-1,3.235588074E-1,-1.578903198E-2,3.969119432E-1
1.516190830E-1,-1.686325073E-1,3.276634216E-1,-8.998537064E-2,3.793383810E-1
1.565943430E-1,-1.288361549E-1,3.137297630E-1,-1.891307831E-1,3.883240556E-1
1.615696040E-1,-5.812692642E-2,2.820515633E-1,-2.618975639E-1,3.892584719E-1
1.665448640E-1,-1.731443405E-2,2.699184418E-1,-2.908873558E-1,3.972042404E-1
