"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.431958500E-2,-3.091927767E-1,-1.198421582E-3,4.965460002E-1,5.849440484E-1
4.680724100E-2,-3.422159553E-1,-2.463422157E-2,4.837628603E-1,5.930810315E-1
4.929484500E-2,-3.901528120E-1,-5.446160212E-2,4.635228515E-1,6.083080771E-1
5.178244900E-2,-4.285022914E-1,-7.363634557E-2,4.422175586E-1,6.201555404E-1
5.427005300E-2,-4.604602158E-1,-8.002793044E-2,4.198470414E-1,6.282512381E-1
5.675765800E-2,-4.828307331E-1,-7.257108390E-2,3.964112401E-1,6.289148991E-1
5.924526200E-2,-4.998749495E-1,-4.913528636E-2,3.697796464E-1,6.237196713E-1
6.173286600E-2,-5.147886276E-1,-1.331579551E-4,3.303648829E-1,6.116766341E-1
6.422047000E-2,-5.254412889E-1,6.165213138E-2,2.834932804E-1,6.002149394E-1
6.670807400E-2,-5.275717974E-1,1.255679578E-1,2.366216928E-1,5.916833096E-1
6.919567800E-2,-5.211802125E-1,1.852227151E-1,1.993374527E-1,5.879385071E-1
7.168328300E-2,-5.041360259E-1,2.363553643E-1,1.790974438E-1,5.848870705E-1
7.417088700E-2,-4.753738940E-1,2.747048736E-1,1.748363972E-1,5.762038462E-1
7.665849100E-2,-4.359591305E-1,3.055975139E-1,1.854890287E-1,5.637875342E-1
7.914609500E-2,-3.869570196E-1,3.247722387E-1,2.067943066E-1,5.458723544E-1
8.163369900E-2,-3.273022473E-1,3.354249001E-1,2.355564237E-1,5.245221191E-1
8.412130300E-2,-2.623211741E-1,3.354249001E-1,2.664490640E-1,5.023120203E-1
8.660890800E-2,-1.909485012E-1,3.258375227E-1,2.994722426E-1,4.819907109E-1
8.909651200E-2,-1.153147891E-1,3.066627681E-1,3.303648829E-1,4.652746606E-1
9.158411600E-2,-3.648528084E-2,2.821617126E-1,3.559312224E-1,4.556681280E-1
9.407172000E-2,4.234423116E-2,2.533995807E-1,3.793670237E-1,4.581743337E-1
9.655932400E-2,1.201084778E-1,2.214416862E-1,3.974764943E-1,4.705847749E-1
9.904692800E-2,1.978727281E-1,1.894837767E-1,4.123901725E-1,4.950993562E-1
1.015345330E-1,2.724411786E-1,1.585911214E-1,4.251733422E-1,5.292898171E-1
1.040221370E-1,3.427485824E-1,1.266332120E-1,4.347607195E-1,5.679167583E-1
1.065097410E-1,4.109254479E-1,9.361004084E-2,4.443480968E-1,6.124277873E-1
1.089973450E-1,4.759065211E-1,5.952160433E-2,4.560659826E-1,6.618353410E-1
1.114849490E-1,5.366265774E-1,2.969422378E-2,4.656533599E-1,7.111138320E-1
1.139725530E-1,5.930855274E-1,6.258423906E-3,4.731102288E-1,7.586981609E-1
1.164601580E-1,6.431529522E-1,-1.185105834E-2,4.784365296E-1,8.016780404E-1
1.189477620E-1,6.868287325E-1,-2.250369452E-2,4.795017838E-1,8.379511231E-1
1.214353660E-1,7.241129875E-1,-2.889527567E-2,4.784365296E-1,8.683755343E-1
1.239229700E-1,7.518098354E-1,-3.209106624E-2,4.741754830E-1,8.894325460E-1
1.264105740E-1,7.720498443E-1,-3.635212034E-2,4.677838981E-1,9.034402105E-1
1.288981780E-1,7.837677002E-1,-3.954791278E-2,4.592617750E-1,9.092729091E-1
1.313857830E-1,7.869635224E-1,-4.167843983E-2,4.496744275E-1,9.073344305E-1
1.338733870E-1,7.837677002E-1,-3.954791278E-2,4.379565120E-1,8.987000343E-1
1.363609910E-1,7.731150985E-1,-3.315633163E-2,4.262386262E-1,8.834509971E-1
1.388485950E-1,7.571361065E-1,-2.143843099E-2,4.145207107E-1,8.634478037E-1
1.413361990E-1,7.358308434E-1,-3.328948980E-3,4.028028250E-1,8.388731894E-1
1.438238030E-1,7.134603262E-1,1.797632314E-2,3.900196552E-1,8.133044428E-1
1.463114080E-1,6.900244951E-1,4.247738793E-2,3.772364855E-1,7.875566636E-1
1.487990120E-1,6.655234694E-1,7.017423958E-2,3.655185997E-1,7.625285300E-1
1.512866160E-1,6.420876384E-1,9.893636405E-2,3.548659384E-1,7.402666910E-1
1.537742200E-1,6.186518669E-1,1.287637353E-1,3.431480527E-1,7.190694111E-1
1.562618240E-1,5.962813497E-1,1.585911214E-1,3.335606754E-1,7.014023923E-1
1.587494280E-1,5.749760270E-1,1.873532385E-1,3.239732981E-1,6.860447256E-1
1.612370330E-1,5.547360182E-1,2.139848322E-1,3.154512048E-1,6.730757913E-1
1.637246370E-1,5.355613232E-1,2.395511568E-1,3.090596199E-1,6.631203030E-1
1.662122410E-1,5.185170770E-1,2.619217038E-1,3.026680350E-1,6.550350200E-1
1.686998450E-1,5.025381446E-1,2.810964286E-1,2.962764502E-1,6.475643010E-1
1.711874490E-1,4.854938984E-1,2.970753908E-1,2.888196111E-1,6.382592584E-1
1.736750530E-1,4.695149362E-1,3.077280223E-1,2.824280262E-1,6.284157868E-1
