"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.665152300E-2,8.462306023E0,5.096656799E0,-1.741781682E-1
4.910787700E-2,8.476671219E0,5.101445198E0,-1.885433793E-1
5.156423200E-2,8.476671219E0,5.125387192E0,-1.981201917E-1
5.402407500E-2,8.486248016E0,5.149329185E0,-1.933317930E-1
5.648391900E-2,8.495824814E0,5.144540787E0,-1.981201917E-1
5.894938800E-2,8.505401611E0,5.149329185E0,-1.981201917E-1
6.142115900E-2,8.519766808E0,5.168482780E0,-1.981201917E-1
6.389959600E-2,8.529343605E0,5.154117584E0,-1.933317930E-1
6.638480500E-2,8.543708801E0,5.158905983E0,-2.029085904E-1
6.887662700E-2,8.543708801E0,5.158905983E0,-1.885433793E-1
7.137464800E-2,8.553285599E0,5.144540787E0,-1.741781682E-1
7.387824200E-2,8.562862396E0,5.134963989E0,-1.693897694E-1
7.638652300E-2,8.572439194E0,5.125387192E0,-1.310825497E-1
7.889850200E-2,8.596381187E0,5.134963989E0,-1.119289324E-1
8.141308600E-2,8.615534782E0,5.120598793E0,-9.277531505E-2
8.392907500E-2,8.620323181E0,5.115810394E0,-7.362170517E-2
8.644532500E-2,8.629899979E0,5.111021996E0,-4.489128292E-2
8.893985700E-2,8.629899979E0,5.115810394E0,-3.052607179E-2
9.142777300E-2,8.639476776E0,5.134963989E0,-3.531447425E-2
9.391569000E-2,8.634688377E0,5.144540787E0,-5.925649032E-2
9.640360700E-2,8.605957985E0,5.163694382E0,-7.362170517E-2
9.889152300E-2,8.610746384E0,5.158905983E0,-8.798690885E-2
1.013794400E-1,8.605957985E0,5.158905983E0,-7.841010392E-2
1.038673570E-1,8.610746384E0,5.173271179E0,-9.277531505E-2
1.063552730E-1,8.610746384E0,5.187636375E0,-9.756372124E-2
1.088431900E-1,8.596381187E0,5.206789970E0,-1.167173311E-1
1.113311070E-1,8.596381187E0,5.216366768E0,-1.406593472E-1
1.138190230E-1,8.596381187E0,5.225943565E0,-1.550245583E-1
1.163069400E-1,8.572439194E0,5.230731964E0,-1.741781682E-1
1.187948570E-1,8.548497200E0,5.235520363E0,-1.789665818E-1
1.212827730E-1,8.538920403E0,5.230731964E0,-2.029085904E-1
1.237706900E-1,8.534132004E0,5.216366768E0,-1.933317930E-1
1.262586070E-1,8.524555206E0,5.206789970E0,-2.124854028E-1
1.287465230E-1,8.514978409E0,5.211578369E0,-1.933317930E-1
1.312344400E-1,8.519766808E0,5.202001572E0,-1.741781682E-1
1.337223570E-1,8.524555206E0,5.182847977E0,-1.741781682E-1
1.362102730E-1,8.514978409E0,5.187636375E0,-1.933317930E-1
1.386981900E-1,8.505401611E0,5.173271179E0,-1.693897694E-1
1.411861070E-1,8.495824814E0,5.158905983E0,-1.502361596E-1
1.436740230E-1,8.471882820E0,5.158905983E0,-1.358709484E-1
1.461619400E-1,8.457517624E0,5.154117584E0,-1.071405262E-1
1.486498570E-1,8.443152428E0,5.149329185E0,-6.883329898E-2
1.511377730E-1,8.419210434E0,5.130175591E0,-1.616086066E-2
1.536256900E-1,8.414422035E0,5.120598793E0,1.735796221E-2
1.561136070E-1,8.414422035E0,5.096656799E0,4.129998013E-2
1.586015230E-1,8.395268440E0,5.091868401E0,7.003039867E-2
1.610894400E-1,8.390480042E0,5.087080002E0,7.003039867E-2
1.635773570E-1,8.395268440E0,5.067926407E0,8.918401599E-2
1.660652730E-1,8.400056839E0,5.048772812E0,9.397241473E-2
1.685531900E-1,8.419210434E0,5.043984413E0,8.439560980E-2
1.710411070E-1,8.423998833E0,5.029619217E0,9.876082093E-2
1.735290230E-1,8.433575630E0,5.029619217E0,8.439560980E-2
1.760169400E-1,8.433575630E0,5.039196014E0,7.481880486E-2
1.785048570E-1,8.443152428E0,5.039196014E0,7.481880486E-2
1.809927730E-1,8.428787231E0,5.024830818E0,5.087678507E-2
1.834806900E-1,8.428787231E0,5.029619217E0,3.172317147E-2
1.859686070E-1,8.400056839E0,5.024830818E0,3.651157767E-2
1.884565230E-1,8.376114845E0,5.039196014E0,2.214636654E-2
1.909444400E-1,8.356961250E0,5.043984413E0,-1.137245819E-2
1.934324090E-1,8.352172852E0,5.048772812E0,-3.052607179E-2
1.959203770E-1,8.347384453E0,5.034407616E0,-3.052607179E-2
1.984083460E-1,8.323442459E0,5.043984413E0,-4.967968538E-2
2.008963150E-1,8.313865662E0,5.039196014E0,-3.531447425E-2
2.033842840E-1,8.309077263E0,5.039196014E0,-4.010287672E-2
2.058722520E-1,8.299500465E0,5.034407616E0,-4.010287672E-2
2.083602210E-1,8.299500465E0,5.043984413E0,-4.967968538E-2
2.108481900E-1,8.294712067E0,5.020042419E0,-5.925649032E-2
2.133361590E-1,8.294712067E0,5.020042419E0,-6.404489279E-2
2.158241270E-1,8.309077263E0,5.020042419E0,-7.362170517E-2
2.183120960E-1,8.318654060E0,5.000888824E0,-9.756372124E-2
2.208000650E-1,8.313865662E0,4.986523628E0,-1.167173311E-1
2.232880340E-1,8.309077263E0,4.953004837E0,-1.167173311E-1
2.257760020E-1,8.313865662E0,4.924274445E0,-1.310825497E-1
2.282639710E-1,8.328230858E0,4.924274445E0,-1.502361596E-1
2.307519400E-1,8.337807655E0,4.914697647E0,-1.358709484E-1
2.332399090E-1,8.352172852E0,4.905120850E0,-1.502361596E-1
2.357278770E-1,8.356961250E0,4.900332451E0,-1.646013707E-1
2.382158460E-1,8.361749649E0,4.895544052E0,-1.646013707E-1
2.407038150E-1,8.371326447E0,4.885967255E0,-1.646013707E-1
2.431917840E-1,8.366538048E0,4.895544052E0,-1.741781682E-1
2.456797520E-1,8.356961250E0,4.885967255E0,-1.789665818E-1
2.481677210E-1,8.361749649E0,4.909909248E0,-1.933317930E-1
