"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.402407500E-2,-5.326318205E-4,3.954791278E-2,5.459476262E-3
5.648391900E-2,-1.597895520E-3,4.167843983E-2,7.590003312E-3
5.894938800E-2,-4.793686327E-3,4.274370521E-2,9.720530361E-3
6.142115900E-2,-6.924213842E-3,4.487423226E-2,1.291632187E-2
6.389959600E-2,-9.054740891E-3,4.593949392E-2,1.611211337E-2
6.638480500E-2,-1.012000442E-2,4.593949392E-2,1.824264042E-2
6.887662700E-2,-1.331579592E-2,4.593949392E-2,2.143843099E-2
7.137464800E-2,-1.651158556E-2,4.593949392E-2,2.356895804E-2
7.387824200E-2,-1.864211448E-2,4.487423226E-2,2.569948509E-2
7.638652300E-2,-2.077264152E-2,4.274370521E-2,2.783001214E-2
7.889850200E-2,-2.396843210E-2,3.954791278E-2,2.996053919E-2
8.141308600E-2,-2.716422267E-2,3.635212034E-2,2.996053919E-2
8.392907500E-2,-2.929474972E-2,3.102580272E-2,3.102580272E-2
8.644532500E-2,-3.142527863E-2,2.676474862E-2,2.996053919E-2
8.893985700E-2,-3.355580568E-2,2.143843099E-2,2.783001214E-2
9.142777300E-2,-3.568633273E-2,1.504684892E-2,2.569948509E-2
9.391569000E-2,-3.781685978E-2,9.720530361E-3,2.356895804E-2
9.640360700E-2,-3.994738683E-2,4.394212738E-3,2.037316747E-2
9.889152300E-2,-4.207791388E-2,-1.997369342E-3,1.717737690E-2
1.013794400E-1,-4.420844093E-2,-8.388951421E-3,1.398158539E-2
1.038673570E-1,-4.633896798E-2,-1.478053257E-2,1.078579482E-2
1.063552730E-1,-4.846949503E-2,-2.223737910E-2,7.590003312E-3
1.088431900E-1,-5.060002208E-2,-2.756369673E-2,4.394212738E-3
1.113311070E-1,-5.273054913E-2,-3.395527974E-2,2.263685223E-3
1.138190230E-1,-5.486107618E-2,-3.928159550E-2,1.331579551E-4
1.163069400E-1,-5.699160323E-2,-4.354264960E-2,-1.997369342E-3
1.187948570E-1,-6.018739566E-2,-4.673844203E-2,-4.127896391E-3
1.212827730E-1,-6.338318437E-2,-4.993423447E-2,-5.193160381E-3
1.237706900E-1,-6.551371515E-2,-5.313002318E-2,-7.323687430E-3
1.262586070E-1,-6.764423847E-2,-5.419528857E-2,-6.258423906E-3
1.287465230E-1,-6.977476925E-2,-5.526055023E-2,-7.323687430E-3
1.312344400E-1,-7.190529257E-2,-5.526055023E-2,-6.258423906E-3
1.337223570E-1,-7.297056168E-2,-5.526055023E-2,-6.258423906E-3
1.362102730E-1,-7.510108501E-2,-5.313002318E-2,-6.258423906E-3
1.386981900E-1,-7.510108501E-2,-5.206476152E-2,-6.258423906E-3
1.411861070E-1,-7.510108501E-2,-4.886896908E-2,-4.127896391E-3
1.436740230E-1,-7.297056168E-2,-4.567318037E-2,-3.062632866E-3
1.461619400E-1,-7.084003091E-2,-4.141212255E-2,-9.321057005E-4
1.486498570E-1,-6.870950758E-2,-3.715106845E-2,2.263685223E-3
1.511377730E-1,-6.444845349E-2,-3.289001435E-2,4.394212738E-3
1.536256900E-1,-5.912213027E-2,-2.862896025E-2,7.590003312E-3
1.561136070E-1,-5.273054913E-2,-2.436790615E-2,9.720530361E-3
1.586015230E-1,-4.740423337E-2,-2.010685205E-2,1.185105834E-2
1.610894400E-1,-3.994738683E-2,-1.691105962E-2,1.504684892E-2
1.635773570E-1,-3.355580568E-2,-1.478053257E-2,1.717737690E-2
1.660652730E-1,-2.609895915E-2,-1.265000552E-2,1.930790395E-2
1.685531900E-1,-1.757685095E-2,-1.051947847E-2,2.143843099E-2
1.710411070E-1,-1.012000442E-2,-9.454214945E-3,2.250369452E-2
1.735290230E-1,-4.793686327E-3,-9.454214945E-3,2.250369452E-2
1.760169400E-1,1.597895520E-3,-8.388951421E-3,2.143843099E-2
