"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.365496700E-2,-8.910021782E0,-2.258330822E0,1.607107878E0
3.614611300E-2,-8.871714592E0,-2.291849613E0,1.587954283E0
3.863757100E-2,-8.838195801E0,-2.306214809E0,1.583165884E0
4.112949800E-2,-8.823830605E0,-2.311003208E0,1.578377485E0
4.362199800E-2,-8.819042206E0,-2.296638012E0,1.607107878E0
4.611517500E-2,-8.823830605E0,-2.287061214E0,1.597531080E0
4.861121700E-2,-8.814253807E0,-2.258330822E0,1.640626669E0
5.110725900E-2,-8.809465408E0,-2.253542423E0,1.640626669E0
5.355725900E-2,-8.809465408E0,-2.234388828E0,1.678933978E0
5.600725900E-2,-8.823830605E0,-2.243965626E0,1.688510776E0
5.845725900E-2,-8.833407402E0,-2.243965626E0,1.678933978E0
6.091220600E-2,-8.833407402E0,-2.272696018E0,1.698087573E0
6.336715400E-2,-8.838195801E0,-2.277484417E0,1.698087573E0
6.583324800E-2,-8.842984200E0,-2.287061214E0,1.688510776E0
6.831126900E-2,-8.852560997E0,-2.291849613E0,1.659780383E0
7.080132100E-2,-8.857349396E0,-2.301426411E0,1.659780383E0
7.330283100E-2,-8.900444984E0,-2.315791607E0,1.693299174E0
7.581475900E-2,-8.957905769E0,-2.315791607E0,1.707664371E0
7.833574800E-2,-9.068038940E0,-2.282272816E0,1.750759959E0
8.086408100E-2,-9.187748909E0,-2.224812031E0,1.813009262E0
8.339783100E-2,-9.293093681E0,-2.133832216E0,1.899200439E0
8.593496700E-2,-9.412803650E0,-2.042852640E0,1.966238141E0
8.847335200E-2,-9.498994827E0,-1.927930951E0,2.004545450E0
9.099215400E-2,-9.580398560E0,-1.851316452E0,2.023699045E0
9.347991500E-2,-9.623494148E0,-1.793855667E0,2.023699045E0
9.596762300E-2,-9.637859344E0,-1.736394763E0,1.985391736E0
9.845533100E-2,-9.666589737E0,-1.693299174E0,1.951872945E0
1.009430400E-1,-9.676166534E0,-1.664568782E0,1.908777356E0
1.034307480E-1,-9.671378136E0,-1.640626669E0,1.846528053E0
1.059184560E-1,-9.676166534E0,-1.607107878E0,1.784278870E0
1.084061650E-1,-9.671378136E0,-1.587954283E0,1.722029567E0
1.108938730E-1,-9.657012939E0,-1.597531080E0,1.674145579E0
1.133815810E-1,-9.647436142E0,-1.587954283E0,1.626261473E0
1.158692900E-1,-9.637859344E0,-1.597531080E0,1.568800688E0
1.183569980E-1,-9.594763756E0,-1.607107878E0,1.492186189E0
1.208447060E-1,-9.556455612E0,-1.621473074E0,1.458667397E0
1.233324150E-1,-9.522936821E0,-1.626261473E0,1.425148606E0
1.258201230E-1,-9.513360023E0,-1.631049871E0,1.396418095E0
1.283078310E-1,-9.508571625E0,-1.635838270E0,1.386841297E0
1.307955400E-1,-9.518148422E0,-1.659780383E0,1.401206493E0
1.332832480E-1,-9.518148422E0,-1.669357181E0,1.415571809E0
1.357709560E-1,-9.556455612E0,-1.683722377E0,1.444302201E0
1.382586650E-1,-9.575610161E0,-1.683722377E0,1.482609391E0
1.407463730E-1,-9.585186958E0,-1.712452769E0,1.511339784E0
1.432340810E-1,-9.580398560E0,-1.726817966E0,1.568800688E0
1.457217900E-1,-9.546878815E0,-1.769913554E0,1.611896276E0
1.482094980E-1,-9.498994827E0,-1.803432465E0,1.635838270E0
1.506972060E-1,-9.451110840E0,-1.856104851E0,1.678933978E0
1.531849150E-1,-9.412803650E0,-1.927930951E0,1.693299174E0
1.556726230E-1,-9.384073257E0,-1.966238141E0,1.722029567E0
1.581603310E-1,-9.336189270E0,-2.052429438E0,1.741183162E0
1.606480400E-1,-9.278728485E0,-2.152985811E0,1.745971560E0
1.631357480E-1,-9.235632896E0,-2.205658197E0,1.769913554E0
1.656234560E-1,-9.173383713E0,-2.272696018E0,1.793855667E0
1.681111650E-1,-9.135076523E0,-2.306214809E0,1.817797661E0
1.705988730E-1,-9.096769333E0,-2.349310398E0,1.870470047E0
1.730865810E-1,-9.039308548E0,-2.387617588E0,1.903988957E0
1.755742900E-1,-8.962694168E0,-2.425924778E0,1.951872945E0
1.780619980E-1,-8.886079788E0,-2.469020605E0,1.980603337E0
1.805497060E-1,-8.842984200E0,-2.473809004E0,2.009333849E0
1.830374150E-1,-8.775946617E0,-2.478597403E0,2.047641039E0
