"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.339783100E-2,2.396843210E-2,1.013332009E-1,-7.337003201E-2
8.593496700E-2,3.249054030E-2,1.034637317E-1,-7.123950869E-2
8.847335200E-2,4.207791388E-2,1.077247858E-1,-6.697845459E-2
9.099215400E-2,5.486107618E-2,1.098553166E-1,-6.271740049E-2
9.347991500E-2,6.870950758E-2,1.130511016E-1,-5.632581562E-2
9.596762300E-2,8.255793154E-2,1.162468940E-1,-4.886896908E-2
9.845533100E-2,9.534109384E-2,1.173121557E-1,-4.141212255E-2
1.009430400E-1,1.070589945E-1,1.173121557E-1,-3.289001435E-2
1.034307480E-1,1.177116334E-1,1.173121557E-1,-2.436790615E-2
1.059184560E-1,1.251684725E-1,1.183774248E-1,-1.584579609E-2
1.084061650E-1,1.304948032E-1,1.173121557E-1,-6.258423906E-3
1.108938730E-1,1.326253265E-1,1.162468940E-1,3.328948980E-3
1.133815810E-1,1.336905807E-1,1.162468940E-1,1.398158539E-2
1.158692900E-1,1.315600574E-1,1.162468940E-1,2.356895804E-2
1.183569980E-1,1.272990108E-1,1.151816323E-1,3.209106624E-2
1.208447060E-1,1.198421568E-1,1.141163707E-1,4.167843983E-2
1.233324150E-1,1.102547869E-1,1.141163707E-1,5.020054802E-2
1.258201230E-1,9.960214794E-2,1.141163707E-1,5.765739456E-2
1.283078310E-1,8.575372398E-2,1.141163707E-1,6.511423737E-2
1.307955400E-1,7.190529257E-2,1.141163707E-1,7.044056058E-2
1.332832480E-1,5.805686861E-2,1.162468940E-1,7.789740711E-2
1.357709560E-1,4.420844093E-2,1.183774248E-1,8.428898454E-2
1.382586650E-1,2.929474972E-2,1.215732098E-1,9.068056941E-2
1.407463730E-1,1.544632297E-2,1.258342713E-1,9.813741595E-2
1.432340810E-1,2.663159044E-3,1.300953180E-1,1.055942550E-1
1.457217900E-1,-9.054740891E-3,1.354216337E-1,1.130511016E-1
1.482094980E-1,-2.077264152E-2,1.407479644E-1,1.205079481E-1
1.506972060E-1,-3.036001325E-2,1.450090110E-1,1.258342713E-1
1.531849150E-1,-3.994738683E-2,1.471395344E-1,1.322258562E-1
1.556726230E-1,-5.060002208E-2,1.503353268E-1,1.375521719E-1
1.581603310E-1,-6.018739566E-2,1.524658650E-1,1.418132186E-1
1.606480400E-1,-7.084003091E-2,1.535311192E-1,1.450090110E-1
1.631357480E-1,-8.149266988E-2,1.535311192E-1,1.482048035E-1
1.656234560E-1,-9.214530140E-2,1.524658650E-1,1.492700726E-1
1.681111650E-1,-1.027979404E-1,1.514005959E-1,1.492700726E-1
1.705988730E-1,-1.145158410E-1,1.492700726E-1,1.482048035E-1
1.730865810E-1,-1.251684725E-1,1.471395344E-1,1.460742801E-1
1.755742900E-1,-1.358211190E-1,1.439437568E-1,1.418132186E-1
1.780619980E-1,-1.454084814E-1,1.396826953E-1,1.375521719E-1
1.805497060E-1,-1.539305896E-1,1.354216337E-1,1.311605871E-1
1.830374150E-1,-1.624527127E-1,1.300953180E-1,1.226384789E-1
1.855251230E-1,-1.709748209E-1,1.247690022E-1,1.130511016E-1
1.880128310E-1,-1.773663908E-1,1.194426864E-1,1.034637317E-1
1.905005400E-1,-1.837579757E-1,1.151816323E-1,9.068056941E-2
1.929882480E-1,-1.880190372E-1,1.098553166E-1,8.002793044E-2
1.954759560E-1,-1.912148297E-1,1.055942550E-1,6.831002980E-2
1.979636650E-1,-1.933453530E-1,1.023984700E-1,5.659212917E-2
2.004513730E-1,-1.954758763E-1,9.813741595E-2,4.700475931E-2
2.029390810E-1,-1.954758763E-1,9.494162351E-2,3.741738573E-2
2.054267900E-1,-1.944106072E-1,9.174583107E-2,2.889527567E-2
2.079144980E-1,-1.901495606E-1,8.855003864E-2,2.250369452E-2
2.104022060E-1,-1.837579757E-1,8.535424620E-2,1.717737690E-2
2.128899150E-1,-1.752358675E-1,8.215846121E-2,1.398158539E-2
2.153776230E-1,-1.635179669E-1,8.002793044E-2,1.185105834E-2
2.178653310E-1,-1.518000662E-1,7.789740711E-2,1.078579482E-2
2.203530400E-1,-1.368863732E-1,7.470161468E-2,8.655266836E-3
2.228407480E-1,-1.219726875E-1,7.257108390E-2,8.655266836E-3
2.253284560E-1,-1.059937328E-1,7.044056058E-2,8.655266836E-3
2.278161650E-1,-8.894951642E-2,6.937529147E-2,7.590003312E-3
2.303038730E-1,-7.190529257E-2,6.831002980E-2,6.524739787E-3
2.327915810E-1,-5.379581451E-2,6.724476814E-2,5.459476262E-3
2.352792900E-1,-3.675159439E-2,6.511423737E-2,5.459476262E-3
2.377669980E-1,-2.183790505E-2,6.511423737E-2,5.459476262E-3
2.402547060E-1,-5.858949851E-3,6.404897571E-2,5.459476262E-3
2.427424150E-1,9.054740891E-3,6.298371404E-2,8.655266836E-3
2.452301230E-1,2.290316857E-2,6.191844866E-2,1.185105834E-2
2.477178310E-1,3.462106735E-2,5.978792161E-2,1.611211337E-2
2.502055400E-1,4.420844093E-2,5.765739456E-2,2.250369452E-2
2.526932480E-1,5.379581451E-2,5.659212917E-2,2.889527567E-2
2.551809560E-1,6.018739566E-2,5.552686751E-2,3.635212034E-2
2.576686650E-1,6.444845349E-2,5.339634046E-2,4.274370521E-2
2.601563730E-1,6.551371515E-2,5.233107507E-2,5.126581341E-2
2.626440810E-1,6.551371515E-2,5.126581341E-2,5.872265995E-2
2.651317900E-1,6.338318437E-2,4.913528636E-2,6.511423737E-2
2.676194980E-1,5.912213027E-2,4.807002097E-2,7.150582224E-2
2.701072060E-1,5.379581451E-2,4.700475931E-2,7.683213800E-2
2.725949150E-1,4.740423337E-2,4.593949392E-2,8.109319210E-2
2.750826230E-1,3.994738683E-2,4.593949392E-2,8.535424620E-2
2.775703310E-1,3.355580568E-2,4.700475931E-2,8.748477697E-2
2.800580400E-1,2.716422267E-2,4.807002097E-2,8.855003864E-2
2.825457480E-1,2.077264152E-2,5.126581341E-2,8.855003864E-2
2.850334560E-1,1.438105945E-2,5.339634046E-2,8.855003864E-2
2.875211650E-1,1.012000442E-2,5.659212917E-2,8.855003864E-2
2.900088730E-1,6.924213842E-3,6.085318699E-2,8.855003864E-2
2.924965810E-1,3.728422802E-3,6.511423737E-2,8.961530030E-2
2.949842900E-1,1.597895520E-3,6.937529147E-2,9.068056941E-2
2.974719980E-1,-1.597895520E-3,7.150582224E-2,9.281109273E-2
2.999597060E-1,-4.793686327E-3,7.576687634E-2,9.494162351E-2
3.024474150E-1,-7.989477366E-3,7.896266878E-2,9.707214683E-2
3.049351230E-1,-1.225053146E-2,8.322372288E-2,1.002679393E-1
3.074228310E-1,-1.757685095E-2,8.641951531E-2,1.045289934E-1
3.099105400E-1,-2.290316857E-2,8.855003864E-2,1.087900475E-1
3.123982480E-1,-2.822948620E-2,8.961530030E-2,1.141163707E-1
3.148859560E-1,-3.462106735E-2,8.961530030E-2,1.205079481E-1
3.173736650E-1,-4.207791388E-2,8.855003864E-2,1.268995255E-1
3.198613730E-1,-5.166528746E-2,8.641951531E-2,1.343563795E-1
3.223490810E-1,-6.125266105E-2,8.535424620E-2,1.428784877E-1
3.248367900E-1,-7.190529257E-2,8.215846121E-2,1.514005959E-1
3.273244980E-1,-8.468846232E-2,7.789740711E-2,1.599227041E-1
3.298122060E-1,-9.747162461E-2,7.470161468E-2,1.695100814E-1
3.322999150E-1,-1.123853177E-1,6.937529147E-2,1.769669205E-1
3.347876230E-1,-1.272990108E-1,6.298371404E-2,1.822932363E-1
3.372753310E-1,-1.422126889E-1,5.659212917E-2,1.876195520E-1
3.397630400E-1,-1.560611278E-1,5.020054802E-2,1.908153445E-1
3.422507480E-1,-1.699095517E-1,4.274370521E-2,1.918806136E-1
3.447384560E-1,-1.826927215E-1,3.741738573E-2,1.940111369E-1
3.472261650E-1,-1.933453530E-1,3.315633163E-2,1.940111369E-1
3.497138730E-1,-2.029327303E-1,2.889527567E-2,1.950764060E-1
3.522015810E-1,-2.093243003E-1,2.676474862E-2,1.961416751E-1
3.546892900E-1,-2.146506310E-1,2.463422157E-2,1.972069293E-1
3.571769980E-1,-2.178464085E-1,2.356895804E-2,1.982721984E-1
3.596647060E-1,-2.189116776E-1,2.356895804E-2,2.004027218E-1
3.621524150E-1,-2.178464085E-1,2.250369452E-2,2.004027218E-1
3.646401230E-1,-2.135853618E-1,2.250369452E-2,2.014679909E-1
3.671278310E-1,-2.071937770E-1,2.143843099E-2,2.004027218E-1
3.696155400E-1,-1.965411454E-1,2.143843099E-2,1.972069293E-1
3.721032480E-1,-1.837579757E-1,2.250369452E-2,1.940111369E-1
3.745909560E-1,-1.688442826E-1,2.356895804E-2,1.876195520E-1
3.770786650E-1,-1.507348120E-1,2.569948509E-2,1.812279820E-1
3.795663730E-1,-1.304948032E-1,2.889527567E-2,1.737711281E-1
3.820540810E-1,-1.091895252E-1,3.315633163E-2,1.663142890E-1
3.845417900E-1,-8.788424730E-2,3.848264739E-2,1.577921808E-1
3.870294980E-1,-6.444845349E-2,4.487423226E-2,1.492700726E-1
3.895172060E-1,-4.207791388E-2,5.233107507E-2,1.418132186E-1
3.920049150E-1,-2.077264152E-2,5.978792161E-2,1.343563795E-1
3.944926230E-1,-5.326318205E-4,6.617950648E-2,1.258342713E-1
3.969803310E-1,1.757685095E-2,7.363634557E-2,1.194426864E-1
3.994680400E-1,3.249054030E-2,7.896266878E-2,1.119858399E-1
4.019557480E-1,4.527370632E-2,8.322372288E-2,1.034637317E-1
4.044434560E-1,5.592634156E-2,8.535424620E-2,9.707214683E-2
4.069311650E-1,6.338318437E-2,8.641951531E-2,9.068056941E-2
4.094188730E-1,6.870950758E-2,8.641951531E-2,8.535424620E-2
4.119065810E-1,7.084003091E-2,8.641951531E-2,8.109319210E-2
4.143942900E-1,6.977476925E-2,8.535424620E-2,7.789740711E-2
4.168819980E-1,6.657897681E-2,8.428898454E-2,7.576687634E-2
4.193697060E-1,6.018739566E-2,8.322372288E-2,7.363634557E-2
4.218574150E-1,5.273054913E-2,8.002793044E-2,7.150582224E-2
4.243451230E-1,4.314317927E-2,7.789740711E-2,7.044056058E-2
4.268328310E-1,3.142527863E-2,7.363634557E-2,6.937529147E-2
4.293205400E-1,1.970737800E-2,6.831002980E-2,6.937529147E-2
4.318082480E-1,6.924213842E-3,6.191844866E-2,6.937529147E-2
4.342959560E-1,-5.858949851E-3,5.552686751E-2,7.150582224E-2
4.367836650E-1,-1.757685095E-2,4.913528636E-2,7.470161468E-2
4.392713730E-1,-2.929474972E-2,4.167843983E-2,7.789740711E-2
4.417590810E-1,-4.101264849E-2,3.315633163E-2,8.215846121E-2
4.442467900E-1,-5.166528746E-2,2.356895804E-2,8.855003864E-2
4.467344980E-1,-6.125266105E-2,1.291632187E-2,9.600688517E-2
4.492222060E-1,-6.870950758E-2,1.198421582E-3,1.034637317E-1
4.517099150E-1,-7.403582335E-2,-1.158474199E-2,1.119858399E-1
4.541976230E-1,-7.723161578E-2,-2.543316968E-2,1.194426864E-1
4.566853310E-1,-7.723161578E-2,-3.821633384E-2,1.258342713E-1
4.591730400E-1,-7.403582335E-2,-4.886896908E-2,1.300953180E-1
4.616607480E-1,-6.657897681E-2,-5.845634267E-2,1.343563795E-1
4.641484560E-1,-5.699160323E-2,-6.591318548E-2,1.364869028E-1
4.666361650E-1,-4.314317927E-2,-7.123950869E-2,1.375521719E-1
4.691238730E-1,-2.716422267E-2,-7.230477035E-2,1.375521719E-1
4.716115810E-1,-9.054740891E-3,-7.123950869E-2,1.375521719E-1
4.740992900E-1,1.225053146E-2,-6.804371625E-2,1.375521719E-1
4.765869980E-1,3.355580568E-2,-6.165213138E-2,1.375521719E-1
4.790747060E-1,5.486107618E-2,-5.419528857E-2,1.364869028E-1
4.815624150E-1,7.829687744E-2,-4.460791498E-2,1.354216337E-1
4.840501230E-1,1.006674170E-1,-3.502054140E-2,1.343563795E-1
4.865378310E-1,1.219726875E-1,-2.543316968E-2,1.322258562E-1
4.890255400E-1,1.411474347E-1,-1.691105962E-2,1.290300637E-1
4.915132480E-1,1.592569202E-1,-9.454214945E-3,1.247690022E-1
4.940009560E-1,1.752358675E-1,-1.997369342E-3,1.194426864E-1
4.964886650E-1,1.880190372E-1,2.263685223E-3,1.141163707E-1
4.989763730E-1,1.976063997E-1,6.524739787E-3,1.077247858E-1
5.014640810E-1,2.050632536E-1,8.655266836E-3,1.013332009E-1
5.039517900E-1,2.103895694E-1,1.078579482E-2,9.494162351E-2
5.064394980E-1,2.125200927E-1,1.291632187E-2,8.748477697E-2
5.089272060E-1,2.114548385E-1,1.398158539E-2,8.109319210E-2
5.114149150E-1,2.093243003E-1,1.398158539E-2,7.470161468E-2
5.139026230E-1,2.061285079E-1,1.291632187E-2,6.831002980E-2
5.163903310E-1,2.008021921E-1,1.078579482E-2,6.085318699E-2
5.188780400E-1,1.954758763E-1,8.655266836E-3,5.446160212E-2
5.213657480E-1,1.880190372E-1,5.459476262E-3,4.807002097E-2
5.238534560E-1,1.816274524E-1,2.263685223E-3,4.167843983E-2
5.263411650E-1,1.731053442E-1,-1.997369342E-3,3.741738573E-2
5.288288730E-1,1.645832360E-1,-6.258423906E-3,3.315633163E-2
5.313165810E-1,1.549958587E-1,-1.051947847E-2,3.102580272E-2
5.338042900E-1,1.454084814E-1,-1.478053257E-2,2.889527567E-2
5.362919980E-1,1.358211190E-1,-2.010685205E-2,2.889527567E-2
5.387797060E-1,1.262337416E-1,-2.436790615E-2,3.102580272E-2
5.412674150E-1,1.177116334E-1,-2.862896025E-2,3.422159329E-2
5.437551230E-1,1.102547869E-1,-3.289001435E-2,3.741738573E-2
5.462428310E-1,1.027979404E-1,-3.715106845E-2,4.061317816E-2
5.487305400E-1,9.640636295E-2,-4.034686089E-2,4.487423226E-2
5.512182480E-1,9.001477808E-2,-4.141212255E-2,4.593949392E-2
5.537059560E-1,8.362319320E-2,-4.247738793E-2,4.807002097E-2
5.561936650E-1,7.616634667E-2,-4.247738793E-2,4.913528636E-2
5.586813730E-1,6.977476925E-2,-4.141212255E-2,4.913528636E-2
5.611690810E-1,6.125266105E-2,-4.034686089E-2,4.913528636E-2
5.636567900E-1,5.273054913E-2,-3.821633384E-2,4.700475931E-2
5.661444980E-1,4.314317927E-2,-3.502054140E-2,4.380896688E-2
5.686322060E-1,3.249054030E-2,-3.289001435E-2,3.954791278E-2
5.711199150E-1,1.970737800E-2,-2.969422378E-2,3.528685868E-2
5.736076230E-1,5.858949851E-3,-2.543316968E-2,3.102580272E-2
5.760953310E-1,-7.989477366E-3,-2.117211558E-2,2.569948509E-2
5.785830400E-1,-2.396843210E-2,-1.691105962E-2,2.037316747E-2
5.810707480E-1,-3.994738683E-2,-1.371526904E-2,1.398158539E-2
5.835584560E-1,-5.699160323E-2,-1.158474199E-2,6.524739787E-3
5.860461650E-1,-7.510108501E-2,-9.454214945E-3,-3.062632866E-3
5.885338730E-1,-9.321057051E-2,-1.051947847E-2,-1.265000552E-2
5.910215810E-1,-1.113200486E-1,-1.265000552E-2,-2.223737910E-2
5.935092900E-1,-1.294295341E-1,-1.584579609E-2,-3.182475269E-2
5.959969980E-1,-1.464737505E-1,-2.010685205E-2,-4.141212255E-2
5.984847060E-1,-1.624527127E-1,-2.436790615E-2,-4.993423447E-2
6.009724150E-1,-1.773663908E-1,-2.969422378E-2,-5.739107728E-2
6.034601230E-1,-1.922800839E-1,-3.608580679E-2,-6.484792382E-2
6.059478310E-1,-2.050632536E-1,-4.247738793E-2,-7.123950869E-2
