"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.075548500E-2,9.060855865E0,1.960252643E0,-3.114257812E0
3.322668300E-2,9.084798813E0,1.945887446E0,-3.109469414E0
3.569918300E-2,9.094375610E0,1.941099048E0,-3.128623009E0
3.817355800E-2,9.127894402E0,1.936310649E0,-3.138199806E0
4.065022400E-2,9.142259598E0,1.921945453E0,-3.152565002E0
4.312954700E-2,9.161413193E0,1.907580256E0,-3.171718597E0
4.561178700E-2,9.161413193E0,1.902791858E0,-3.186083794E0
4.809704700E-2,9.185355186E0,1.883638144E0,-3.210026026E0
5.058230800E-2,9.199720383E0,1.874061346E0,-3.224391222E0
5.307064100E-2,9.218873978E0,1.859696150E0,-3.243544817E0
5.556189100E-2,9.242815971E0,1.830965757E0,-3.267486811E0
5.805579700E-2,9.252392769E0,1.807023764E0,-3.277063608E0
6.055204700E-2,9.247604370E0,1.792658567E0,-3.272275209E0
6.305017200E-2,9.266757965E0,1.778293371E0,-3.257910013E0
6.554970400E-2,9.271546364E0,1.778293371E0,-3.224391222E0
6.805012000E-2,9.281123161E0,1.778293371E0,-3.195660830E0
7.055084900E-2,9.266757965E0,1.773504853E0,-3.219602823E0
7.304720400E-2,9.242815971E0,1.768716455E0,-3.214814425E0
7.553496400E-2,9.199720383E0,1.759139657E0,-3.214814425E0
7.802272400E-2,9.156624794E0,1.759139657E0,-3.219602823E0
8.051043300E-2,9.123106003E0,1.773504853E0,-3.224391222E0
8.299814100E-2,9.103952408E0,1.792658567E0,-3.229179621E0
8.548584900E-2,9.089587212E0,1.797446966E0,-3.238756418E0
8.797355800E-2,9.056067467E0,1.811812162E0,-3.291428804E0
9.046126600E-2,9.032125473E0,1.816600561E0,-3.301005602E0
9.294897400E-2,9.027337074E0,1.821388960E0,-3.344101191E0
9.543668300E-2,9.003395081E0,1.807023764E0,-3.363254786E0
9.792439100E-2,8.945934296E0,1.797446966E0,-3.363254786E0
1.004120990E-1,8.941145897E0,1.792658567E0,-3.372831583E0
1.028998080E-1,8.936357498E0,1.792658567E0,-3.368043184E0
1.053875160E-1,8.921992302E0,1.797446966E0,-3.368043184E0
1.078752240E-1,8.921992302E0,1.787870169E0,-3.363254786E0
1.103629330E-1,8.912415504E0,1.802235365E0,-3.368043184E0
1.128506410E-1,8.921992302E0,1.797446966E0,-3.396773577E0
1.153383490E-1,8.931569099E0,1.797446966E0,-3.435081005E0
1.178260580E-1,8.926780701E0,1.797446966E0,-3.468599796E0
1.203137660E-1,8.917203903E0,1.778293371E0,-3.497330189E0
1.228014740E-1,8.921992302E0,1.749562860E0,-3.535637379E0
1.252891830E-1,8.907627106E0,1.716044068E0,-3.535637379E0
1.277768910E-1,8.907627106E0,1.706467271E0,-3.540425777E0
1.302645990E-1,8.907627106E0,1.711255670E0,-3.535637379E0
1.327523080E-1,8.921992302E0,1.692102075E0,-3.535637379E0
1.352400160E-1,8.936357498E0,1.682525277E0,-3.521272182E0
1.377277240E-1,8.979453087E0,1.672948480E0,-3.511695385E0
1.402154330E-1,8.993818283E0,1.672948480E0,-3.482964993E0
1.427031410E-1,9.017760277E0,1.682525277E0,-3.449446201E0
1.451908490E-1,9.032125473E0,1.672948480E0,-3.406350374E0
1.476785580E-1,9.060855865E0,1.682525277E0,-3.382408381E0
1.501662660E-1,9.103952408E0,1.687313676E0,-3.358466387E0
1.526539740E-1,9.132682800E0,1.668160081E0,-3.348889589E0
1.551416830E-1,9.166201591E0,1.649006367E0,-3.310582399E0
1.576293910E-1,9.209297180E0,1.639429569E0,-3.286640406E0
1.601171520E-1,9.223662376E0,1.644217968E0,-3.272275209E0
1.626049120E-1,9.233239174E0,1.649006367E0,-3.224391222E0
1.650926720E-1,9.223662376E0,1.653794765E0,-3.195660830E0
1.675804330E-1,9.228450775E0,1.668160081E0,-3.138199806E0
1.700681930E-1,9.218873978E0,1.687313676E0,-3.104681015E0
1.725559540E-1,9.218873978E0,1.692102075E0,-3.066373825E0
1.750437140E-1,9.204508781E0,1.692102075E0,-3.042431831E0
1.775314740E-1,9.194931984E0,1.692102075E0,-2.994547844E0
1.800192350E-1,9.166201591E0,1.658583283E0,-2.956240654E0
1.825069950E-1,9.175778389E0,1.653794765E0,-2.917933226E0
1.849947560E-1,9.156624794E0,1.634641171E0,-2.879626036E0
1.874825160E-1,9.118317604E0,1.634641171E0,-2.836530447E0
1.899702770E-1,9.094375610E0,1.639429569E0,-2.812588453E0
1.924580370E-1,9.099164009E0,1.663371682E0,-2.759916067E0
1.949457970E-1,9.089587212E0,1.682525277E0,-2.726397276E0
1.974335580E-1,9.094375610E0,1.696890473E0,-2.673724651E0
1.999213180E-1,9.094375610E0,1.711255670E0,-2.649782658E0
2.024090790E-1,9.070432663E0,1.739986062E0,-2.659359455E0
2.048968390E-1,9.036913872E0,1.768716455E0,-2.654571056E0
2.073845990E-1,9.003395081E0,1.797446966E0,-2.659359455E0
2.098723600E-1,8.969876289E0,1.835754156E0,-2.668936253E0
2.123601200E-1,8.950722694E0,1.859696150E0,-2.702455282E0
2.148478810E-1,8.931569099E0,1.869272947E0,-2.740762472E0
2.173356410E-1,8.912415504E0,1.893214941E0,-2.759916067E0
2.198234020E-1,8.912415504E0,1.917157054E0,-2.764704466E0
2.223111620E-1,8.893261909E0,1.945887446E0,-2.788646460E0
2.247989220E-1,8.878896713E0,1.969829440E0,-2.822165251E0
2.272866830E-1,8.888473511E0,1.984194636E0,-2.860472441E0
2.297744430E-1,8.883685112E0,1.998559833E0,-2.889202833E0
2.322622040E-1,8.888473511E0,2.027290344E0,-2.946663857E0
2.347499640E-1,8.888473511E0,2.032078743E0,-2.956240654E0
2.372377240E-1,8.898050308E0,2.046443939E0,-2.941875219E0
2.397254850E-1,8.936357498E0,2.060809135E0,-2.946663857E0
2.422132450E-1,8.945934296E0,2.065597534E0,-2.970605850E0
2.447010060E-1,8.969876289E0,2.065597534E0,-2.975394249E0
2.471887660E-1,8.960299492E0,2.070385933E0,-3.008913040E0
2.496765270E-1,8.955511093E0,2.056020737E0,-3.061585426E0
2.521642870E-1,8.950722694E0,2.060809135E0,-3.071162224E0
2.546520470E-1,8.984241486E0,2.056020737E0,-3.071162224E0
2.571398080E-1,9.022548676E0,2.065597534E0,-3.099892616E0
2.596275680E-1,9.051279068E0,2.051232338E0,-3.128623009E0
2.621153290E-1,9.070432663E0,2.046443939E0,-3.152565002E0
2.646030890E-1,9.084798813E0,2.051232338E0,-3.205237627E0
2.670908490E-1,9.099164009E0,2.051232338E0,-3.243544817E0
2.695786100E-1,9.123106003E0,2.036867142E0,-3.262698412E0
2.720663700E-1,9.156624794E0,2.017713547E0,-3.301005602E0
2.745541310E-1,9.185355186E0,2.003348351E0,-3.315370798E0
2.770428810E-1,9.194931984E0,1.998559833E0,-3.334524393E0
2.795303290E-1,9.214085579E0,2.017713547E0,-3.353677988E0
2.820177770E-1,9.242815971E0,2.041655540E0,-3.363254786E0
2.845052240E-1,9.238027573E0,2.036867142E0,-3.387196779E0
2.869926720E-1,9.247604370E0,2.046443939E0,-3.406350374E0
2.894801200E-1,9.266757965E0,2.056020737E0,-3.435081005E0
2.919676200E-1,9.257181168E0,2.060809135E0,-3.459022999E0
2.944551720E-1,9.257181168E0,2.046443939E0,-3.492541790E0
2.969427770E-1,9.252392769E0,2.051232338E0,-3.492541790E0
2.994304330E-1,9.228450775E0,2.065597534E0,-3.521272182E0
3.019181410E-1,9.204508781E0,2.065597534E0,-3.530848980E0
3.044059020E-1,9.161413193E0,2.075174332E0,-3.554790974E0
3.068937140E-1,9.147047997E0,2.099116325E0,-3.550002575E0
3.093815790E-1,9.113529205E0,2.118269920E0,-3.550002575E0
3.118694950E-1,9.103952408E0,2.113481522E0,-3.540425777E0
3.143574640E-1,9.065644264E0,2.123058319E0,-3.554790974E0
3.168454330E-1,9.036913872E0,2.137423515E0,-3.583521366E0
3.193334020E-1,9.012971878E0,2.147000313E0,-3.593098164E0
3.218213700E-1,8.998606682E0,2.156577110E0,-3.597886562E0
3.243093390E-1,8.969876289E0,2.161365509E0,-3.593098164E0
3.267973080E-1,8.955511093E0,2.170942307E0,-3.573944569E0
3.292852770E-1,8.960299492E0,2.185307503E0,-3.573944569E0
3.317730890E-1,8.945934296E0,2.190095901E0,-3.564367771E0
3.342607970E-1,8.945934296E0,2.194884300E0,-3.573944569E0
3.367485060E-1,8.969876289E0,2.209249735E0,-3.583521366E0
3.392362140E-1,8.960299492E0,2.190095901E0,-3.597886562E0
3.417239220E-1,8.960299492E0,2.175730705E0,-3.617040157E0
3.442116310E-1,8.945934296E0,2.175730705E0,-3.617040157E0
3.466993390E-1,8.936357498E0,2.194884300E0,-3.597886562E0
3.491870470E-1,8.931569099E0,2.190095901E0,-3.593098164E0
3.516747560E-1,8.917203903E0,2.199672699E0,-3.588309765E0
3.541624640E-1,8.893261909E0,2.223614931E0,-3.583521366E0
3.566501720E-1,8.898050308E0,2.233191729E0,-3.573944569E0
3.591378810E-1,8.893261909E0,2.247556925E0,-3.564367771E0
3.616255890E-1,8.878896713E0,2.247556925E0,-3.578732967E0
3.641132970E-1,8.869319916E0,2.242768526E0,-3.573944569E0
3.666010060E-1,8.859743118E0,2.199672699E0,-3.569156170E0
3.690887140E-1,8.840589523E0,2.199672699E0,-3.554790974E0
3.715764220E-1,8.840589523E0,2.180519104E0,-3.545214176E0
3.740641310E-1,8.845377922E0,2.185307503E0,-3.526060581E0
3.765518390E-1,8.840589523E0,2.194884300E0,-3.502118587E0
3.790395470E-1,8.845377922E0,2.204461098E0,-3.478176594E0
3.815272560E-1,8.840589523E0,2.209249735E0,-3.459022999E0
3.840149640E-1,8.821435928E0,2.190095901E0,-3.459022999E0
3.865026720E-1,8.811859131E0,2.180519104E0,-3.463811398E0
3.889903810E-1,8.807070732E0,2.161365509E0,-3.449446201E0
3.914780890E-1,8.811859131E0,2.137423515E0,-3.439869404E0
3.939657970E-1,8.797493935E0,2.123058319E0,-3.415927172E0
3.964535060E-1,8.792705536E0,2.118269920E0,-3.363254786E0
3.989412140E-1,8.778340340E0,2.118269920E0,-3.310582399E0
4.014289220E-1,8.763975143E0,2.118269920E0,-3.262698412E0
4.039166310E-1,8.730456352E0,2.123058319E0,-3.229179621E0
4.064043390E-1,8.696937561E0,2.142211914E0,-3.195660830E0
4.088920470E-1,8.672995567E0,2.137423515E0,-3.152565002E0
4.113798080E-1,8.639476776E0,2.132635117E0,-3.085527420E0
4.138675680E-1,8.610746384E0,2.147000313E0,-3.023278236E0
4.163553290E-1,8.562862396E0,2.137423515E0,-2.975394249E0
4.188430890E-1,8.553285599E0,2.156577110E0,-2.932298422E0
4.213308490E-1,8.514978409E0,2.175730705E0,-2.893991232E0
4.238186100E-1,8.457517624E0,2.190095901E0,-2.879626036E0
4.263063700E-1,8.423998833E0,2.185307503E0,-2.850895643E0
