"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.809704700E-2,1.331579592E-2,-1.371526904E-2,-4.141212255E-2
5.058230800E-2,1.438105945E-2,-1.584579609E-2,-4.141212255E-2
5.307064100E-2,1.544632297E-2,-1.797632314E-2,-4.141212255E-2
5.556189100E-2,1.544632297E-2,-1.904158667E-2,-4.354264960E-2
5.805579700E-2,1.438105945E-2,-2.223737910E-2,-4.354264960E-2
6.055204700E-2,1.331579592E-2,-2.543316968E-2,-4.673844203E-2
6.305017200E-2,1.118526794E-2,-2.756369673E-2,-4.886896908E-2
6.554970400E-2,9.054740891E-3,-2.969422378E-2,-5.313002318E-2
6.805012000E-2,6.924213842E-3,-3.289001435E-2,-5.632581562E-2
7.055084900E-2,6.924213842E-3,-3.608580679E-2,-6.058686972E-2
7.304720400E-2,5.858949851E-3,-4.034686089E-2,-6.484792382E-2
7.553496400E-2,4.793686327E-3,-4.247738793E-2,-7.017423958E-2
7.802272400E-2,3.728422802E-3,-4.567318037E-2,-7.337003201E-2
8.051043300E-2,2.663159044E-3,-4.886896908E-2,-7.763108611E-2
8.299814100E-2,2.663159044E-3,-5.206476152E-2,-8.082687855E-2
8.548584900E-2,1.597895520E-3,-5.632581562E-2,-8.402267098E-2
8.797355800E-2,5.326318205E-4,-5.845634267E-2,-8.615319431E-2
9.046126600E-2,5.326318205E-4,-6.165213138E-2,-8.721846342E-2
9.294897400E-2,-5.326318205E-4,-6.271740049E-2,-8.828372508E-2
9.543668300E-2,-1.597895520E-3,-6.378266215E-2,-8.721846342E-2
9.792439100E-2,-2.663159044E-3,-6.484792382E-2,-8.615319431E-2
1.004120990E-1,-3.728422802E-3,-6.378266215E-2,-8.508793265E-2
1.028998080E-1,-4.793686327E-3,-6.165213138E-2,-8.295740932E-2
1.053875160E-1,-6.924213842E-3,-5.952160433E-2,-8.189214021E-2
1.078752240E-1,-1.012000442E-2,-5.845634267E-2,-7.976161689E-2
1.103629330E-1,-1.331579592E-2,-5.739107728E-2,-7.763108611E-2
1.128506410E-1,-1.757685095E-2,-5.739107728E-2,-7.550056279E-2
1.153383490E-1,-2.290316857E-2,-5.845634267E-2,-7.337003201E-2
1.178260580E-1,-2.929474972E-2,-5.845634267E-2,-7.123950869E-2
1.203137660E-1,-3.781685978E-2,-5.952160433E-2,-6.910897791E-2
1.228014740E-1,-4.740423337E-2,-6.058686972E-2,-6.697845459E-2
1.252891830E-1,-5.805686861E-2,-6.165213138E-2,-6.591318548E-2
1.277768910E-1,-7.084003091E-2,-6.271740049E-2,-6.484792382E-2
1.302645990E-1,-8.362319320E-2,-6.484792382E-2,-6.378266215E-2
1.327523080E-1,-9.747162461E-2,-6.804371625E-2,-6.378266215E-2
1.352400160E-1,-1.113200486E-1,-7.123950869E-2,-6.378266215E-2
1.377277240E-1,-1.262337416E-1,-7.443529367E-2,-6.378266215E-2
1.402154330E-1,-1.400821656E-1,-7.869634777E-2,-6.378266215E-2
1.427031410E-1,-1.539305896E-1,-8.295740932E-2,-6.484792382E-2
1.451908490E-1,-1.667137593E-1,-8.721846342E-2,-6.591318548E-2
1.476785580E-1,-1.794969290E-1,-8.934898674E-2,-6.591318548E-2
1.501662660E-1,-1.901495606E-1,-9.254477918E-2,-6.697845459E-2
1.526539740E-1,-2.008021921E-1,-9.361004084E-2,-6.697845459E-2
1.551416830E-1,-2.093243003E-1,-9.467530251E-2,-6.910897791E-2
1.576293910E-1,-2.167811543E-1,-9.467530251E-2,-7.017423958E-2
1.601171520E-1,-2.221074700E-1,-9.467530251E-2,-7.230477035E-2
1.626049120E-1,-2.253032625E-1,-9.361004084E-2,-7.550056279E-2
1.650926720E-1,-2.284990549E-1,-9.254477918E-2,-7.763108611E-2
1.675804330E-1,-2.295643091E-1,-8.934898674E-2,-8.082687855E-2
1.700681930E-1,-2.306295782E-1,-8.615319431E-2,-8.402267098E-2
1.725559540E-1,-2.284990549E-1,-8.295740932E-2,-8.721846342E-2
1.750437140E-1,-2.263685167E-1,-7.976161689E-2,-8.934898674E-2
1.775314740E-1,-2.221074700E-1,-7.550056279E-2,-9.147951752E-2
1.800192350E-1,-2.178464085E-1,-7.230477035E-2,-9.361004084E-2
1.825069950E-1,-2.125200927E-1,-6.910897791E-2,-9.574057162E-2
1.849947560E-1,-2.061285079E-1,-6.697845459E-2,-9.680583328E-2
1.874825160E-1,-1.997369379E-1,-6.484792382E-2,-9.893636405E-2
1.899702770E-1,-1.944106072E-1,-6.484792382E-2,-1.010668874E-1
1.924580370E-1,-1.869537681E-1,-6.484792382E-2,-1.031974182E-1
1.949457970E-1,-1.794969290E-1,-6.591318548E-2,-1.053279415E-1
1.974335580E-1,-1.709748209E-1,-6.804371625E-2,-1.074584723E-1
1.999213180E-1,-1.624527127E-1,-7.123950869E-2,-1.095889956E-1
2.024090790E-1,-1.539305896E-1,-7.443529367E-2,-1.106542572E-1
2.048968390E-1,-1.454084814E-1,-7.976161689E-2,-1.117195264E-1
2.073845990E-1,-1.347558498E-1,-8.295740932E-2,-1.127847880E-1
2.098723600E-1,-1.241032109E-1,-8.721846342E-2,-1.127847880E-1
2.123601200E-1,-1.145158410E-1,-9.041424841E-2,-1.127847880E-1
2.148478810E-1,-1.038632020E-1,-9.361004084E-2,-1.106542572E-1
2.173356410E-1,-9.321057051E-2,-9.574057162E-2,-1.085237339E-1
2.198234020E-1,-8.255793154E-2,-9.893636405E-2,-1.063932031E-1
2.223111620E-1,-7.190529257E-2,-1.010668874E-1,-1.031974182E-1
2.247989220E-1,-6.018739566E-2,-1.031974182E-1,-9.893636405E-2
2.272866830E-1,-4.846949503E-2,-1.042626798E-1,-9.467530251E-2
2.297744430E-1,-3.888212144E-2,-1.063932031E-1,-8.934898674E-2
2.322622040E-1,-2.929474972E-2,-1.063932031E-1,-8.402267098E-2
2.347499640E-1,-1.970737800E-2,-1.074584723E-1,-7.763108611E-2
2.372377240E-1,-1.118526794E-2,-1.074584723E-1,-7.123950869E-2
