"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.398620100E-2,9.439140320E0,7.152677774E-1,-3.693654776E0
3.644114900E-2,9.429563522E0,6.913257241E-1,-3.674500942E0
3.889870100E-2,9.424775124E0,6.913257241E-1,-3.655347347E0
4.135995100E-2,9.434351921E0,6.817489266E-1,-3.612251759E0
4.382583700E-2,9.415198326E0,6.817489266E-1,-3.617040157E0
4.629703400E-2,9.410409927E0,6.817489266E-1,-3.602674961E0
4.877396200E-2,9.410409927E0,6.865373254E-1,-3.578732967E0
5.125682600E-2,9.396044731E0,6.769605279E-1,-3.569156170E0
5.374620100E-2,9.362525940E0,6.817489266E-1,-3.569156170E0
5.623557600E-2,9.343372345E0,6.721721292E-1,-3.540425777E0
5.873047200E-2,9.338583946E0,6.578069329E-1,-3.511695385E0
6.123036800E-2,9.319430351E0,6.721721292E-1,-3.492541790E0
6.373458700E-2,9.285911560E0,6.578069329E-1,-3.454234600E0
6.624229500E-2,9.271546364E0,6.865373254E-1,-3.415927172E0
6.875255500E-2,9.233239174E0,7.009025216E-1,-3.372831583E0
7.126437800E-2,9.223662376E0,7.200561762E-1,-3.344101191E0
7.377672200E-2,9.180566788E0,7.344213724E-1,-3.315370798E0
7.627807600E-2,9.142259598E0,7.727286220E-1,-3.296217203E0
7.876583700E-2,9.108740807E0,7.966706157E-1,-3.272275209E0
8.125354500E-2,9.094375610E0,8.206126094E-1,-3.267486811E0
8.374125300E-2,9.099164009E0,8.493430614E-1,-3.253121614E0
8.622896200E-2,9.070432663E0,8.637082577E-1,-3.257910013E0
8.871667000E-2,9.060855865E0,8.541314602E-1,-3.272275209E0
9.120437800E-2,9.075222015E0,8.637082577E-1,-3.291428804E0
9.369271200E-2,9.060855865E0,8.780734539E-1,-3.339312792E0
9.618010700E-2,9.056067467E0,8.637082577E-1,-3.372831583E0
9.866750300E-2,9.036913872E0,8.493430614E-1,-3.411138773E0
1.011548990E-1,9.012971878E0,8.589198589E-1,-3.454234600E0
1.036422950E-1,8.993818283E0,8.493430614E-1,-3.487753391E0
1.061297430E-1,8.979453087E0,8.445546627E-1,-3.516483784E0
1.086172430E-1,8.974664688E0,8.397662640E-1,-3.516483784E0
1.111047950E-1,8.979453087E0,8.493430614E-1,-3.564367771E0
1.135923990E-1,8.979453087E0,8.445546627E-1,-3.602674961E0
1.160800550E-1,8.969876289E0,8.349778652E-1,-3.655347347E0
1.185677640E-1,8.969876289E0,8.158242106E-1,-3.693654776E0
1.210555240E-1,8.955511093E0,7.870938182E-1,-3.722385168E0
1.235433370E-1,8.969876289E0,7.535749674E-1,-3.755903959E0
1.260312010E-1,8.965087891E0,7.296329737E-1,-3.794211149E0
1.285191180E-1,8.969876289E0,6.865373254E-1,-3.822941542E0
1.310070870E-1,8.989029884E0,6.434416771E-1,-3.818153143E0
1.334951070E-1,9.017760277E0,6.051344872E-1,-3.808576345E0
1.359831280E-1,9.075222015E0,5.764040351E-1,-3.784634352E0
1.384711490E-1,9.113529205E0,5.476736426E-1,-3.779845953E0
1.409591700E-1,9.142259598E0,5.141547918E-1,-3.765480757E0
1.434471910E-1,9.233239174E0,4.710591733E-1,-3.736750364E0
1.459352120E-1,9.314641953E0,4.471171796E-1,-3.679289579E0
1.484230240E-1,9.391256332E0,4.231751561E-1,-3.645770550E0
1.509107840E-1,9.467870712E0,4.040215313E-1,-3.588309765E0
1.533985450E-1,9.558850288E0,3.944447339E-1,-3.521272182E0
