"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.374620100E-2,-1.763011366E-1,-6.804371625E-2,6.298371404E-2
5.623557600E-2,-1.720400751E-1,-6.804371625E-2,5.872265995E-2
5.873047200E-2,-1.656484902E-1,-6.591318548E-2,5.552686751E-2
6.123036800E-2,-1.592569202E-1,-6.378266215E-2,5.233107507E-2
6.373458700E-2,-1.507348120E-1,-6.058686972E-2,4.807002097E-2
6.624229500E-2,-1.411474347E-1,-5.845634267E-2,4.487423226E-2
6.875255500E-2,-1.304948032E-1,-5.632581562E-2,4.167843983E-2
7.126437800E-2,-1.177116334E-1,-5.313002318E-2,3.954791278E-2
7.377672200E-2,-1.038632020E-1,-4.993423447E-2,3.741738573E-2
7.627807600E-2,-8.681898564E-2,-4.460791498E-2,3.635212034E-2
7.876583700E-2,-6.870950758E-2,-4.034686089E-2,3.528685868E-2
8.125354500E-2,-4.846949503E-2,-3.502054140E-2,3.528685868E-2
8.374125300E-2,-2.609895915E-2,-2.969422378E-2,3.635212034E-2
8.622896200E-2,-3.728422802E-3,-2.330264263E-2,3.848264739E-2
8.871667000E-2,1.970737800E-2,-1.691105962E-2,4.167843983E-2
9.120437800E-2,4.314317927E-2,-1.051947847E-2,4.380896688E-2
9.369271200E-2,6.657897681E-2,-1.997369342E-3,4.593949392E-2
9.618010700E-2,8.894951642E-2,6.524739787E-3,4.913528636E-2
9.866750300E-2,1.102547869E-1,1.398158539E-2,5.339634046E-2
1.011548990E-1,1.304948032E-1,2.250369452E-2,5.446160212E-2
1.036422950E-1,1.475390196E-1,3.102580272E-2,5.872265995E-2
1.061297430E-1,1.624527127E-1,3.954791278E-2,6.191844866E-2
1.086172430E-1,1.752358675E-1,4.807002097E-2,6.617950648E-2
1.111047950E-1,1.848232448E-1,5.446160212E-2,6.937529147E-2
1.135923990E-1,1.922800839E-1,5.978792161E-2,7.257108390E-2
1.160800550E-1,1.965411454E-1,6.404897571E-2,7.470161468E-2
1.185677640E-1,1.976063997E-1,6.724476814E-2,7.789740711E-2
1.210555240E-1,1.954758763E-1,6.937529147E-2,8.109319210E-2
1.235433370E-1,1.890842915E-1,7.044056058E-2,8.322372288E-2
1.260312010E-1,1.805621833E-1,7.044056058E-2,8.535424620E-2
1.285191180E-1,1.677790284E-1,7.044056058E-2,8.748477697E-2
1.310070870E-1,1.528653353E-1,6.831002980E-2,8.961530030E-2
1.334951070E-1,1.347558498E-1,6.511423737E-2,9.281109273E-2
1.359831280E-1,1.155811027E-1,5.978792161E-2,9.387636185E-2
1.384711490E-1,9.321057051E-2,5.339634046E-2,9.600688517E-2
1.409591700E-1,6.977476925E-2,4.593949392E-2,9.707214683E-2
1.434471910E-1,4.740423337E-2,3.741738573E-2,9.813741595E-2
1.459352120E-1,2.503369562E-2,2.889527567E-2,9.920267761E-2
1.484230240E-1,1.597895520E-3,1.930790395E-2,9.920267761E-2
1.509107840E-1,-1.864211448E-2,9.720530361E-3,9.920267761E-2
1.533985450E-1,-3.888212144E-2,1.198421582E-3,9.707214683E-2
1.558863050E-1,-5.592634156E-2,-7.323687430E-3,9.494162351E-2
1.583740660E-1,-7.190529257E-2,-1.478053257E-2,9.068056941E-2
1.608618260E-1,-8.468846232E-2,-2.223737910E-2,8.535424620E-2
1.633495870E-1,-9.534109384E-2,-2.862896025E-2,8.002793044E-2
1.658373470E-1,-1.027979404E-1,-3.395527974E-2,7.363634557E-2
1.683251070E-1,-1.081242561E-1,-3.715106845E-2,6.511423737E-2
1.708128680E-1,-1.102547869E-1,-3.928159550E-2,5.659212917E-2
1.733006280E-1,-1.113200486E-1,-3.928159550E-2,4.700475931E-2
1.757883890E-1,-1.091895252E-1,-3.821633384E-2,3.741738573E-2
1.782761490E-1,-1.049284711E-1,-3.608580679E-2,2.569948509E-2
1.807639090E-1,-9.960214794E-2,-3.289001435E-2,1.398158539E-2
1.832516700E-1,-9.321057051E-2,-2.756369673E-2,2.263685223E-3
1.857394300E-1,-8.468846232E-2,-2.117211558E-2,-1.051947847E-2
1.882271390E-1,-7.510108501E-2,-1.478053257E-2,-2.223737910E-2
1.907148470E-1,-6.551371515E-2,-8.388951421E-3,-3.395527974E-2
