"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.896600700E-2,-1.011669922E1,-1.573589087E0,1.975814939E0
3.145371500E-2,-1.004487324E1,-1.621473074E0,2.191293001E0
3.394142400E-2,-1.000177765E1,-1.650203466E0,2.440289974E0
3.642913200E-2,-9.992200851E0,-1.722029567E0,2.655768156E0
3.891684000E-2,-1.001614285E1,-1.817797661E0,2.837727547E0
4.140454900E-2,-1.004966164E1,-1.927930951E0,2.981379747E0
4.389225700E-2,-1.009275723E1,-2.042852640E0,3.096301317E0
4.637996500E-2,-1.010712242E1,-2.148197412E0,3.177704096E0
4.886767400E-2,-1.015500641E1,-2.234388828E0,3.235165119E0
5.135538200E-2,-1.020289040E1,-2.306214809E0,3.292625904E0
5.384309000E-2,-1.025556278E1,-2.344521999E0,3.302202702E0
5.633079900E-2,-1.028908157E1,-2.387617588E0,3.278260708E0
5.881850700E-2,-1.033696556E1,-2.430713177E0,3.192069530E0
6.130621500E-2,-1.037527275E1,-2.512116194E0,3.053205729E0
6.379392400E-2,-1.043752193E1,-2.627037764E0,2.880823135E0
6.628163200E-2,-1.047104073E1,-2.804208755E0,2.627037764E0
6.876934000E-2,-1.051892471E1,-3.034052134E0,2.311003208E0
7.125704900E-2,-1.053328991E1,-3.273472309E0,1.985391736E0
7.374475700E-2,-1.050455952E1,-3.512892485E0,1.678933978E0
7.623246500E-2,-1.041357994E1,-3.714005470E0,1.372476101E0
7.872017400E-2,-1.029865837E1,-3.867234230E0,1.142632723E0
8.120788200E-2,-1.014064121E1,-3.996521235E0,9.367313981E-1
8.369559000E-2,-9.968258858E0,-4.101866245E0,8.265981078E-1
8.618329900E-2,-9.815030098E0,-4.231153011E0,7.882909179E-1
8.867100700E-2,-9.642647743E0,-4.336497784E0,7.882909179E-1
9.115871500E-2,-9.508571625E0,-4.460996151E0,7.930793166E-1
9.364642400E-2,-9.379284859E0,-4.585494995E0,8.074445128E-1
9.613413200E-2,-9.259574890E0,-4.705204964E0,7.978677154E-1
9.862184000E-2,-9.159018517E0,-4.777030945E0,7.835025191E-1
1.011095490E-1,-9.063250542E0,-4.834491730E0,7.882909179E-1
1.035972570E-1,-9.010578156E0,-4.863222122E0,7.547720671E-1
1.060849650E-1,-8.991424561E0,-4.844068527E0,7.595604658E-1
1.085726740E-1,-9.024943352E0,-4.767454147E0,8.122329116E-1
1.110603820E-1,-9.072827339E0,-4.657320976E0,8.888474107E-1
1.135480900E-1,-9.202114105E0,-4.528033733E0,1.022922635E0
1.160357990E-1,-9.307458878E0,-4.379593372E0,1.109113932E0
1.185235070E-1,-9.431957245E0,-4.216787815E0,1.142632723E0
1.210112150E-1,-9.537302017E0,-4.063559055E0,1.109113932E0
1.234989240E-1,-9.657012939E0,-3.910329819E0,1.037287831E0
1.259866320E-1,-9.791088104E0,-3.742735863E0,9.175778031E-1
1.284743400E-1,-9.944316864E0,-3.584718466E0,7.356184721E-1
1.309620490E-1,-1.014542961E1,-3.412335873E0,5.584475398E-1
1.334497570E-1,-1.033696556E1,-3.239953518E0,3.716998100E-1
1.359374650E-1,-1.052850151E1,-3.043628931E0,1.993172914E-1
1.384251740E-1,-1.075355721E1,-2.828150749E0,6.524199992E-2
1.409128820E-1,-1.099297714E1,-2.574365377E0,-3.052607179E-2
1.434005900E-1,-1.127549267E1,-2.311003208E0,-1.693897694E-1
1.458882990E-1,-1.151970100E1,-2.090736628E0,-3.417722881E-1
1.483760070E-1,-1.177827549E1,-1.884835243E0,-5.620388389E-1
1.508637150E-1,-1.203206062E1,-1.712452769E0,-8.158242106E-1
1.533514240E-1,-1.226190376E1,-1.592742682E0,-1.117493629E0
1.558391320E-1,-1.247738171E1,-1.492186189E0,-1.380855799E0
1.583268400E-1,-1.262582302E1,-1.420360208E0,-1.610699177E0
1.608145490E-1,-1.273595619E1,-1.334168911E0,-1.826177359E0
1.633022570E-1,-1.282214737E1,-1.271919608E0,-2.036867142E0
1.657899650E-1,-1.284130096E1,-1.247977614E0,-2.218826532E0
1.682776740E-1,-1.284608936E1,-1.228824019E0,-2.271498919E0
1.707653820E-1,-1.281257057E1,-1.233612418E0,-2.137423515E0
1.732530900E-1,-1.273595619E1,-1.271919608E0,-1.854907751E0
1.757408510E-1,-1.266891861E1,-1.386841297E0,-1.452681899E0
1.782286110E-1,-1.256357384E1,-1.578377485E0,-1.012148738E0
1.807163720E-1,-1.236724854E1,-1.841739655E0,-6.051344872E-1
1.832041320E-1,-1.209430981E1,-2.176927805E0,-2.555810213E-1
1.856918920E-1,-1.175433350E1,-2.516904593E0,1.562216580E-1
1.881796530E-1,-1.139041424E1,-2.813785553E0,5.871779919E-1
1.906674130E-1,-1.105043793E1,-3.081936121E0,1.104325533E0
1.931551740E-1,-1.076313400E1,-3.306991100E0,1.664568782E0
1.956429340E-1,-1.052850151E1,-3.512892485E0,2.205658197E0
1.981306950E-1,-1.037048435E1,-3.709217072E0,2.694075346E0
2.006184550E-1,-1.025077438E1,-3.905541420E0,3.077147722E0
2.031062150E-1,-1.019331360E1,-4.111443043E0,3.378817081E0
2.055939760E-1,-1.016458321E1,-4.259883404E0,3.589506865E0
2.080817360E-1,-1.014064121E1,-4.326920986E0,3.776254654E0
2.105694970E-1,-1.017894840E1,-4.312555790E0,3.915118217E0
2.130572570E-1,-1.025556278E1,-4.269460201E0,4.034828186E0
2.155450170E-1,-1.036569595E1,-4.168903828E0,4.082712650E0
2.180327780E-1,-1.052371311E1,-4.053982258E0,4.020462990E0
2.205205380E-1,-1.070567322E1,-3.924695253E0,3.814561844E0
2.230082990E-1,-1.087805557E1,-3.809773445E0,3.488950491E0
2.254960590E-1,-1.102170753E1,-3.656544447E0,3.057994127E0
2.279838200E-1,-1.117972469E1,-3.488950491E0,2.560000181E0
2.304715800E-1,-1.135210705E1,-3.292625904E0,2.018910646E0
2.329593400E-1,-1.154364395E1,-3.105878115E0,1.449090600E0
2.354471010E-1,-1.176869869E1,-2.928707123E0,8.361749649E-1
2.379348610E-1,-1.201290703E1,-2.818573952E0,2.088941038E-1
2.404226220E-1,-1.222359657E1,-2.722805977E0,-4.519055784E-1
2.429103820E-1,-1.242470932E1,-2.641402960E0,-1.146224022E0
2.453981420E-1,-1.256836224E1,-2.550423384E0,-1.816600561E0
2.478859030E-1,-1.268807220E1,-2.454655409E0,-2.419939280E0
2.503736630E-1,-1.275032139E1,-2.334945202E0,-2.908356428E0
2.528614240E-1,-1.275989819E1,-2.220023632E0,-3.253121614E0
2.553491840E-1,-1.271201420E1,-2.148197412E0,-3.463811398E0
2.578369450E-1,-1.261145782E1,-2.124255419E0,-3.564367771E0
2.603247050E-1,-1.248695850E1,-2.152985811E0,-3.487753391E0
2.628124650E-1,-1.235767174E1,-2.263119221E0,-3.310582399E0
2.653002260E-1,-1.223317337E1,-2.449866772E0,-2.965817451E0
2.677879860E-1,-1.211346340E1,-2.689286947E0,-2.482188702E0
2.702757470E-1,-1.199854183E1,-2.947860956E0,-1.926733851E0
2.727635070E-1,-1.185488987E1,-3.230376720E0,-1.356913805E0
2.752512670E-1,-1.167293072E1,-3.488950491E0,-7.966706157E-1
2.777389760E-1,-1.146702862E1,-3.776254654E0,-2.986766696E-1
2.802266840E-1,-1.123239708E1,-4.053982258E0,1.610100716E-1
2.827143920E-1,-1.098818874E1,-4.302978992E0,6.015431881E-1
2.852021010E-1,-1.077749920E1,-4.475361347E0,1.037287831E0
2.876898090E-1,-1.060990524E1,-4.580706596E0,1.473032594E0
2.901775170E-1,-1.054765606E1,-4.619013786E0,1.880046844E0
2.926652260E-1,-1.056202126E1,-4.599860191E0,2.258330822E0
2.951529340E-1,-1.067694283E1,-4.523245335E0,2.588730574E0
2.976406420E-1,-1.086369038E1,-4.432265759E0,2.880823135E0
3.001283510E-1,-1.110789871E1,-4.341286182E0,3.077147722E0
3.026160590E-1,-1.139041424E1,-4.216787815E0,3.134608507E0
3.051037670E-1,-1.166335392E1,-4.063559055E0,3.091512918E0
3.075914760E-1,-1.191713905E1,-3.843292236E0,2.967014551E0
3.100791840E-1,-1.214219379E1,-3.555988073E0,2.804208755E0
3.125668920E-1,-1.235767174E1,-3.230376720E0,2.564788580E0
3.150546010E-1,-1.257315063E1,-2.871246338E0,2.311003208E0
3.175423090E-1,-1.280299377E1,-2.488174200E0,2.047641039E0
3.200300170E-1,-1.307593250E1,-2.090736628E0,1.822586060E0
3.225177260E-1,-1.339675522E1,-1.755548358E0,1.678933978E0
3.250054340E-1,-1.371279049E1,-1.473032594E0,1.650203466E0
3.274931420E-1,-1.395699883E1,-1.262342811E0,1.664568782E0
3.299808510E-1,-1.408149719E1,-1.089960337E0,1.750759959E0
3.324685590E-1,-1.412938118E1,-9.510966539E-1,1.865681648E0
3.349562670E-1,-1.412459278E1,-8.792705536E-1,2.004545450E0
3.374439760E-1,-1.410065079E1,-8.170213103E-1,2.162562609E0
3.399316840E-1,-1.403840160E1,-8.265981078E-1,2.282272816E0
3.424193920E-1,-1.392348003E1,-8.792705536E-1,2.421136379E0
3.449071010E-1,-1.372236729E1,-9.846154451E-1,2.545634985E0
3.473948090E-1,-1.346858120E1,-1.156997919E0,2.646191359E0
3.498825170E-1,-1.313339329E1,-1.391629696E0,2.708440781E0
3.523702260E-1,-1.275510979E1,-1.654991984E0,2.741959572E0
3.548579340E-1,-1.239597893E1,-1.961449742E0,2.789843559E0
3.573456420E-1,-1.207994461E1,-2.272696018E0,2.856881142E0
3.598333510E-1,-1.180700588E1,-2.536058187E0,2.914341927E0
3.623210590E-1,-1.157716274E1,-2.789843559E0,2.947860956E0
3.648087670E-1,-1.139041424E1,-3.034052134E0,2.957437754E0
3.672964760E-1,-1.121324348E1,-3.263895512E0,2.919130325E0
3.697841840E-1,-1.100255394E1,-3.498527288E0,2.866457939E0
3.722718920E-1,-1.081101799E1,-3.680486679E0,2.804208755E0
3.747596010E-1,-1.064821243E1,-3.800196648E0,2.746747971E0
3.772473090E-1,-1.052850151E1,-3.876811028E0,2.708440781E0
3.797350170E-1,-1.049019432E1,-3.919906616E0,2.718017578E0
3.822227260E-1,-1.055723286E1,-3.953425646E0,2.689286947E0
3.847104340E-1,-1.066736603E1,-4.015674591E0,2.617460966E0
3.871981420E-1,-1.085411358E1,-4.063559055E0,2.483385801E0
3.896858510E-1,-1.105043793E1,-4.077924252E0,2.311003208E0
3.921735590E-1,-1.128028107E1,-4.015674591E0,2.167351007E0
3.946612670E-1,-1.154843235E1,-3.862445831E0,2.066794634E0
3.971489760E-1,-1.185488987E1,-3.584718466E0,1.999756932E0
3.996366840E-1,-1.218050098E1,-3.196857929E0,1.937507749E0
4.021243920E-1,-1.256836224E1,-2.732382774E0,1.860893250E0
4.046121010E-1,-1.290833855E1,-2.239177227E0,1.726817966E0
4.070998090E-1,-1.322916126E1,-1.750759959E0,1.535281897E0
4.095875170E-1,-1.355477333E1,-1.286284804E0,1.324592113E0
4.120752260E-1,-1.380855846E1,-8.409633636E-1,1.046864748E0
4.145629340E-1,-1.399051762E1,-4.243722558E-1,7.404068708E-1
4.170506420E-1,-1.407670879E1,-3.172317147E-2,4.339490533E-1
4.195383510E-1,-1.408149719E1,3.226186931E-1,1.610100716E-1
4.220260590E-1,-1.410065079E1,6.769605279E-1,-9.756372124E-2
4.245137670E-1,-1.419641876E1,9.834183455E-1,-2.938882709E-1
4.270015280E-1,-1.436880112E1,1.265934110E0,-4.375403523E-1
4.294892880E-1,-1.458906841E1,1.500565886E0,-5.764040351E-1
4.319770490E-1,-1.470877838E1,1.610699177E0,-6.721721292E-1
4.344648090E-1,-1.467525959E1,1.591545582E0,-7.535749674E-1
4.369525700E-1,-1.443583870E1,1.414374709E0,-8.062474132E-1
4.394403300E-1,-1.398572922E1,1.079186440E0,-8.301894665E-1
4.419280900E-1,-1.338239002E1,6.051344872E-1,-8.445546627E-1
4.444158510E-1,-1.271680260E1,2.094926499E-2,-7.631517649E-1
4.469036110E-1,-1.202248383E1,-5.776011348E-1,-5.572504401E-1
4.493913720E-1,-1.137604904E1,-1.166574836E0,-2.412158251E-1
4.518791320E-1,-1.080144119E1,-1.678933978E0,1.466448605E-1
4.543668920E-1,-1.037048435E1,-2.162562609E0,5.392939448E-1
4.568546530E-1,-1.002571964E1,-2.636614561E0,9.367313981E-1
4.593424130E-1,-9.791088104E0,-3.081936121E0,1.286284804E0
4.618301740E-1,-9.623494148E0,-3.498527288E0,1.611896276E0
4.643179340E-1,-9.489418030E0,-3.848080635E0,1.932719350E0
4.668056950E-1,-9.384073257E0,-4.125808239E0,2.263119221E0
4.692934550E-1,-9.350554466E0,-4.279036999E0,2.622249365E0
4.717812150E-1,-9.417592049E0,-4.326920986E0,3.048417330E0
4.742689760E-1,-9.628282547E0,-4.264671803E0,3.512892485E0
4.767567360E-1,-9.915586472E0,-4.140173435E0,3.919906616E0
4.792444970E-1,-1.030344677E1,-3.963002443E0,4.235941410E0
4.817322570E-1,-1.072961521E1,-3.761889458E0,4.437054157E0
4.842200170E-1,-1.116535950E1,-3.498527288E0,4.480149746E0
4.867077780E-1,-1.157716274E1,-3.172915697E0,4.408323765E0
4.891955380E-1,-1.195065784E1,-2.813785553E0,4.255095005E0
4.916832990E-1,-1.224275017E1,-2.440289974E0,4.010886192E0
4.941710590E-1,-1.247259331E1,-2.085948229E0,3.742735863E0
4.966588200E-1,-1.263061142E1,-1.731606364E0,3.474585295E0
4.991465800E-1,-1.278862858E1,-1.382052898E0,3.182492495E0
5.016343400E-1,-1.295143414E1,-1.046864748E0,2.871246338E0
5.041221010E-1,-1.309029770E1,-6.925228238E-1,2.536058187E0
5.066098610E-1,-1.316212368E1,-3.286041915E-1,2.181716204E0
5.090976220E-1,-1.317648888E1,-1.256955881E-2,1.784278870E0
5.115853820E-1,-1.315254688E1,2.124854028E-1,1.338957310E0
5.140731420E-1,-1.309508610E1,3.274070919E-1,8.505401611E-1
5.165609030E-1,-1.301847172E1,3.321954906E-1,3.381809890E-1
5.190486630E-1,-1.287960815E1,3.082534671E-1,-1.119289324E-1
5.215364240E-1,-1.272637939E1,2.747346461E-1,-5.380968451E-1
5.240241840E-1,-1.258751583E1,2.412158251E-1,-9.068039060E-1
5.265119450E-1,-1.241513252E1,1.550245583E-1,-1.222838521E0
5.289997050E-1,-1.222838497E1,-1.256955881E-2,-1.486200690E0
5.314874130E-1,-1.202727222E1,-2.807201445E-1,-1.682525277E0
5.339751220E-1,-1.178785229E1,-6.637924314E-1,-1.797446966E0
5.364628300E-1,-1.147660542E1,-1.152209520E0,-1.907580256E0
5.389505380E-1,-1.112705231E1,-1.650203466E0,-1.955464244E0
5.414385070E-1,-1.068173122E1,-2.138620615E0,-1.950675845E0
5.439260590E-1,-1.020289040E1,-2.560000181E0,-1.907580256E0
5.464136110E-1,-9.738415718E0,-2.933495522E0,-1.802235365E0
5.489011630E-1,-9.317035675E0,-3.278260708E0,-1.634641171E0
5.513887150E-1,-8.933963776E0,-3.560776472E0,-1.400009394E0
5.538762670E-1,-8.622717857E0,-3.781043053E0,-1.160589218E0
5.563638200E-1,-8.392873764E0,-4.006097794E0,-8.780734539E-1
5.588513720E-1,-8.254010201E0,-4.240729809E0,-6.051344872E-1
5.613389240E-1,-8.177395821E0,-4.465784550E0,-3.274070919E-1
5.638265280E-1,-8.143877029E0,-4.686051369E0,-6.404489279E-2
5.663141840E-1,-8.115146637E0,-4.848856926E0,1.562216580E-1
5.688018920E-1,-8.148665428E0,-4.935048103E0,3.381809890E-1
5.712896530E-1,-8.249221802E0,-4.906317711E0,5.057750940E-1
5.737774650E-1,-8.479064941E0,-4.777030945E0,6.637924314E-1
5.762653300E-1,-8.833407402E0,-4.518456936E0,7.978677154E-1
5.787531950E-1,-9.278728485E0,-4.197634220E0,8.840589523E-1
5.812410590E-1,-9.700108528E0,-3.852869034E0,8.696937561E-1
5.837289240E-1,-1.006402683E1,-3.517680883E0,8.026561141E-1
