"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.140454900E-2,-4.213117659E-1,8.961530030E-2,2.344911546E-1
4.389225700E-2,-3.925496638E-1,9.813741595E-2,2.387522161E-1
4.637996500E-2,-3.648527861E-1,9.920267761E-2,2.408827394E-1
4.886767400E-2,-3.382211924E-1,9.174583107E-2,2.419480085E-1
5.135538200E-2,-3.126548827E-1,7.683213800E-2,2.408827394E-1
5.384309000E-2,-2.892190814E-1,5.446160212E-2,2.398174703E-1
5.633079900E-2,-2.689790726E-1,2.356895804E-2,2.376869470E-1
5.881850700E-2,-2.508696020E-1,-1.478053257E-2,2.355564237E-1
6.130621500E-2,-2.338253707E-1,-5.739107728E-2,2.344911546E-1
6.379392400E-2,-2.178464085E-1,-1.042626798E-1,2.334259003E-1
6.628163200E-2,-2.029327303E-1,-1.521995366E-1,2.344911546E-1
6.876934000E-2,-1.890842915E-1,-1.990711391E-1,2.355564237E-1
7.125704900E-2,-1.773663908E-1,-2.406164259E-1,2.376869470E-1
7.374475700E-2,-1.688442826E-1,-2.768353820E-1,2.398174703E-1
7.623246500E-2,-1.613874435E-1,-3.055975139E-1,2.408827394E-1
7.872017400E-2,-1.549958587E-1,-3.258375227E-1,2.430132627E-1
8.120788200E-2,-1.507348120E-1,-3.386206925E-1,2.440785319E-1
8.369559000E-2,-1.475390196E-1,-3.428817391E-1,2.451438010E-1
8.618329900E-2,-1.432779580E-1,-3.396859467E-1,2.451438010E-1
8.867100700E-2,-1.379516423E-1,-3.332943618E-1,2.440785319E-1
9.115871500E-2,-1.315600574E-1,-3.215764761E-1,2.419480085E-1
9.364642400E-2,-1.230379492E-1,-3.087933064E-1,2.344911546E-1
9.613413200E-2,-1.113200486E-1,-2.938795984E-1,2.259690464E-1
9.862184000E-2,-9.960214794E-2,-2.779006660E-1,2.121206224E-1
1.011095490E-1,-8.362319320E-2,-2.608564198E-1,1.950764060E-1
1.035972570E-1,-6.764423847E-2,-2.427469492E-1,1.759016514E-1
1.060849650E-1,-4.846949503E-2,-2.225069404E-1,1.524658650E-1
1.085726740E-1,-2.822948620E-2,-2.001364082E-1,1.279647946E-1
1.110603820E-1,-6.924213842E-3,-1.767006069E-1,1.023984700E-1
1.135480900E-1,1.544632297E-2,-1.521995366E-1,7.576687634E-2
1.160357990E-1,3.888212144E-2,-1.308942735E-1,4.913528636E-2
1.185235070E-1,6.125266105E-2,-1.138500497E-1,2.250369452E-2
1.210112150E-1,8.255793154E-2,-1.000016257E-1,-3.062632866E-3
1.234989240E-1,1.006674170E-1,-9.147951752E-2,-2.969422378E-2
1.259866320E-1,1.145158410E-1,-8.828372508E-2,-5.419528857E-2
1.284743400E-1,1.230379492E-1,-8.828372508E-2,-7.763108611E-2
1.309620490E-1,1.262337416E-1,-9.147951752E-2,-9.893636405E-2
1.334497570E-1,1.219726875E-1,-9.574057162E-2,-1.181111038E-1
1.359374650E-1,1.113200486E-1,-1.010668874E-1,-1.362205893E-1
1.384251740E-1,9.214530140E-2,-1.085237339E-1,-1.511342824E-1
1.409128820E-1,6.764423847E-2,-1.170458421E-1,-1.628521830E-1
1.434005900E-1,3.568633273E-2,-1.276984811E-1,-1.713742912E-1
1.458882990E-1,-1.597895520E-3,-1.415469050E-1,-1.767006069E-1
1.483760070E-1,-4.633896798E-2,-1.585911214E-1,-1.777658761E-1
1.508637150E-1,-9.853688627E-2,-1.767006069E-1,-1.735048145E-1
1.533514240E-1,-1.571263820E-1,-1.969406158E-1,-1.649827063E-1
1.558391320E-1,-2.242379934E-1,-2.161153555E-1,-1.500690132E-1
1.583268400E-1,-2.988064587E-1,-2.363553643E-1,-1.319595277E-1
1.608145490E-1,-3.797664940E-1,-2.544648647E-1,-1.085237339E-1
1.633022570E-1,-4.681833684E-1,-2.704437971E-1,-7.976161689E-2
1.657899650E-1,-5.608612895E-1,-2.832269669E-1,-4.673844203E-2
1.682776740E-1,-6.578003168E-1,-2.885532975E-1,-8.388951421E-3
1.707653820E-1,-7.558045387E-1,-2.842922211E-1,3.422159329E-2
1.732530900E-1,-8.516782522E-1,-2.725743353E-1,8.109319210E-2
1.757408510E-1,-9.422256947E-1,-2.523343265E-1,1.300953180E-1
1.782286110E-1,-1.023185730E0,-2.278332561E-1,1.801627129E-1
1.807163720E-1,-1.092427850E0,-2.001364082E-1,2.323606312E-1
1.832041320E-1,-1.151017308E0,-1.692437679E-1,2.824280262E-1
1.856918920E-1,-1.197888970E0,-1.362205893E-1,3.303648829E-1
1.881796530E-1,-1.230912089E0,-9.893636405E-2,3.729754388E-1
1.906674130E-1,-1.250086904E0,-5.952160433E-2,4.102596641E-1
1.931551740E-1,-1.254347920E0,-1.904158667E-2,4.400870502E-1
1.956429340E-1,-1.243695259E0,2.037316747E-2,4.624575675E-1
1.981306950E-1,-1.215998411E0,5.552686751E-2,4.752407372E-1
2.006184550E-1,-1.173387885E0,8.855003864E-2,4.816323221E-1
