"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.974390900E-2,-1.094988155E1,-2.818573952E0,1.224035621E0
4.221437800E-2,-1.085411358E1,-3.115454912E0,1.075595140E0
4.468620100E-2,-1.074398041E1,-3.426701069E0,9.558850527E-1
4.715995100E-2,-1.060990524E1,-3.699640274E0,8.888474107E-1
4.963370100E-2,-1.047104073E1,-3.943848848E0,8.601169586E-1
5.211042000E-2,-1.038963795E1,-4.121019840E0,8.409633636E-1
5.459042000E-2,-1.031781197E1,-4.255095005E0,8.457517624E-1
5.707390900E-2,-1.028429317E1,-4.350862980E0,8.313865662E-1
5.956088800E-2,-1.024598598E1,-4.408323765E0,8.696937561E-1
6.205125300E-2,-1.024119759E1,-4.432265759E0,8.936358094E-1
6.454479500E-2,-1.026513958E1,-4.456207752E0,9.558850527E-1
6.704114900E-2,-1.031781197E1,-4.460996151E0,1.022922635E0
6.953984700E-2,-1.039442635E1,-4.427477360E0,1.142632723E0
7.204036800E-2,-1.049977112E1,-4.370016575E0,1.267131209E0
7.454213800E-2,-1.062905884E1,-4.283825397E0,1.405994892E0
7.704453400E-2,-1.079186440E1,-4.168903828E0,1.540070295E0
7.954693000E-2,-1.094509315E1,-4.015674591E0,1.688510776E0
8.203557600E-2,-1.108395672E1,-3.862445831E0,1.846528053E0
8.452333600E-2,-1.121324348E1,-3.709217072E0,1.990180135E0
8.701104500E-2,-1.132337666E1,-3.527257681E0,2.090736628E0
8.949875300E-2,-1.143350983E1,-3.359663486E0,2.157774210E0
9.198646100E-2,-1.152449036E1,-3.206434727E0,2.243965626E0
9.447417000E-2,-1.160589314E1,-3.072359324E0,2.301426411E0
9.696187800E-2,-1.170644951E1,-2.909553528E0,2.411559582E0
9.944958600E-2,-1.179264069E1,-2.756324768E0,2.497750998E0
1.019372950E-1,-1.190277386E1,-2.598307371E0,2.583942175E0
1.044250030E-1,-1.202727222E1,-2.425924778E0,2.665344954E0
1.069127110E-1,-1.217571259E1,-2.248754025E0,2.722805977E0
1.094004200E-1,-1.235288334E1,-2.095525026E0,2.761113167E0
1.118881280E-1,-1.254442024E1,-1.932719350E0,2.722805977E0
1.143758360E-1,-1.271680260E1,-1.803432465E0,2.679710150E0
1.168635450E-1,-1.289397335E1,-1.707664371E0,2.598307371E0
1.193512530E-1,-1.303762531E1,-1.583165884E0,2.507327795E0
1.218389610E-1,-1.320043087E1,-1.487397790E0,2.425924778E0
1.243266700E-1,-1.336323643E1,-1.401206493E0,2.363675594E0
1.268143780E-1,-1.351167774E1,-1.343745708E0,2.306214809E0
1.293020860E-1,-1.365532970E1,-1.324592113E0,2.311003208E0
1.317897950E-1,-1.379419327E1,-1.377264500E0,2.282272816E0
1.342775030E-1,-1.391390324E1,-1.496974587E0,2.282272816E0
1.367652110E-1,-1.400967121E1,-1.674145579E0,2.282272816E0
1.392529200E-1,-1.403840160E1,-1.927930951E0,2.287061214E0
1.417406280E-1,-1.394742203E1,-2.181716204E0,2.301426411E0
1.442283360E-1,-1.378940487E1,-2.473809004E0,2.349310398E0
1.467160450E-1,-1.357392693E1,-2.746747971E0,2.397194386E0
1.492037530E-1,-1.332971764E1,-3.029263735E0,2.469020605E0
1.516914610E-1,-1.300889492E1,-3.306991100E0,2.588730574E0
1.541791700E-1,-1.265455341E1,-3.594295263E0,2.741959572E0
