"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.715995100E-2,-1.262337416E-1,-3.854922652E-1,3.282343447E-1
4.963370100E-2,-1.283642650E-1,-3.663175404E-1,3.420827985E-1
5.211042000E-2,-1.262337416E-1,-3.418164849E-1,3.516701460E-1
5.459042000E-2,-1.219726875E-1,-3.109238148E-1,3.569964767E-1
5.707390900E-2,-1.155811027E-1,-2.747048736E-1,3.580617309E-1
5.956088800E-2,-1.059937328E-1,-2.331595868E-1,3.548659384E-1
6.205125300E-2,-9.534109384E-2,-1.884185076E-1,3.495396376E-1
6.454479500E-2,-8.255793154E-2,-1.415469050E-1,3.431480527E-1
6.704114900E-2,-6.870950758E-2,-9.041424841E-2,3.346259296E-1
6.953984700E-2,-5.592634156E-2,-4.034686089E-2,3.261038363E-1
7.204036800E-2,-4.420844093E-2,9.720530361E-3,3.154512048E-1
7.454213800E-2,-3.355580568E-2,5.765739456E-2,3.058638275E-1
7.704453400E-2,-2.609895915E-2,1.023984700E-1,2.973417044E-1
7.954693000E-2,-2.077264152E-2,1.396826953E-1,2.909501195E-1
8.203557600E-2,-1.970737800E-2,1.716406047E-1,2.866890728E-1
8.452333600E-2,-2.183790505E-2,1.961416751E-1,2.834932804E-1
8.701104500E-2,-2.716422267E-2,2.110553533E-1,2.824280262E-1
8.949875300E-2,-3.675159439E-2,2.195774615E-1,2.834932804E-1
9.198646100E-2,-4.953476042E-2,2.206427306E-1,2.866890728E-1
9.447417000E-2,-6.764423847E-2,2.153164148E-1,2.909501195E-1
9.696187800E-2,-8.788424730E-2,2.035985142E-1,2.962764502E-1
9.944958600E-2,-1.113200486E-1,1.854890287E-1,3.026680350E-1
1.019372950E-1,-1.368863732E-1,1.609879732E-1,3.090596199E-1
1.044250030E-1,-1.624527127E-1,1.322258562E-1,3.154512048E-1
1.069127110E-1,-1.901495606E-1,1.002679393E-1,3.218427896E-1
1.094004200E-1,-2.167811543E-1,6.404897571E-2,3.292996287E-1
1.118881280E-1,-2.434127480E-1,2.676474862E-2,3.367564678E-1
1.143758360E-1,-2.668485343E-1,-9.454214945E-3,3.452785909E-1
1.168635450E-1,-2.892190814E-1,-4.567318037E-2,3.559312224E-1
1.193512530E-1,-3.083938360E-1,-7.656582445E-2,3.687143922E-1
1.218389610E-1,-3.265033066E-1,-1.021321490E-1,3.836280704E-1
1.243266700E-1,-3.403517306E-1,-1.213068962E-1,4.006722867E-1
1.268143780E-1,-3.520696461E-1,-1.351553202E-1,4.209122956E-1
1.293020860E-1,-3.595264852E-1,-1.404816359E-1,4.443480968E-1
1.317897950E-1,-3.637875319E-1,-1.383511126E-1,4.699144363E-1
1.342775030E-1,-3.648527861E-1,-1.287637353E-1,5.008070469E-1
1.367652110E-1,-3.627222776E-1,-1.106542572E-1,5.348954797E-1
1.392529200E-1,-3.605917394E-1,-8.615319431E-2,5.711144805E-1
1.417406280E-1,-3.552654386E-1,-5.632581562E-2,6.115944982E-1
