"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.665927400E-2,9.319430351E0,-5.632359385E-1,3.190273643E-1
3.915219100E-2,9.295488358E0,-5.488707423E-1,3.477577865E-1
4.164536800E-2,9.281123161E0,-5.201402903E-1,3.621230125E-1
4.413891000E-2,9.257181168E0,-5.249287486E-1,3.669114113E-1
4.663292000E-2,9.261969566E0,-5.297171474E-1,3.908534348E-1
4.912745100E-2,9.252392769E0,-5.392939448E-1,4.291606545E-1
5.162255500E-2,9.233239174E0,-5.632359385E-1,4.387374520E-1
5.412198300E-2,9.247604370E0,-5.680243373E-1,4.435258508E-1
5.662141000E-2,9.261969566E0,-5.680243373E-1,4.483142793E-1
5.907141000E-2,9.309853554E0,-5.919663906E-1,4.674678743E-1
6.152141000E-2,9.357737541E0,-6.015431881E-1,4.722562730E-1
6.402526400E-2,9.400833130E0,-6.206967831E-1,4.674678743E-1
6.652911800E-2,9.439140320E0,-6.206967831E-1,4.387374520E-1
6.907911800E-2,9.477447510E0,-6.350619793E-1,3.956418335E-1
7.162911800E-2,9.534908295E0,-6.542156339E-1,3.669114113E-1
7.417911800E-2,9.582792282E0,-6.781576276E-1,3.621230125E-1
7.672911800E-2,9.640253067E0,-6.925228238E-1,3.429693878E-1
7.927911800E-2,9.692925453E0,-6.829460263E-1,2.807201445E-1
8.182911800E-2,9.745597839E0,-7.020996213E-1,2.376245260E-1
8.437911800E-2,9.807847023E0,-7.116764784E-1,1.849520802E-1
8.692911800E-2,9.894038200E0,-7.404068708E-1,1.322796494E-1
8.947911800E-2,9.970652580E0,-7.595604658E-1,4.608838260E-2
9.202911800E-2,1.007120991E1,-7.595604658E-1,-3.531447425E-2
9.457911800E-2,1.016218948E1,-7.835025191E-1,-1.167173311E-1
9.712911800E-2,1.026274586E1,-8.170213103E-1,-2.076970041E-1
9.967911800E-2,1.037766743E1,-8.553285599E-1,-3.130418658E-1
1.022291180E-1,1.047343540E1,-8.792705536E-1,-4.088099301E-1
1.047791180E-1,1.055483818E1,-9.175778031E-1,-4.806360006E-1
1.073291180E-1,1.063624096E1,-9.702502489E-1,-5.716156363E-1
1.098791180E-1,1.070806694E1,-1.037287831E0,-6.578069329E-1
1.124291180E-1,1.077989292E1,-1.066018343E0,-7.487865686E-1
1.149791180E-1,1.083735371E1,-1.075595140E0,-8.062474132E-1
1.175291180E-1,1.089481449E1,-1.066018343E0,-8.732850552E-1
1.200791180E-1,1.094269848E1,-1.075595140E0,-9.403226972E-1
1.226291180E-1,1.098100567E1,-1.056441545E0,-9.834183455E-1
1.251791180E-1,1.100494766E1,-1.032499433E0,-1.016937137E0
1.277291180E-1,1.100015926E1,-9.989806414E-1,-1.060032845E0
1.302791180E-1,1.099537086E1,-9.750386477E-1,-1.088763237E0
1.328291180E-1,1.098579407E1,-9.606734514E-1,-1.122282028E0
1.353791180E-1,1.098100567E1,-9.367313981E-1,-1.151012421E0
1.379291180E-1,1.096664047E1,-9.080010056E-1,-1.165377736E0
1.404791180E-1,1.094269848E1,-8.888474107E-1,-1.189319730E0
1.430291180E-1,1.092354488E1,-8.553285599E-1,-1.222838521E0
1.455791180E-1,1.088044930E1,-8.170213103E-1,-1.280299306E0
1.481291180E-1,1.085650730E1,-8.074445128E-1,-1.309029818E0
1.506791180E-1,1.080383492E1,-7.739257216E-1,-1.385644197E0
1.532291180E-1,1.077510452E1,-7.308300734E-1,-1.443105102E0
1.557791180E-1,1.075595093E1,-6.877344251E-1,-1.490989089E0
1.583291180E-1,1.075116253E1,-6.542156339E-1,-1.586757183E0
1.608791180E-1,1.071285534E1,-6.111199856E-1,-1.663371682E0
1.634291180E-1,1.070327854E1,-5.728127360E-1,-1.716044068E0
1.659791180E-1,1.068891335E1,-5.249287486E-1,-1.778293371E0
1.685291180E-1,1.065539455E1,-4.770447016E-1,-1.826177359E0
1.710791180E-1,1.061229897E1,-4.435258508E-1,-1.878849745E0
1.736244300E-1,1.055962658E1,-4.052186310E-1,-1.926733851E0
1.761121390E-1,1.048780060E1,-3.764882088E-1,-1.931522250E0
1.785998470E-1,1.039682102E1,-3.190273643E-1,-1.936310649E0
1.810875550E-1,1.032499504E1,-2.711433470E-1,-1.921945453E0
1.835752640E-1,1.027232265E1,-2.328361124E-1,-1.917157054E0
1.860629720E-1,1.020528507E1,-2.184709013E-1,-1.902791858E0
1.885506800E-1,1.014303589E1,-1.945288926E-1,-1.926733851E0
1.910383370E-1,1.012388229E1,-1.801636815E-1,-1.931522250E0
1.935259930E-1,1.010951710E1,-1.753752679E-1,-1.969829440E0
1.960136490E-1,1.010472870E1,-1.993172914E-1,-2.003348351E0
1.985013050E-1,1.011430550E1,-2.328361124E-1,-2.070385933E0
2.009889620E-1,1.014782429E1,-2.711433470E-1,-2.127846718E0
2.034766180E-1,1.016697788E1,-3.046621680E-1,-2.170942307E0
2.059642740E-1,1.017176628E1,-3.381809890E-1,-2.194884300E0
2.084519300E-1,1.018613148E1,-3.573346138E-1,-2.218826532E0
2.109395870E-1,1.017655468E1,-3.956418335E-1,-2.209249735E0
2.134272430E-1,1.016697788E1,-4.147954583E-1,-2.204461098E0
2.159148990E-1,1.016218948E1,-4.243722558E-1,-2.166153908E0
2.184025550E-1,1.013345909E1,-4.531026781E-1,-2.132635117E0
2.208902120E-1,1.012388229E1,-4.674678743E-1,-2.113481522E0
2.233778680E-1,1.012388229E1,-5.105634928E-1,-2.065597534E0
2.258655240E-1,1.011909389E1,-5.488707423E-1,-2.027290344E0
2.283531800E-1,1.010472870E1,-6.111199856E-1,-2.003348351E0
2.308408370E-1,1.007120991E1,-6.350619793E-1,-1.988983035E0
2.333284930E-1,1.004247856E1,-6.685808301E-1,-1.926733851E0
2.358161490E-1,9.999382973E0,-6.829460263E-1,-1.883638144E0
2.383038050E-1,9.941922188E0,-6.877344251E-1,-1.826177359E0
2.407914620E-1,9.874884605E0,-6.829460263E-1,-1.744774461E0
2.432791180E-1,9.779116631E0,-6.781576276E-1,-1.668160081E0
2.457667740E-1,9.721655846E0,-6.733692288E-1,-1.591545582E0
2.482544300E-1,9.635464668E0,-6.494272351E-1,-1.510142684E0
2.507420870E-1,9.558850288E0,-6.494272351E-1,-1.438316703E0
2.532297430E-1,9.501389503E0,-6.350619793E-1,-1.328183413E0
2.557173990E-1,9.400833130E0,-6.206967831E-1,-1.256357312E0
2.582050550E-1,9.305065155E0,-6.015431881E-1,-1.174954534E0
2.606927120E-1,9.199720383E0,-5.823895931E-1,-1.103128433E0
2.631804200E-1,9.103952408E0,-5.632359385E-1,-1.002571940E0
2.656681280E-1,9.012971878E0,-5.440823436E-1,-9.259575009E-1
2.681558370E-1,8.921992302E0,-5.009866953E-1,-8.493430614E-1
2.706435450E-1,8.850166321E0,-4.722562730E-1,-7.918822169E-1
2.731312530E-1,8.797493935E0,-4.531026781E-1,-7.344213724E-1
2.756189620E-1,8.735244751E0,-4.626794755E-1,-6.769605279E-1
2.781066700E-1,8.725667953E0,-4.818331003E-1,-6.338648796E-1
2.805943780E-1,8.735244751E0,-4.818331003E-1,-6.194996834E-1
2.830820870E-1,8.735244751E0,-4.866214991E-1,-5.955576897E-1
2.855697950E-1,8.740033150E0,-5.009866953E-1,-5.716156363E-1
2.880575030E-1,8.783128738E0,-5.249287486E-1,-5.716156363E-1
2.905452120E-1,8.792705536E0,-5.632359385E-1,-5.668272376E-1
2.930329200E-1,8.807070732E0,-6.159083843E-1,-5.428852439E-1
2.955206280E-1,8.835801125E0,-6.494272351E-1,-4.902127981E-1
2.980083370E-1,8.859743118E0,-6.733692288E-1,-4.327519536E-1
3.004960450E-1,8.874108315E0,-7.068880796E-1,-4.040215313E-1
3.029837530E-1,8.835801125E0,-7.116764784E-1,-4.088099301E-1
3.054714620E-1,8.811859131E0,-7.212532759E-1,-4.135983288E-1
3.079591700E-1,8.792705536E0,-7.260416746E-1,-4.183867574E-1
3.104468780E-1,8.749609947E0,-6.973112226E-1,-4.423287511E-1
3.129345870E-1,8.720879555E0,-6.733692288E-1,-4.662707746E-1
3.154222950E-1,8.692149162E0,-6.494272351E-1,-5.189431906E-1
3.179100030E-1,8.663418770E0,-6.446388364E-1,-5.764040351E-1
3.203977120E-1,8.649053574E0,-6.254851818E-1,-6.530185342E-1
3.228854200E-1,8.649053574E0,-6.350619793E-1,-7.104793787E-1
3.253731280E-1,8.644265175E0,-6.637924314E-1,-7.727286220E-1
3.278608370E-1,8.644265175E0,-6.685808301E-1,-7.823054194E-1
3.303485450E-1,8.644265175E0,-6.685808301E-1,-7.918822169E-1
3.328362530E-1,8.610746384E0,-6.733692288E-1,-8.062474132E-1
3.353239620E-1,8.577227592E0,-6.829460263E-1,-7.966706157E-1
3.378116700E-1,8.553285599E0,-6.637924314E-1,-7.679402232E-1
3.402993780E-1,8.529343605E0,-6.542156339E-1,-7.679402232E-1
3.427870870E-1,8.519766808E0,-6.542156339E-1,-7.439981699E-1
3.452747950E-1,8.543708801E0,-6.350619793E-1,-7.296329737E-1
3.477625030E-1,8.548497200E0,-6.111199856E-1,-7.200561762E-1
3.502502120E-1,8.572439194E0,-6.206967831E-1,-7.344213724E-1
3.527379200E-1,8.582015991E0,-6.111199856E-1,-7.439981699E-1
3.552256280E-1,8.610746384E0,-6.206967831E-1,-7.487865686E-1
3.577133370E-1,8.625111580E0,-6.254851818E-1,-7.775170207E-1
3.602010450E-1,8.653841972E0,-6.542156339E-1,-7.727286220E-1
3.626887530E-1,8.701725960E0,-6.829460263E-1,-7.583633661E-1
3.651764620E-1,8.706514359E0,-7.020996213E-1,-7.535749674E-1
3.676641700E-1,8.730456352E0,-7.164648771E-1,-7.823054194E-1
3.701518780E-1,8.773551941E0,-7.308300734E-1,-8.014590144E-1
3.726395870E-1,8.792705536E0,-7.547720671E-1,-8.158242106E-1
3.751272950E-1,8.811859131E0,-7.691373229E-1,-8.349778652E-1
3.776150030E-1,8.821435928E0,-7.595604658E-1,-8.637082577E-1
3.801027120E-1,8.845377922E0,-7.499836683E-1,-8.924387097E-1
3.825904200E-1,8.859743118E0,-7.691373229E-1,-9.259575009E-1
3.850781280E-1,8.878896713E0,-7.643488646E-1,-9.642647505E-1
3.875658370E-1,8.893261909E0,-7.787141204E-1,-9.929951429E-1
3.900535450E-1,8.950722694E0,-8.122329116E-1,-1.026513934E0
3.925412530E-1,9.008183479E0,-8.553285599E-1,-1.064821243E0
3.950289620E-1,9.094375610E0,-8.840589523E-1,-1.107916832E0
3.975166700E-1,9.190143585E0,-9.367313981E-1,-1.170166135E0
4.000043780E-1,9.271546364E0,-9.989806414E-1,-1.208473325E0
4.024920870E-1,9.343372345E0,-1.037287831E0,-1.270722508E0
4.049797950E-1,9.415198326E0,-1.070806742E0,-1.289876223E0
4.074675030E-1,9.501389503E0,-1.099537134E0,-1.309029818E0
4.099552120E-1,9.578003883E0,-1.113902330E0,-1.323395014E0
4.124429200E-1,9.668983459E0,-1.147421122E0,-1.328183413E0
4.149306280E-1,9.769539833E0,-1.171363235E0,-1.332971811E0
4.174183370E-1,9.884461403E0,-1.185728431E0,-1.337760210E0
4.199060450E-1,9.975440979E0,-1.204882026E0,-1.323395014E0
4.223937530E-1,1.005684471E1,-1.252766013E0,-1.318606615E0
4.248814620E-1,1.014303589E1,-1.291073322E0,-1.313818216E0
4.273691700E-1,1.021965027E1,-1.315015316E0,-1.299453020E0
4.298568780E-1,1.028668785E1,-1.358110905E0,-1.265934110E0
4.323445870E-1,1.035851383E1,-1.420360208E0,-1.251568913E0
4.348322950E-1,1.041597462E1,-1.473032594E0,-1.241992116E0
4.373200030E-1,1.047343540E1,-1.496974587E0,-1.261145711E0
4.398077120E-1,1.052131939E1,-1.530493379E0,-1.246780515E0
