"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.947911800E-2,5.379581451E-2,-1.607216448E-1,-4.141212255E-2
9.202911800E-2,6.764423847E-2,-1.564605981E-1,-3.821633384E-2
9.457911800E-2,8.575372398E-2,-1.511342824E-1,-3.502054140E-2
9.712911800E-2,1.059937328E-1,-1.426121742E-1,-3.289001435E-2
9.967911800E-2,1.272990108E-1,-1.319595277E-1,-3.182475269E-2
1.022291180E-1,1.518000662E-1,-1.191763729E-1,-3.182475269E-2
1.047791180E-1,1.763011366E-1,-1.042626798E-1,-3.182475269E-2
1.073291180E-1,2.008021921E-1,-8.828372508E-2,-3.395527974E-2
1.098791180E-1,2.263685167E-1,-7.337003201E-2,-3.928159550E-2
1.124291180E-1,2.508696020E-1,-5.526055023E-2,-4.567318037E-2
1.149791180E-1,2.753706574E-1,-3.821633384E-2,-5.419528857E-2
1.175291180E-1,2.988064587E-1,-2.010685205E-2,-6.378266215E-2
1.200791180E-1,3.211769760E-1,-4.127896391E-3,-7.443529367E-2
1.226291180E-1,3.403517306E-1,9.720530361E-3,-8.615319431E-2
1.251791180E-1,3.584612012E-1,2.143843099E-2,-9.787109494E-2
1.277291180E-1,3.733749092E-1,3.209106624E-2,-1.106542572E-1
1.302791180E-1,3.872233331E-1,3.741738573E-2,-1.223721579E-1
1.328291180E-1,3.968107104E-1,3.954791278E-2,-1.330247968E-1
1.353791180E-1,4.053328037E-1,3.848264739E-2,-1.436774284E-1
1.379291180E-1,4.106591344E-1,3.315633163E-2,-1.532648057E-1
1.404791180E-1,4.149201810E-1,2.463422157E-2,-1.617869139E-1
1.430291180E-1,4.159854650E-1,1.185105834E-2,-1.692437679E-1
1.455791180E-1,4.149201810E-1,-4.127896391E-3,-1.767006069E-1
1.481291180E-1,4.117243886E-1,-2.117211558E-2,-1.830921918E-1
1.506791180E-1,4.063980877E-1,-4.247738793E-2,-1.873532385E-1
1.532291180E-1,3.989412189E-1,-6.591318548E-2,-1.916143000E-1
1.557791180E-1,3.904191256E-1,-9.041424841E-2,-1.937448233E-1
1.583291180E-1,3.797664940E-1,-1.149153188E-1,-1.948100924E-1
1.608791180E-1,3.691138625E-1,-1.394163817E-1,-1.948100924E-1
1.634291180E-1,3.563306928E-1,-1.628521830E-1,-1.926795542E-1
1.659791180E-1,3.424822688E-1,-1.852227151E-1,-1.894837767E-1
1.685291180E-1,3.296990991E-1,-2.054627240E-1,-1.841574460E-1
1.710791180E-1,3.158506751E-1,-2.246374637E-1,-1.767006069E-1
1.736244300E-1,3.020022511E-1,-2.395511568E-1,-1.681784987E-1
1.761121390E-1,2.892190814E-1,-2.512690723E-1,-1.575258672E-1
1.785998470E-1,2.764359117E-1,-2.608564198E-1,-1.458079666E-1
1.810875550E-1,2.657832801E-1,-2.683132887E-1,-1.330247968E-1
1.835752640E-1,2.561959028E-1,-2.747048736E-1,-1.191763729E-1
1.860629720E-1,2.476737946E-1,-2.800311744E-1,-1.021321490E-1
1.885506800E-1,2.402169555E-1,-2.832269669E-1,-8.508793265E-2
1.910383370E-1,2.348906398E-1,-2.842922211E-1,-6.484792382E-2
1.935259930E-1,2.306295782E-1,-2.853575051E-1,-4.354264960E-2
1.960136490E-1,2.284990549E-1,-2.842922211E-1,-2.223737910E-2
1.985013050E-1,2.263685167E-1,-2.810964286E-1,1.331579551E-4
2.009889620E-1,2.253032625E-1,-2.736395895E-1,2.037316747E-2
2.034766180E-1,2.242379934E-1,-2.619217038E-1,4.167843983E-2
2.059642740E-1,2.263685167E-1,-2.470080107E-1,6.191844866E-2
2.084519300E-1,2.274337858E-1,-2.278332561E-1,8.002793044E-2
2.109395870E-1,2.295643091E-1,-2.054627240E-1,9.813741595E-2
2.134272430E-1,2.316948473E-1,-1.798963994E-1,1.151816323E-1
2.159148990E-1,2.338253707E-1,-1.521995366E-1,1.311605871E-1
2.184025550E-1,2.370211631E-1,-1.245026886E-1,1.450090110E-1
2.208902120E-1,2.402169555E-1,-9.574057162E-2,1.577921808E-1
2.233778680E-1,2.434127480E-1,-6.591318548E-2,1.684448123E-1
2.258655240E-1,2.444780022E-1,-3.608580679E-2,1.780321896E-1
2.283531800E-1,2.455432713E-1,-7.323687430E-3,1.865542978E-1
2.308408370E-1,2.466085255E-1,2.037316747E-2,1.929458827E-1
2.333284930E-1,2.455432713E-1,4.807002097E-2,1.972069293E-1
2.358161490E-1,2.434127480E-1,7.363634557E-2,2.004027218E-1
2.383038050E-1,2.391516864E-1,9.707214683E-2,2.014679909E-1
2.407914620E-1,2.338253707E-1,1.194426864E-1,2.025332451E-1
2.432791180E-1,2.274337858E-1,1.386174262E-1,2.014679909E-1
2.457667740E-1,2.178464085E-1,1.545963883E-1,2.014679909E-1
2.482544300E-1,2.071937770E-1,1.663142890E-1,2.004027218E-1
2.507420870E-1,1.933453530E-1,1.759016514E-1,1.993374527E-1
2.532297430E-1,1.794969290E-1,1.812279820E-1,1.993374527E-1
2.557173990E-1,1.635179669E-1,1.844237745E-1,1.982721984E-1
2.582050550E-1,1.454084814E-1,1.844237745E-1,1.982721984E-1
2.606927120E-1,1.272990108E-1,1.801627129E-1,1.993374527E-1
2.631804200E-1,1.091895252E-1,1.737711281E-1,1.993374527E-1
2.656681280E-1,9.001477808E-2,1.641837656E-1,2.004027218E-1
2.681558370E-1,7.190529257E-2,1.535311192E-1,2.035985142E-1
2.706435450E-1,5.273054913E-2,1.396826953E-1,2.067943066E-1
2.731312530E-1,3.568633273E-2,1.258342713E-1,2.110553533E-1
2.756189620E-1,1.864211448E-2,1.109205782E-1,2.163816839E-1
2.781066700E-1,3.728422802E-3,9.494162351E-2,2.227732539E-1
2.805943780E-1,-9.054740891E-3,7.789740711E-2,2.280995846E-1
2.830820870E-1,-1.970737800E-2,6.298371404E-2,2.344911546E-1
2.855697950E-1,-2.822948620E-2,4.913528636E-2,2.387522161E-1
2.880575030E-1,-3.355580568E-2,3.741738573E-2,2.430132627E-1
2.905452120E-1,-3.781685978E-2,2.889527567E-2,2.451438010E-1
2.930329200E-1,-3.994738683E-2,2.356895804E-2,2.462090552E-1
2.955206280E-1,-3.994738683E-2,1.930790395E-2,2.451438010E-1
2.980083370E-1,-3.781685978E-2,1.717737690E-2,2.430132627E-1
3.004960450E-1,-3.462106735E-2,1.504684892E-2,2.387522161E-1
3.029837530E-1,-3.142527863E-2,1.185105834E-2,2.334259003E-1
3.054714620E-1,-2.716422267E-2,7.590003312E-3,2.259690464E-1
3.079591700E-1,-2.290316857E-2,3.328948980E-3,2.174469382E-1
3.104468780E-1,-1.864211448E-2,-1.997369342E-3,2.089248300E-1
3.129345870E-1,-1.544632297E-2,-6.258423906E-3,1.993374527E-1
3.154222950E-1,-1.225053146E-2,-1.158474199E-2,1.897500902E-1
3.179100030E-1,-9.054740891E-3,-1.584579609E-2,1.801627129E-1
3.203977120E-1,-6.924213842E-3,-1.797632314E-2,1.716406047E-1
3.228854200E-1,-5.858949851E-3,-1.797632314E-2,1.641837656E-1
3.253731280E-1,-3.728422802E-3,-1.584579609E-2,1.545963883E-1
3.278608370E-1,-3.728422802E-3,-1.158474199E-2,1.482048035E-1
3.303485450E-1,-1.597895520E-3,-5.193160381E-3,1.407479644E-1
3.328362530E-1,-2.663159044E-3,3.328948980E-3,1.343563795E-1
3.353239620E-1,-3.728422802E-3,1.291632187E-2,1.268995255E-1
3.378116700E-1,-3.728422802E-3,2.250369452E-2,1.226384789E-1
3.402993780E-1,-4.793686327E-3,3.102580272E-2,1.183774248E-1
3.427870870E-1,-6.924213842E-3,3.848264739E-2,1.162468940E-1
3.452747950E-1,-9.054740891E-3,4.380896688E-2,1.151816323E-1
3.477625030E-1,-1.118526794E-2,4.807002097E-2,1.151816323E-1
3.502502120E-1,-1.331579592E-2,5.020054802E-2,1.173121557E-1
3.527379200E-1,-1.544632297E-2,5.020054802E-2,1.205079481E-1
3.552256280E-1,-1.864211448E-2,4.913528636E-2,1.247690022E-1
3.577133370E-1,-2.077264152E-2,4.807002097E-2,1.300953180E-1
3.602010450E-1,-2.503369562E-2,4.380896688E-2,1.354216337E-1
3.626887530E-1,-2.929474972E-2,3.954791278E-2,1.428784877E-1
3.651764620E-1,-3.355580568E-2,3.422159329E-2,1.503353268E-1
3.676641700E-1,-3.781685978E-2,2.889527567E-2,1.577921808E-1
3.701518780E-1,-4.207791388E-2,2.356895804E-2,1.641837656E-1
3.726395870E-1,-4.527370632E-2,1.611211337E-2,1.727058738E-1
3.751272950E-1,-4.953476042E-2,9.720530361E-3,1.780321896E-1
3.776150030E-1,-5.379581451E-2,3.328948980E-3,1.854890287E-1
3.801027120E-1,-5.805686861E-2,-3.062632866E-3,1.929458827E-1
3.825904200E-1,-6.231792271E-2,-8.388951421E-3,2.014679909E-1
3.850781280E-1,-6.657897681E-2,-1.478053257E-2,2.089248300E-1
3.875658370E-1,-7.190529257E-2,-2.010685205E-2,2.174469382E-1
3.900535450E-1,-7.829687744E-2,-2.543316968E-2,2.259690464E-1
3.925412530E-1,-8.362319320E-2,-3.075948730E-2,2.344911546E-1
3.950289620E-1,-8.894951642E-2,-3.608580679E-2,2.440785319E-1
3.975166700E-1,-9.534109384E-2,-4.034686089E-2,2.526006401E-1
4.000043780E-1,-1.017326787E-1,-4.354264960E-2,2.600574791E-1
4.024920870E-1,-1.081242561E-1,-4.673844203E-2,2.675143182E-1
4.049797950E-1,-1.145158410E-1,-4.886896908E-2,2.739059031E-1
4.074675030E-1,-1.219726875E-1,-4.993423447E-2,2.792322338E-1
4.099552120E-1,-1.283642650E-1,-4.886896908E-2,2.834932804E-1
4.124429200E-1,-1.347558498E-1,-4.780370742E-2,2.866890728E-1
4.149306280E-1,-1.411474347E-1,-4.567318037E-2,2.898848653E-1
4.174183370E-1,-1.454084814E-1,-4.247738793E-2,2.920154035E-1
4.199060450E-1,-1.496695429E-1,-3.821633384E-2,2.930806577E-1
4.223937530E-1,-1.539305896E-1,-3.502054140E-2,2.930806577E-1
4.248814620E-1,-1.571263820E-1,-3.075948730E-2,2.909501195E-1
4.273691700E-1,-1.592569202E-1,-2.649843320E-2,2.877543271E-1
4.298568780E-1,-1.603221744E-1,-2.330264263E-2,2.845585644E-1
4.323445870E-1,-1.613874435E-1,-2.010685205E-2,2.802974880E-1
4.348322950E-1,-1.603221744E-1,-1.797632314E-2,2.749711871E-1
4.373200030E-1,-1.581916511E-1,-1.691105962E-2,2.685796022E-1
4.398077120E-1,-1.571263820E-1,-1.691105962E-2,2.611227632E-1
4.422954200E-1,-1.549958587E-1,-1.691105962E-2,2.526006401E-1
4.447831280E-1,-1.518000662E-1,-1.904158667E-2,2.430132627E-1
4.472708370E-1,-1.486042738E-1,-2.117211558E-2,2.344911546E-1
4.497585450E-1,-1.443432271E-1,-2.436790615E-2,2.249037921E-1
4.522462530E-1,-1.390169114E-1,-2.969422378E-2,2.142511457E-1
4.547339620E-1,-1.326253265E-1,-3.608580679E-2,2.046637833E-1
4.572216700E-1,-1.262337416E-1,-4.354264960E-2,1.940111369E-1
4.597093780E-1,-1.187768951E-1,-5.099949613E-2,1.844237745E-1
4.621970870E-1,-1.102547869E-1,-5.845634267E-2,1.737711281E-1
4.646847950E-1,-1.006674170E-1,-6.591318548E-2,1.631184965E-1
4.671725030E-1,-9.108003974E-2,-7.443529367E-2,1.535311192E-1
4.696602120E-1,-8.042740822E-2,-8.189214021E-2,1.428784877E-1
4.721479200E-1,-6.977476925E-2,-8.934898674E-2,1.322258562E-1
4.746356280E-1,-5.699160323E-2,-9.574057162E-2,1.215732098E-1
4.771233370E-1,-4.527370632E-2,-1.000016257E-1,1.130511016E-1
4.796110450E-1,-3.355580568E-2,-1.031974182E-1,1.055942550E-1
4.820987530E-1,-2.290316857E-2,-1.053279415E-1,9.813741595E-2
4.845864620E-1,-1.225053146E-2,-1.063932031E-1,9.174583107E-2
