"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.272166700E-2,-9.738415718E0,-1.516128182E0,1.463455796E0
3.519781300E-2,-9.738415718E0,-1.530493379E0,1.516128182E0
3.767484400E-2,-9.762357712E0,-1.564012289E0,1.597531080E0
4.015317800E-2,-9.843760490E0,-1.559223890E0,1.683722377E0
4.263312500E-2,-9.920374870E0,-1.544858694E0,1.789067268E0
4.511494800E-2,-9.996989250E0,-1.530493379E0,1.884835243E0
4.759880300E-2,-1.005923843E1,-1.482609391E0,1.990180135E0
5.008479200E-2,-1.013106441E1,-1.458667397E0,2.090736628E0
5.257078200E-2,-1.018852520E1,-1.405994892E0,2.152985811E0
5.505895900E-2,-1.023162079E1,-1.377264500E0,2.186504602E0
5.754921900E-2,-1.027950478E1,-1.343745708E0,2.186504602E0
6.004140700E-2,-1.033217716E1,-1.291073322E0,2.172139406E0
6.253526100E-2,-1.038484955E1,-1.257554412E0,2.138620615E0
6.503046900E-2,-1.045188713E1,-1.209670424E0,2.076371431E0
6.752666700E-2,-1.049977112E1,-1.185728431E0,1.990180135E0
7.002349000E-2,-1.053328991E1,-1.142632723E0,1.927930951E0
7.252057300E-2,-1.054286766E1,-1.085171938E0,1.827374458E0
7.501463600E-2,-1.053328991E1,-1.037287831E0,1.693299174E0
7.750244800E-2,-1.052850151E1,-1.008557439E0,1.544858694E0
7.999026100E-2,-1.049498272E1,-1.013345838E0,1.410783410E0
8.247807300E-2,-1.045667553E1,-1.018134236E0,1.271919608E0
8.496588600E-2,-1.040400314E1,-1.046864748E0,1.156997919E0
8.745369800E-2,-1.038006115E1,-1.080383539E0,1.089960337E0
8.994151100E-2,-1.036090755E1,-1.128267527E0,1.018134236E0
9.242932300E-2,-1.032738876E1,-1.214458823E0,9.558850527E-1
9.491713600E-2,-1.025077438E1,-1.276708007E0,9.367313981E-1
9.740494800E-2,-1.017894840E1,-1.362899303E0,9.175778031E-1
9.989276100E-2,-1.011191082E1,-1.468244195E0,9.319429994E-1
1.023805730E-1,-1.001614285E1,-1.564012289E0,9.702502489E-1
1.048683860E-1,-9.944316864E0,-1.645415068E0,9.846154451E-1
1.073561980E-1,-9.891644478E0,-1.741183162E0,1.042076349E0
1.098440110E-1,-9.838972092E0,-1.813009262E0,1.118690729E0
1.123318230E-1,-9.829395294E0,-1.860893250E0,1.243189216E0
1.148196360E-1,-9.834183693E0,-1.894412041E0,1.372476101E0
1.173074480E-1,-9.838972092E0,-1.932719350E0,1.482609391E0
1.197952610E-1,-9.858125687E0,-1.966238141E0,1.626261473E0
1.222830730E-1,-9.867702484E0,-2.009333849E0,1.745971560E0
1.247708860E-1,-9.882067680E0,-2.033275843E0,1.827374458E0
1.272586980E-1,-9.906009674E0,-2.066794634E0,1.903988957E0
1.297465110E-1,-9.939528465E0,-2.076371431E0,2.004545450E0
1.322343230E-1,-9.973047256E0,-2.062006235E0,2.090736628E0
1.347221360E-1,-9.996989250E0,-2.047641039E0,2.172139406E0
1.372099480E-1,-1.004008484E1,-2.014122248E0,2.224812031E0
1.396977610E-1,-1.008796883E1,-1.985391736E0,2.287061214E0
1.421855730E-1,-1.010233402E1,-1.932719350E0,2.344521999E0
1.446733860E-1,-1.018852520E1,-1.889623642E0,2.387617588E0
1.471611980E-1,-1.023640919E1,-1.846528053E0,2.411559582E0
1.496490110E-1,-1.028908157E1,-1.822586060E0,2.387617588E0
1.521368230E-1,-1.032260036E1,-1.803432465E0,2.349310398E0
1.546246360E-1,-1.029865837E1,-1.798644066E0,2.277484417E0
1.571124480E-1,-1.026513958E1,-1.793855667E0,2.215235233E0
1.596002610E-1,-1.022683239E1,-1.798644066E0,2.114678621E0
1.620880730E-1,-1.018373680E1,-1.813009262E0,2.014122248E0
1.645758860E-1,-1.014542961E1,-1.813009262E0,1.908777356E0
1.670636980E-1,-1.011669922E1,-1.798644066E0,1.822586060E0
1.695515110E-1,-1.011669922E1,-1.798644066E0,1.765125155E0
1.720393230E-1,-1.011669922E1,-1.793855667E0,1.702875972E0
1.745271360E-1,-1.010712242E1,-1.760336757E0,1.669357181E0
1.770149480E-1,-1.010712242E1,-1.750759959E0,1.645415068E0
1.795027610E-1,-1.011191082E1,-1.765125155E0,1.573589087E0
1.819905730E-1,-1.012627602E1,-1.765125155E0,1.506551385E0
1.844783860E-1,-1.014064121E1,-1.798644066E0,1.449090600E0
1.869661980E-1,-1.017894840E1,-1.817797661E0,1.401206493E0
1.894540110E-1,-1.020767879E1,-1.846528053E0,1.362899303E0
1.919418230E-1,-1.024598598E1,-1.875258446E0,1.329380512E0
1.944296360E-1,-1.029865837E1,-1.875258446E0,1.300650120E0
1.969174480E-1,-1.036090755E1,-1.875258446E0,1.295861721E0
1.994052610E-1,-1.040879154E1,-1.860893250E0,1.291073322E0
2.018930730E-1,-1.049019432E1,-1.841739655E0,1.291073322E0
2.043808860E-1,-1.056680965E1,-1.836951256E0,1.271919608E0
2.068686980E-1,-1.061948204E1,-1.822586060E0,1.262342811E0
2.093565110E-1,-1.067694283E1,-1.808220863E0,1.267131209E0
2.118443230E-1,-1.073919201E1,-1.817797661E0,1.257554412E0
2.143321360E-1,-1.077271080E1,-1.817797661E0,1.271919608E0
2.168199480E-1,-1.084453678E1,-1.836951256E0,1.276708007E0
2.193077610E-1,-1.089242077E1,-1.856104851E0,1.276708007E0
2.217955730E-1,-1.094030476E1,-1.894412041E0,1.286284804E0
2.242833860E-1,-1.096903515E1,-1.923142552E0,1.262342811E0
2.267711980E-1,-1.096903515E1,-1.947084546E0,1.247977614E0
2.292590110E-1,-1.094988155E1,-1.994968534E0,1.233612418E0
2.317468230E-1,-1.088763237E1,-2.023699045E0,1.243189216E0
2.342346360E-1,-1.084453678E1,-2.038064241E0,1.271919608E0
2.367224480E-1,-1.079665279E1,-2.076371431E0,1.291073322E0
2.392102610E-1,-1.074876881E1,-2.133832216E0,1.310226917E0
2.416980730E-1,-1.070567322E1,-2.181716204E0,1.353322506E0
2.441858860E-1,-1.069609642E1,-2.229600430E0,1.425148606E0
2.466736980E-1,-1.070088482E1,-2.282272816E0,1.535281897E0
2.491615110E-1,-1.072003841E1,-2.358887196E0,1.650203466E0
2.516493230E-1,-1.072482681E1,-2.454655409E0,1.755548358E0
2.541371360E-1,-1.072003841E1,-2.569576979E0,1.851316452E0
2.566249480E-1,-1.072003841E1,-2.708440781E0,1.923142552E0
2.591127610E-1,-1.072961521E1,-2.847304344E0,1.956661344E0
2.616005730E-1,-1.070088482E1,-2.957437754E0,1.966238141E0
2.640883860E-1,-1.068173122E1,-3.048417330E0,1.980603337E0
2.665761980E-1,-1.066257763E1,-3.110666513E0,1.975814939E0
2.690640110E-1,-1.066736603E1,-3.120243311E0,1.947084546E0
2.715518230E-1,-1.072003841E1,-3.134608507E0,1.913565755E0
2.740396360E-1,-1.083017159E1,-3.134608507E0,1.865681648E0
2.765274480E-1,-1.094509315E1,-3.134608507E0,1.784278870E0
2.790152610E-1,-1.107437992E1,-3.120243311E0,1.688510776E0
2.815030730E-1,-1.119408989E1,-3.077147722E0,1.602319479E0
2.839908860E-1,-1.132337666E1,-3.014898539E0,1.516128182E0
2.864786980E-1,-1.142872143E1,-2.938283920E0,1.425148606E0
2.889665110E-1,-1.156279755E1,-2.818573952E0,1.286284804E0
2.914543230E-1,-1.172560310E1,-2.708440781E0,1.075595140E0
2.939421360E-1,-1.187883186E1,-2.579153776E0,8.457517624E-1
2.964299480E-1,-1.205600262E1,-2.416347980E0,6.302735806E-1
2.989177610E-1,-1.224753857E1,-2.287061214E0,4.100070298E-1
3.014055730E-1,-1.246301651E1,-2.162562609E0,1.705868691E-1
3.038933860E-1,-1.269286060E1,-2.042852640E0,-5.446808785E-2
3.063811980E-1,-1.290833855E1,-1.927930951E0,-2.603694201E-1
3.088690110E-1,-1.309987450E1,-1.832162857E0,-4.231751561E-1
3.113568230E-1,-1.323394966E1,-1.765125155E0,-5.476736426E-1
3.138446360E-1,-1.331535244E1,-1.712452769E0,-6.386532784E-1
3.163324480E-1,-1.332971764E1,-1.693299174E0,-7.104793787E-1
3.188202610E-1,-1.332014084E1,-1.674145579E0,-7.344213724E-1
3.213080730E-1,-1.329619884E1,-1.631049871E0,-7.296329737E-1
3.237958860E-1,-1.328183365E1,-1.631049871E0,-6.769605279E-1
3.262836980E-1,-1.331056404E1,-1.640626669E0,-5.811924338E-1
3.287715110E-1,-1.331535244E1,-1.678933978E0,-4.088099301E-1
3.312593230E-1,-1.332014084E1,-1.712452769E0,-1.981201917E-1
3.337471360E-1,-1.325789165E1,-1.769913554E0,7.481880486E-2
3.362349480E-1,-1.321958447E1,-1.817797661E0,3.333925903E-1
3.387227610E-1,-1.318127728E1,-1.875258446E0,6.302735806E-1
3.412105730E-1,-1.311423969E1,-1.913565755E0,9.319429994E-1
3.436983860E-1,-1.306635571E1,-1.961449742E0,1.247977614E0
3.461861980E-1,-1.301368332E1,-2.018910646E0,1.540070295E0
3.486740110E-1,-1.296579933E1,-2.071583033E0,1.836951256E0
3.511618230E-1,-1.293228054E1,-2.114678621E0,2.167351007E0
3.536496360E-1,-1.289397335E1,-2.138620615E0,2.454655409E0
3.561374480E-1,-1.286045456E1,-2.152985811E0,2.761113167E0
3.586252610E-1,-1.285087776E1,-2.152985811E0,3.005321741E0
3.611130730E-1,-1.286524296E1,-2.162562609E0,3.220799923E0
3.636008860E-1,-1.286524296E1,-2.162562609E0,3.431489468E0
3.660886980E-1,-1.284130096E1,-2.167351007E0,3.570353270E0
3.685765110E-1,-1.280778217E1,-2.196081400E0,3.656544447E0
3.710643230E-1,-1.275989819E1,-2.239177227E0,3.656544447E0
3.735521360E-1,-1.269764900E1,-2.291849613E0,3.646967649E0
3.760399480E-1,-1.263061142E1,-2.325368404E0,3.594295263E0
3.785277610E-1,-1.256357384E1,-2.334945202E0,3.527257681E0
3.810155730E-1,-1.252526665E1,-2.339733601E0,3.450643301E0
3.835033860E-1,-1.253005505E1,-2.339733601E0,3.378817081E0
3.859911980E-1,-1.254442024E1,-2.306214809E0,3.297414303E0
3.884790110E-1,-1.254920864E1,-2.296638012E0,3.168127298E0
3.909668230E-1,-1.255878544E1,-2.306214809E0,3.029263735E0
3.934546360E-1,-1.258272743E1,-2.315791607E0,2.837727547E0
3.959424480E-1,-1.258751583E1,-2.334945202E0,2.607884169E0
3.984302610E-1,-1.256357384E1,-2.354098797E0,2.382829189E0
4.009180730E-1,-1.256357384E1,-2.349310398E0,2.133832216E0
4.034058860E-1,-1.258751583E1,-2.306214809E0,1.894412041E0
4.058936980E-1,-1.264976501E1,-2.196081400E0,1.674145579E0
4.083815110E-1,-1.271201420E1,-2.071583033E0,1.468244195E0
4.108693230E-1,-1.273595619E1,-1.951872945E0,1.276708007E0
4.133571360E-1,-1.272159100E1,-1.880046844E0,1.075595140E0
4.158449480E-1,-1.267370701E1,-1.880046844E0,8.601169586E-1
4.183327610E-1,-1.259230423E1,-1.961449742E0,6.254851818E-1
