"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.008479200E-2,-8.042740822E-2,-7.869634777E-2,-1.584579609E-2
5.257078200E-2,-7.403582335E-2,-8.082687855E-2,-1.691105962E-2
5.505895900E-2,-6.338318437E-2,-8.508793265E-2,-1.904158667E-2
5.754921900E-2,-4.846949503E-2,-8.828372508E-2,-2.010685205E-2
6.004140700E-2,-3.249054030E-2,-9.147951752E-2,-2.010685205E-2
6.253526100E-2,-1.331579592E-2,-9.467530251E-2,-2.010685205E-2
6.503046900E-2,6.924213842E-3,-9.787109494E-2,-2.010685205E-2
6.752666700E-2,2.609895915E-2,-1.010668874E-1,-1.904158667E-2
7.002349000E-2,4.633896798E-2,-1.053279415E-1,-1.691105962E-2
7.252057300E-2,6.444845349E-2,-1.106542572E-1,-1.371526904E-2
7.501463600E-2,8.042740822E-2,-1.159805804E-1,-7.323687430E-3
7.750244800E-2,9.534109384E-2,-1.202416345E-1,-9.321057005E-4
7.999026100E-2,1.070589945E-1,-1.234374270E-1,8.655266836E-3
8.247807300E-2,1.166463718E-1,-1.245026886E-1,1.930790395E-2
8.496588600E-2,1.230379492E-1,-1.223721579E-1,3.209106624E-2
8.745369800E-2,1.262337416E-1,-1.191763729E-1,4.487423226E-2
8.994151100E-2,1.251684725E-1,-1.127847880E-1,5.872265995E-2
9.242932300E-2,1.219726875E-1,-1.063932031E-1,7.257108390E-2
9.491713600E-2,1.145158410E-1,-9.893636405E-2,8.535424620E-2
9.740494800E-2,1.059937328E-1,-9.041424841E-2,9.707214683E-2
9.989276100E-2,9.321057051E-2,-8.295740932E-2,1.066595241E-1
1.023805730E-1,7.936213911E-2,-7.443529367E-2,1.151816323E-1
1.048683860E-1,6.338318437E-2,-6.591318548E-2,1.226384789E-1
1.073561980E-1,4.527370632E-2,-5.739107728E-2,1.268995255E-1
1.098440110E-1,2.716422267E-2,-4.780370742E-2,1.300953180E-1
1.123318230E-1,9.054740891E-3,-3.821633384E-2,1.311605871E-1
1.148196360E-1,-7.989477366E-3,-2.862896025E-2,1.311605871E-1
1.173074480E-1,-2.396843210E-2,-2.010685205E-2,1.290300637E-1
1.197952610E-1,-3.888212144E-2,-1.371526904E-2,1.247690022E-1
1.222830730E-1,-5.166528746E-2,-8.388951421E-3,1.194426864E-1
1.247708860E-1,-6.231792271E-2,-5.193160381E-3,1.141163707E-1
1.272586980E-1,-7.084003091E-2,-4.127896391E-3,1.077247858E-1
1.297465110E-1,-7.723161578E-2,-5.193160381E-3,1.013332009E-1
1.322343230E-1,-8.149266988E-2,-8.388951421E-3,9.494162351E-2
1.347221360E-1,-8.362319320E-2,-1.158474199E-2,8.855003864E-2
1.372099480E-1,-8.362319320E-2,-1.691105962E-2,8.322372288E-2
1.396977610E-1,-8.149266988E-2,-2.223737910E-2,7.789740711E-2
1.421855730E-1,-7.723161578E-2,-2.862896025E-2,7.363634557E-2
1.446733860E-1,-7.084003091E-2,-3.608580679E-2,6.831002980E-2
1.471611980E-1,-6.231792271E-2,-4.460791498E-2,6.511423737E-2
1.496490110E-1,-5.166528746E-2,-5.419528857E-2,6.085318699E-2
1.521368230E-1,-3.994738683E-2,-6.484792382E-2,5.765739456E-2
1.546246360E-1,-2.822948620E-2,-7.656582445E-2,5.552686751E-2
1.571124480E-1,-1.757685095E-2,-8.934898674E-2,5.446160212E-2
1.596002610E-1,-7.989477366E-3,-1.031974182E-1,5.446160212E-2
1.620880730E-1,5.326318205E-4,-1.170458421E-1,5.446160212E-2
1.645758860E-1,7.989477366E-3,-1.308942735E-1,5.446160212E-2
1.670636980E-1,1.331579592E-2,-1.415469050E-1,5.552686751E-2
1.695515110E-1,1.757685095E-2,-1.511342824E-1,5.659212917E-2
1.720393230E-1,1.970737800E-2,-1.585911214E-1,5.659212917E-2
1.745271360E-1,2.077264152E-2,-1.649827063E-1,5.659212917E-2
1.770149480E-1,2.183790505E-2,-1.703090221E-1,5.765739456E-2
1.795027610E-1,2.183790505E-2,-1.745700836E-1,5.659212917E-2
1.819905730E-1,2.077264152E-2,-1.777658761E-1,5.659212917E-2
1.844783860E-1,1.970737800E-2,-1.809616536E-1,5.659212917E-2
1.869661980E-1,1.651158556E-2,-1.820269227E-1,5.552686751E-2
1.894540110E-1,1.225053146E-2,-1.820269227E-1,5.552686751E-2
1.919418230E-1,6.924213842E-3,-1.820269227E-1,5.446160212E-2
1.944296360E-1,-5.326318205E-4,-1.798963994E-1,5.233107507E-2
1.969174480E-1,-7.989477366E-3,-1.777658761E-1,4.913528636E-2
1.994052610E-1,-1.651158556E-2,-1.745700836E-1,4.700475931E-2
2.018930730E-1,-2.503369562E-2,-1.703090221E-1,4.487423226E-2
2.043808860E-1,-3.462106735E-2,-1.671132296E-1,4.274370521E-2
2.068686980E-1,-4.420844093E-2,-1.639174372E-1,4.167843983E-2
2.093565110E-1,-5.486107618E-2,-1.607216448E-1,4.061317816E-2
2.118443230E-1,-6.551371515E-2,-1.585911214E-1,3.954791278E-2
2.143321360E-1,-7.616634667E-2,-1.564605981E-1,3.848264739E-2
2.168199480E-1,-8.788424730E-2,-1.543300748E-1,3.954791278E-2
