"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.999865700E-2,1.129225254E1,6.274604321E0,-2.147000313E0
5.247568800E-2,1.129704094E1,6.303334713E0,-2.142211914E0
5.495402200E-2,1.132098293E1,6.332065105E0,-2.099116325E0
5.743397000E-2,1.136886692E1,6.356007099E0,-2.056020737E0
5.991579300E-2,1.138323212E1,6.399102688E0,-1.998559833E0
6.239964700E-2,1.140717411E1,6.403891087E0,-1.945887446E0
6.488563600E-2,1.145505810E1,6.442198277E0,-1.902791858E0
6.737376100E-2,1.150294209E1,6.423044682E0,-1.883638144E0
6.986391800E-2,1.155082607E1,6.375160694E0,-1.883638144E0
7.235589700E-2,1.160349846E1,6.351218700E0,-1.912368655E0
7.484787600E-2,1.164180565E1,6.327276707E0,-1.921945453E0
7.734131300E-2,1.168968964E1,6.308123112E0,-1.926733851E0
7.983589700E-2,1.172799683E1,6.308123112E0,-1.941099048E0
8.233131300E-2,1.177109241E1,6.317699909E0,-1.912368655E0
8.482725100E-2,1.182376480E1,6.327276707E0,-1.874061346E0
8.732334500E-2,1.186207199E1,6.341641903E0,-1.811812162E0
8.981553200E-2,1.191474438E1,6.351218700E0,-1.735197663E0
9.230334500E-2,1.195305157E1,6.303334713E0,-1.677736878E0
9.479115700E-2,1.196741676E1,6.226719856E0,-1.620275974E0
9.727897000E-2,1.197220516E1,6.116586685E0,-1.562815189E0
9.976678200E-2,1.196262836E1,5.977723122E0,-1.500565886E0
1.022545950E-1,1.194347477E1,5.867589951E0,-1.443105102E0
1.047424070E-1,1.191953278E1,5.771821976E0,-1.347337008E0
1.072302200E-1,1.191953278E1,5.714360714E0,-1.241992116E0
1.097180320E-1,1.192910957E1,5.685630322E0,-1.112705231E0
1.122058450E-1,1.190995598E1,5.676053524E0,-9.834183455E-1
1.146936570E-1,1.184770679E1,5.671265125E0,-8.972271085E-1
1.171814700E-1,1.175193882E1,5.666476727E0,-8.110358119E-1
1.196692820E-1,1.162744045E1,5.690418720E0,-7.439981699E-1
1.221570950E-1,1.148378849E1,5.699995518E0,-7.152677774E-1
1.246449070E-1,1.134492493E1,5.671265125E0,-7.392097712E-1
1.271327200E-1,1.122042656E1,5.632957935E0,-7.870938182E-1
1.296205320E-1,1.113423538E1,5.623381138E0,-8.254010081E-1
1.321083450E-1,1.106240940E1,5.632957935E0,-8.493430614E-1
1.345961570E-1,1.099058247E1,5.609015942E0,-8.972271085E-1
1.370839700E-1,1.095227528E1,5.599439144E0,-9.403226972E-1
1.395717820E-1,1.090439129E1,5.594650745E0,-9.690531492E-1
1.420595950E-1,1.086608410E1,5.623381138E0,-9.738415480E-1
1.445474070E-1,1.081341171E1,5.676053524E0,-1.012148738E0
1.470352200E-1,1.077989292E1,5.699995518E0,-1.031302333E0
1.495230320E-1,1.076073933E1,5.699995518E0,-1.050456047E0
1.520108450E-1,1.072243214E1,5.699995518E0,-1.083974838E0
1.544986570E-1,1.069370174E1,5.719149113E0,-1.093551636E0
1.569864700E-1,1.066018295E1,5.728725910E0,-1.107916832E0
1.594742820E-1,1.060751057E1,5.767033577E0,-1.093551636E0
1.619620950E-1,1.055483818E1,5.776610374E0,-1.045667648E0
1.644499070E-1,1.050216579E1,5.843647957E0,-1.002571940E0
1.669377200E-1,1.047822380E1,5.877166748E0,-9.307458997E-1
1.694255320E-1,1.044949341E1,5.925050735E0,-8.349778652E-1
1.719133450E-1,1.043512821E1,5.934627533E0,-7.775170207E-1
1.744011570E-1,1.042076302E1,5.934627533E0,-7.487865686E-1
1.768889700E-1,1.039682102E1,5.934627533E0,-7.392097712E-1
1.793767820E-1,1.037766743E1,5.934627533E0,-7.392097712E-1
1.818645950E-1,1.032499504E1,5.944204330E0,-7.200561762E-1
1.843524070E-1,1.025316906E1,5.953781128E0,-6.913257241E-1
1.868402200E-1,1.021007347E1,6.001665115E0,-6.530185342E-1
1.893280320E-1,1.017176628E1,6.039972305E0,-5.764040351E-1
1.918158450E-1,1.015261269E1,6.078279495E0,-5.093663931E-1
1.943036570E-1,1.009515190E1,6.111798286E0,-4.423287511E-1
1.967914700E-1,9.980229378E0,6.116586685E0,-3.848679364E-1
1.992792820E-1,9.798270226E0,6.135740280E0,-3.130418658E-1
2.017670950E-1,9.554061890E0,6.130951881E0,-2.555810213E-1
2.042549070E-1,9.266757965E0,6.183624268E0,-2.076970041E-1
2.067427200E-1,8.979453087E0,6.288969517E0,-2.029085904E-1
2.092305320E-1,8.749609947E0,6.432621479E0,-2.076970041E-1
2.117183450E-1,8.514978409E0,6.561908245E0,-2.316390127E-1
2.142061570E-1,8.299500465E0,6.648099422E0,-2.843114436E-1
2.166939700E-1,8.146271706E0,6.700771809E0,-3.369838893E-1
2.191817820E-1,8.060079575E0,6.676829815E0,-3.896563351E-1
2.216695950E-1,7.983465672E0,6.595427036E0,-4.950011969E-1
2.241574070E-1,7.940370083E0,6.475717068E0,-6.099228859E-1
2.266452200E-1,7.959523678E0,6.356007099E0,-7.344213724E-1
2.291330320E-1,7.997830868E0,6.245873451E0,-8.397662640E-1
2.316208450E-1,8.002618790E0,6.150105476E0,-9.498994946E-1
2.341086570E-1,8.016983986E0,6.063914299E0,-1.045667648E0
2.365964700E-1,8.031349182E0,5.963357925E0,-1.174954534E0
