"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.235589700E-2,2.466085255E-1,-2.757701278E-1,-2.470080107E-1
7.484787600E-2,2.295643091E-1,-2.704437971E-1,-2.406164259E-1
7.734131300E-2,2.071937770E-1,-2.693785429E-1,-2.342248410E-1
7.983589700E-2,1.816274524E-1,-2.715090811E-1,-2.278332561E-1
8.233131300E-2,1.528653353E-1,-2.757701278E-1,-2.225069404E-1
8.482725100E-2,1.209074259E-1,-2.810964286E-1,-2.161153555E-1
8.732334500E-2,8.575372398E-2,-2.874880135E-1,-2.086585164E-1
8.981553200E-2,5.166528746E-2,-2.960101366E-1,-2.022669315E-1
9.230334500E-2,1.544632297E-2,-3.055975139E-1,-1.958753467E-1
9.479115700E-2,-2.183790505E-2,-3.173153996E-1,-1.894837767E-1
9.727897000E-2,-6.125266105E-2,-3.311638236E-1,-1.830921918E-1
9.976678200E-2,-1.006674170E-1,-3.482080400E-1,-1.767006069E-1
1.022545950E-1,-1.411474347E-1,-3.673827946E-1,-1.713742912E-1
1.047424070E-1,-1.816274524E-1,-3.886880577E-1,-1.671132296E-1
1.072302200E-1,-2.231727391E-1,-4.121238589E-1,-1.639174372E-1
1.097180320E-1,-2.615222335E-1,-4.355596602E-1,-1.607216448E-1
1.122058450E-1,-2.977411747E-1,-4.611259997E-1,-1.607216448E-1
1.146936570E-1,-3.296990991E-1,-4.877575934E-1,-1.596563905E-1
1.171814700E-1,-3.563306928E-1,-5.122586489E-1,-1.585911214E-1
1.196692820E-1,-3.787012100E-1,-5.346291661E-1,-1.585911214E-1
1.221570950E-1,-3.936149180E-1,-5.548691750E-1,-1.564605981E-1
1.246449070E-1,-4.053328037E-1,-5.719134212E-1,-1.553953290E-1
1.271327200E-1,-4.117243886E-1,-5.868270993E-1,-1.521995366E-1
1.296205320E-1,-4.149201810E-1,-5.985450149E-1,-1.479384899E-1
1.321083450E-1,-4.138549268E-1,-6.070671082E-1,-1.426121742E-1
1.345961570E-1,-4.095938802E-1,-6.123934388E-1,-1.351553202E-1
1.370839700E-1,-4.010717571E-1,-6.145239472E-1,-1.287637353E-1
1.395717820E-1,-3.893538713E-1,-6.113281846E-1,-1.213068962E-1
1.420595950E-1,-3.733749092E-1,-6.038713455E-1,-1.138500497E-1
1.445474070E-1,-3.531349003E-1,-5.910881758E-1,-1.063932031E-1
