"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.151943300E-2,-1.544632297E-2,6.524739787E-3,-9.147951752E-2
7.406307900E-2,-3.781685978E-2,-9.454214945E-3,-8.615319431E-2
7.660729800E-2,-7.084003091E-2,-2.969422378E-2,-7.976161689E-2
7.910932900E-2,-1.091895252E-1,-5.526055023E-2,-7.230477035E-2
8.159708900E-2,-1.528653353E-1,-8.402267098E-2,-6.378266215E-2
8.408485000E-2,-2.008021921E-1,-1.149153188E-1,-5.419528857E-2
8.657261000E-2,-2.498043180E-1,-1.490037590E-1,-4.354264960E-2
8.906031800E-2,-2.998717129E-1,-1.841574460E-1,-3.395527974E-2
9.154802700E-2,-3.499391079E-1,-2.193111479E-1,-2.223737910E-2
9.403573500E-2,-3.989412189E-1,-2.544648647E-1,-1.158474199E-2
9.652344300E-2,-4.447475672E-1,-2.874880135E-1,1.331579551E-4
9.901115200E-2,-4.862928391E-1,-3.205111921E-1,1.291632187E-2
1.014988600E-1,-5.235770941E-1,-3.482080400E-1,2.569948509E-2
1.039865680E-1,-5.544697046E-1,-3.716438413E-1,3.954791278E-2
1.064742770E-1,-5.768402815E-1,-3.897533417E-1,5.233107507E-2
1.089619850E-1,-5.906887054E-1,-3.993407190E-1,6.404897571E-2
1.114496930E-1,-5.970802903E-1,-4.025365114E-1,7.683213800E-2
1.139374020E-1,-5.949497223E-1,-3.972101808E-1,8.748477697E-2
1.164251100E-1,-5.842971206E-1,-3.844270110E-1,9.707214683E-2
1.189128180E-1,-5.640571117E-1,-3.652522564E-1,1.045289934E-1
1.214005270E-1,-5.363602638E-1,-3.396859467E-1,1.098553166E-1
1.238882350E-1,-5.012065172E-1,-3.077280223E-1,1.119858399E-1
1.263759430E-1,-4.596612751E-1,-2.704437971E-1,1.130511016E-1
1.288636520E-1,-4.127896726E-1,-2.288985252E-1,1.109205782E-1
1.313513600E-1,-3.595264852E-1,-1.841574460E-1,1.077247858E-1
1.338390680E-1,-3.030675054E-1,-1.372858584E-1,1.023984700E-1
1.363267770E-1,-2.444780022E-1,-8.721846342E-2,9.387636185E-2
1.388144850E-1,-1.826927215E-1,-3.715106845E-2,8.428898454E-2
1.413021930E-1,-1.187768951E-1,1.398158539E-2,7.257108390E-2
1.437899020E-1,-5.592634156E-2,6.404897571E-2,5.872265995E-2
1.462776100E-1,4.793686327E-3,1.109205782E-1,4.487423226E-2
1.487653180E-1,6.231792271E-2,1.545963883E-1,3.102580272E-2
1.512530270E-1,1.155811027E-1,1.940111369E-1,1.504684892E-2
1.537407350E-1,1.656484902E-1,2.291648388E-1,-9.321057005E-4
1.562284430E-1,2.082590461E-1,2.600574791E-1,-1.797632314E-2
1.587161520E-1,2.476737946E-1,2.877543271E-1,-3.395527974E-2
1.612038600E-1,2.806969583E-1,3.101248741E-1,-4.780370742E-2
1.636915680E-1,3.094590902E-1,3.292996287E-1,-6.165213138E-2
1.661793290E-1,3.328948915E-1,3.442133069E-1,-7.337003201E-2
1.686670890E-1,3.510043621E-1,3.548659384E-1,-8.508793265E-2
1.711548500E-1,3.659180701E-1,3.623228073E-1,-9.467530251E-2
1.736426100E-1,3.755054474E-1,3.665838540E-1,-1.031974182E-1
1.761303710E-1,3.818970025E-1,3.687143922E-1,-1.095889956E-1
1.786181310E-1,3.829622865E-1,3.687143922E-1,-1.138500497E-1
1.811058910E-1,3.808317482E-1,3.644533157E-1,-1.159805804E-1
1.835936520E-1,3.765707016E-1,3.601922691E-1,-1.170458421E-1
1.860814120E-1,3.691138625E-1,3.527354300E-1,-1.170458421E-1
1.885691730E-1,3.584612012E-1,3.431480527E-1,-1.149153188E-1
1.910569330E-1,3.467433155E-1,3.324954212E-1,-1.117195264E-1
1.935446930E-1,3.307643533E-1,3.207775056E-1,-1.063932031E-1
1.960324540E-1,3.147853911E-1,3.069290817E-1,-1.000016257E-1
1.985202140E-1,2.977411747E-1,2.941459119E-1,-9.361004084E-2
2.010079750E-1,2.796317041E-1,2.802974880E-1,-8.721846342E-2
2.034957350E-1,2.615222335E-1,2.664490640E-1,-7.869634777E-2
2.059834960E-1,2.434127480E-1,2.526006401E-1,-6.910897791E-2
2.084712560E-1,2.263685167E-1,2.398174703E-1,-5.952160433E-2
2.109590160E-1,2.103895694E-1,2.291648388E-1,-4.993423447E-2
2.134467770E-1,1.965411454E-1,2.185122073E-1,-4.141212255E-2
2.159345370E-1,1.848232448E-1,2.110553533E-1,-3.182475269E-2
2.184222980E-1,1.773663908E-1,2.057290375E-1,-2.223737910E-2
2.209100580E-1,1.720400751E-1,2.025332451E-1,-1.478053257E-2
2.233978180E-1,1.699095517E-1,2.014679909E-1,-7.323687430E-3
2.258855790E-1,1.720400751E-1,2.035985142E-1,-9.321057005E-4
2.283733390E-1,1.773663908E-1,2.078595608E-1,4.394212738E-3
2.308611000E-1,1.869537681E-1,2.153164148E-1,9.720530361E-3
2.333488600E-1,1.997369379E-1,2.270343155E-1,1.398158539E-2
