"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.548500700E-2,-1.177348709E1,-1.985391736E0,2.109890223E0
2.797641400E-2,-1.177827549E1,-1.951872945E0,2.167351007E0
3.046818400E-2,-1.175433350E1,-1.918354154E0,2.243965626E0
3.296042400E-2,-1.173996830E1,-1.884835243E0,2.320580006E0
3.545328900E-2,-1.172560310E1,-1.865681648E0,2.373252392E0
3.794683000E-2,-1.173517990E1,-1.856104851E0,2.445078373E0
4.044459100E-2,-1.172560310E1,-1.836951256E0,2.531269789E0
4.294235100E-2,-1.173996830E1,-1.841739655E0,2.598307371E0
4.539235100E-2,-1.174475670E1,-1.860893250E0,2.761113167E0
4.784235100E-2,-1.173517990E1,-1.899200439E0,2.832939148E0
5.034620500E-2,-1.172081470E1,-1.966238141E0,2.876034737E0
5.285005900E-2,-1.165856552E1,-2.023699045E0,2.904765129E0
5.540005900E-2,-1.158673954E1,-2.090736628E0,2.933495522E0
5.795005900E-2,-1.151491261E1,-2.143409014E0,2.957437754E0
6.050005900E-2,-1.142393303E1,-2.220023632E0,2.967014551E0
6.305005900E-2,-1.131858826E1,-2.277484417E0,2.923918724E0
6.560005900E-2,-1.119887829E1,-2.349310398E0,2.866457939E0
6.815005900E-2,-1.109832191E1,-2.406771183E0,2.852092743E0
7.070005900E-2,-1.100255394E1,-2.473809004E0,2.808997154E0
7.325005900E-2,-1.092593956E1,-2.526481390E0,2.761113167E0
7.580005900E-2,-1.083495998E1,-2.574365377E0,2.756324768E0
7.835005900E-2,-1.074876881E1,-2.631826162E0,2.689286947E0
8.090005900E-2,-1.067694283E1,-2.679710150E0,2.636614561E0
8.345005900E-2,-1.061469364E1,-2.703652382E0,2.598307371E0
8.600005900E-2,-1.060511684E1,-2.713229179E0,2.540846586E0
8.855005900E-2,-1.061469364E1,-2.694075346E0,2.478597403E0
9.110005900E-2,-1.061948204E1,-2.650979757E0,2.425924778E0
9.365005900E-2,-1.063863564E1,-2.622249365E0,2.354098797E0
9.620005900E-2,-1.067694283E1,-2.603095770E0,2.287061214E0
9.875005900E-2,-1.068173122E1,-2.574365377E0,2.181716204E0
1.013000590E-1,-1.070567322E1,-2.574365377E0,2.085948229E0
1.038500590E-1,-1.070567322E1,-2.593518972E0,2.004545450E0
1.064000590E-1,-1.070567322E1,-2.569576979E0,1.951872945E0
1.089500590E-1,-1.069130802E1,-2.574365377E0,1.913565755E0
1.115000590E-1,-1.065300083E1,-2.574365377E0,1.899200439E0
