"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.069927400E-2,-2.910152197E0,7.864354134E0,5.610213280E0
3.319453500E-2,-2.929305792E0,7.888296127E0,5.662885666E0
3.568979500E-2,-2.938882589E0,7.888296127E0,5.701192856E0
3.818505500E-2,-2.929305792E0,7.893084526E0,5.710769653E0
4.068031600E-2,-2.934094191E0,7.902661324E0,5.710769653E0
4.317557600E-2,-2.934094191E0,7.893084526E0,5.734711647E0
4.567083700E-2,-2.924517393E0,7.907449722E0,5.715558052E0
4.816609700E-2,-2.910152197E0,7.897872925E0,5.705981255E0
5.066135800E-2,-2.900575399E0,7.893084526E0,5.696404457E0
5.315661800E-2,-2.905363798E0,7.902661324E0,5.667674065E0
5.565453500E-2,-2.895787001E0,7.893084526E0,5.658097267E0
5.815245100E-2,-2.881421804E0,7.878719330E0,5.653308868E0
6.060245100E-2,-2.852691412E0,7.873930931E0,5.629366875E0
6.305245100E-2,-2.833537817E0,7.869142532E0,5.610213280E0
6.550245100E-2,-2.819172382E0,7.864354134E0,5.595848083E0
6.795698300E-2,-2.809595585E0,7.845200539E0,5.586271286E0
7.041151400E-2,-2.795230389E0,7.873930931E0,5.576694489E0
7.287641000E-2,-2.771288395E0,7.869142532E0,5.567117691E0
7.535250300E-2,-2.771288395E0,7.864354134E0,5.552752495E0
7.784000300E-2,-2.785653591E0,7.859565735E0,5.562329292E0
8.033849300E-2,-2.761711597E0,7.864354134E0,5.557540894E0
8.284708700E-2,-2.761711597E0,7.849988937E0,5.567117691E0
8.536458700E-2,-2.747346401E0,7.835623741E0,5.552752495E0
8.788943000E-2,-2.747346401E0,7.840412140E0,5.562329292E0
9.041984700E-2,-2.742558002E0,7.835623741E0,5.576694489E0
9.295391000E-2,-2.728192806E0,7.821258545E0,5.591059685E0
9.548963900E-2,-2.704250813E0,7.792528152E0,5.586271286E0
9.801823300E-2,-2.713827610E0,7.787739754E0,5.605424881E0
1.005062530E-1,-2.699462414E0,7.782951355E0,5.619790077E0
1.029942220E-1,-2.685097218E0,7.768586159E0,5.600636482E0
1.054821910E-1,-2.675520420E0,7.759009361E0,5.610213280E0
1.079701600E-1,-2.670732021E0,7.754220963E0,5.610213280E0
1.104581280E-1,-2.656366825E0,7.739855766E0,5.634155273E0
1.129460970E-1,-2.651578426E0,7.715913296E0,5.634155273E0
1.154340660E-1,-2.646790028E0,7.720701694E0,5.643732071E0
1.179220350E-1,-2.632424831E0,7.715913296E0,5.653308868E0
1.204100030E-1,-2.598906040E0,7.715913296E0,5.662885666E0
1.228979720E-1,-2.589329243E0,7.706336498E0,5.672462463E0
1.253859410E-1,-2.589329243E0,7.711124897E0,5.691616058E0
1.278739100E-1,-2.579752445E0,7.711124897E0,5.686827660E0
1.303618780E-1,-2.579752445E0,7.701548100E0,5.710769653E0
1.328498470E-1,-2.579752445E0,7.696759701E0,5.705981255E0
1.353378160E-1,-2.555810213E0,7.682394505E0,5.701192856E0
1.378257850E-1,-2.541445017E0,7.672817707E0,5.734711647E0
1.403137530E-1,-2.531868219E0,7.663240910E0,5.725134850E0
1.428017220E-1,-2.527079821E0,7.658452511E0,5.734711647E0
1.452896910E-1,-2.522291422E0,7.653664112E0,5.758653641E0
1.477776600E-1,-2.503137827E0,7.658452511E0,5.777807236E0
1.502656280E-1,-2.498349428E0,7.658452511E0,5.773018837E0
1.527535970E-1,-2.479195833E0,7.644087315E0,5.763442039E0
1.552415660E-1,-2.483984232E0,7.639298916E0,5.763442039E0
1.577295350E-1,-2.483984232E0,7.624933720E0,5.763442039E0
1.602175030E-1,-2.474407434E0,7.615356922E0,5.768230438E0
1.627054720E-1,-2.488772631E0,7.605780125E0,5.777807236E0
1.651934410E-1,-2.474407434E0,7.600991726E0,5.773018837E0
1.676814100E-1,-2.464830637E0,7.591414928E0,5.782595634E0
1.701693780E-1,-2.460042238E0,7.567472935E0,5.796960831E0
1.726573470E-1,-2.455253839E0,7.567472935E0,5.792172432E0
1.751453160E-1,-2.445677042E0,7.553107738E0,5.792172432E0
1.776332850E-1,-2.431311846E0,7.543530941E0,5.796960831E0
1.801212530E-1,-2.416946650E0,7.543530941E0,5.806537628E0
1.826092220E-1,-2.421735048E0,7.548319340E0,5.820902824E0
1.850971910E-1,-2.416946650E0,7.524377346E0,5.801749229E0
1.875851600E-1,-2.426523447E0,7.533954144E0,5.806537628E0
1.900731280E-1,-2.407369852E0,7.519588947E0,5.825691223E0
1.925610970E-1,-2.402581453E0,7.533954144E0,5.830479622E0
1.950490660E-1,-2.407369852E0,7.524377346E0,5.840056419E0
1.975370350E-1,-2.421735048E0,7.519588947E0,5.844844818E0
2.000250030E-1,-2.416946650E0,7.524377346E0,5.849633217E0
2.025129720E-1,-2.426523447E0,7.529165745E0,5.854421616E0
