"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.041984700E-2,-7.110634446E-2,-5.605949834E-2,5.512739345E-2
9.295391000E-2,-7.323687524E-2,-5.712476373E-2,6.045371294E-2
9.548963900E-2,-7.643266767E-2,-5.819002539E-2,6.364950538E-2
9.801823300E-2,-7.962846011E-2,-6.032055244E-2,6.791055948E-2
1.005062530E-1,-8.282424510E-2,-6.138581783E-2,7.110634446E-2
1.029942220E-1,-8.708529919E-2,-6.351634115E-2,7.323687524E-2
1.054821910E-1,-9.134636074E-2,-6.351634115E-2,7.430213690E-2
1.079701600E-1,-9.454214573E-2,-6.458161026E-2,7.749792933E-2
1.104581280E-1,-9.880319983E-2,-6.671213359E-2,7.856319100E-2
1.129460970E-1,-1.009337306E-1,-6.671213359E-2,7.962846011E-2
1.154340660E-1,-1.041295230E-1,-6.777740270E-2,8.069372177E-2
1.179220350E-1,-1.051947847E-1,-6.884266436E-2,8.175898343E-2
1.204100030E-1,-1.073253155E-1,-6.884266436E-2,8.282424510E-2
1.228979720E-1,-1.083905771E-1,-6.777740270E-2,8.388951421E-2
1.253859410E-1,-1.105211005E-1,-6.777740270E-2,8.388951421E-2
1.278739100E-1,-1.105211005E-1,-6.671213359E-2,8.388951421E-2
1.303618780E-1,-1.115863696E-1,-6.564687192E-2,8.282424510E-2
1.328498470E-1,-1.115863696E-1,-6.458161026E-2,8.282424510E-2
1.353378160E-1,-1.126516312E-1,-6.245107949E-2,8.282424510E-2
1.378257850E-1,-1.115863696E-1,-6.138581783E-2,8.282424510E-2
1.403137530E-1,-1.115863696E-1,-5.925529078E-2,8.282424510E-2
1.428017220E-1,-1.115863696E-1,-5.712476373E-2,8.282424510E-2
1.452896910E-1,-1.105211005E-1,-5.605949834E-2,8.282424510E-2
1.477776600E-1,-1.094558388E-1,-5.499423668E-2,8.175898343E-2
1.502656280E-1,-1.083905771E-1,-5.392897129E-2,8.175898343E-2
1.527535970E-1,-1.073253155E-1,-5.286370963E-2,8.175898343E-2
1.552415660E-1,-1.062600464E-1,-5.286370963E-2,8.069372177E-2
1.577295350E-1,-1.051947847E-1,-5.179844424E-2,8.069372177E-2
1.602175030E-1,-1.041295230E-1,-5.073318258E-2,7.962846011E-2
1.627054720E-1,-1.030642539E-1,-5.073318258E-2,7.962846011E-2
1.651934410E-1,-1.030642539E-1,-5.073318258E-2,7.856319100E-2
1.676814100E-1,-1.019989923E-1,-5.073318258E-2,7.749792933E-2
1.701693780E-1,-1.019989923E-1,-5.073318258E-2,7.643266767E-2
1.726573470E-1,-1.009337306E-1,-4.966791719E-2,7.536740601E-2
1.751453160E-1,-1.009337306E-1,-4.966791719E-2,7.430213690E-2
1.776332850E-1,-9.986846894E-2,-4.966791719E-2,7.217161357E-2
1.801212530E-1,-9.986846894E-2,-4.966791719E-2,7.110634446E-2
1.826092220E-1,-9.986846894E-2,-4.860265180E-2,6.897582114E-2
1.850971910E-1,-9.880319983E-2,-4.753739014E-2,6.791055948E-2
1.875851600E-1,-9.773793817E-2,-4.647212476E-2,6.578002870E-2
1.900731280E-1,-9.773793817E-2,-4.647212476E-2,6.364950538E-2
1.925610970E-1,-9.667267650E-2,-4.434159771E-2,6.045371294E-2
1.950490660E-1,-9.560741484E-2,-4.327633604E-2,5.725792050E-2
1.975370350E-1,-9.560741484E-2,-4.114580899E-2,5.512739345E-2
2.000250030E-1,-9.454214573E-2,-3.901528195E-2,5.193160102E-2
2.025129720E-1,-9.347688407E-2,-3.688475490E-2,4.980107397E-2
2.050009410E-1,-9.241162241E-2,-3.368896246E-2,4.767054692E-2
2.074889100E-1,-9.028109163E-2,-3.262370080E-2,4.447475821E-2
2.099768780E-1,-8.921582997E-2,-2.942790836E-2,4.127896577E-2
2.124648470E-1,-8.708529919E-2,-2.729738131E-2,3.808317333E-2
2.149528160E-1,-8.495477587E-2,-2.516685426E-2,3.488738462E-2
2.174407850E-1,-8.282424510E-2,-2.410159074E-2,3.275685757E-2
2.199287530E-1,-8.069372177E-2,-2.197106183E-2,3.062633052E-2
2.224167220E-1,-7.856319100E-2,-1.984053478E-2,2.849580161E-2
2.249046910E-1,-7.536740601E-2,-1.877527125E-2,2.636527456E-2
2.273926600E-1,-7.323687524E-2,-1.771000773E-2,2.423474751E-2
2.298806280E-1,-7.004108280E-2,-1.664474420E-2,2.210422046E-2
2.323685970E-1,-6.684529036E-2,-1.557948068E-2,2.103895694E-2
2.348565660E-1,-6.151897460E-2,-1.557948068E-2,1.890842989E-2
2.373445350E-1,-5.832318589E-2,-1.557948068E-2,1.784316637E-2
2.398325030E-1,-5.512739345E-2,-1.664474420E-2,1.571263932E-2
2.423204720E-1,-5.086633936E-2,-1.664474420E-2,1.358211134E-2
2.448084410E-1,-4.660528526E-2,-1.984053478E-2,1.251684781E-2
2.472964100E-1,-4.234423116E-2,-2.303632535E-2,1.145158429E-2
2.497843780E-1,-3.808317333E-2,-2.836264484E-2,1.145158429E-2
2.522723470E-1,-3.169159219E-2,-3.368896246E-2,1.038632076E-2
2.547603160E-1,-2.636527456E-2,-3.901528195E-2,9.321057238E-3
2.572482850E-1,-2.103895694E-2,-4.434159771E-2,9.321057238E-3
2.597362530E-1,-1.464737486E-2,-4.966791719E-2,8.255792782E-3
2.622242220E-1,-9.321057238E-3,-5.392897129E-2,8.255792782E-3
2.647121910E-1,-5.060002208E-3,-5.819002539E-2,7.190529723E-3
2.672001600E-1,-7.989477599E-4,-6.245107949E-2,7.190529723E-3
2.696881280E-1,3.462106921E-3,-6.564687192E-2,7.190529723E-3
2.721760970E-1,5.592633970E-3,-6.777740270E-2,7.190529723E-3
2.746640660E-1,7.723161485E-3,-6.990792602E-2,8.255792782E-3
2.771520350E-1,8.788425475E-3,-6.990792602E-2,8.255792782E-3
2.796400030E-1,9.853689000E-3,-6.990792602E-2,9.321057238E-3
2.821279720E-1,9.853689000E-3,-6.884266436E-2,9.321057238E-3
2.846159410E-1,9.853689000E-3,-6.777740270E-2,9.321057238E-3
2.871039100E-1,8.788425475E-3,-6.671213359E-2,8.255792782E-3
2.895918780E-1,7.723161485E-3,-6.351634115E-2,7.190529723E-3
2.920798470E-1,6.657897960E-3,-6.032055244E-2,6.125265732E-3
2.945678160E-1,5.592633970E-3,-5.712476373E-2,6.125265732E-3
2.970557850E-1,4.527370445E-3,-5.392897129E-2,5.060002208E-3
2.995437530E-1,2.396843163E-3,-4.966791719E-2,5.060002208E-3
3.020317220E-1,1.331579522E-3,-4.647212476E-2,3.994738683E-3
3.045196910E-1,1.331579522E-3,-4.221107066E-2,3.994738683E-3
3.070076600E-1,2.663159103E-4,-3.795001656E-2,5.060002208E-3
3.094956280E-1,2.663159103E-4,-3.368896246E-2,6.125265732E-3
3.119835970E-1,-7.989477599E-4,-2.942790836E-2,8.255792782E-3
3.144715660E-1,-7.989477599E-4,-2.516685426E-2,1.038632076E-2
3.169595350E-1,-7.989477599E-4,-2.090579830E-2,1.145158429E-2
3.194475030E-1,-7.989477599E-4,-1.557948068E-2,1.358211134E-2
3.219354720E-1,-7.989477599E-4,-1.025316212E-2,1.677790284E-2
3.244234410E-1,-7.989477599E-4,-4.926844500E-3,1.890842989E-2
3.269114100E-1,2.663159103E-4,1.464737463E-3,2.210422046E-2
3.293993780E-1,2.663159103E-4,9.986846708E-3,2.423474751E-2
3.318873470E-1,2.663159103E-4,1.957421936E-2,2.636527456E-2
3.343753160E-1,1.331579522E-3,2.916159295E-2,2.956106514E-2
3.368632850E-1,2.396843163E-3,4.194475710E-2,3.062633052E-2
3.393512530E-1,4.527370445E-3,5.685844645E-2,3.275685757E-2
3.418392220E-1,6.657897960E-3,7.177213579E-2,3.382211924E-2
3.443271910E-1,8.788425475E-3,9.094688296E-2,3.488738462E-2
3.468151600E-1,1.304947957E-2,1.133174226E-1,3.488738462E-2
3.493031280E-1,1.837579720E-2,1.378184855E-1,3.275685757E-2
3.517910970E-1,2.476738021E-2,1.633848101E-1,2.849580161E-2
3.542790660E-1,3.115896136E-2,1.889511347E-1,2.423474751E-2
3.567670350E-1,3.755054250E-2,2.145174593E-1,1.890842989E-2
3.592550030E-1,4.394212365E-2,2.411490530E-1,1.358211134E-2
3.617429720E-1,5.139897019E-2,2.688459158E-1,9.321057238E-3
3.642309410E-1,5.885581672E-2,2.965427637E-1,3.994738683E-3
3.667189100E-1,6.737792492E-2,3.231743574E-1,-2.663159103E-4
3.692068780E-1,7.483477145E-2,3.508712053E-1,-4.527370445E-3
3.716948470E-1,8.229161799E-2,3.785680532E-1,-8.788425475E-3
