"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.252391400E-2,7.155071735E0,4.603451252E0,-4.229955673E0
2.499568400E-2,7.145494938E0,4.613028049E0,-4.234744072E0
2.746870500E-2,7.126341343E0,4.608239651E0,-4.201225281E0
2.994349700E-2,7.097610950E0,4.617816448E0,-4.201225281E0
3.242047600E-2,7.068880558E0,4.617816448E0,-4.186860085E0
3.490000700E-2,7.054515362E0,4.613028049E0,-4.186860085E0
3.738229900E-2,7.064092159E0,4.593874454E0,-4.177283287E0
3.986610100E-2,7.083245754E0,4.589086056E0,-4.167706490E0
4.235287200E-2,7.088034153E0,4.569932461E0,-4.167706490E0
4.484250700E-2,7.116764545E0,4.550778866E0,-4.177283287E0
4.733479900E-2,7.145494938E0,4.512471676E0,-4.182071686E0
4.982818400E-2,7.174225330E0,4.488529682E0,-4.162918091E0
5.232157000E-2,7.212532520E0,4.469376087E0,-4.124610901E0
5.481573700E-2,7.236474514E0,4.435857296E0,-4.115034103E0
5.730990300E-2,7.269993305E0,4.407126904E0,-4.062361717E0
5.980537200E-2,7.313088894E0,4.397550106E0,-4.004900932E0
6.230177800E-2,7.365761757E0,4.383184910E0,-3.957016945E0
6.479875700E-2,7.408857346E0,4.368819714E0,-3.894767523E0
6.729589300E-2,7.447164536E0,4.349666119E0,-3.851671934E0
6.978782000E-2,7.485471725E0,4.330512524E0,-3.818153143E0
7.227542400E-2,7.499836922E0,4.296993732E0,-3.760692358E0
7.476297600E-2,7.514202118E0,4.287416458E0,-3.698443174E0
7.725052800E-2,7.542932510E0,4.296993732E0,-3.636193752E0
7.973808000E-2,7.557297707E0,4.301782131E0,-3.593098164E0
8.222563200E-2,7.590816498E0,4.292205334E0,-3.564367771E0
8.471318400E-2,7.614758492E0,4.277839661E0,-3.516483784E0
8.720073700E-2,7.609970093E0,4.287416458E0,-3.478176594E0
8.968828900E-2,7.624335289E0,4.287416458E0,-3.478176594E0
9.217584100E-2,7.619546890E0,4.282628059E0,-3.463811398E0
9.466339300E-2,7.590816498E0,4.292205334E0,-3.463811398E0
9.715094500E-2,7.571662903E0,4.301782131E0,-3.463811398E0
9.963849700E-2,7.552509308E0,4.320935726E0,-3.459022999E0
1.021260490E-1,7.562086105E0,4.364031315E0,-3.468599796E0
1.046136010E-1,7.542932510E0,4.392761707E0,-3.454234600E0
1.071011530E-1,7.533355713E0,4.440645695E0,-3.478176594E0
1.095887050E-1,7.509413719E0,4.455010891E0,-3.487753391E0
1.120762570E-1,7.514202118E0,4.478952885E0,-3.526060581E0
1.145638090E-1,7.518990517E0,4.507683277E0,-3.578732967E0
1.170513620E-1,7.504625320E0,4.517260075E0,-3.617040157E0
1.195389140E-1,7.499836922E0,4.531625271E0,-3.674500942E0
1.220264660E-1,7.509413719E0,4.522048473E0,-3.751115561E0
1.245140180E-1,7.514202118E0,4.512471676E0,-3.803787947E0
1.270015700E-1,7.518990517E0,4.526836872E0,-3.866037130E0
1.294891220E-1,7.538144112E0,4.536413670E0,-3.923498154E0
1.319766740E-1,7.552509308E0,4.531625271E0,-3.957016945E0
1.344642260E-1,7.566874504E0,4.541202068E0,-3.995324135E0
1.369517780E-1,7.571662903E0,4.560355663E0,-4.038419724E0
1.394393300E-1,7.586028099E0,4.531625271E0,-4.038419724E0
1.419268820E-1,7.595604897E0,4.522048473E0,-4.043208122E0
1.444144340E-1,7.581239700E0,4.522048473E0,-4.038419724E0
1.469019870E-1,7.571662903E0,4.536413670E0,-4.033631325E0
1.493895390E-1,7.566874504E0,4.522048473E0,-4.028842926E0
1.518770910E-1,7.557297707E0,4.517260075E0,-4.009689331E0
1.543646430E-1,7.576451302E0,4.536413670E0,-3.995324135E0
1.568521950E-1,7.576451302E0,4.541202068E0,-4.000112534E0
1.593397470E-1,7.586028099E0,4.555567265E0,-4.028842926E0
1.618272990E-1,7.586028099E0,4.569932461E0,-4.062361717E0
1.643148510E-1,7.590816498E0,4.565144062E0,-4.076726913E0
1.668024030E-1,7.576451302E0,4.555567265E0,-4.110245705E0
1.692899550E-1,7.576451302E0,4.560355663E0,-4.148552895E0
1.717775070E-1,7.557297707E0,4.550778866E0,-4.177283287E0
1.742650590E-1,7.547720909E0,4.545990467E0,-4.182071686E0
1.767526120E-1,7.547720909E0,4.541202068E0,-4.201225281E0
1.792401640E-1,7.542932510E0,4.550778866E0,-4.201225281E0
1.817277160E-1,7.538144112E0,4.555567265E0,-4.210802078E0
1.842152680E-1,7.528567314E0,4.555567265E0,-4.229955673E0
1.867028200E-1,7.523778915E0,4.555567265E0,-4.268262863E0
1.891903720E-1,7.533355713E0,4.545990467E0,-4.292205334E0
