"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.733479900E-2,-1.320926845E-1,2.756369673E-2,5.366265774E-2
4.982818400E-2,-1.416800618E-1,2.649843320E-2,5.579318479E-2
5.232157000E-2,-1.512674391E-1,2.543316968E-2,5.792371184E-2
5.481573700E-2,-1.619200706E-1,2.436790615E-2,6.005423889E-2
5.730990300E-2,-1.725727171E-1,2.436790615E-2,6.111950055E-2
5.980537200E-2,-1.832253486E-1,2.330264263E-2,6.218476593E-2
6.230177800E-2,-1.938779801E-1,2.223737910E-2,6.325002760E-2
6.479875700E-2,-2.024000883E-1,2.117211558E-2,6.325002760E-2
6.729589300E-2,-2.109221965E-1,1.904158667E-2,6.218476593E-2
6.978782000E-2,-2.173137814E-1,1.691105962E-2,6.111950055E-2
7.227542400E-2,-2.237053663E-1,1.478053257E-2,6.005423889E-2
7.476297600E-2,-2.279664129E-1,1.158474199E-2,5.685844645E-2
7.725052800E-2,-2.311622053E-1,8.388951421E-3,5.472791940E-2
7.973808000E-2,-2.322274745E-1,5.193160381E-3,5.046686530E-2
8.222563200E-2,-2.322274745E-1,9.321057005E-4,4.620581120E-2
8.471318400E-2,-2.290316820E-1,-3.328948980E-3,4.087949172E-2
8.720073700E-2,-2.247706354E-1,-7.590003312E-3,3.555317223E-2
8.968828900E-2,-2.183790505E-1,-1.398158539E-2,2.916159295E-2
9.217584100E-2,-2.109221965E-1,-1.930790395E-2,2.170474641E-2
9.466339300E-2,-2.002695650E-1,-2.569948509E-2,1.531316526E-2
9.715094500E-2,-1.885516644E-1,-3.209106624E-2,8.921583183E-3
9.963849700E-2,-1.747032404E-1,-3.635212034E-2,2.530001104E-3
1.021260490E-1,-1.597895473E-1,-4.061317816E-2,-3.861580743E-3
1.046136010E-1,-1.427453309E-1,-4.274370521E-2,-8.122635074E-3
1.071011530E-1,-1.235705838E-1,-4.380896688E-2,-1.344895363E-2
1.095887050E-1,-1.033305749E-1,-4.380896688E-2,-1.771000773E-2
1.120762570E-1,-8.096003532E-2,-4.274370521E-2,-2.197106183E-2
1.145638090E-1,-5.752423778E-2,-4.167843983E-2,-2.623211779E-2
1.170513620E-1,-3.408843651E-2,-3.848264739E-2,-2.836264484E-2
1.195389140E-1,-1.065263618E-2,-3.528685868E-2,-3.155843541E-2
1.220264660E-1,1.171789970E-2,-3.209106624E-2,-3.368896246E-2
1.245140180E-1,3.302317113E-2,-2.783001214E-2,-3.475422785E-2
1.270015700E-1,5.326318368E-2,-2.463422157E-2,-3.475422785E-2
1.294891220E-1,7.030740380E-2,-2.037316747E-2,-3.688475490E-2
1.319766740E-1,8.522108942E-2,-1.611211337E-2,-3.688475490E-2
1.344642260E-1,9.800425172E-2,-1.291632187E-2,-3.795001656E-2
1.369517780E-1,1.075916290E-1,-9.720530361E-3,-3.901528195E-2
1.394393300E-1,1.150484756E-1,-8.655266836E-3,-4.008054361E-2
1.419268820E-1,1.193095297E-1,-8.655266836E-3,-4.008054361E-2
1.444144340E-1,1.214400530E-1,-1.078579482E-2,-4.114580899E-2
