"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.875578500E-2,8.256404877E0,3.463811398E0,-4.498106480E0
4.122677400E-2,8.299500465E0,3.415927172E0,-4.464587688E0
4.369937800E-2,8.313865662E0,3.382408381E0,-4.426280499E0
4.617385800E-2,8.323442459E0,3.329735994E0,-4.397550106E0
4.865068100E-2,8.333019257E0,3.301005602E0,-4.364031315E0
5.112750300E-2,8.361749649E0,3.281852007E0,-4.306570530E0
5.360745100E-2,8.347384453E0,3.272275209E0,-4.234744072E0
5.609068100E-2,8.323442459E0,3.233968019E0,-4.167706490E0
5.857724300E-2,8.309077263E0,3.229179621E0,-4.091092110E0
6.106708700E-2,8.289923668E0,3.219602823E0,-4.004900932E0
6.356000300E-2,8.251616478E0,3.195660830E0,-3.909132719E0
6.605562800E-2,8.232462883E0,3.171718597E0,-3.846883535E0
6.855354500E-2,8.194155693E0,3.157353401E0,-3.770269156E0
7.105328500E-2,8.160636902E0,3.147776604E0,-3.688866377E0
7.355427400E-2,8.136694908E0,3.138199806E0,-3.602674961E0
7.605594100E-2,8.103176117E0,3.138199806E0,-3.516483784E0
7.855771200E-2,8.069656372E0,3.128623009E0,-3.425503969E0
8.104864900E-2,8.031349182E0,3.123834610E0,-3.344101191E0
8.353646200E-2,8.007407188E0,3.123834610E0,-3.248333216E0
8.602427400E-2,7.993042469E0,3.109469414E0,-3.166930199E0
8.851208700E-2,7.983465672E0,3.095104218E0,-3.095104218E0
9.099989900E-2,7.978677273E0,3.080739021E0,-3.028066635E0
9.348771200E-2,7.997830868E0,3.047220230E0,-3.004124641E0
9.597552400E-2,8.026560783E0,3.018489838E0,-2.975394249E0
9.846333700E-2,8.060079575E0,3.008913040E0,-2.961029053E0
1.009511490E-1,8.103176117E0,2.984971046E0,-2.922721624E0
1.034389620E-1,8.127118111E0,2.956240654E0,-2.893991232E0
1.059267740E-1,8.160636902E0,2.917933226E0,-2.898779631E0
1.084145870E-1,8.189367294E0,2.874837637E0,-2.879626036E0
1.109023990E-1,8.227674484E0,2.836530447E0,-2.860472441E0
1.133902120E-1,8.261193275E0,2.807800055E0,-2.893991232E0
1.158780240E-1,8.256404877E0,2.759916067E0,-2.922721624E0
1.183658370E-1,8.299500465E0,2.726397276E0,-2.956240654E0
1.208536490E-1,8.309077263E0,2.702455282E0,-3.004124641E0
1.233414620E-1,8.318654060E0,2.668936253E0,-3.023278236E0
1.258292740E-1,8.342596054E0,2.649782658E0,-3.037643433E0
1.283170870E-1,8.376114845E0,2.644994259E0,-3.056797028E0
1.308048990E-1,8.400056839E0,2.611475468E0,-3.090315819E0
1.332927120E-1,8.438364029E0,2.597110271E0,-3.109469414E0
1.357805240E-1,8.471882820E0,2.597110271E0,-3.128623009E0
1.382683370E-1,8.486248016E0,2.582745075E0,-3.147776604E0
1.407561490E-1,8.467094421E0,2.563591480E0,-3.190872431E0
1.432439620E-1,8.462306023E0,2.563591480E0,-3.200449228E0
1.457317740E-1,8.443152428E0,2.534861088E0,-3.219602823E0
1.482195870E-1,8.414422035E0,2.501342297E0,-3.267486811E0
1.507073990E-1,8.395268440E0,2.467823505E0,-3.281852007E0
1.531952120E-1,8.390480042E0,2.429516077E0,-3.286640406E0
1.556830240E-1,8.390480042E0,2.415150881E0,-3.305794001E0
1.581708370E-1,8.390480042E0,2.395997286E0,-3.324947596E0
1.606586490E-1,8.404845238E0,2.352901697E0,-3.348889589E0
1.631464620E-1,8.423998833E0,2.324171305E0,-3.382408381E0
1.656342740E-1,8.438364029E0,2.285864115E0,-3.372831583E0
1.681220870E-1,8.452729225E0,2.261922121E0,-3.372831583E0
1.706098990E-1,8.462306023E0,2.237980127E0,-3.363254786E0
1.730977120E-1,8.486248016E0,2.218826532E0,-3.348889589E0
1.755855240E-1,8.476671219E0,2.185307503E0,-3.339312792E0
1.780733370E-1,8.471882820E0,2.180519104E0,-3.281852007E0
1.805611490E-1,8.467094421E0,2.161365509E0,-3.224391222E0
1.830489620E-1,8.505401611E0,2.123058319E0,-3.200449228E0
1.855367740E-1,8.529343605E0,2.094327927E0,-3.186083794E0
1.880245870E-1,8.543708801E0,2.065597534E0,-3.142988205E0
1.905123990E-1,8.558073997E0,2.032078743E0,-3.133411407E0
1.930002120E-1,8.577227592E0,2.008136749E0,-3.104681015E0
1.954880240E-1,8.615534782E0,1.974617839E0,-3.109469414E0
1.979758370E-1,8.625111580E0,1.931522250E0,-3.119046211E0
2.004636490E-1,8.663418770E0,1.883638144E0,-3.138199806E0
2.029514620E-1,8.687360764E0,1.845330954E0,-3.147776604E0
2.054392740E-1,8.720879555E0,1.821388960E0,-3.162141800E0
2.079270870E-1,8.768763542E0,1.773504853E0,-3.162141800E0
2.104148990E-1,8.821435928E0,1.735197663E0,-3.195660830E0
2.129027120E-1,8.883685112E0,1.677736878E0,-3.200449228E0
2.153905240E-1,8.902838707E0,1.649006367E0,-3.229179621E0
2.178783370E-1,8.936357498E0,1.639429569E0,-3.272275209E0
2.203661490E-1,8.984241486E0,1.620275974E0,-3.320159197E0
2.228539620E-1,9.032125473E0,1.601122379E0,-3.391985178E0
2.253417740E-1,9.075222015E0,1.572391987E0,-3.478176594E0
2.278295870E-1,9.103952408E0,1.558026791E0,-3.545214176E0
2.303173990E-1,9.118317604E0,1.567603588E0,-3.583521366E0
2.328052120E-1,9.127894402E0,1.581968784E0,-3.593098164E0
2.352930240E-1,9.151836395E0,1.581968784E0,-3.602674961E0
2.377808370E-1,9.170989990E0,1.581968784E0,-3.597886562E0
2.402686490E-1,9.199720383E0,1.615487576E0,-3.602674961E0
2.427564620E-1,9.233239174E0,1.625064373E0,-3.617040157E0
2.452442740E-1,9.281123161E0,1.634641171E0,-3.612251759E0
2.477320870E-1,9.314641953E0,1.649006367E0,-3.626616955E0
2.502198990E-1,9.333795547E0,1.639429569E0,-3.636193752E0
2.527077120E-1,9.348160744E0,1.658583283E0,-3.650558949E0
2.551955240E-1,9.381679535E0,1.668160081E0,-3.660135746E0
2.576833370E-1,9.405621529E0,1.682525277E0,-3.640982151E0
2.601711490E-1,9.424775124E0,1.677736878E0,-3.636193752E0
2.626589620E-1,9.434351921E0,1.687313676E0,-3.655347347E0
2.651467740E-1,9.463082314E0,1.682525277E0,-3.636193752E0
2.676345870E-1,9.477447510E0,1.692102075E0,-3.621828556E0
2.701223990E-1,9.472659111E0,1.701678872E0,-3.607463360E0
2.726102120E-1,9.491812706E0,1.701678872E0,-3.573944569E0
2.750980240E-1,9.506177902E0,1.687313676E0,-3.573944569E0
2.775858370E-1,9.515754700E0,1.682525277E0,-3.550002575E0
2.800736490E-1,9.554061890E0,1.653794765E0,-3.540425777E0
2.825614620E-1,9.563638687E0,1.653794765E0,-3.526060581E0
2.850492740E-1,9.597157478E0,1.634641171E0,-3.502118587E0
2.875370870E-1,9.592369080E0,1.634641171E0,-3.463811398E0
2.900248990E-1,9.635464668E0,1.639429569E0,-3.430292368E0
2.925127120E-1,9.659406662E0,1.639429569E0,-3.406350374E0
2.950005240E-1,9.678560257E0,1.644217968E0,-3.368043184E0
2.974883370E-1,9.688137054E0,1.644217968E0,-3.329735994E0
2.999761490E-1,9.692925453E0,1.629852772E0,-3.305794001E0
3.024639620E-1,9.707290649E0,1.601122379E0,-3.262698412E0
3.049517740E-1,9.716867447E0,1.591545582E0,-3.257910013E0
3.074395870E-1,9.726444244E0,1.567603588E0,-3.262698412E0
3.099273990E-1,9.745597839E0,1.505354285E0,-3.281852007E0
