"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.865068100E-2,6.958834529E-1,6.709829569E-1,4.689823091E-1
5.112750300E-2,6.948181987E-1,6.901576519E-1,4.657865167E-1
5.360745100E-2,6.948181987E-1,7.125282288E-1,4.615254700E-1
5.609068100E-2,6.969487667E-1,7.348987460E-1,4.583296776E-1
5.857724300E-2,7.001445293E-1,7.572692633E-1,4.561991692E-1
6.106708700E-2,7.033402920E-1,7.775092721E-1,4.530033767E-1
6.356000300E-2,7.065361142E-1,7.966840267E-1,4.508728385E-1
6.605562800E-2,7.097318769E-1,8.147935271E-1,4.498075843E-1
6.855354500E-2,7.129276991E-1,8.307724595E-1,4.487423003E-1
7.105328500E-2,7.161234617E-1,8.435556293E-1,4.487423003E-1
7.355427400E-2,7.193192840E-1,8.542082906E-1,4.508728385E-1
7.605594100E-2,7.225150466E-1,8.627303839E-1,4.530033767E-1
7.855771200E-2,7.267761230E-1,8.680567145E-1,4.551338851E-1
8.104864900E-2,7.299718857E-1,8.701872230E-1,4.583296776E-1
8.353646200E-2,7.342329621E-1,8.691219687E-1,4.636560082E-1
8.602427400E-2,7.384940386E-1,8.659262061E-1,4.700475931E-1
8.851208700E-2,7.427550554E-1,8.605998755E-1,4.753738940E-1
9.099989900E-2,7.480813861E-1,8.531430364E-1,4.807002246E-1
9.348771200E-2,7.523424625E-1,8.435556293E-1,4.881570637E-1
9.597552400E-2,7.597993016E-1,8.339682817E-1,4.945486486E-1
9.846333700E-2,7.651256323E-1,8.233156204E-1,5.009402037E-1
1.009511490E-1,7.715172172E-1,8.115977645E-1,5.062665343E-1
1.034389620E-1,7.779088020E-1,7.998798490E-1,5.105276108E-1
1.059267740E-1,7.821698189E-1,7.860314250E-1,5.158539414E-1
1.084145870E-1,7.874961495E-1,7.711177468E-1,5.190497041E-1
1.109023990E-1,7.906919122E-1,7.551387548E-1,5.211802125E-1
1.133902120E-1,7.938877344E-1,7.391598225E-1,5.243760347E-1
1.158780240E-1,7.949529886E-1,7.231808305E-1,5.254412889E-1
1.183658370E-1,7.960182428E-1,7.061366439E-1,5.275717974E-1
1.208536490E-1,7.960182428E-1,6.912229657E-1,5.297023654E-1
1.233414620E-1,7.960182428E-1,6.773745418E-1,5.307676196E-1
1.258292740E-1,7.981488109E-1,6.667218804E-1,5.318328738E-1
1.283170870E-1,7.992140651E-1,6.571345329E-1,5.328981280E-1
1.308048990E-1,8.002793193E-1,6.518082023E-1,5.339633822E-1
1.332927120E-1,8.024098277E-1,6.486123800E-1,5.328981280E-1
1.357805240E-1,8.056056499E-1,6.464818716E-1,5.318328738E-1
1.382683370E-1,8.088014126E-1,6.454166174E-1,5.318328738E-1
1.407561490E-1,8.130624890E-1,6.464818716E-1,5.307676196E-1
1.432439620E-1,8.162582517E-1,6.486123800E-1,5.297023654E-1
1.457317740E-1,8.194540739E-1,6.507429481E-1,5.297023654E-1
1.482195870E-1,8.226498365E-1,6.539387107E-1,5.307676196E-1
1.507073990E-1,8.258456588E-1,6.571345329E-1,5.307676196E-1
1.531952120E-1,8.279761672E-1,6.613955498E-1,5.328981280E-1
1.556830240E-1,8.290414214E-1,6.656566262E-1,5.339633822E-1
1.581708370E-1,8.301066756E-1,6.699176431E-1,5.350286365E-1
1.606586490E-1,8.301066756E-1,6.741787195E-1,5.382244587E-1
1.631464620E-1,8.290414214E-1,6.773745418E-1,5.392897129E-1
1.656342740E-1,8.269109130E-1,6.816355586E-1,5.424855351E-1
1.681220870E-1,8.247803450E-1,6.837661266E-1,5.446160436E-1
1.706098990E-1,8.226498365E-1,6.880271435E-1,5.467465520E-1
1.730977120E-1,8.194540739E-1,6.901576519E-1,5.488771200E-1
1.755855240E-1,8.173235059E-1,6.912229657E-1,5.510076284E-1
1.780733370E-1,8.130624890E-1,6.912229657E-1,5.531381369E-1
1.805611490E-1,8.098666668E-1,6.901576519E-1,5.552686453E-1
1.830489620E-1,8.066709042E-1,6.869618893E-1,5.573992133E-1
1.855367740E-1,8.024098277E-1,6.837661266E-1,5.605949759E-1
1.880245870E-1,8.002793193E-1,6.763092279E-1,5.627255440E-1
1.905123990E-1,7.970834970E-1,6.688523889E-1,5.648560524E-1
1.930002120E-1,7.949529886E-1,6.592650414E-1,5.669865608E-1
1.954880240E-1,7.928224802E-1,6.496776342E-1,5.680518150E-1
1.979758370E-1,7.896266580E-1,6.390250325E-1,5.691171288E-1
2.004636490E-1,7.853656411E-1,6.273071170E-1,5.701823831E-1
2.029514620E-1,7.811045647E-1,6.145239472E-1,5.701823831E-1
