"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.137000000E-2,7.921216488E0,6.078279495E0,-8.493430614E-1
5.385786500E-2,7.911639690E0,6.092644691E0,-8.732850552E-1
5.634572900E-2,7.906851292E0,6.097433090E0,-8.541314602E-1
5.883359400E-2,7.887697697E0,6.121375084E0,-8.684966564E-1
6.132145800E-2,7.849390507E0,6.135740280E0,-8.493430614E-1
6.380932300E-2,7.806294441E0,6.150105476E0,-8.397662640E-1
6.629718700E-2,7.777564049E0,6.159682274E0,-8.445546627E-1
6.878505200E-2,7.744045258E0,6.183624268E0,-8.541314602E-1
7.127291700E-2,7.724891663E0,6.178835869E0,-8.541314602E-1
7.376078100E-2,7.700949669E0,6.183624268E0,-8.349778652E-1
7.624864600E-2,7.710526466E0,6.178835869E0,-8.349778652E-1
7.873651000E-2,7.696161270E0,6.159682274E0,-8.445546627E-1
8.122437500E-2,7.710526466E0,6.150105476E0,-8.541314602E-1
8.371224000E-2,7.705738068E0,6.140528679E0,-8.637082577E-1
8.620010400E-2,7.681796074E0,6.126163483E0,-8.732850552E-1
8.868796900E-2,7.696161270E0,6.107009888E0,-8.924387097E-1
9.117583300E-2,7.724891663E0,6.078279495E0,-8.732850552E-1
9.366369800E-2,7.734468460E0,6.030395508E0,-8.684966564E-1
9.615156200E-2,7.748833656E0,5.992088318E0,-8.541314602E-1
9.863942700E-2,7.772775650E0,5.968146324E0,-8.732850552E-1
1.011272920E-1,7.787140846E0,5.948992729E0,-8.732850552E-1
1.036151560E-1,7.787140846E0,5.910685539E0,-8.876502514E-1
1.061030210E-1,7.796717644E0,5.881955147E0,-8.972271085E-1
1.085908850E-1,7.806294441E0,5.853224754E0,-8.924387097E-1
1.110787500E-1,7.787140846E0,5.834071159E0,-9.355342984E-1
1.135666150E-1,7.787140846E0,5.814917564E0,-9.355342984E-1
1.160544790E-1,7.811082840E0,5.790975571E0,-9.498994946E-1
1.185423440E-1,7.811082840E0,5.752667904E0,-9.738415480E-1
1.210302080E-1,7.801506042E0,5.714360714E0,-9.977835417E-1
1.235180730E-1,7.772775650E0,5.666476727E0,-1.055244446E0
1.260059370E-1,7.772775650E0,5.609015942E0,-1.098340034E0
1.284938020E-1,7.772775650E0,5.570708752E0,-1.160589218E0
1.309816670E-1,7.758410454E0,5.518036366E0,-1.246780515E0
1.334695310E-1,7.767987251E0,5.484517574E0,-1.313818216E0
1.359573960E-1,7.825448036E0,5.427056789E0,-1.409586191E0
1.384452600E-1,7.878120899E0,5.379172802E0,-1.462258697E0
1.409331250E-1,7.935581684E0,5.379172802E0,-1.529296279E0
1.434209900E-1,7.993042469E0,5.355230808E0,-1.577180386E0
1.459088540E-1,8.036137581E0,5.364807606E0,-1.629852772E0
1.483967190E-1,8.074444771E0,5.345654011E0,-1.658583283E0
